2025-11-21T01:48:59.184281 | ted_talks_438 | chunk 0 | prompt_tokens=5381, candidates_tokens=178, total_tokens=5559
2025-11-21T01:56:39.712382 | ted_talks_368 | chunk 6 | prompt_tokens=2293, candidates_tokens=178, total_tokens=2471
2025-11-21T01:56:48.890951 | ted_talks_368 | chunk 7 | prompt_tokens=10500, candidates_tokens=235, total_tokens=10735
2025-11-21T01:56:57.003933 | ted_talks_368 | chunk 8 | prompt_tokens=6305, candidates_tokens=156, total_tokens=6461
2025-11-21T01:57:06.241034 | ted_talks_368 | chunk 9 | prompt_tokens=4815, candidates_tokens=224, total_tokens=5039
2025-11-21T01:57:14.162261 | ted_talks_81 | chunk 0 | prompt_tokens=2243, candidates_tokens=240, total_tokens=2483
2025-11-21T01:57:23.451780 | ted_talks_81 | chunk 1 | prompt_tokens=10808, candidates_tokens=150, total_tokens=10958
2025-11-21T01:57:32.131978 | ted_talks_81 | chunk 2 | prompt_tokens=10192, candidates_tokens=202, total_tokens=10394
2025-11-21T01:57:43.281902 | ted_talks_81 | chunk 3 | prompt_tokens=8569, candidates_tokens=212, total_tokens=8781
2025-11-21T01:57:58.319956 | ted_talks_81 | chunk 4 | prompt_tokens=22694, candidates_tokens=226, total_tokens=22920
2025-11-21T01:58:10.081557 | ted_talks_81 | chunk 5 | prompt_tokens=15827, candidates_tokens=176, total_tokens=16003
2025-11-21T01:58:22.997622 | ted_talks_81 | chunk 6 | prompt_tokens=21537, candidates_tokens=232, total_tokens=21769
2025-11-21T01:58:29.163739 | ted_talks_81 | chunk 7 | prompt_tokens=4532, candidates_tokens=118, total_tokens=4650
2025-11-21T01:58:37.741637 | ted_talks_81 | chunk 8 | prompt_tokens=18241, candidates_tokens=230, total_tokens=18471
2025-11-21T01:58:44.369999 | ted_talks_81 | chunk 9 | prompt_tokens=11865, candidates_tokens=119, total_tokens=11984
2025-11-21T01:58:54.293823 | ted_talks_81 | chunk 10 | prompt_tokens=9701, candidates_tokens=334, total_tokens=10035
2025-11-21T01:59:02.314419 | ted_talks_285 | chunk 0 | prompt_tokens=13430, candidates_tokens=190, total_tokens=13620
2025-11-21T01:59:11.767032 | ted_talks_285 | chunk 1 | prompt_tokens=10833, candidates_tokens=228, total_tokens=11061
2025-11-21T01:59:17.307915 | ted_talks_285 | chunk 2 | prompt_tokens=4532, candidates_tokens=151, total_tokens=4683
2025-11-21T01:59:23.821087 | ted_talks_285 | chunk 3 | prompt_tokens=4274, candidates_tokens=135, total_tokens=4409
2025-11-21T01:59:29.224988 | ted_talks_285 | chunk 4 | prompt_tokens=2601, candidates_tokens=212, total_tokens=2813
2025-11-21T01:59:33.593774 | ted_talks_285 | chunk 5 | prompt_tokens=2651, candidates_tokens=86, total_tokens=2737
2025-11-21T01:59:46.375889 | ted_talks_285 | chunk 6 | prompt_tokens=17059, candidates_tokens=250, total_tokens=17309
2025-11-21T01:59:52.979347 | ted_talks_285 | chunk 7 | prompt_tokens=8028, candidates_tokens=193, total_tokens=8221
2025-11-21T02:00:01.115368 | ted_talks_285 | chunk 8 | prompt_tokens=9934, candidates_tokens=134, total_tokens=10068
2025-11-21T02:00:11.387534 | ted_talks_285 | chunk 9 | prompt_tokens=9676, candidates_tokens=131, total_tokens=9807
2025-11-21T02:00:20.072917 | ted_talks_285 | chunk 10 | prompt_tokens=11990, candidates_tokens=222, total_tokens=12212
2025-11-21T02:00:27.750410 | ted_talks_285 | chunk 11 | prompt_tokens=6280, candidates_tokens=104, total_tokens=6384
2025-11-21T02:00:32.742313 | ted_talks_285 | chunk 12 | prompt_tokens=1777, candidates_tokens=72, total_tokens=1849
2025-11-21T02:00:43.191020 | ted_talks_285 | chunk 13 | prompt_tokens=8877, candidates_tokens=156, total_tokens=9033
2025-11-21T02:00:52.682762 | ted_talks_285 | chunk 14 | prompt_tokens=7695, candidates_tokens=144, total_tokens=7839
2025-11-21T02:01:01.147185 | ted_talks_285 | chunk 15 | prompt_tokens=9318, candidates_tokens=168, total_tokens=9486
2025-11-21T02:01:10.834662 | ted_talks_285 | chunk 16 | prompt_tokens=13305, candidates_tokens=211, total_tokens=13516
2025-11-21T02:01:19.559084 | ted_talks_10 | chunk 0 | prompt_tokens=7054, candidates_tokens=207, total_tokens=7261
2025-11-21T02:01:25.487627 | ted_talks_10 | chunk 1 | prompt_tokens=4016, candidates_tokens=127, total_tokens=4143
2025-11-21T02:01:37.273051 | ted_talks_10 | chunk 2 | prompt_tokens=6846, candidates_tokens=224, total_tokens=7070
2025-11-21T02:01:50.869439 | ted_talks_10 | chunk 3 | prompt_tokens=14487, candidates_tokens=213, total_tokens=14700
2025-11-21T02:01:59.461661 | ted_talks_10 | chunk 4 | prompt_tokens=8544, candidates_tokens=256, total_tokens=8800
2025-11-21T02:02:08.629876 | ted_talks_10 | chunk 5 | prompt_tokens=6022, candidates_tokens=229, total_tokens=6251
2025-11-21T02:02:19.200037 | ted_talks_10 | chunk 6 | prompt_tokens=14537, candidates_tokens=230, total_tokens=14767
2025-11-21T02:02:28.061820 | ted_talks_10 | chunk 7 | prompt_tokens=8827, candidates_tokens=221, total_tokens=9048
2025-11-21T02:02:41.607617 | ted_talks_10 | chunk 8 | prompt_tokens=15361, candidates_tokens=295, total_tokens=15656
2025-11-21T02:02:49.231901 | ted_talks_10 | chunk 9 | prompt_tokens=5922, candidates_tokens=147, total_tokens=6069
2025-11-21T02:02:57.655257 | ted_talks_10 | chunk 10 | prompt_tokens=9418, candidates_tokens=277, total_tokens=9695
2025-11-21T02:03:06.098380 | ted_talks_10 | chunk 11 | prompt_tokens=12739, candidates_tokens=185, total_tokens=12924
2025-11-21T02:03:13.616357 | ted_talks_10 | chunk 12 | prompt_tokens=7129, candidates_tokens=217, total_tokens=7346
2025-11-21T02:03:32.666151 | ted_talks_375 | chunk 0 | prompt_tokens=17292, candidates_tokens=227, total_tokens=17519
2025-11-21T02:03:42.475788 | ted_talks_375 | chunk 1 | prompt_tokens=8802, candidates_tokens=210, total_tokens=9012
2025-11-21T02:03:50.696951 | ted_talks_375 | chunk 2 | prompt_tokens=15952, candidates_tokens=208, total_tokens=16160
2025-11-21T02:03:57.906823 | ted_talks_375 | chunk 3 | prompt_tokens=12481, candidates_tokens=147, total_tokens=12628
2025-11-21T02:04:07.891527 | ted_talks_375 | chunk 4 | prompt_tokens=13871, candidates_tokens=196, total_tokens=14067
2025-11-21T02:04:20.653532 | ted_talks_375 | chunk 5 | prompt_tokens=20946, candidates_tokens=153, total_tokens=21099
2025-11-21T02:04:28.107889 | ted_talks_375 | chunk 6 | prompt_tokens=6305, candidates_tokens=222, total_tokens=6527
2025-11-21T02:04:38.331848 | ted_talks_375 | chunk 7 | prompt_tokens=8594, candidates_tokens=117, total_tokens=8711
2025-11-21T02:04:46.755643 | ted_talks_375 | chunk 8 | prompt_tokens=10833, candidates_tokens=154, total_tokens=10987
2025-11-21T02:04:53.374262 | ted_talks_375 | chunk 9 | prompt_tokens=4532, candidates_tokens=141, total_tokens=4673
2025-11-21T02:05:11.170973 | ted_talks_375 | chunk 10 | prompt_tokens=13713, candidates_tokens=227, total_tokens=13940
2025-11-21T02:05:19.682447 | ted_talks_412 | chunk 0 | prompt_tokens=8311, candidates_tokens=242, total_tokens=8553
2025-11-21T02:05:28.907980 | ted_talks_412 | chunk 1 | prompt_tokens=8336, candidates_tokens=215, total_tokens=8551
2025-11-21T02:05:37.796988 | ted_talks_412 | chunk 2 | prompt_tokens=6921, candidates_tokens=218, total_tokens=7139
2025-11-21T02:05:43.240989 | ted_talks_412 | chunk 3 | prompt_tokens=3092, candidates_tokens=167, total_tokens=3259
2025-11-21T02:05:49.493046 | ted_talks_412 | chunk 4 | prompt_tokens=9160, candidates_tokens=158, total_tokens=9318
2025-11-21T02:05:59.765547 | ted_talks_412 | chunk 5 | prompt_tokens=10808, candidates_tokens=227, total_tokens=11035
2025-11-21T02:06:07.293766 | ted_talks_412 | chunk 6 | prompt_tokens=4016, candidates_tokens=172, total_tokens=4188
2025-11-21T02:06:20.005660 | ted_talks_412 | chunk 7 | prompt_tokens=20946, candidates_tokens=270, total_tokens=21216
2025-11-21T02:06:35.344307 | ted_talks_412 | chunk 8 | prompt_tokens=23801, candidates_tokens=187, total_tokens=23988
2025-11-21T02:06:45.918187 | ted_talks_412 | chunk 9 | prompt_tokens=14437, candidates_tokens=205, total_tokens=14642
2025-11-21T02:06:54.959704 | ted_talks_412 | chunk 10 | prompt_tokens=11374, candidates_tokens=205, total_tokens=11579
2025-11-21T02:07:05.687670 | ted_talks_412 | chunk 11 | prompt_tokens=13971, candidates_tokens=186, total_tokens=14157
2025-11-21T02:07:13.908193 | ted_talks_412 | chunk 12 | prompt_tokens=7154, candidates_tokens=167, total_tokens=7321
2025-11-21T02:07:26.305895 | ted_talks_412 | chunk 13 | prompt_tokens=10267, candidates_tokens=195, total_tokens=10462
2025-11-21T02:07:35.506973 | ted_talks_412 | chunk 14 | prompt_tokens=4507, candidates_tokens=186, total_tokens=4693
2025-11-21T02:07:44.238547 | ted_talks_412 | chunk 15 | prompt_tokens=12248, candidates_tokens=223, total_tokens=12471
2025-11-21T02:07:52.847730 | ted_talks_94 | chunk 0 | prompt_tokens=11707, candidates_tokens=179, total_tokens=11886
2025-11-21T02:08:05.079874 | ted_talks_94 | chunk 1 | prompt_tokens=11990, candidates_tokens=176, total_tokens=12166
2025-11-21T02:08:19.086808 | ted_talks_94 | chunk 2 | prompt_tokens=19581, candidates_tokens=221, total_tokens=19802
2025-11-21T02:08:32.842968 | ted_talks_94 | chunk 3 | prompt_tokens=17575, candidates_tokens=262, total_tokens=17837
2025-11-21T02:08:40.857247 | ted_talks_94 | chunk 4 | prompt_tokens=13588, candidates_tokens=171, total_tokens=13759
2025-11-21T02:08:57.288965 | ted_talks_94 | chunk 5 | prompt_tokens=20430, candidates_tokens=250, total_tokens=20680
2025-11-21T02:09:06.996813 | ted_talks_94 | chunk 6 | prompt_tokens=21046, candidates_tokens=269, total_tokens=21315
2025-11-21T02:09:18.663315 | ted_talks_1 | chunk 0 | prompt_tokens=12864, candidates_tokens=289, total_tokens=13153
2025-11-21T02:09:30.749486 | ted_talks_1 | chunk 1 | prompt_tokens=14512, candidates_tokens=494, total_tokens=15006
2025-11-21T02:09:39.318714 | ted_talks_1 | chunk 2 | prompt_tokens=4349, candidates_tokens=450, total_tokens=4799
2025-11-21T02:09:49.408438 | ted_talks_1 | chunk 3 | prompt_tokens=9160, candidates_tokens=337, total_tokens=9497
2025-11-21T02:09:57.470136 | ted_talks_1 | chunk 4 | prompt_tokens=9060, candidates_tokens=386, total_tokens=9446
2025-11-21T02:10:08.015519 | ted_talks_1 | chunk 5 | prompt_tokens=8494, candidates_tokens=300, total_tokens=8794
2025-11-21T02:10:18.987657 | ted_talks_1 | chunk 6 | prompt_tokens=8311, candidates_tokens=339, total_tokens=8650
2025-11-21T02:10:28.555154 | ted_talks_1 | chunk 7 | prompt_tokens=8852, candidates_tokens=270, total_tokens=9122
2025-11-21T02:10:35.944950 | ted_talks_1 | chunk 8 | prompt_tokens=2268, candidates_tokens=216, total_tokens=2484
2025-11-21T02:10:44.214866 | ted_talks_1 | chunk 9 | prompt_tokens=5739, candidates_tokens=373, total_tokens=6112
2025-11-21T02:10:56.347276 | ted_talks_1 | chunk 10 | prompt_tokens=15386, candidates_tokens=344, total_tokens=15730
2025-11-21T02:11:09.005291 | ted_talks_1 | chunk 11 | prompt_tokens=17600, candidates_tokens=247, total_tokens=17847
2025-11-21T02:11:19.857255 | ted_talks_1 | chunk 12 | prompt_tokens=8211, candidates_tokens=303, total_tokens=8514
2025-11-21T02:11:28.903117 | ted_talks_1 | chunk 13 | prompt_tokens=9676, candidates_tokens=273, total_tokens=9949
2025-11-21T02:11:36.762350 | ted_talks_1 | chunk 14 | prompt_tokens=6280, candidates_tokens=260, total_tokens=6540
2025-11-21T02:11:48.640510 | ted_talks_1 | chunk 15 | prompt_tokens=18990, candidates_tokens=283, total_tokens=19273
2025-11-21T02:11:58.661233 | ted_talks_1 | chunk 16 | prompt_tokens=11324, candidates_tokens=257, total_tokens=11581
2025-11-21T02:12:12.232860 | ted_talks_5 | chunk 0 | prompt_tokens=18940, candidates_tokens=176, total_tokens=19116
2025-11-21T02:12:21.010756 | ted_talks_5 | chunk 1 | prompt_tokens=8003, candidates_tokens=290, total_tokens=8293
2025-11-21T02:12:29.944850 | ted_talks_5 | chunk 2 | prompt_tokens=7953, candidates_tokens=314, total_tokens=8267
2025-11-21T02:12:40.228008 | ted_talks_5 | chunk 3 | prompt_tokens=4532, candidates_tokens=207, total_tokens=4739
2025-11-21T02:12:49.085967 | ted_talks_5 | chunk 4 | prompt_tokens=11449, candidates_tokens=230, total_tokens=11679
2025-11-21T02:13:00.758135 | ted_talks_5 | chunk 5 | prompt_tokens=19889, candidates_tokens=220, total_tokens=20109
2025-11-21T02:13:11.399490 | ted_talks_5 | chunk 6 | prompt_tokens=20688, candidates_tokens=273, total_tokens=20961
2025-11-21T02:13:18.363295 | ted_talks_5 | chunk 7 | prompt_tokens=2909, candidates_tokens=142, total_tokens=3051
2025-11-21T02:13:29.682851 | ted_talks_5 | chunk 8 | prompt_tokens=11141, candidates_tokens=241, total_tokens=11382
2025-11-21T02:13:40.914464 | ted_talks_5 | chunk 9 | prompt_tokens=14462, candidates_tokens=198, total_tokens=14660
2025-11-21T02:13:51.787675 | ted_talks_5 | chunk 10 | prompt_tokens=14204, candidates_tokens=239, total_tokens=14443
2025-11-21T02:14:06.450340 | ted_talks_5 | chunk 11 | prompt_tokens=19839, candidates_tokens=327, total_tokens=20166
2025-11-21T02:14:16.177160 | ted_talks_241 | chunk 0 | prompt_tokens=7054, candidates_tokens=241, total_tokens=7295
2025-11-21T02:14:22.275599 | ted_talks_241 | chunk 1 | prompt_tokens=6871, candidates_tokens=202, total_tokens=7073
2025-11-21T02:14:29.553992 | ted_talks_241 | chunk 2 | prompt_tokens=7412, candidates_tokens=332, total_tokens=7744
2025-11-21T02:14:37.841056 | ted_talks_241 | chunk 3 | prompt_tokens=4066, candidates_tokens=245, total_tokens=4311
2025-11-21T02:14:46.180118 | ted_talks_241 | chunk 4 | prompt_tokens=5431, candidates_tokens=253, total_tokens=5684
2025-11-21T02:14:55.908260 | ted_talks_241 | chunk 5 | prompt_tokens=4582, candidates_tokens=247, total_tokens=4829
2025-11-21T02:15:06.869842 | ted_talks_241 | chunk 6 | prompt_tokens=13971, candidates_tokens=357, total_tokens=14328
2025-11-21T02:15:16.732276 | ted_talks_241 | chunk 7 | prompt_tokens=7079, candidates_tokens=326, total_tokens=7405
2025-11-21T02:15:27.116330 | ted_talks_241 | chunk 8 | prompt_tokens=11116, candidates_tokens=207, total_tokens=11323
2025-11-21T02:15:44.643994 | ted_talks_241 | chunk 9 | prompt_tokens=15852, candidates_tokens=410, total_tokens=16262
2025-11-21T02:15:52.248134 | ted_talks_241 | chunk 10 | prompt_tokens=5972, candidates_tokens=397, total_tokens=6369
2025-11-21T02:16:01.705647 | ted_talks_241 | chunk 11 | prompt_tokens=7745, candidates_tokens=297, total_tokens=8042
2025-11-21T02:16:10.067600 | ted_talks_241 | chunk 12 | prompt_tokens=4249, candidates_tokens=200, total_tokens=4449
2025-11-21T02:16:20.844051 | ted_talks_241 | chunk 13 | prompt_tokens=8286, candidates_tokens=344, total_tokens=8630
2025-11-21T02:16:29.289143 | ted_talks_241 | chunk 14 | prompt_tokens=4274, candidates_tokens=288, total_tokens=4562
2025-11-21T02:16:41.090260 | ted_talks_241 | chunk 15 | prompt_tokens=7154, candidates_tokens=430, total_tokens=7584
2025-11-21T02:16:55.665481 | ted_talks_241 | chunk 16 | prompt_tokens=13355, candidates_tokens=304, total_tokens=13659
2025-11-21T02:17:03.977112 | ted_talks_241 | chunk 17 | prompt_tokens=7154, candidates_tokens=191, total_tokens=7345
2025-11-21T02:17:11.160799 | ted_talks_22 | chunk 0 | prompt_tokens=5223, candidates_tokens=188, total_tokens=5411
2025-11-21T02:17:18.955245 | ted_talks_22 | chunk 1 | prompt_tokens=8261, candidates_tokens=220, total_tokens=8481
2025-11-21T02:17:29.287357 | ted_talks_22 | chunk 2 | prompt_tokens=11399, candidates_tokens=259, total_tokens=11658
2025-11-21T02:17:35.294805 | ted_talks_22 | chunk 3 | prompt_tokens=2293, candidates_tokens=126, total_tokens=2419
2025-11-21T02:17:43.108442 | ted_talks_22 | chunk 4 | prompt_tokens=4374, candidates_tokens=253, total_tokens=4627
2025-11-21T02:17:51.568333 | ted_talks_22 | chunk 5 | prompt_tokens=4865, candidates_tokens=231, total_tokens=5096
2025-11-21T02:18:04.785256 | ted_talks_22 | chunk 6 | prompt_tokens=14204, candidates_tokens=333, total_tokens=14537
2025-11-21T02:18:15.352088 | ted_talks_22 | chunk 7 | prompt_tokens=8003, candidates_tokens=246, total_tokens=8249
2025-11-21T02:18:25.482081 | ted_talks_22 | chunk 8 | prompt_tokens=10475, candidates_tokens=294, total_tokens=10769
2025-11-21T02:18:32.421756 | ted_talks_22 | chunk 9 | prompt_tokens=5789, candidates_tokens=241, total_tokens=6030
2025-11-21T02:18:42.029260 | ted_talks_22 | chunk 10 | prompt_tokens=6796, candidates_tokens=285, total_tokens=7081
2025-11-21T02:18:51.067236 | ted_talks_22 | chunk 11 | prompt_tokens=4582, candidates_tokens=196, total_tokens=4778
2025-11-21T02:19:00.474120 | ted_talks_22 | chunk 12 | prompt_tokens=7720, candidates_tokens=230, total_tokens=7950
2025-11-21T02:19:16.668137 | ted_talks_22 | chunk 13 | prompt_tokens=19040, candidates_tokens=233, total_tokens=19273
2025-11-21T02:19:22.932814 | ted_talks_332 | chunk 0 | prompt_tokens=7337, candidates_tokens=193, total_tokens=7530
2025-11-21T02:19:38.396360 | ted_talks_332 | chunk 1 | prompt_tokens=18191, candidates_tokens=193, total_tokens=18384
2025-11-21T02:19:52.475535 | ted_talks_332 | chunk 2 | prompt_tokens=24442, candidates_tokens=270, total_tokens=24712
2025-11-21T02:20:01.039519 | ted_talks_332 | chunk 3 | prompt_tokens=11915, candidates_tokens=264, total_tokens=12179
2025-11-21T02:20:09.544838 | ted_talks_332 | chunk 4 | prompt_tokens=8827, candidates_tokens=196, total_tokens=9023
2025-11-21T02:20:16.128428 | ted_talks_332 | chunk 5 | prompt_tokens=13097, candidates_tokens=181, total_tokens=13278
2025-11-21T02:20:27.812855 | ted_talks_332 | chunk 6 | prompt_tokens=11657, candidates_tokens=202, total_tokens=11859
2025-11-21T02:20:39.054426 | ted_talks_332 | chunk 7 | prompt_tokens=13946, candidates_tokens=293, total_tokens=14239
2025-11-21T02:20:46.834566 | ted_talks_332 | chunk 8 | prompt_tokens=3683, candidates_tokens=273, total_tokens=3956
2025-11-21T02:20:56.381391 | ted_talks_332 | chunk 9 | prompt_tokens=6255, candidates_tokens=194, total_tokens=6449
2025-11-21T02:21:03.158541 | ted_talks_332 | chunk 10 | prompt_tokens=7079, candidates_tokens=206, total_tokens=7285
2025-11-21T02:21:10.380936 | ted_talks_332 | chunk 11 | prompt_tokens=7437, candidates_tokens=304, total_tokens=7741
2025-11-21T02:21:21.764221 | ted_talks_433 | chunk 0 | prompt_tokens=22203, candidates_tokens=254, total_tokens=22457
2025-11-21T02:21:28.729848 | ted_talks_433 | chunk 1 | prompt_tokens=6821, candidates_tokens=191, total_tokens=7012
2025-11-21T02:21:34.944436 | ted_talks_433 | chunk 2 | prompt_tokens=4041, candidates_tokens=114, total_tokens=4155
2025-11-21T02:21:43.092378 | ted_talks_433 | chunk 3 | prompt_tokens=6563, candidates_tokens=235, total_tokens=6798
2025-11-21T02:21:49.751472 | ted_talks_433 | chunk 4 | prompt_tokens=7387, candidates_tokens=225, total_tokens=7612
2025-11-21T02:21:58.324391 | ted_talks_433 | chunk 5 | prompt_tokens=8211, candidates_tokens=348, total_tokens=8559
2025-11-21T02:22:04.471842 | ted_talks_433 | chunk 6 | prompt_tokens=4066, candidates_tokens=198, total_tokens=4264
2025-11-21T02:22:10.838058 | ted_talks_433 | chunk 7 | prompt_tokens=5739, candidates_tokens=181, total_tokens=5920
2025-11-21T02:22:20.286697 | ted_talks_433 | chunk 8 | prompt_tokens=8877, candidates_tokens=218, total_tokens=9095
2025-11-21T02:22:28.785186 | ted_talks_433 | chunk 9 | prompt_tokens=9035, candidates_tokens=223, total_tokens=9258
2025-11-21T02:22:38.716675 | ted_talks_433 | chunk 10 | prompt_tokens=12198, candidates_tokens=215, total_tokens=12413
2025-11-21T02:22:46.010341 | ted_talks_433 | chunk 11 | prompt_tokens=5406, candidates_tokens=187, total_tokens=5593
2025-11-21T02:22:57.018291 | ted_talks_433 | chunk 12 | prompt_tokens=15902, candidates_tokens=195, total_tokens=16097
2025-11-21T02:23:04.294836 | ted_talks_433 | chunk 13 | prompt_tokens=6047, candidates_tokens=172, total_tokens=6219
2025-11-21T02:23:19.704589 | ted_talks_433 | chunk 14 | prompt_tokens=5922, candidates_tokens=216, total_tokens=6138
2025-11-21T02:23:28.366525 | ted_talks_433 | chunk 15 | prompt_tokens=5947, candidates_tokens=178, total_tokens=6125
2025-11-21T02:23:42.414740 | ted_talks_433 | chunk 16 | prompt_tokens=4815, candidates_tokens=171, total_tokens=4986
2025-11-21T02:23:57.412322 | ted_talks_391 | chunk 0 | prompt_tokens=22053, candidates_tokens=247, total_tokens=22300
