2025-11-20T18:59:24.627470 | software_tutorials_81 | chunk 0 | prompt_tokens=782, candidates_tokens=74, total_tokens=856
2025-11-20T19:02:19.580248 | software_tutorials_363 | chunk 5 | prompt_tokens=657, candidates_tokens=54, total_tokens=711
2025-11-20T19:02:25.354354 | software_tutorials_363 | chunk 6 | prompt_tokens=457, candidates_tokens=56, total_tokens=513
2025-11-20T19:02:31.148433 | software_tutorials_363 | chunk 7 | prompt_tokens=582, candidates_tokens=52, total_tokens=634
2025-11-20T19:02:39.597397 | software_tutorials_363 | chunk 8 | prompt_tokens=1132, candidates_tokens=73, total_tokens=1205
2025-11-20T19:02:47.966387 | software_tutorials_363 | chunk 9 | prompt_tokens=907, candidates_tokens=81, total_tokens=988
2025-11-20T19:02:56.256375 | software_tutorials_363 | chunk 10 | prompt_tokens=1582, candidates_tokens=124, total_tokens=1706
2025-11-20T19:03:05.478277 | software_tutorials_363 | chunk 11 | prompt_tokens=1107, candidates_tokens=87, total_tokens=1194
2025-11-20T19:03:10.038298 | software_tutorials_363 | chunk 12 | prompt_tokens=582, candidates_tokens=76, total_tokens=658
2025-11-20T19:03:23.457624 | software_tutorials_363 | chunk 13 | prompt_tokens=2157, candidates_tokens=87, total_tokens=2244
2025-11-20T19:03:35.138624 | software_tutorials_363 | chunk 14 | prompt_tokens=2132, candidates_tokens=101, total_tokens=2233
2025-11-20T19:03:42.702720 | software_tutorials_363 | chunk 15 | prompt_tokens=1032, candidates_tokens=119, total_tokens=1151
2025-11-20T19:03:49.493713 | software_tutorials_318 | chunk 0 | prompt_tokens=707, candidates_tokens=80, total_tokens=787
2025-11-20T19:04:01.837032 | software_tutorials_318 | chunk 1 | prompt_tokens=1882, candidates_tokens=136, total_tokens=2018
2025-11-20T19:04:07.979024 | software_tutorials_318 | chunk 2 | prompt_tokens=732, candidates_tokens=53, total_tokens=785
2025-11-20T19:04:12.931647 | software_tutorials_318 | chunk 3 | prompt_tokens=407, candidates_tokens=49, total_tokens=456
2025-11-20T19:04:20.969115 | software_tutorials_318 | chunk 4 | prompt_tokens=1707, candidates_tokens=138, total_tokens=1845
2025-11-20T19:04:26.286162 | software_tutorials_318 | chunk 5 | prompt_tokens=482, candidates_tokens=69, total_tokens=551
2025-11-20T19:04:30.951712 | software_tutorials_318 | chunk 6 | prompt_tokens=632, candidates_tokens=72, total_tokens=704
2025-11-20T19:04:36.218746 | software_tutorials_318 | chunk 7 | prompt_tokens=782, candidates_tokens=59, total_tokens=841
2025-11-20T19:04:42.492161 | software_tutorials_318 | chunk 8 | prompt_tokens=1157, candidates_tokens=64, total_tokens=1221
2025-11-20T19:04:47.629882 | software_tutorials_318 | chunk 9 | prompt_tokens=407, candidates_tokens=68, total_tokens=475
2025-11-20T19:04:54.212430 | software_tutorials_318 | chunk 10 | prompt_tokens=532, candidates_tokens=71, total_tokens=603
2025-11-20T19:05:04.954935 | software_tutorials_318 | chunk 11 | prompt_tokens=2882, candidates_tokens=138, total_tokens=3020
2025-11-20T19:05:14.456102 | software_tutorials_318 | chunk 12 | prompt_tokens=1532, candidates_tokens=100, total_tokens=1632
2025-11-20T19:05:28.496244 | software_tutorials_318 | chunk 13 | prompt_tokens=2307, candidates_tokens=107, total_tokens=2414
2025-11-20T19:05:39.205442 | software_tutorials_318 | chunk 14 | prompt_tokens=1607, candidates_tokens=114, total_tokens=1721
2025-11-20T19:05:48.178015 | software_tutorials_269 | chunk 0 | prompt_tokens=1557, candidates_tokens=70, total_tokens=1627
2025-11-20T19:05:53.187492 | software_tutorials_269 | chunk 1 | prompt_tokens=857, candidates_tokens=92, total_tokens=949
2025-11-20T19:06:01.048722 | software_tutorials_269 | chunk 2 | prompt_tokens=1232, candidates_tokens=93, total_tokens=1325
2025-11-20T19:06:08.154288 | software_tutorials_269 | chunk 3 | prompt_tokens=807, candidates_tokens=56, total_tokens=863
2025-11-20T19:06:13.716576 | software_tutorials_269 | chunk 4 | prompt_tokens=982, candidates_tokens=68, total_tokens=1050
2025-11-20T19:06:20.456532 | software_tutorials_269 | chunk 5 | prompt_tokens=907, candidates_tokens=111, total_tokens=1018
2025-11-20T19:06:26.223797 | software_tutorials_269 | chunk 6 | prompt_tokens=632, candidates_tokens=38, total_tokens=670
2025-11-20T19:06:33.626300 | software_tutorials_269 | chunk 7 | prompt_tokens=957, candidates_tokens=74, total_tokens=1031
2025-11-20T19:06:38.246172 | software_tutorials_269 | chunk 8 | prompt_tokens=732, candidates_tokens=46, total_tokens=778
2025-11-20T19:06:45.317028 | software_tutorials_269 | chunk 9 | prompt_tokens=882, candidates_tokens=53, total_tokens=935
2025-11-20T19:06:53.764567 | software_tutorials_269 | chunk 10 | prompt_tokens=1232, candidates_tokens=113, total_tokens=1345
2025-11-20T19:07:03.657167 | software_tutorials_269 | chunk 11 | prompt_tokens=1382, candidates_tokens=120, total_tokens=1502
2025-11-20T19:07:09.887416 | software_tutorials_269 | chunk 12 | prompt_tokens=907, candidates_tokens=75, total_tokens=982
2025-11-20T19:07:15.652128 | software_tutorials_269 | chunk 13 | prompt_tokens=1307, candidates_tokens=82, total_tokens=1389
2025-11-20T19:07:24.963540 | software_tutorials_269 | chunk 14 | prompt_tokens=1557, candidates_tokens=91, total_tokens=1648
2025-11-20T19:07:31.987927 | software_tutorials_269 | chunk 15 | prompt_tokens=982, candidates_tokens=85, total_tokens=1067
2025-11-20T19:07:38.927806 | software_tutorials_269 | chunk 16 | prompt_tokens=1032, candidates_tokens=67, total_tokens=1099
2025-11-20T19:07:43.301270 | software_tutorials_100 | chunk 0 | prompt_tokens=657, candidates_tokens=84, total_tokens=741
2025-11-20T19:07:48.532353 | software_tutorials_100 | chunk 1 | prompt_tokens=1032, candidates_tokens=152, total_tokens=1184
2025-11-20T19:07:54.326323 | software_tutorials_100 | chunk 2 | prompt_tokens=632, candidates_tokens=60, total_tokens=692
2025-11-20T19:08:00.460813 | software_tutorials_100 | chunk 3 | prompt_tokens=832, candidates_tokens=74, total_tokens=906
2025-11-20T19:08:08.457566 | software_tutorials_100 | chunk 4 | prompt_tokens=2332, candidates_tokens=133, total_tokens=2465
2025-11-20T19:08:19.151897 | software_tutorials_100 | chunk 5 | prompt_tokens=1807, candidates_tokens=147, total_tokens=1954
2025-11-20T19:08:23.947178 | software_tutorials_100 | chunk 6 | prompt_tokens=807, candidates_tokens=90, total_tokens=897
2025-11-20T19:08:30.172838 | software_tutorials_100 | chunk 7 | prompt_tokens=682, candidates_tokens=39, total_tokens=721
2025-11-20T19:08:35.751298 | software_tutorials_100 | chunk 8 | prompt_tokens=807, candidates_tokens=81, total_tokens=888
2025-11-20T19:08:41.982289 | software_tutorials_100 | chunk 9 | prompt_tokens=632, candidates_tokens=69, total_tokens=701
2025-11-20T19:08:51.640623 | software_tutorials_100 | chunk 10 | prompt_tokens=1882, candidates_tokens=99, total_tokens=1981
2025-11-20T19:09:01.092476 | software_tutorials_284 | chunk 0 | prompt_tokens=1232, candidates_tokens=119, total_tokens=1351
2025-11-20T19:09:06.544499 | software_tutorials_284 | chunk 1 | prompt_tokens=857, candidates_tokens=70, total_tokens=927
2025-11-20T19:09:14.326003 | software_tutorials_284 | chunk 2 | prompt_tokens=757, candidates_tokens=73, total_tokens=830
2025-11-20T19:09:19.714785 | software_tutorials_284 | chunk 3 | prompt_tokens=807, candidates_tokens=69, total_tokens=876
2025-11-20T19:09:26.962892 | software_tutorials_284 | chunk 4 | prompt_tokens=1407, candidates_tokens=93, total_tokens=1500
2025-11-20T19:09:31.915859 | software_tutorials_284 | chunk 5 | prompt_tokens=332, candidates_tokens=45, total_tokens=377
2025-11-20T19:09:46.183897 | software_tutorials_284 | chunk 6 | prompt_tokens=2607, candidates_tokens=79, total_tokens=2686
2025-11-20T19:10:03.764310 | software_tutorials_284 | chunk 7 | prompt_tokens=3107, candidates_tokens=156, total_tokens=3263
2025-11-20T19:10:14.067136 | software_tutorials_284 | chunk 8 | prompt_tokens=1382, candidates_tokens=104, total_tokens=1486
2025-11-20T19:10:21.796625 | software_tutorials_284 | chunk 9 | prompt_tokens=632, candidates_tokens=91, total_tokens=723
2025-11-20T19:10:27.247106 | software_tutorials_284 | chunk 10 | prompt_tokens=607, candidates_tokens=59, total_tokens=666
2025-11-20T19:10:34.004257 | software_tutorials_284 | chunk 11 | prompt_tokens=582, candidates_tokens=82, total_tokens=664
2025-11-20T19:10:44.655587 | software_tutorials_284 | chunk 12 | prompt_tokens=1632, candidates_tokens=91, total_tokens=1723
2025-11-20T19:10:52.151977 | software_tutorials_35 | chunk 0 | prompt_tokens=1232, candidates_tokens=133, total_tokens=1365
2025-11-20T19:11:04.007217 | software_tutorials_35 | chunk 1 | prompt_tokens=1607, candidates_tokens=113, total_tokens=1720
2025-11-20T19:11:13.035453 | software_tutorials_35 | chunk 2 | prompt_tokens=1107, candidates_tokens=131, total_tokens=1238
2025-11-20T19:11:23.264445 | software_tutorials_35 | chunk 3 | prompt_tokens=1457, candidates_tokens=82, total_tokens=1539
2025-11-20T19:11:36.680280 | software_tutorials_35 | chunk 4 | prompt_tokens=2407, candidates_tokens=114, total_tokens=2521
2025-11-20T19:11:48.172152 | software_tutorials_35 | chunk 5 | prompt_tokens=1882, candidates_tokens=65, total_tokens=1947
2025-11-20T19:11:51.952788 | software_tutorials_35 | chunk 6 | prompt_tokens=357, candidates_tokens=54, total_tokens=411
2025-11-20T19:11:57.425785 | software_tutorials_35 | chunk 7 | prompt_tokens=457, candidates_tokens=52, total_tokens=509
2025-11-20T19:12:03.869838 | software_tutorials_35 | chunk 8 | prompt_tokens=532, candidates_tokens=67, total_tokens=599
2025-11-20T19:12:14.465013 | software_tutorials_35 | chunk 9 | prompt_tokens=1707, candidates_tokens=83, total_tokens=1790
2025-11-20T19:12:22.585045 | software_tutorials_35 | chunk 10 | prompt_tokens=1207, candidates_tokens=56, total_tokens=1263
2025-11-20T19:12:31.449811 | software_tutorials_35 | chunk 11 | prompt_tokens=1657, candidates_tokens=185, total_tokens=1842
2025-11-20T19:12:40.024140 | software_tutorials_35 | chunk 12 | prompt_tokens=2007, candidates_tokens=104, total_tokens=2111
2025-11-20T19:12:47.885350 | software_tutorials_35 | chunk 13 | prompt_tokens=907, candidates_tokens=88, total_tokens=995
2025-11-20T19:12:53.675535 | software_tutorials_231 | chunk 0 | prompt_tokens=1432, candidates_tokens=87, total_tokens=1519
2025-11-20T19:12:57.835001 | software_tutorials_231 | chunk 1 | prompt_tokens=507, candidates_tokens=54, total_tokens=561
2025-11-20T19:13:01.631322 | software_tutorials_231 | chunk 2 | prompt_tokens=532, candidates_tokens=64, total_tokens=596
2025-11-20T19:13:05.472867 | software_tutorials_231 | chunk 3 | prompt_tokens=532, candidates_tokens=66, total_tokens=598
2025-11-20T19:13:21.107819 | software_tutorials_231 | chunk 4 | prompt_tokens=4482, candidates_tokens=74, total_tokens=4556
2025-11-20T19:13:25.678964 | software_tutorials_231 | chunk 5 | prompt_tokens=482, candidates_tokens=72, total_tokens=554
2025-11-20T19:13:36.047431 | software_tutorials_231 | chunk 6 | prompt_tokens=1907, candidates_tokens=141, total_tokens=2048
2025-11-20T19:13:51.104024 | software_tutorials_231 | chunk 7 | prompt_tokens=2757, candidates_tokens=155, total_tokens=2912
2025-11-20T19:13:58.678280 | software_tutorials_231 | chunk 8 | prompt_tokens=1232, candidates_tokens=91, total_tokens=1323
2025-11-20T19:14:06.048282 | software_tutorials_231 | chunk 9 | prompt_tokens=1032, candidates_tokens=95, total_tokens=1127
2025-11-20T19:14:12.344524 | software_tutorials_152 | chunk 0 | prompt_tokens=1107, candidates_tokens=123, total_tokens=1230
2025-11-20T19:14:21.362415 | software_tutorials_152 | chunk 1 | prompt_tokens=932, candidates_tokens=116, total_tokens=1048
2025-11-20T19:14:28.535135 | software_tutorials_152 | chunk 2 | prompt_tokens=1157, candidates_tokens=56, total_tokens=1213
2025-11-20T19:14:37.204446 | software_tutorials_152 | chunk 3 | prompt_tokens=1082, candidates_tokens=97, total_tokens=1179
2025-11-20T19:14:44.865989 | software_tutorials_152 | chunk 4 | prompt_tokens=982, candidates_tokens=111, total_tokens=1093
2025-11-20T19:14:53.723741 | software_tutorials_152 | chunk 5 | prompt_tokens=1307, candidates_tokens=85, total_tokens=1392
2025-11-20T19:15:06.891141 | software_tutorials_152 | chunk 6 | prompt_tokens=2057, candidates_tokens=115, total_tokens=2172
2025-11-20T19:15:13.832129 | software_tutorials_152 | chunk 7 | prompt_tokens=657, candidates_tokens=78, total_tokens=735
2025-11-20T19:15:23.514982 | software_tutorials_152 | chunk 8 | prompt_tokens=1332, candidates_tokens=134, total_tokens=1466
2025-11-20T19:15:35.006202 | software_tutorials_152 | chunk 9 | prompt_tokens=1507, candidates_tokens=87, total_tokens=1594
2025-11-20T19:15:42.242419 | software_tutorials_152 | chunk 10 | prompt_tokens=757, candidates_tokens=108, total_tokens=865
2025-11-20T19:15:49.103681 | software_tutorials_152 | chunk 11 | prompt_tokens=607, candidates_tokens=93, total_tokens=700
2025-11-20T19:16:07.160587 | software_tutorials_152 | chunk 12 | prompt_tokens=3957, candidates_tokens=123, total_tokens=4080
2025-11-20T19:16:11.172059 | software_tutorials_152 | chunk 13 | prompt_tokens=282, candidates_tokens=47, total_tokens=329
2025-11-20T19:16:17.153807 | software_tutorials_66 | chunk 0 | prompt_tokens=607, candidates_tokens=74, total_tokens=681
2025-11-20T19:16:26.568119 | software_tutorials_66 | chunk 1 | prompt_tokens=1082, candidates_tokens=117, total_tokens=1199
2025-11-20T19:16:36.605841 | software_tutorials_66 | chunk 2 | prompt_tokens=1557, candidates_tokens=77, total_tokens=1634
2025-11-20T19:16:54.230560 | software_tutorials_66 | chunk 3 | prompt_tokens=2732, candidates_tokens=72, total_tokens=2804
2025-11-20T19:16:59.550361 | software_tutorials_66 | chunk 4 | prompt_tokens=857, candidates_tokens=71, total_tokens=928
2025-11-20T19:17:06.216193 | software_tutorials_66 | chunk 5 | prompt_tokens=657, candidates_tokens=73, total_tokens=730
2025-11-20T19:17:11.284060 | software_tutorials_66 | chunk 6 | prompt_tokens=632, candidates_tokens=69, total_tokens=701
2025-11-20T19:17:21.250563 | software_tutorials_66 | chunk 7 | prompt_tokens=1157, candidates_tokens=96, total_tokens=1253
2025-11-20T19:17:28.483823 | software_tutorials_66 | chunk 8 | prompt_tokens=657, candidates_tokens=65, total_tokens=722
2025-11-20T19:17:37.953153 | software_tutorials_66 | chunk 9 | prompt_tokens=932, candidates_tokens=78, total_tokens=1010
2025-11-20T19:17:47.066455 | software_tutorials_66 | chunk 10 | prompt_tokens=982, candidates_tokens=111, total_tokens=1093
2025-11-20T19:17:52.588471 | software_tutorials_66 | chunk 11 | prompt_tokens=882, candidates_tokens=49, total_tokens=931
2025-11-20T19:18:02.315526 | software_tutorials_66 | chunk 12 | prompt_tokens=1107, candidates_tokens=77, total_tokens=1184
2025-11-20T19:18:11.159121 | software_tutorials_359 | chunk 0 | prompt_tokens=982, candidates_tokens=92, total_tokens=1074
2025-11-20T19:18:19.972903 | software_tutorials_359 | chunk 1 | prompt_tokens=1657, candidates_tokens=94, total_tokens=1751
2025-11-20T19:18:26.306252 | software_tutorials_359 | chunk 2 | prompt_tokens=882, candidates_tokens=70, total_tokens=952
2025-11-20T19:18:34.685227 | software_tutorials_359 | chunk 3 | prompt_tokens=1582, candidates_tokens=230, total_tokens=1812
2025-11-20T19:18:44.065059 | software_tutorials_359 | chunk 4 | prompt_tokens=1207, candidates_tokens=97, total_tokens=1304
2025-11-20T19:18:51.981448 | software_tutorials_359 | chunk 5 | prompt_tokens=782, candidates_tokens=82, total_tokens=864
2025-11-20T19:19:06.901667 | software_tutorials_359 | chunk 6 | prompt_tokens=2632, candidates_tokens=101, total_tokens=2733
2025-11-20T19:19:12.613438 | software_tutorials_359 | chunk 7 | prompt_tokens=582, candidates_tokens=77, total_tokens=659
2025-11-20T19:19:32.469841 | software_tutorials_359 | chunk 8 | prompt_tokens=3282, candidates_tokens=140, total_tokens=3422
2025-11-20T19:19:42.284925 | software_tutorials_359 | chunk 9 | prompt_tokens=1707, candidates_tokens=98, total_tokens=1805
2025-11-20T19:19:50.036593 | software_tutorials_359 | chunk 10 | prompt_tokens=932, candidates_tokens=52, total_tokens=984
2025-11-20T19:20:04.304293 | software_tutorials_380 | chunk 0 | prompt_tokens=2307, candidates_tokens=115, total_tokens=2422
2025-11-20T19:20:10.579254 | software_tutorials_380 | chunk 1 | prompt_tokens=732, candidates_tokens=51, total_tokens=783
2025-11-20T19:20:17.607603 | software_tutorials_380 | chunk 2 | prompt_tokens=907, candidates_tokens=65, total_tokens=972
2025-11-20T19:20:25.185098 | software_tutorials_380 | chunk 3 | prompt_tokens=807, candidates_tokens=65, total_tokens=872
2025-11-20T19:20:31.364720 | software_tutorials_380 | chunk 4 | prompt_tokens=732, candidates_tokens=49, total_tokens=781
2025-11-20T19:20:36.071417 | software_tutorials_380 | chunk 5 | prompt_tokens=382, candidates_tokens=43, total_tokens=425
2025-11-20T19:20:47.939418 | software_tutorials_380 | chunk 6 | prompt_tokens=2232, candidates_tokens=95, total_tokens=2327
2025-11-20T19:20:59.338469 | software_tutorials_380 | chunk 7 | prompt_tokens=1907, candidates_tokens=90, total_tokens=1997
2025-11-20T19:21:09.015557 | software_tutorials_380 | chunk 8 | prompt_tokens=1682, candidates_tokens=81, total_tokens=1763
2025-11-20T19:21:12.688848 | software_tutorials_380 | chunk 9 | prompt_tokens=407, candidates_tokens=53, total_tokens=460
2025-11-20T19:21:20.546450 | software_tutorials_339 | chunk 0 | prompt_tokens=807, candidates_tokens=87, total_tokens=894
2025-11-20T19:21:27.018841 | software_tutorials_339 | chunk 1 | prompt_tokens=607, candidates_tokens=75, total_tokens=682
2025-11-20T19:21:39.566727 | software_tutorials_339 | chunk 2 | prompt_tokens=1682, candidates_tokens=123, total_tokens=1805
2025-11-20T19:21:48.597334 | software_tutorials_339 | chunk 3 | prompt_tokens=1082, candidates_tokens=89, total_tokens=1171
2025-11-20T19:21:59.789409 | software_tutorials_339 | chunk 4 | prompt_tokens=1682, candidates_tokens=159, total_tokens=1841
2025-11-20T19:22:11.373446 | software_tutorials_339 | chunk 5 | prompt_tokens=1782, candidates_tokens=80, total_tokens=1862
2025-11-20T19:22:31.871619 | software_tutorials_339 | chunk 6 | prompt_tokens=3007, candidates_tokens=115, total_tokens=3122
2025-11-20T19:22:40.557385 | software_tutorials_339 | chunk 7 | prompt_tokens=1307, candidates_tokens=94, total_tokens=1401
2025-11-20T19:22:45.556794 | software_tutorials_339 | chunk 8 | prompt_tokens=607, candidates_tokens=66, total_tokens=673
2025-11-20T19:22:52.184178 | software_tutorials_228 | chunk 0 | prompt_tokens=607, candidates_tokens=77, total_tokens=684
2025-11-20T19:22:59.385255 | software_tutorials_228 | chunk 1 | prompt_tokens=782, candidates_tokens=71, total_tokens=853
2025-11-20T19:23:07.078069 | software_tutorials_228 | chunk 2 | prompt_tokens=907, candidates_tokens=83, total_tokens=990
2025-11-20T19:23:14.436640 | software_tutorials_228 | chunk 3 | prompt_tokens=782, candidates_tokens=76, total_tokens=858
2025-11-20T19:23:23.082132 | software_tutorials_228 | chunk 4 | prompt_tokens=932, candidates_tokens=72, total_tokens=1004
2025-11-20T19:23:28.601430 | software_tutorials_228 | chunk 5 | prompt_tokens=782, candidates_tokens=93, total_tokens=875
2025-11-20T19:23:40.589494 | software_tutorials_228 | chunk 6 | prompt_tokens=1557, candidates_tokens=67, total_tokens=1624
2025-11-20T19:23:56.499425 | software_tutorials_228 | chunk 7 | prompt_tokens=2232, candidates_tokens=89, total_tokens=2321
2025-11-20T19:24:20.079172 | software_tutorials_228 | chunk 8 | prompt_tokens=2807, candidates_tokens=184, total_tokens=2991
2025-11-20T19:24:28.592304 | software_tutorials_228 | chunk 9 | prompt_tokens=782, candidates_tokens=84, total_tokens=866
2025-11-20T19:24:35.915116 | software_tutorials_228 | chunk 10 | prompt_tokens=532, candidates_tokens=82, total_tokens=614
2025-11-20T19:24:42.823183 | software_tutorials_243 | chunk 0 | prompt_tokens=782, candidates_tokens=121, total_tokens=903
2025-11-20T19:24:52.477633 | software_tutorials_243 | chunk 1 | prompt_tokens=957, candidates_tokens=102, total_tokens=1059
2025-11-20T19:24:56.920351 | software_tutorials_243 | chunk 2 | prompt_tokens=757, candidates_tokens=51, total_tokens=808
2025-11-20T19:25:15.843327 | software_tutorials_243 | chunk 3 | prompt_tokens=2782, candidates_tokens=71, total_tokens=2853
2025-11-20T19:25:22.708617 | software_tutorials_243 | chunk 4 | prompt_tokens=582, candidates_tokens=55, total_tokens=637
2025-11-20T19:25:40.791803 | software_tutorials_243 | chunk 5 | prompt_tokens=2407, candidates_tokens=79, total_tokens=2486
2025-11-20T19:25:57.262104 | software_tutorials_243 | chunk 6 | prompt_tokens=3007, candidates_tokens=88, total_tokens=3095
2025-11-20T19:26:09.575716 | software_tutorials_243 | chunk 7 | prompt_tokens=2632, candidates_tokens=187, total_tokens=2819
2025-11-20T19:26:14.296026 | software_tutorials_243 | chunk 8 | prompt_tokens=432, candidates_tokens=61, total_tokens=493
2025-11-20T19:26:24.252260 | software_tutorials_79 | chunk 0 | prompt_tokens=1782, candidates_tokens=99, total_tokens=1881
2025-11-20T19:26:35.087940 | software_tutorials_79 | chunk 1 | prompt_tokens=1357, candidates_tokens=135, total_tokens=1492
2025-11-20T19:26:41.614316 | software_tutorials_79 | chunk 2 | prompt_tokens=582, candidates_tokens=87, total_tokens=669
2025-11-20T19:26:51.290365 | software_tutorials_79 | chunk 3 | prompt_tokens=1232, candidates_tokens=101, total_tokens=1333
2025-11-20T19:26:59.446548 | software_tutorials_79 | chunk 4 | prompt_tokens=1182, candidates_tokens=104, total_tokens=1286
2025-11-20T19:27:19.420265 | software_tutorials_79 | chunk 5 | prompt_tokens=3232, candidates_tokens=96, total_tokens=3328
2025-11-20T19:27:35.727388 | software_tutorials_79 | chunk 6 | prompt_tokens=2257, candidates_tokens=151, total_tokens=2408
2025-11-20T19:27:39.659180 | software_tutorials_79 | chunk 7 | prompt_tokens=357, candidates_tokens=85, total_tokens=442
2025-11-20T19:27:46.623202 | software_tutorials_33 | chunk 0 | prompt_tokens=832, candidates_tokens=67, total_tokens=899
2025-11-20T19:27:53.817803 | software_tutorials_33 | chunk 1 | prompt_tokens=882, candidates_tokens=63, total_tokens=945
2025-11-20T19:28:00.909437 | software_tutorials_33 | chunk 2 | prompt_tokens=732, candidates_tokens=59, total_tokens=791
2025-11-20T19:28:10.091850 | software_tutorials_33 | chunk 3 | prompt_tokens=1032, candidates_tokens=50, total_tokens=1082
2025-11-20T19:28:14.050094 | software_tutorials_33 | chunk 4 | prompt_tokens=382, candidates_tokens=48, total_tokens=430
2025-11-20T19:28:20.428771 | software_tutorials_33 | chunk 5 | prompt_tokens=707, candidates_tokens=81, total_tokens=788
2025-11-20T19:28:27.179743 | software_tutorials_33 | chunk 6 | prompt_tokens=832, candidates_tokens=111, total_tokens=943
2025-11-20T19:28:32.093577 | software_tutorials_33 | chunk 7 | prompt_tokens=932, candidates_tokens=54, total_tokens=986
2025-11-20T19:28:37.434677 | software_tutorials_33 | chunk 8 | prompt_tokens=482, candidates_tokens=47, total_tokens=529
2025-11-20T19:28:44.360366 | software_tutorials_33 | chunk 9 | prompt_tokens=682, candidates_tokens=66, total_tokens=748
2025-11-20T19:28:57.344685 | software_tutorials_33 | chunk 10 | prompt_tokens=1732, candidates_tokens=85, total_tokens=1817
2025-11-20T19:29:12.252360 | software_tutorials_33 | chunk 11 | prompt_tokens=2082, candidates_tokens=104, total_tokens=2186
2025-11-20T19:29:35.731412 | software_tutorials_33 | chunk 12 | prompt_tokens=3707, candidates_tokens=124, total_tokens=3831
2025-11-20T19:29:40.832134 | software_tutorials_33 | chunk 13 | prompt_tokens=707, candidates_tokens=78, total_tokens=785
2025-11-20T19:29:47.652665 | software_tutorials_33 | chunk 14 | prompt_tokens=532, candidates_tokens=68, total_tokens=600
2025-11-20T19:29:54.082382 | software_tutorials_33 | chunk 15 | prompt_tokens=482, candidates_tokens=59, total_tokens=541
2025-11-20T19:30:06.320397 | software_tutorials_33 | chunk 16 | prompt_tokens=1207, candidates_tokens=154, total_tokens=1361
2025-11-20T19:30:17.100418 | software_tutorials_251 | chunk 0 | prompt_tokens=1282, candidates_tokens=135, total_tokens=1417
2025-11-20T19:30:30.098938 | software_tutorials_251 | chunk 1 | prompt_tokens=1182, candidates_tokens=88, total_tokens=1270
2025-11-20T19:30:40.993551 | software_tutorials_251 | chunk 2 | prompt_tokens=1457, candidates_tokens=104, total_tokens=1561
2025-11-20T19:30:51.033194 | software_tutorials_251 | chunk 3 | prompt_tokens=1207, candidates_tokens=104, total_tokens=1311
2025-11-20T19:30:55.660497 | software_tutorials_251 | chunk 4 | prompt_tokens=807, candidates_tokens=121, total_tokens=928
2025-11-20T19:31:08.607518 | software_tutorials_251 | chunk 5 | prompt_tokens=1782, candidates_tokens=99, total_tokens=1881
