2025-11-20T22:44:35.167080 | film_trailers_73 | chunk 0 | prompt_tokens=11582, candidates_tokens=236, total_tokens=11818
2025-11-20T23:08:05.147457 | film_trailers_328 | chunk 1 | prompt_tokens=2343, candidates_tokens=209, total_tokens=2552
2025-11-20T23:08:19.293779 | film_trailers_328 | chunk 2 | prompt_tokens=15644, candidates_tokens=283, total_tokens=15927
2025-11-20T23:08:34.443890 | film_trailers_328 | chunk 3 | prompt_tokens=14720, candidates_tokens=264, total_tokens=14984
2025-11-20T23:08:47.730646 | film_trailers_328 | chunk 4 | prompt_tokens=13921, candidates_tokens=149, total_tokens=14070
2025-11-20T23:09:02.319839 | film_trailers_328 | chunk 5 | prompt_tokens=18216, candidates_tokens=512, total_tokens=18728
2025-11-20T23:09:22.144069 | film_trailers_328 | chunk 6 | prompt_tokens=21845, candidates_tokens=248, total_tokens=22093
2025-11-20T23:09:32.056975 | film_trailers_328 | chunk 7 | prompt_tokens=4840, candidates_tokens=164, total_tokens=5004
2025-11-20T23:09:39.705806 | film_trailers_328 | chunk 8 | prompt_tokens=4299, candidates_tokens=298, total_tokens=4597
2025-11-20T23:09:56.356160 | film_trailers_328 | chunk 9 | prompt_tokens=13122, candidates_tokens=324, total_tokens=13446
2025-11-20T23:10:06.869818 | film_trailers_328 | chunk 10 | prompt_tokens=7179, candidates_tokens=185, total_tokens=7364
2025-11-20T23:10:17.894923 | film_trailers_328 | chunk 11 | prompt_tokens=8594, candidates_tokens=211, total_tokens=8805
2025-11-20T23:10:28.514583 | film_trailers_328 | chunk 12 | prompt_tokens=7462, candidates_tokens=167, total_tokens=7629
2025-11-20T23:10:41.309714 | film_trailers_328 | chunk 13 | prompt_tokens=6796, candidates_tokens=299, total_tokens=7095
2025-11-20T23:10:50.456484 | film_trailers_328 | chunk 14 | prompt_tokens=5481, candidates_tokens=167, total_tokens=5648
2025-11-20T23:11:04.008936 | film_trailers_328 | chunk 15 | prompt_tokens=10833, candidates_tokens=193, total_tokens=11026
2025-11-20T23:11:18.586762 | film_trailers_689 | chunk 0 | prompt_tokens=16701, candidates_tokens=229, total_tokens=16930
2025-11-20T23:11:34.073008 | film_trailers_689 | chunk 1 | prompt_tokens=9443, candidates_tokens=180, total_tokens=9623
2025-11-20T23:11:45.407693 | film_trailers_689 | chunk 2 | prompt_tokens=6305, candidates_tokens=261, total_tokens=6566
2025-11-20T23:12:11.025084 | film_trailers_689 | chunk 3 | prompt_tokens=23260, candidates_tokens=262, total_tokens=23522
2025-11-20T23:12:19.115800 | film_trailers_689 | chunk 4 | prompt_tokens=1777, candidates_tokens=168, total_tokens=1945
2025-11-20T23:12:31.987904 | film_trailers_689 | chunk 5 | prompt_tokens=8544, candidates_tokens=221, total_tokens=8765
2025-11-20T23:12:48.891645 | film_trailers_689 | chunk 6 | prompt_tokens=17084, candidates_tokens=240, total_tokens=17324
2025-11-20T23:13:22.453009 | film_trailers_689 | chunk 7 | prompt_tokens=26090, candidates_tokens=263, total_tokens=26353
2025-11-20T23:13:33.335657 | film_trailers_689 | chunk 8 | prompt_tokens=6563, candidates_tokens=191, total_tokens=6754
2025-11-20T23:13:43.570603 | film_trailers_689 | chunk 9 | prompt_tokens=4890, candidates_tokens=316, total_tokens=5206
2025-11-20T23:13:53.529715 | film_trailers_689 | chunk 10 | prompt_tokens=5431, candidates_tokens=231, total_tokens=5662
2025-11-20T23:14:17.480928 | film_trailers_689 | chunk 11 | prompt_tokens=7462, candidates_tokens=226, total_tokens=7688
2025-11-20T23:14:34.475290 | film_trailers_689 | chunk 12 | prompt_tokens=8211, candidates_tokens=252, total_tokens=8463
2025-11-20T23:14:45.617897 | film_trailers_327 | chunk 0 | prompt_tokens=7054, candidates_tokens=194, total_tokens=7248
2025-11-20T23:14:57.684088 | film_trailers_327 | chunk 1 | prompt_tokens=13380, candidates_tokens=219, total_tokens=13599
2025-11-20T23:15:09.526676 | film_trailers_327 | chunk 2 | prompt_tokens=11299, candidates_tokens=185, total_tokens=11484
2025-11-20T23:15:28.138555 | film_trailers_327 | chunk 3 | prompt_tokens=17883, candidates_tokens=218, total_tokens=18101
2025-11-20T23:15:40.618849 | film_trailers_327 | chunk 4 | prompt_tokens=7903, candidates_tokens=165, total_tokens=8068
2025-11-20T23:15:51.407127 | film_trailers_327 | chunk 5 | prompt_tokens=7387, candidates_tokens=235, total_tokens=7622
2025-11-20T23:15:57.919246 | film_trailers_327 | chunk 6 | prompt_tokens=2834, candidates_tokens=156, total_tokens=2990
2025-11-20T23:16:15.946068 | film_trailers_327 | chunk 7 | prompt_tokens=8311, candidates_tokens=143, total_tokens=8454
2025-11-20T23:16:25.603068 | film_trailers_327 | chunk 8 | prompt_tokens=13613, candidates_tokens=161, total_tokens=13774
2025-11-20T23:16:39.247726 | film_trailers_327 | chunk 9 | prompt_tokens=14254, candidates_tokens=163, total_tokens=14417
2025-11-20T23:16:46.160508 | film_trailers_327 | chunk 10 | prompt_tokens=3783, candidates_tokens=139, total_tokens=3922
2025-11-20T23:16:56.682387 | film_trailers_327 | chunk 11 | prompt_tokens=5764, candidates_tokens=169, total_tokens=5933
