2025-11-21T01:36:30.347661 | expert_interviews_466 | chunk 0 | prompt_tokens=8802, candidates_tokens=214, total_tokens=9016
2025-11-21T01:41:35.118631 | expert_interviews_449 | chunk 5 | prompt_tokens=4582, candidates_tokens=123, total_tokens=4705
2025-11-21T01:43:03.506388 | expert_interviews_449 | chunk 6 | prompt_tokens=12273, candidates_tokens=117, total_tokens=12390
2025-11-21T01:43:12.806082 | expert_interviews_449 | chunk 7 | prompt_tokens=5922, candidates_tokens=106, total_tokens=6028
2025-11-21T01:43:21.116334 | expert_interviews_449 | chunk 8 | prompt_tokens=5198, candidates_tokens=139, total_tokens=5337
2025-11-21T01:43:30.764519 | expert_interviews_449 | chunk 9 | prompt_tokens=10500, candidates_tokens=202, total_tokens=10702
2025-11-21T01:43:41.388479 | expert_interviews_449 | chunk 10 | prompt_tokens=11424, candidates_tokens=124, total_tokens=11548
2025-11-21T01:43:50.614102 | expert_interviews_449 | chunk 11 | prompt_tokens=7953, candidates_tokens=139, total_tokens=8092
2025-11-21T01:44:01.902653 | expert_interviews_449 | chunk 12 | prompt_tokens=10758, candidates_tokens=126, total_tokens=10884
2025-11-21T01:44:08.564570 | expert_interviews_449 | chunk 13 | prompt_tokens=6796, candidates_tokens=139, total_tokens=6935
2025-11-21T01:44:16.004156 | expert_interviews_498 | chunk 0 | prompt_tokens=3941, candidates_tokens=139, total_tokens=4080
2025-11-21T01:44:22.885424 | expert_interviews_498 | chunk 1 | prompt_tokens=6588, candidates_tokens=138, total_tokens=6726
2025-11-21T01:44:29.417523 | expert_interviews_498 | chunk 2 | prompt_tokens=5123, candidates_tokens=195, total_tokens=5318
2025-11-21T01:44:49.250338 | expert_interviews_498 | chunk 3 | prompt_tokens=22078, candidates_tokens=166, total_tokens=22244
2025-11-21T01:44:56.926980 | expert_interviews_498 | chunk 4 | prompt_tokens=3167, candidates_tokens=172, total_tokens=3339
2025-11-21T01:45:02.979645 | expert_interviews_498 | chunk 5 | prompt_tokens=2834, candidates_tokens=148, total_tokens=2982
2025-11-21T01:45:10.438431 | expert_interviews_498 | chunk 6 | prompt_tokens=5764, candidates_tokens=225, total_tokens=5989
2025-11-21T01:45:24.089655 | expert_interviews_498 | chunk 7 | prompt_tokens=15361, candidates_tokens=190, total_tokens=15551
2025-11-21T01:45:33.721458 | expert_interviews_498 | chunk 8 | prompt_tokens=10192, candidates_tokens=181, total_tokens=10373
2025-11-21T01:45:48.890405 | expert_interviews_498 | chunk 9 | prompt_tokens=17059, candidates_tokens=189, total_tokens=17248
2025-11-21T01:45:58.497000 | expert_interviews_498 | chunk 10 | prompt_tokens=10475, candidates_tokens=160, total_tokens=10635
2025-11-21T01:46:08.028861 | expert_interviews_498 | chunk 11 | prompt_tokens=5739, candidates_tokens=131, total_tokens=5870
2025-11-21T01:46:16.588520 | expert_interviews_498 | chunk 12 | prompt_tokens=8827, candidates_tokens=144, total_tokens=8971
2025-11-21T01:46:23.970584 | expert_interviews_498 | chunk 13 | prompt_tokens=3475, candidates_tokens=167, total_tokens=3642
2025-11-21T01:46:35.579640 | expert_interviews_498 | chunk 14 | prompt_tokens=12739, candidates_tokens=156, total_tokens=12895
2025-11-21T01:46:47.714153 | expert_interviews_498 | chunk 15 | prompt_tokens=7953, candidates_tokens=183, total_tokens=8136
2025-11-21T01:46:59.349151 | expert_interviews_498 | chunk 16 | prompt_tokens=19248, candidates_tokens=145, total_tokens=19393
2025-11-21T01:47:09.266228 | expert_interviews_379 | chunk 0 | prompt_tokens=12148, candidates_tokens=283, total_tokens=12431
2025-11-21T01:47:22.034361 | expert_interviews_379 | chunk 1 | prompt_tokens=24442, candidates_tokens=184, total_tokens=24626
2025-11-21T01:47:34.721835 | expert_interviews_379 | chunk 2 | prompt_tokens=19040, candidates_tokens=175, total_tokens=19215
2025-11-21T01:47:49.422426 | expert_interviews_379 | chunk 3 | prompt_tokens=18474, candidates_tokens=144, total_tokens=18618
2025-11-21T01:48:04.853026 | expert_interviews_379 | chunk 4 | prompt_tokens=23543, candidates_tokens=220, total_tokens=23763
2025-11-21T01:48:15.176883 | expert_interviews_379 | chunk 5 | prompt_tokens=11399, candidates_tokens=180, total_tokens=11579
2025-11-21T01:48:22.014489 | expert_interviews_379 | chunk 6 | prompt_tokens=5764, candidates_tokens=149, total_tokens=5913
2025-11-21T01:48:32.489060 | expert_interviews_379 | chunk 7 | prompt_tokens=12198, candidates_tokens=153, total_tokens=12351
2025-11-21T01:48:41.104044 | expert_interviews_379 | chunk 8 | prompt_tokens=6563, candidates_tokens=103, total_tokens=6666
2025-11-21T01:48:55.117599 | expert_interviews_379 | chunk 9 | prompt_tokens=24159, candidates_tokens=165, total_tokens=24324
2025-11-21T01:49:06.799388 | expert_interviews_379 | chunk 10 | prompt_tokens=18474, candidates_tokens=216, total_tokens=18690
2025-11-21T01:49:12.254699 | expert_interviews_149 | chunk 0 | prompt_tokens=3658, candidates_tokens=174, total_tokens=3832
2025-11-21T01:49:19.373379 | expert_interviews_149 | chunk 1 | prompt_tokens=12764, candidates_tokens=186, total_tokens=12950
2025-11-21T01:49:33.460929 | expert_interviews_149 | chunk 2 | prompt_tokens=19273, candidates_tokens=238, total_tokens=19511
2025-11-21T01:49:47.513610 | expert_interviews_149 | chunk 3 | prompt_tokens=16493, candidates_tokens=191, total_tokens=16684
2025-11-21T01:50:03.636299 | expert_interviews_149 | chunk 4 | prompt_tokens=21021, candidates_tokens=238, total_tokens=21259
2025-11-21T01:50:15.207469 | expert_interviews_149 | chunk 5 | prompt_tokens=13380, candidates_tokens=205, total_tokens=13585
2025-11-21T01:50:25.249265 | expert_interviews_149 | chunk 6 | prompt_tokens=9135, candidates_tokens=252, total_tokens=9387
2025-11-21T01:50:33.091550 | expert_interviews_149 | chunk 7 | prompt_tokens=5764, candidates_tokens=248, total_tokens=6012
2025-11-21T01:50:43.447949 | expert_interviews_149 | chunk 8 | prompt_tokens=14512, candidates_tokens=164, total_tokens=14676
2025-11-21T01:50:51.879139 | expert_interviews_149 | chunk 9 | prompt_tokens=3733, candidates_tokens=197, total_tokens=3930
2025-11-21T01:51:03.789676 | expert_interviews_149 | chunk 10 | prompt_tokens=12198, candidates_tokens=157, total_tokens=12355
2025-11-21T01:51:11.886826 | expert_interviews_149 | chunk 11 | prompt_tokens=4349, candidates_tokens=179, total_tokens=4528
2025-11-21T01:51:29.209161 | expert_interviews_149 | chunk 12 | prompt_tokens=24442, candidates_tokens=181, total_tokens=24623
2025-11-21T01:51:42.232885 | expert_interviews_399 | chunk 0 | prompt_tokens=15544, candidates_tokens=191, total_tokens=15735
2025-11-21T01:51:51.642872 | expert_interviews_399 | chunk 1 | prompt_tokens=7928, candidates_tokens=209, total_tokens=8137
2025-11-21T01:52:00.621918 | expert_interviews_399 | chunk 2 | prompt_tokens=9085, candidates_tokens=184, total_tokens=9269
2025-11-21T01:52:11.320984 | expert_interviews_399 | chunk 3 | prompt_tokens=12431, candidates_tokens=154, total_tokens=12585
2025-11-21T01:52:21.101000 | expert_interviews_399 | chunk 4 | prompt_tokens=5406, candidates_tokens=164, total_tokens=5570
2025-11-21T01:52:27.103889 | expert_interviews_399 | chunk 5 | prompt_tokens=6846, candidates_tokens=143, total_tokens=6989
2025-11-21T01:52:36.918016 | expert_interviews_399 | chunk 6 | prompt_tokens=7978, candidates_tokens=158, total_tokens=8136
2025-11-21T01:52:44.153292 | expert_interviews_399 | chunk 7 | prompt_tokens=7928, candidates_tokens=177, total_tokens=8105
2025-11-21T01:52:55.273513 | expert_interviews_399 | chunk 8 | prompt_tokens=18399, candidates_tokens=210, total_tokens=18609
2025-11-21T01:53:06.665568 | expert_interviews_399 | chunk 9 | prompt_tokens=15852, candidates_tokens=362, total_tokens=16214
2025-11-21T01:53:11.946192 | expert_interviews_399 | chunk 10 | prompt_tokens=1469, candidates_tokens=165, total_tokens=1634
2025-11-21T01:53:26.366851 | expert_interviews_11 | chunk 0 | prompt_tokens=20738, candidates_tokens=190, total_tokens=20928
2025-11-21T01:53:33.224573 | expert_interviews_11 | chunk 1 | prompt_tokens=8286, candidates_tokens=199, total_tokens=8485
2025-11-21T01:53:41.456729 | expert_interviews_11 | chunk 2 | prompt_tokens=17908, candidates_tokens=176, total_tokens=18084
2025-11-21T01:53:51.883312 | expert_interviews_11 | chunk 3 | prompt_tokens=6821, candidates_tokens=256, total_tokens=7077
2025-11-21T01:53:59.814670 | expert_interviews_11 | chunk 4 | prompt_tokens=2626, candidates_tokens=239, total_tokens=2865
2025-11-21T01:54:07.737914 | expert_interviews_11 | chunk 5 | prompt_tokens=4632, candidates_tokens=208, total_tokens=4840
2025-11-21T01:54:15.668034 | expert_interviews_11 | chunk 6 | prompt_tokens=9909, candidates_tokens=176, total_tokens=10085
2025-11-21T01:54:25.447827 | expert_interviews_11 | chunk 7 | prompt_tokens=14254, candidates_tokens=229, total_tokens=14483
2025-11-21T01:54:33.544425 | expert_interviews_11 | chunk 8 | prompt_tokens=16185, candidates_tokens=176, total_tokens=16361
2025-11-21T01:54:45.870874 | expert_interviews_11 | chunk 9 | prompt_tokens=16701, candidates_tokens=196, total_tokens=16897
2025-11-21T01:54:57.013140 | expert_interviews_11 | chunk 10 | prompt_tokens=12223, candidates_tokens=241, total_tokens=12464
2025-11-21T01:55:03.525614 | expert_interviews_11 | chunk 11 | prompt_tokens=4840, candidates_tokens=223, total_tokens=5063
2025-11-21T01:55:11.331002 | expert_interviews_11 | chunk 12 | prompt_tokens=8519, candidates_tokens=187, total_tokens=8706
2025-11-21T01:55:23.279698 | expert_interviews_11 | chunk 13 | prompt_tokens=12273, candidates_tokens=225, total_tokens=12498
2025-11-21T01:55:29.965506 | expert_interviews_11 | chunk 14 | prompt_tokens=9959, candidates_tokens=174, total_tokens=10133
2025-11-21T01:55:38.022831 | expert_interviews_288 | chunk 0 | prompt_tokens=8877, candidates_tokens=281, total_tokens=9158
2025-11-21T01:55:52.892937 | expert_interviews_288 | chunk 1 | prompt_tokens=14512, candidates_tokens=463, total_tokens=14975
2025-11-21T01:56:00.348708 | expert_interviews_288 | chunk 2 | prompt_tokens=5997, candidates_tokens=332, total_tokens=6329
2025-11-21T01:56:11.807349 | expert_interviews_288 | chunk 3 | prompt_tokens=17933, candidates_tokens=470, total_tokens=18403
2025-11-21T01:56:22.841861 | expert_interviews_288 | chunk 4 | prompt_tokens=17342, candidates_tokens=220, total_tokens=17562
2025-11-21T01:56:33.181561 | expert_interviews_288 | chunk 5 | prompt_tokens=13613, candidates_tokens=400, total_tokens=14013
2025-11-21T01:56:38.653392 | expert_interviews_288 | chunk 6 | prompt_tokens=2393, candidates_tokens=232, total_tokens=2625
2025-11-21T01:56:47.645752 | expert_interviews_288 | chunk 7 | prompt_tokens=11374, candidates_tokens=176, total_tokens=11550
2025-11-21T01:57:00.180501 | expert_interviews_288 | chunk 8 | prompt_tokens=12764, candidates_tokens=282, total_tokens=13046
2025-11-21T01:57:11.927824 | expert_interviews_288 | chunk 9 | prompt_tokens=15877, candidates_tokens=527, total_tokens=16404
2025-11-21T01:57:26.081004 | expert_interviews_288 | chunk 10 | prompt_tokens=16443, candidates_tokens=616, total_tokens=17059
2025-11-21T01:57:34.929573 | expert_interviews_288 | chunk 11 | prompt_tokens=8852, candidates_tokens=304, total_tokens=9156
2025-11-21T01:57:44.793780 | expert_interviews_288 | chunk 12 | prompt_tokens=14512, candidates_tokens=184, total_tokens=14696
2025-11-21T01:57:55.067644 | expert_interviews_288 | chunk 13 | prompt_tokens=9085, candidates_tokens=269, total_tokens=9354
2025-11-21T01:58:04.265446 | expert_interviews_288 | chunk 14 | prompt_tokens=7745, candidates_tokens=273, total_tokens=8018
2025-11-21T01:58:10.296446 | expert_interviews_396 | chunk 0 | prompt_tokens=2501, candidates_tokens=163, total_tokens=2664
2025-11-21T01:58:20.302952 | expert_interviews_396 | chunk 1 | prompt_tokens=12764, candidates_tokens=166, total_tokens=12930
2025-11-21T01:58:27.046911 | expert_interviews_396 | chunk 2 | prompt_tokens=4349, candidates_tokens=151, total_tokens=4500
2025-11-21T01:58:34.335313 | expert_interviews_396 | chunk 3 | prompt_tokens=4915, candidates_tokens=175, total_tokens=5090
2025-11-21T01:58:45.688648 | expert_interviews_396 | chunk 4 | prompt_tokens=20455, candidates_tokens=152, total_tokens=20607
2025-11-21T01:58:56.633662 | expert_interviews_396 | chunk 5 | prompt_tokens=20480, candidates_tokens=158, total_tokens=20638
2025-11-21T01:59:05.517069 | expert_interviews_396 | chunk 6 | prompt_tokens=18499, candidates_tokens=167, total_tokens=18666
2025-11-21T01:59:15.519426 | expert_interviews_396 | chunk 7 | prompt_tokens=18191, candidates_tokens=166, total_tokens=18357
2025-11-21T01:59:24.198446 | expert_interviews_396 | chunk 8 | prompt_tokens=6280, candidates_tokens=185, total_tokens=6465
2025-11-21T01:59:33.258084 | expert_interviews_396 | chunk 9 | prompt_tokens=22694, candidates_tokens=168, total_tokens=22862
2025-11-21T01:59:41.798246 | expert_interviews_396 | chunk 10 | prompt_tokens=18424, candidates_tokens=193, total_tokens=18617
2025-11-21T01:59:49.830711 | expert_interviews_396 | chunk 11 | prompt_tokens=8028, candidates_tokens=143, total_tokens=8171
2025-11-21T02:00:01.626613 | expert_interviews_447 | chunk 0 | prompt_tokens=18141, candidates_tokens=219, total_tokens=18360
2025-11-21T02:00:08.554030 | expert_interviews_447 | chunk 1 | prompt_tokens=3658, candidates_tokens=101, total_tokens=3759
2025-11-21T02:00:16.812277 | expert_interviews_447 | chunk 2 | prompt_tokens=7878, candidates_tokens=190, total_tokens=8068
2025-11-21T02:00:25.729278 | expert_interviews_447 | chunk 3 | prompt_tokens=11274, candidates_tokens=197, total_tokens=11471
2025-11-21T02:00:34.991899 | expert_interviews_447 | chunk 4 | prompt_tokens=6538, candidates_tokens=152, total_tokens=6690
2025-11-21T02:00:43.759699 | expert_interviews_447 | chunk 5 | prompt_tokens=4557, candidates_tokens=231, total_tokens=4788
2025-11-21T02:00:54.882993 | expert_interviews_447 | chunk 6 | prompt_tokens=10833, candidates_tokens=196, total_tokens=11029
2025-11-21T02:01:05.477057 | expert_interviews_447 | chunk 7 | prompt_tokens=18091, candidates_tokens=179, total_tokens=18270
2025-11-21T02:01:11.677456 | expert_interviews_447 | chunk 8 | prompt_tokens=2859, candidates_tokens=186, total_tokens=3045
2025-11-21T02:01:19.598935 | expert_interviews_447 | chunk 9 | prompt_tokens=8752, candidates_tokens=206, total_tokens=8958
2025-11-21T02:01:32.557501 | expert_interviews_447 | chunk 10 | prompt_tokens=17317, candidates_tokens=194, total_tokens=17511
2025-11-21T02:01:40.505164 | expert_interviews_447 | chunk 11 | prompt_tokens=8261, candidates_tokens=191, total_tokens=8452
2025-11-21T02:01:48.393340 | expert_interviews_447 | chunk 12 | prompt_tokens=8469, candidates_tokens=142, total_tokens=8611
2025-11-21T02:01:57.118481 | expert_interviews_447 | chunk 13 | prompt_tokens=8494, candidates_tokens=139, total_tokens=8633
2025-11-21T02:02:10.559234 | expert_interviews_447 | chunk 14 | prompt_tokens=11607, candidates_tokens=155, total_tokens=11762
2025-11-21T02:02:21.456021 | expert_interviews_447 | chunk 15 | prompt_tokens=19814, candidates_tokens=219, total_tokens=20033
2025-11-21T02:02:28.859862 | expert_interviews_179 | chunk 0 | prompt_tokens=5639, candidates_tokens=239, total_tokens=5878
2025-11-21T02:02:38.231333 | expert_interviews_179 | chunk 1 | prompt_tokens=7745, candidates_tokens=156, total_tokens=7901
2025-11-21T02:02:44.800524 | expert_interviews_179 | chunk 2 | prompt_tokens=3400, candidates_tokens=139, total_tokens=3539
2025-11-21T02:02:52.715972 | expert_interviews_179 | chunk 3 | prompt_tokens=6538, candidates_tokens=214, total_tokens=6752
2025-11-21T02:03:02.530998 | expert_interviews_179 | chunk 4 | prompt_tokens=10525, candidates_tokens=177, total_tokens=10702
2025-11-21T02:03:09.977022 | expert_interviews_179 | chunk 5 | prompt_tokens=5406, candidates_tokens=171, total_tokens=5577
2025-11-21T02:03:27.472699 | expert_interviews_179 | chunk 6 | prompt_tokens=9418, candidates_tokens=208, total_tokens=9626
2025-11-21T02:03:35.501800 | expert_interviews_179 | chunk 7 | prompt_tokens=7978, candidates_tokens=230, total_tokens=8208
2025-11-21T02:03:46.487880 | expert_interviews_179 | chunk 8 | prompt_tokens=9393, candidates_tokens=178, total_tokens=9571
2025-11-21T02:03:58.320244 | expert_interviews_179 | chunk 9 | prompt_tokens=19864, candidates_tokens=239, total_tokens=20103
2025-11-21T02:04:03.961744 | expert_interviews_179 | chunk 10 | prompt_tokens=3733, candidates_tokens=164, total_tokens=3897
2025-11-21T02:04:12.208939 | expert_interviews_179 | chunk 11 | prompt_tokens=17034, candidates_tokens=201, total_tokens=17235
2025-11-21T02:04:19.720836 | expert_interviews_179 | chunk 12 | prompt_tokens=12273, candidates_tokens=193, total_tokens=12466
2025-11-21T02:04:28.808455 | expert_interviews_179 | chunk 13 | prompt_tokens=7412, candidates_tokens=204, total_tokens=7616
2025-11-21T02:04:35.889096 | expert_interviews_179 | chunk 14 | prompt_tokens=9060, candidates_tokens=225, total_tokens=9285
2025-11-21T02:04:43.261658 | expert_interviews_179 | chunk 15 | prompt_tokens=3733, candidates_tokens=234, total_tokens=3967
2025-11-21T02:04:54.092866 | expert_interviews_162 | chunk 0 | prompt_tokens=13280, candidates_tokens=273, total_tokens=13553
2025-11-21T02:05:04.570494 | expert_interviews_162 | chunk 1 | prompt_tokens=6513, candidates_tokens=255, total_tokens=6768
2025-11-21T02:05:13.930117 | expert_interviews_162 | chunk 2 | prompt_tokens=13563, candidates_tokens=201, total_tokens=13764
2025-11-21T02:05:19.433095 | expert_interviews_162 | chunk 3 | prompt_tokens=3708, candidates_tokens=207, total_tokens=3915
2025-11-21T02:05:24.951067 | expert_interviews_162 | chunk 4 | prompt_tokens=3425, candidates_tokens=184, total_tokens=3609
2025-11-21T02:05:34.227158 | expert_interviews_162 | chunk 5 | prompt_tokens=5073, candidates_tokens=232, total_tokens=5305
2025-11-21T02:05:44.792844 | expert_interviews_162 | chunk 6 | prompt_tokens=10167, candidates_tokens=245, total_tokens=10412
2025-11-21T02:05:55.471437 | expert_interviews_162 | chunk 7 | prompt_tokens=14179, candidates_tokens=233, total_tokens=14412
2025-11-21T02:06:03.719275 | expert_interviews_162 | chunk 8 | prompt_tokens=17342, candidates_tokens=228, total_tokens=17570
2025-11-21T02:06:13.371829 | expert_interviews_162 | chunk 9 | prompt_tokens=18449, candidates_tokens=233, total_tokens=18682
2025-11-21T02:06:21.042487 | expert_interviews_162 | chunk 10 | prompt_tokens=3683, candidates_tokens=182, total_tokens=3865
2025-11-21T02:06:29.789492 | expert_interviews_162 | chunk 11 | prompt_tokens=6230, candidates_tokens=163, total_tokens=6393
2025-11-21T02:06:39.215265 | expert_interviews_162 | chunk 12 | prompt_tokens=6280, candidates_tokens=251, total_tokens=6531
2025-11-21T02:06:47.060776 | expert_interviews_162 | chunk 13 | prompt_tokens=9135, candidates_tokens=190, total_tokens=9325
2025-11-21T02:06:58.929044 | expert_interviews_348 | chunk 0 | prompt_tokens=17808, candidates_tokens=262, total_tokens=18070
2025-11-21T02:07:07.005927 | expert_interviews_348 | chunk 1 | prompt_tokens=4607, candidates_tokens=169, total_tokens=4776
2025-11-21T02:07:15.649616 | expert_interviews_348 | chunk 2 | prompt_tokens=10575, candidates_tokens=124, total_tokens=10699
2025-11-21T02:07:25.640711 | expert_interviews_348 | chunk 3 | prompt_tokens=7462, candidates_tokens=163, total_tokens=7625
2025-11-21T02:07:33.706718 | expert_interviews_348 | chunk 4 | prompt_tokens=6305, candidates_tokens=150, total_tokens=6455
2025-11-21T02:07:43.870279 | expert_interviews_348 | chunk 5 | prompt_tokens=7903, candidates_tokens=270, total_tokens=8173
2025-11-21T02:07:50.222721 | expert_interviews_348 | chunk 6 | prompt_tokens=4532, candidates_tokens=136, total_tokens=4668
2025-11-21T02:08:01.603388 | expert_interviews_348 | chunk 7 | prompt_tokens=9443, candidates_tokens=187, total_tokens=9630
2025-11-21T02:08:09.386447 | expert_interviews_348 | chunk 8 | prompt_tokens=6230, candidates_tokens=164, total_tokens=6394
2025-11-21T02:08:15.715864 | expert_interviews_348 | chunk 9 | prompt_tokens=2268, candidates_tokens=172, total_tokens=2440
2025-11-21T02:08:22.874481 | expert_interviews_348 | chunk 10 | prompt_tokens=7412, candidates_tokens=167, total_tokens=7579
2025-11-21T02:08:30.787975 | expert_interviews_348 | chunk 11 | prompt_tokens=8877, candidates_tokens=183, total_tokens=9060
2025-11-21T02:08:38.355864 | expert_interviews_348 | chunk 12 | prompt_tokens=16518, candidates_tokens=173, total_tokens=16691
2025-11-21T02:08:49.516876 | expert_interviews_348 | chunk 13 | prompt_tokens=19914, candidates_tokens=178, total_tokens=20092
2025-11-21T02:08:57.816874 | expert_interviews_227 | chunk 0 | prompt_tokens=11865, candidates_tokens=242, total_tokens=12107
2025-11-21T02:09:05.074951 | expert_interviews_227 | chunk 1 | prompt_tokens=7462, candidates_tokens=247, total_tokens=7709
2025-11-21T02:09:17.421750 | expert_interviews_227 | chunk 2 | prompt_tokens=8053, candidates_tokens=231, total_tokens=8284
2025-11-21T02:09:26.799468 | expert_interviews_227 | chunk 3 | prompt_tokens=4840, candidates_tokens=202, total_tokens=5042
2025-11-21T02:09:37.720260 | expert_interviews_227 | chunk 4 | prompt_tokens=13022, candidates_tokens=247, total_tokens=13269
2025-11-21T02:09:42.589139 | expert_interviews_227 | chunk 5 | prompt_tokens=1469, candidates_tokens=179, total_tokens=1648
2025-11-21T02:09:58.594123 | expert_interviews_227 | chunk 6 | prompt_tokens=24159, candidates_tokens=229, total_tokens=24388
2025-11-21T02:10:11.215516 | expert_interviews_227 | chunk 7 | prompt_tokens=10858, candidates_tokens=325, total_tokens=11183
2025-11-21T02:10:22.788281 | expert_interviews_227 | chunk 8 | prompt_tokens=15003, candidates_tokens=193, total_tokens=15196
2025-11-21T02:10:31.218744 | expert_interviews_227 | chunk 9 | prompt_tokens=6588, candidates_tokens=198, total_tokens=6786
2025-11-21T02:10:39.128885 | expert_interviews_227 | chunk 10 | prompt_tokens=10783, candidates_tokens=197, total_tokens=10980
2025-11-21T02:10:47.845812 | expert_interviews_227 | chunk 11 | prompt_tokens=6230, candidates_tokens=247, total_tokens=6477
2025-11-21T02:10:59.333260 | expert_interviews_509 | chunk 0 | prompt_tokens=23185, candidates_tokens=325, total_tokens=23510
2025-11-21T02:11:08.942831 | expert_interviews_509 | chunk 1 | prompt_tokens=10009, candidates_tokens=250, total_tokens=10259
2025-11-21T02:11:20.603661 | expert_interviews_509 | chunk 2 | prompt_tokens=9160, candidates_tokens=350, total_tokens=9510
2025-11-21T02:11:29.287229 | expert_interviews_509 | chunk 3 | prompt_tokens=9934, candidates_tokens=296, total_tokens=10230
2025-11-21T02:11:42.199284 | expert_interviews_509 | chunk 4 | prompt_tokens=10575, candidates_tokens=401, total_tokens=10976
2025-11-21T02:11:53.118471 | expert_interviews_509 | chunk 5 | prompt_tokens=5381, candidates_tokens=326, total_tokens=5707
2025-11-21T02:12:06.792115 | expert_interviews_509 | chunk 6 | prompt_tokens=17342, candidates_tokens=263, total_tokens=17605
2025-11-21T02:12:19.526731 | expert_interviews_509 | chunk 7 | prompt_tokens=10600, candidates_tokens=281, total_tokens=10881
2025-11-21T02:12:36.241478 | expert_interviews_509 | chunk 8 | prompt_tokens=15336, candidates_tokens=392, total_tokens=15728
2025-11-21T02:12:49.270145 | expert_interviews_509 | chunk 9 | prompt_tokens=7387, candidates_tokens=299, total_tokens=7686
2025-11-21T02:12:58.528195 | expert_interviews_509 | chunk 10 | prompt_tokens=5098, candidates_tokens=320, total_tokens=5418
2025-11-21T02:13:09.732890 | expert_interviews_509 | chunk 11 | prompt_tokens=12223, candidates_tokens=293, total_tokens=12516
2025-11-21T02:13:18.082638 | expert_interviews_509 | chunk 12 | prompt_tokens=2576, candidates_tokens=245, total_tokens=2821
2025-11-21T02:13:31.856198 | expert_interviews_509 | chunk 13 | prompt_tokens=11091, candidates_tokens=171, total_tokens=11262
2025-11-21T02:13:46.197423 | expert_interviews_509 | chunk 14 | prompt_tokens=13638, candidates_tokens=426, total_tokens=14064
2025-11-21T02:13:54.551903 | expert_interviews_509 | chunk 15 | prompt_tokens=12764, candidates_tokens=217, total_tokens=12981
2025-11-21T02:14:01.117279 | expert_interviews_482 | chunk 0 | prompt_tokens=3375, candidates_tokens=167, total_tokens=3542
2025-11-21T02:14:07.640865 | expert_interviews_126 | chunk 0 | prompt_tokens=1960, candidates_tokens=163, total_tokens=2123
2025-11-21T02:14:16.719476 | expert_interviews_126 | chunk 1 | prompt_tokens=8236, candidates_tokens=209, total_tokens=8445
2025-11-21T02:14:33.340825 | expert_interviews_126 | chunk 2 | prompt_tokens=23285, candidates_tokens=229, total_tokens=23514
2025-11-21T02:14:39.851676 | expert_interviews_126 | chunk 3 | prompt_tokens=8519, candidates_tokens=195, total_tokens=8714
2025-11-21T02:14:47.925781 | expert_interviews_126 | chunk 4 | prompt_tokens=16235, candidates_tokens=216, total_tokens=16451
2025-11-21T02:14:57.805892 | expert_interviews_126 | chunk 5 | prompt_tokens=11374, candidates_tokens=187, total_tokens=11561
