2025-11-21T18:24:19.561377 | physics_410 | chunk 0 | prompt_tokens=11166, candidates_tokens=139, total_tokens=11515
2025-11-21T18:55:09.952400 | physics_427 | chunk 6 | prompt_tokens=8877, candidates_tokens=451, total_tokens=10091
2025-11-21T18:55:30.371037 | physics_427 | chunk 7 | prompt_tokens=7462, candidates_tokens=311, total_tokens=8892
2025-11-21T18:55:53.412385 | physics_427 | chunk 8 | prompt_tokens=11141, candidates_tokens=457, total_tokens=12386
2025-11-21T18:56:20.748552 | physics_427 | chunk 9 | prompt_tokens=19298, candidates_tokens=250, total_tokens=19904
2025-11-21T18:56:41.937139 | physics_11 | chunk 0 | prompt_tokens=10758, candidates_tokens=186, total_tokens=11401
2025-11-21T18:57:12.131842 | physics_11 | chunk 2 | prompt_tokens=21562, candidates_tokens=74, total_tokens=21862
2025-11-21T18:57:53.560442 | physics_11 | chunk 3 | prompt_tokens=28687, candidates_tokens=156, total_tokens=29254
2025-11-21T18:58:20.984978 | physics_11 | chunk 4 | prompt_tokens=18122, candidates_tokens=161, total_tokens=19595
2025-11-21T18:58:42.563141 | physics_11 | chunk 5 | prompt_tokens=9443, candidates_tokens=172, total_tokens=9938
2025-11-21T18:58:53.278989 | physics_11 | chunk 6 | prompt_tokens=2035, candidates_tokens=138, total_tokens=2531
2025-11-21T18:59:09.250297 | physics_11 | chunk 7 | prompt_tokens=7670, candidates_tokens=109, total_tokens=7880
2025-11-21T18:59:50.042156 | physics_11 | chunk 8 | prompt_tokens=25757, candidates_tokens=318, total_tokens=26572
2025-11-21T19:00:14.891163 | physics_11 | chunk 9 | prompt_tokens=8028, candidates_tokens=197, total_tokens=8885
2025-11-21T19:00:50.852847 | physics_11 | chunk 10 | prompt_tokens=24675, candidates_tokens=208, total_tokens=25407
2025-11-21T19:01:08.485633 | physics_461 | chunk 0 | prompt_tokens=6488, candidates_tokens=167, total_tokens=7117
2025-11-21T19:01:21.205755 | physics_461 | chunk 1 | prompt_tokens=7978, candidates_tokens=173, total_tokens=8438
2025-11-21T19:01:31.813372 | physics_461 | chunk 2 | prompt_tokens=3167, candidates_tokens=197, total_tokens=3849
2025-11-21T19:01:44.872932 | physics_461 | chunk 3 | prompt_tokens=8975, candidates_tokens=195, total_tokens=9752
2025-11-21T19:02:00.176047 | physics_461 | chunk 4 | prompt_tokens=4532, candidates_tokens=180, total_tokens=4938
2025-11-21T19:02:29.197790 | physics_461 | chunk 5 | prompt_tokens=17550, candidates_tokens=605, total_tokens=19725
2025-11-21T19:02:49.895095 | physics_461 | chunk 6 | prompt_tokens=8385, candidates_tokens=451, total_tokens=9746
2025-11-21T19:03:03.628473 | physics_461 | chunk 7 | prompt_tokens=5198, candidates_tokens=270, total_tokens=5889
2025-11-21T19:03:21.747356 | physics_461 | chunk 8 | prompt_tokens=7204, candidates_tokens=343, total_tokens=8244
2025-11-21T19:03:37.429378 | physics_461 | chunk 9 | prompt_tokens=6889, candidates_tokens=418, total_tokens=8013
2025-11-21T19:04:05.381082 | physics_461 | chunk 10 | prompt_tokens=16645, candidates_tokens=742, total_tokens=18516
2025-11-21T19:04:36.890207 | physics_461 | chunk 11 | prompt_tokens=24159, candidates_tokens=344, total_tokens=25611
2025-11-21T19:04:57.866100 | physics_74 | chunk 0 | prompt_tokens=22078, candidates_tokens=418, total_tokens=22959
2025-11-21T19:05:09.648101 | physics_74 | chunk 1 | prompt_tokens=9135, candidates_tokens=194, total_tokens=9751
2025-11-21T19:05:27.977046 | physics_74 | chunk 2 | prompt_tokens=15128, candidates_tokens=253, total_tokens=16297
2025-11-21T19:05:46.085686 | physics_74 | chunk 3 | prompt_tokens=10167, candidates_tokens=363, total_tokens=11189
2025-11-21T19:06:03.465669 | physics_74 | chunk 4 | prompt_tokens=7154, candidates_tokens=263, total_tokens=8126
2025-11-21T19:06:17.449784 | physics_74 | chunk 5 | prompt_tokens=9701, candidates_tokens=181, total_tokens=10451
2025-11-21T19:06:31.426049 | physics_74 | chunk 6 | prompt_tokens=10217, candidates_tokens=235, total_tokens=10774
2025-11-21T19:06:48.923888 | physics_74 | chunk 7 | prompt_tokens=13122, candidates_tokens=189, total_tokens=13625
2025-11-21T19:07:03.799038 | physics_74 | chunk 8 | prompt_tokens=6588, candidates_tokens=218, total_tokens=7240
2025-11-21T19:07:13.171629 | physics_74 | chunk 9 | prompt_tokens=7670, candidates_tokens=158, total_tokens=7981
2025-11-21T19:07:27.804068 | physics_74 | chunk 10 | prompt_tokens=7745, candidates_tokens=242, total_tokens=8765
2025-11-21T19:07:51.923340 | physics_74 | chunk 12 | prompt_tokens=1301, candidates_tokens=378, total_tokens=3254
2025-11-21T19:08:07.440729 | physics_480 | chunk 0 | prompt_tokens=11865, candidates_tokens=408, total_tokens=12893
2025-11-21T19:08:23.077985 | physics_480 | chunk 1 | prompt_tokens=10009, candidates_tokens=480, total_tokens=11137
2025-11-21T19:08:35.873298 | physics_480 | chunk 2 | prompt_tokens=4607, candidates_tokens=355, total_tokens=5426
2025-11-21T19:08:55.434393 | physics_480 | chunk 3 | prompt_tokens=9884, candidates_tokens=482, total_tokens=11330
2025-11-21T19:09:17.161349 | physics_480 | chunk 4 | prompt_tokens=7783, candidates_tokens=275, total_tokens=8385
2025-11-21T19:09:28.039008 | physics_480 | chunk 5 | prompt_tokens=3991, candidates_tokens=259, total_tokens=4610
2025-11-21T19:09:45.897546 | physics_480 | chunk 6 | prompt_tokens=11374, candidates_tokens=435, total_tokens=12283
2025-11-21T19:10:03.908262 | physics_480 | chunk 7 | prompt_tokens=6280, candidates_tokens=393, total_tokens=7720
2025-11-21T19:10:20.678885 | physics_480 | chunk 8 | prompt_tokens=9626, candidates_tokens=256, total_tokens=10527
2025-11-21T19:10:35.645306 | physics_480 | chunk 9 | prompt_tokens=10500, candidates_tokens=419, total_tokens=11447
2025-11-21T19:10:52.438016 | physics_480 | chunk 10 | prompt_tokens=8311, candidates_tokens=428, total_tokens=9491
2025-11-21T19:11:08.619352 | physics_480 | chunk 11 | prompt_tokens=9110, candidates_tokens=372, total_tokens=9915
2025-11-21T19:11:56.564931 | physics_480 | chunk 12 | prompt_tokens=22053, candidates_tokens=366, total_tokens=23558
2025-11-21T19:12:22.586895 | physics_480 | chunk 13 | prompt_tokens=17600, candidates_tokens=397, total_tokens=18504
2025-11-21T19:12:36.944548 | physics_480 | chunk 14 | prompt_tokens=7695, candidates_tokens=379, total_tokens=8623
2025-11-21T19:13:09.199007 | physics_579 | chunk 0 | prompt_tokens=16701, candidates_tokens=280, total_tokens=17528
2025-11-21T19:13:55.672279 | physics_579 | chunk 1 | prompt_tokens=24290, candidates_tokens=294, total_tokens=25767
2025-11-21T19:14:18.751078 | physics_579 | chunk 2 | prompt_tokens=12764, candidates_tokens=383, total_tokens=14256
2025-11-21T19:14:31.000513 | physics_579 | chunk 3 | prompt_tokens=5997, candidates_tokens=136, total_tokens=6366
2025-11-21T19:14:54.006584 | physics_579 | chunk 4 | prompt_tokens=22902, candidates_tokens=166, total_tokens=23323
2025-11-21T19:15:24.967232 | physics_579 | chunk 5 | prompt_tokens=17535, candidates_tokens=266, total_tokens=18632
2025-11-21T19:15:55.875159 | physics_579 | chunk 6 | prompt_tokens=20122, candidates_tokens=396, total_tokens=21392
2025-11-21T19:16:18.944605 | physics_579 | chunk 7 | prompt_tokens=8802, candidates_tokens=230, total_tokens=9224
2025-11-21T19:16:42.616970 | physics_156 | chunk 0 | prompt_tokens=18374, candidates_tokens=235, total_tokens=19241
2025-11-21T19:16:58.270684 | physics_156 | chunk 1 | prompt_tokens=9651, candidates_tokens=143, total_tokens=9958
2025-11-21T19:17:11.596985 | physics_156 | chunk 2 | prompt_tokens=4840, candidates_tokens=215, total_tokens=5377
2025-11-21T19:17:20.095899 | physics_156 | chunk 3 | prompt_tokens=2268, candidates_tokens=236, total_tokens=2815
2025-11-21T19:17:39.476035 | physics_156 | chunk 4 | prompt_tokens=10242, candidates_tokens=229, total_tokens=11249
2025-11-21T19:17:53.415185 | physics_156 | chunk 5 | prompt_tokens=5481, candidates_tokens=240, total_tokens=6428
2025-11-21T19:18:13.652805 | physics_156 | chunk 6 | prompt_tokens=11019, candidates_tokens=198, total_tokens=11622
2025-11-21T19:18:29.053811 | physics_156 | chunk 7 | prompt_tokens=11915, candidates_tokens=239, total_tokens=12524
2025-11-21T19:18:45.113734 | physics_156 | chunk 8 | prompt_tokens=8877, candidates_tokens=288, total_tokens=9587
2025-11-21T19:19:27.555394 | physics_156 | chunk 9 | prompt_tokens=19323, candidates_tokens=275, total_tokens=20533
2025-11-21T19:19:49.762630 | physics_156 | chunk 10 | prompt_tokens=18757, candidates_tokens=177, total_tokens=19248
2025-11-21T19:20:03.819989 | physics_156 | chunk 11 | prompt_tokens=4557, candidates_tokens=205, total_tokens=5031
2025-11-21T19:20:18.333269 | physics_364 | chunk 0 | prompt_tokens=6002, candidates_tokens=162, total_tokens=6394
2025-11-21T19:20:48.543995 | physics_364 | chunk 1 | prompt_tokens=18474, candidates_tokens=482, total_tokens=20443
2025-11-21T19:21:10.329264 | physics_364 | chunk 2 | prompt_tokens=17908, candidates_tokens=318, total_tokens=19077
2025-11-21T19:21:20.392767 | physics_364 | chunk 3 | prompt_tokens=7104, candidates_tokens=124, total_tokens=7406
2025-11-21T19:21:40.482095 | physics_364 | chunk 4 | prompt_tokens=15669, candidates_tokens=499, total_tokens=16515
2025-11-21T19:22:09.406575 | physics_364 | chunk 5 | prompt_tokens=24109, candidates_tokens=468, total_tokens=25924
2025-11-21T19:22:31.542910 | physics_364 | chunk 6 | prompt_tokens=26939, candidates_tokens=164, total_tokens=27506
2025-11-21T19:22:36.796882 | physics_364 | chunk 7 | prompt_tokens=387, candidates_tokens=94, total_tokens=628
2025-11-21T19:23:05.075325 | physics_496 | chunk 0 | prompt_tokens=17242, candidates_tokens=31, total_tokens=17405
2025-11-21T19:23:45.620113 | physics_496 | chunk 1 | prompt_tokens=21612, candidates_tokens=388, total_tokens=23063
2025-11-21T19:24:02.525305 | physics_496 | chunk 2 | prompt_tokens=4915, candidates_tokens=139, total_tokens=5436
2025-11-21T19:24:15.945129 | physics_496 | chunk 3 | prompt_tokens=7104, candidates_tokens=323, total_tokens=7913
2025-11-21T19:24:41.043321 | physics_496 | chunk 4 | prompt_tokens=16776, candidates_tokens=322, total_tokens=18214
2025-11-21T19:24:59.368126 | physics_496 | chunk 5 | prompt_tokens=9035, candidates_tokens=272, total_tokens=10013
2025-11-21T19:25:22.834128 | physics_496 | chunk 6 | prompt_tokens=9160, candidates_tokens=345, total_tokens=10781
2025-11-21T19:25:49.447891 | physics_496 | chunk 7 | prompt_tokens=13688, candidates_tokens=271, total_tokens=14350
2025-11-21T19:26:07.252246 | physics_496 | chunk 8 | prompt_tokens=7079, candidates_tokens=213, total_tokens=7683
2025-11-21T19:27:05.618983 | physics_496 | chunk 9 | prompt_tokens=19040, candidates_tokens=404, total_tokens=20749
2025-11-21T19:27:20.198210 | physics_496 | chunk 10 | prompt_tokens=3991, candidates_tokens=232, total_tokens=4547
2025-11-21T19:27:48.913815 | physics_353 | chunk 0 | prompt_tokens=15852, candidates_tokens=398, total_tokens=17069
2025-11-21T19:27:59.428276 | physics_353 | chunk 1 | prompt_tokens=4582, candidates_tokens=143, total_tokens=4980
2025-11-21T19:28:19.182748 | physics_353 | chunk 2 | prompt_tokens=8081, candidates_tokens=188, total_tokens=8539
2025-11-21T19:28:41.326061 | physics_353 | chunk 3 | prompt_tokens=12493, candidates_tokens=327, total_tokens=14215
2025-11-21T19:29:08.214117 | physics_353 | chunk 4 | prompt_tokens=25194, candidates_tokens=325, total_tokens=26384
2025-11-21T19:29:30.087796 | physics_353 | chunk 5 | prompt_tokens=11926, candidates_tokens=271, total_tokens=12785
2025-11-21T19:29:48.216084 | physics_353 | chunk 6 | prompt_tokens=16468, candidates_tokens=298, total_tokens=17248
2025-11-21T19:30:14.218133 | physics_353 | chunk 7 | prompt_tokens=29536, candidates_tokens=341, total_tokens=30276
2025-11-21T19:30:26.994752 | physics_353 | chunk 8 | prompt_tokens=1186, candidates_tokens=339, total_tokens=2398
2025-11-21T19:30:38.753678 | physics_353 | chunk 9 | prompt_tokens=5456, candidates_tokens=285, total_tokens=6136
2025-11-21T19:30:52.460181 | physics_353 | chunk 10 | prompt_tokens=8827, candidates_tokens=200, total_tokens=9284
2025-11-21T19:31:18.795853 | physics_353 | chunk 11 | prompt_tokens=12556, candidates_tokens=236, total_tokens=13429
2025-11-21T19:31:33.635188 | physics_353 | chunk 12 | prompt_tokens=8211, candidates_tokens=189, total_tokens=8791
2025-11-21T19:31:52.991572 | physics_333 | chunk 0 | prompt_tokens=8211, candidates_tokens=117, total_tokens=8527
2025-11-21T19:32:16.435337 | physics_333 | chunk 1 | prompt_tokens=13355, candidates_tokens=135, total_tokens=13855
2025-11-21T19:32:27.716054 | physics_333 | chunk 2 | prompt_tokens=5481, candidates_tokens=102, total_tokens=5635
2025-11-21T19:32:39.838589 | physics_333 | chunk 3 | prompt_tokens=3192, candidates_tokens=122, total_tokens=3591
2025-11-21T19:33:18.506634 | physics_333 | chunk 4 | prompt_tokens=24883, candidates_tokens=190, total_tokens=25359
2025-11-21T19:33:45.043575 | physics_333 | chunk 5 | prompt_tokens=14260, candidates_tokens=202, total_tokens=15136
2025-11-21T19:34:08.343762 | physics_333 | chunk 6 | prompt_tokens=11613, candidates_tokens=183, total_tokens=12356
2025-11-21T19:34:25.350903 | physics_333 | chunk 7 | prompt_tokens=9085, candidates_tokens=170, total_tokens=9687
2025-11-21T19:34:42.187606 | physics_333 | chunk 8 | prompt_tokens=6301, candidates_tokens=238, total_tokens=6845
2025-11-21T19:34:58.194772 | physics_333 | chunk 9 | prompt_tokens=6028, candidates_tokens=224, total_tokens=6503
2025-11-21T19:35:25.099119 | physics_333 | chunk 10 | prompt_tokens=15336, candidates_tokens=365, total_tokens=16073
2025-11-21T19:35:49.208372 | physics_333 | chunk 11 | prompt_tokens=13022, candidates_tokens=383, total_tokens=13829
2025-11-21T19:36:12.819416 | physics_333 | chunk 12 | prompt_tokens=10242, candidates_tokens=296, total_tokens=11274
2025-11-21T19:36:46.410735 | physics_333 | chunk 13 | prompt_tokens=19914, candidates_tokens=325, total_tokens=21845
2025-11-21T19:37:19.981958 | physics_415 | chunk 0 | prompt_tokens=17808, candidates_tokens=236, total_tokens=18350
2025-11-21T19:38:04.193116 | physics_415 | chunk 1 | prompt_tokens=18191, candidates_tokens=418, total_tokens=19187
2025-11-21T19:38:57.971395 | physics_415 | chunk 2 | prompt_tokens=26383, candidates_tokens=584, total_tokens=27760
2025-11-21T19:39:45.649230 | physics_415 | chunk 3 | prompt_tokens=19889, candidates_tokens=400, total_tokens=21122
2025-11-21T19:40:32.384610 | physics_415 | chunk 4 | prompt_tokens=13871, candidates_tokens=193, total_tokens=14389
2025-11-21T19:41:23.916823 | physics_415 | chunk 5 | prompt_tokens=16418, candidates_tokens=226, total_tokens=17135
2025-11-21T19:41:58.734639 | physics_415 | chunk 6 | prompt_tokens=12556, candidates_tokens=285, total_tokens=13646
2025-11-21T19:42:55.697730 | physics_415 | chunk 7 | prompt_tokens=18682, candidates_tokens=261, total_tokens=19271
