2025-11-20T23:17:07.486926 | biology_39 | chunk 0 | prompt_tokens=7337, candidates_tokens=159, total_tokens=7496
2025-11-20T23:51:43.445902 | biology_139 | chunk 5 | prompt_tokens=11424, candidates_tokens=185, total_tokens=11609
2025-11-20T23:51:50.554395 | biology_139 | chunk 6 | prompt_tokens=10808, candidates_tokens=214, total_tokens=11022
2025-11-20T23:52:01.843199 | biology_139 | chunk 7 | prompt_tokens=17858, candidates_tokens=183, total_tokens=18041
2025-11-20T23:52:13.476025 | biology_139 | chunk 8 | prompt_tokens=21612, candidates_tokens=228, total_tokens=21840
2025-11-20T23:52:21.880996 | biology_139 | chunk 9 | prompt_tokens=8494, candidates_tokens=168, total_tokens=8662
2025-11-20T23:52:28.730485 | biology_139 | chunk 10 | prompt_tokens=9676, candidates_tokens=213, total_tokens=9889
2025-11-20T23:52:38.383955 | biology_139 | chunk 11 | prompt_tokens=14204, candidates_tokens=170, total_tokens=14374
2025-11-20T23:52:45.328585 | biology_139 | chunk 12 | prompt_tokens=12223, candidates_tokens=130, total_tokens=12353
2025-11-20T23:52:51.016952 | biology_139 | chunk 13 | prompt_tokens=5356, candidates_tokens=163, total_tokens=5519
2025-11-20T23:53:07.551763 | biology_139 | chunk 14 | prompt_tokens=9393, candidates_tokens=181, total_tokens=9574
2025-11-20T23:53:16.162686 | biology_139 | chunk 15 | prompt_tokens=10475, candidates_tokens=108, total_tokens=10583
2025-11-20T23:53:25.122126 | biology_48 | chunk 0 | prompt_tokens=8186, candidates_tokens=165, total_tokens=8351
2025-11-20T23:53:36.321968 | biology_48 | chunk 1 | prompt_tokens=9651, candidates_tokens=186, total_tokens=9837
2025-11-20T23:53:46.110234 | biology_48 | chunk 2 | prompt_tokens=9085, candidates_tokens=207, total_tokens=9292
2025-11-20T23:53:55.247453 | biology_48 | chunk 3 | prompt_tokens=17650, candidates_tokens=195, total_tokens=17845
2025-11-20T23:54:02.440875 | biology_48 | chunk 4 | prompt_tokens=4041, candidates_tokens=192, total_tokens=4233
2025-11-20T23:54:11.273935 | biology_48 | chunk 5 | prompt_tokens=4582, candidates_tokens=208, total_tokens=4790
2025-11-20T23:54:24.973756 | biology_48 | chunk 6 | prompt_tokens=10575, candidates_tokens=158, total_tokens=10733
2025-11-20T23:54:35.735358 | biology_48 | chunk 7 | prompt_tokens=9726, candidates_tokens=204, total_tokens=9930
2025-11-20T23:54:48.955424 | biology_48 | chunk 8 | prompt_tokens=7953, candidates_tokens=203, total_tokens=8156
2025-11-20T23:54:56.875228 | biology_48 | chunk 9 | prompt_tokens=9368, candidates_tokens=199, total_tokens=9567
2025-11-20T23:55:07.957164 | biology_48 | chunk 10 | prompt_tokens=10783, candidates_tokens=281, total_tokens=11064
2025-11-20T23:55:25.501101 | biology_48 | chunk 11 | prompt_tokens=17267, candidates_tokens=159, total_tokens=17426
2025-11-20T23:55:36.800881 | biology_48 | chunk 12 | prompt_tokens=9651, candidates_tokens=263, total_tokens=9914
2025-11-20T23:55:48.244087 | biology_344 | chunk 0 | prompt_tokens=11865, candidates_tokens=212, total_tokens=12077
2025-11-20T23:55:58.192901 | biology_344 | chunk 1 | prompt_tokens=9160, candidates_tokens=189, total_tokens=9349
2025-11-20T23:56:09.475688 | biology_344 | chunk 2 | prompt_tokens=10009, candidates_tokens=224, total_tokens=10233
2025-11-20T23:56:17.447417 | biology_344 | chunk 3 | prompt_tokens=12198, candidates_tokens=254, total_tokens=12452
2025-11-20T23:56:25.016559 | biology_344 | chunk 4 | prompt_tokens=10858, candidates_tokens=213, total_tokens=11071
2025-11-20T23:56:32.443164 | biology_344 | chunk 5 | prompt_tokens=8211, candidates_tokens=150, total_tokens=8361
2025-11-20T23:56:38.857094 | biology_344 | chunk 6 | prompt_tokens=4865, candidates_tokens=203, total_tokens=5068
2025-11-20T23:56:54.139498 | biology_344 | chunk 7 | prompt_tokens=15594, candidates_tokens=264, total_tokens=15858
2025-11-20T23:57:04.026613 | biology_344 | chunk 8 | prompt_tokens=8802, candidates_tokens=242, total_tokens=9044
2025-11-20T23:57:13.551620 | biology_344 | chunk 9 | prompt_tokens=11424, candidates_tokens=227, total_tokens=11651
2025-11-20T23:57:22.766354 | biology_344 | chunk 10 | prompt_tokens=12789, candidates_tokens=279, total_tokens=13068
