2025-11-21T18:55:03.489035 | software_tutorials_363 | chunk 0 | prompt_tokens=9676, candidates_tokens=351, total_tokens=10714
2025-11-21T19:08:58.637260 | software_tutorials_318 | chunk 11 | prompt_tokens=32567, candidates_tokens=393, total_tokens=34246
2025-11-21T19:09:30.519608 | software_tutorials_318 | chunk 12 | prompt_tokens=15053, candidates_tokens=237, total_tokens=16012
2025-11-21T19:10:17.255276 | software_tutorials_318 | chunk 13 | prompt_tokens=23826, candidates_tokens=386, total_tokens=25215
2025-11-21T19:10:39.422470 | software_tutorials_318 | chunk 14 | prompt_tokens=15569, candidates_tokens=111, total_tokens=15888
2025-11-21T19:10:55.776799 | software_tutorials_33 | chunk 0 | prompt_tokens=6205, candidates_tokens=189, total_tokens=6884
2025-11-21T19:11:09.737952 | software_tutorials_33 | chunk 1 | prompt_tokens=7387, candidates_tokens=135, total_tokens=7904
2025-11-21T19:11:25.111306 | software_tutorials_33 | chunk 2 | prompt_tokens=6330, candidates_tokens=213, total_tokens=7021
2025-11-21T19:11:48.590055 | software_tutorials_33 | chunk 3 | prompt_tokens=8777, candidates_tokens=382, total_tokens=10288
2025-11-21T19:12:02.009080 | software_tutorials_33 | chunk 4 | prompt_tokens=1161, candidates_tokens=319, total_tokens=2422
2025-11-21T19:12:24.302170 | software_tutorials_33 | chunk 5 | prompt_tokens=6305, candidates_tokens=224, total_tokens=7150
2025-11-21T19:12:35.507417 | software_tutorials_33 | chunk 6 | prompt_tokens=6513, candidates_tokens=118, total_tokens=6966
2025-11-21T19:12:59.854730 | software_tutorials_33 | chunk 7 | prompt_tokens=9569, candidates_tokens=223, total_tokens=10058
2025-11-21T19:13:10.975945 | software_tutorials_33 | chunk 8 | prompt_tokens=2859, candidates_tokens=219, total_tokens=3542
2025-11-21T19:13:34.530883 | software_tutorials_33 | chunk 9 | prompt_tokens=6595, candidates_tokens=234, total_tokens=7460
2025-11-21T19:14:16.414094 | software_tutorials_33 | chunk 10 | prompt_tokens=16418, candidates_tokens=241, total_tokens=17310
2025-11-21T19:14:43.768392 | software_tutorials_33 | chunk 11 | prompt_tokens=21895, candidates_tokens=220, total_tokens=22528
2025-11-21T19:15:28.009858 | software_tutorials_33 | chunk 12 | prompt_tokens=39957, candidates_tokens=269, total_tokens=40838
2025-11-21T19:15:39.614386 | software_tutorials_33 | chunk 13 | prompt_tokens=5714, candidates_tokens=121, total_tokens=6128
2025-11-21T19:15:49.934377 | software_tutorials_33 | chunk 14 | prompt_tokens=4066, candidates_tokens=125, total_tokens=4421
2025-11-21T19:16:02.982070 | software_tutorials_33 | chunk 15 | prompt_tokens=3475, candidates_tokens=160, total_tokens=3914
2025-11-21T19:16:24.929063 | software_tutorials_33 | chunk 16 | prompt_tokens=10783, candidates_tokens=261, total_tokens=11692
2025-11-21T19:16:46.977491 | software_tutorials_339 | chunk 0 | prompt_tokens=5947, candidates_tokens=170, total_tokens=6478
2025-11-21T19:17:05.774011 | software_tutorials_339 | chunk 1 | prompt_tokens=3683, candidates_tokens=256, total_tokens=4725
2025-11-21T19:18:09.144903 | software_tutorials_339 | chunk 3 | prompt_tokens=9318, candidates_tokens=465, total_tokens=10325
2025-11-21T19:18:45.418803 | software_tutorials_339 | chunk 4 | prompt_tokens=18407, candidates_tokens=461, total_tokens=19843
2025-11-21T19:19:35.266720 | software_tutorials_339 | chunk 5 | prompt_tokens=18191, candidates_tokens=167, total_tokens=18588
2025-11-21T19:20:53.362629 | software_tutorials_339 | chunk 6 | prompt_tokens=32649, candidates_tokens=336, total_tokens=34112
2025-11-21T19:21:27.246371 | software_tutorials_339 | chunk 7 | prompt_tokens=12506, candidates_tokens=272, total_tokens=13631
2025-11-21T19:21:41.323507 | software_tutorials_339 | chunk 8 | prompt_tokens=3991, candidates_tokens=232, total_tokens=4575
2025-11-21T19:22:02.580981 | software_tutorials_359 | chunk 0 | prompt_tokens=8236, candidates_tokens=126, total_tokens=8579
2025-11-21T19:22:25.616013 | software_tutorials_359 | chunk 1 | prompt_tokens=14953, candidates_tokens=328, total_tokens=16056
2025-11-21T19:22:38.849871 | software_tutorials_359 | chunk 2 | prompt_tokens=6796, candidates_tokens=233, total_tokens=7484
2025-11-21T19:23:00.085350 | software_tutorials_359 | chunk 3 | prompt_tokens=16210, candidates_tokens=175, total_tokens=16786
2025-11-21T19:23:19.720155 | software_tutorials_359 | chunk 4 | prompt_tokens=12793, candidates_tokens=274, total_tokens=13350
2025-11-21T19:23:38.892552 | software_tutorials_359 | chunk 5 | prompt_tokens=5922, candidates_tokens=228, total_tokens=6976
2025-11-21T19:24:07.308380 | software_tutorials_359 | chunk 6 | prompt_tokens=27172, candidates_tokens=162, total_tokens=27602
2025-11-21T19:24:31.452040 | software_tutorials_359 | chunk 7 | prompt_tokens=3683, candidates_tokens=236, total_tokens=4428
2025-11-21T19:25:11.057371 | software_tutorials_359 | chunk 8 | prompt_tokens=35454, candidates_tokens=351, total_tokens=36722
2025-11-21T19:25:44.316315 | software_tutorials_359 | chunk 9 | prompt_tokens=17650, candidates_tokens=385, total_tokens=19379
2025-11-21T19:26:05.003241 | software_tutorials_359 | chunk 10 | prompt_tokens=8877, candidates_tokens=400, total_tokens=10417
2025-11-21T19:26:21.837157 | software_tutorials_100 | chunk 0 | prompt_tokens=4557, candidates_tokens=240, total_tokens=5322
2025-11-21T19:26:49.236572 | software_tutorials_100 | chunk 1 | prompt_tokens=8802, candidates_tokens=127, total_tokens=9467
2025-11-21T19:27:06.539411 | software_tutorials_100 | chunk 2 | prompt_tokens=4249, candidates_tokens=165, total_tokens=4765
2025-11-21T19:27:32.009135 | software_tutorials_100 | chunk 3 | prompt_tokens=8028, candidates_tokens=170, total_tokens=8502
2025-11-21T19:28:22.488053 | software_tutorials_100 | chunk 4 | prompt_tokens=23493, candidates_tokens=94, total_tokens=23746
2025-11-21T19:29:09.336644 | software_tutorials_100 | chunk 5 | prompt_tokens=19883, candidates_tokens=265, total_tokens=20700
2025-11-21T19:29:35.631306 | software_tutorials_100 | chunk 6 | prompt_tokens=8083, candidates_tokens=166, total_tokens=8596
2025-11-21T19:29:53.994287 | software_tutorials_100 | chunk 7 | prompt_tokens=5739, candidates_tokens=188, total_tokens=6356
2025-11-21T19:30:21.851422 | software_tutorials_100 | chunk 8 | prompt_tokens=8074, candidates_tokens=173, total_tokens=9005
2025-11-21T19:30:40.604453 | software_tutorials_100 | chunk 9 | prompt_tokens=5148, candidates_tokens=294, total_tokens=6248
2025-11-21T19:31:25.404608 | software_tutorials_100 | chunk 10 | prompt_tokens=18707, candidates_tokens=362, total_tokens=20333
2025-11-21T19:31:40.970673 | software_tutorials_45 | chunk 0 | prompt_tokens=6488, candidates_tokens=187, total_tokens=7182
2025-11-21T19:31:57.963224 | software_tutorials_45 | chunk 1 | prompt_tokens=11374, candidates_tokens=169, total_tokens=11850
2025-11-21T19:32:17.986558 | software_tutorials_45 | chunk 2 | prompt_tokens=10192, candidates_tokens=301, total_tokens=10943
2025-11-21T19:32:38.239341 | software_tutorials_45 | chunk 3 | prompt_tokens=7953, candidates_tokens=298, total_tokens=9790
2025-11-21T19:32:53.115311 | software_tutorials_45 | chunk 4 | prompt_tokens=5481, candidates_tokens=322, total_tokens=6423
2025-11-21T19:33:08.842137 | software_tutorials_45 | chunk 5 | prompt_tokens=6916, candidates_tokens=256, total_tokens=7804
2025-11-21T19:33:32.264590 | software_tutorials_45 | chunk 6 | prompt_tokens=7479, candidates_tokens=347, total_tokens=8989
2025-11-21T19:34:09.392786 | software_tutorials_45 | chunk 7 | prompt_tokens=21070, candidates_tokens=168, total_tokens=21730
2025-11-21T19:34:36.041430 | software_tutorials_45 | chunk 8 | prompt_tokens=14585, candidates_tokens=235, total_tokens=15110
2025-11-21T19:35:07.740658 | software_tutorials_45 | chunk 9 | prompt_tokens=22719, candidates_tokens=83, total_tokens=22987
2025-11-21T19:35:25.353051 | software_tutorials_45 | chunk 10 | prompt_tokens=10317, candidates_tokens=200, total_tokens=11159
2025-11-21T19:35:38.543165 | software_tutorials_45 | chunk 11 | prompt_tokens=2010, candidates_tokens=137, total_tokens=2713
2025-11-21T19:35:54.715844 | software_tutorials_45 | chunk 12 | prompt_tokens=4324, candidates_tokens=253, total_tokens=4973
2025-11-21T19:36:11.744713 | software_tutorials_45 | chunk 13 | prompt_tokens=6538, candidates_tokens=223, total_tokens=7420
2025-11-21T19:36:58.524253 | software_tutorials_380 | chunk 0 | prompt_tokens=24725, candidates_tokens=327, total_tokens=26377
2025-11-21T19:37:13.376252 | software_tutorials_380 | chunk 1 | prompt_tokens=5714, candidates_tokens=339, total_tokens=6783
2025-11-21T19:37:37.504914 | software_tutorials_380 | chunk 2 | prompt_tokens=7337, candidates_tokens=396, total_tokens=8758
2025-11-21T19:37:58.379223 | software_tutorials_380 | chunk 3 | prompt_tokens=6230, candidates_tokens=280, total_tokens=7328
2025-11-21T19:38:20.369634 | software_tutorials_380 | chunk 4 | prompt_tokens=7209, candidates_tokens=317, total_tokens=8478
2025-11-21T19:38:31.686498 | software_tutorials_380 | chunk 5 | prompt_tokens=1702, candidates_tokens=252, total_tokens=2402
2025-11-21T19:39:17.835326 | software_tutorials_380 | chunk 6 | prompt_tokens=22361, candidates_tokens=430, total_tokens=23913
2025-11-21T19:39:51.911905 | software_tutorials_380 | chunk 7 | prompt_tokens=19606, candidates_tokens=194, total_tokens=20178
2025-11-21T19:40:31.981081 | software_tutorials_380 | chunk 8 | prompt_tokens=17367, candidates_tokens=310, total_tokens=18969
2025-11-21T19:40:46.084086 | software_tutorials_380 | chunk 9 | prompt_tokens=1702, candidates_tokens=351, total_tokens=2637
2025-11-21T19:41:24.476552 | software_tutorials_88 | chunk 0 | prompt_tokens=9884, candidates_tokens=230, total_tokens=10749
2025-11-21T19:41:43.474961 | software_tutorials_88 | chunk 1 | prompt_tokens=4815, candidates_tokens=275, total_tokens=5597
2025-11-21T19:42:01.021594 | software_tutorials_88 | chunk 2 | prompt_tokens=5431, candidates_tokens=208, total_tokens=5960
2025-11-21T19:42:47.574741 | software_tutorials_88 | chunk 3 | prompt_tokens=19631, candidates_tokens=150, total_tokens=20330
2025-11-21T19:43:10.817648 | software_tutorials_88 | chunk 4 | prompt_tokens=7208, candidates_tokens=218, total_tokens=8303
2025-11-21T19:43:31.937428 | software_tutorials_88 | chunk 5 | prompt_tokens=7745, candidates_tokens=185, total_tokens=8317
2025-11-21T19:43:58.368575 | software_tutorials_88 | chunk 6 | prompt_tokens=10217, candidates_tokens=274, total_tokens=10955
2025-11-21T19:44:22.391289 | software_tutorials_88 | chunk 7 | prompt_tokens=9110, candidates_tokens=292, total_tokens=9811
2025-11-21T19:44:53.282889 | software_tutorials_88 | chunk 8 | prompt_tokens=11657, candidates_tokens=197, total_tokens=12447
2025-11-21T19:45:12.375124 | software_tutorials_88 | chunk 9 | prompt_tokens=6885, candidates_tokens=211, total_tokens=7801
2025-11-21T19:45:44.434197 | software_tutorials_88 | chunk 10 | prompt_tokens=13921, candidates_tokens=270, total_tokens=14642
2025-11-21T19:46:19.805754 | software_tutorials_88 | chunk 11 | prompt_tokens=7928, candidates_tokens=228, total_tokens=8939
2025-11-21T19:46:39.434707 | software_tutorials_88 | chunk 12 | prompt_tokens=8003, candidates_tokens=185, total_tokens=8571
2025-11-21T19:47:00.215849 | software_tutorials_81 | chunk 0 | prompt_tokens=7462, candidates_tokens=496, total_tokens=8862
2025-11-21T19:47:15.856029 | software_tutorials_81 | chunk 1 | prompt_tokens=5739, candidates_tokens=309, total_tokens=6728
2025-11-21T19:47:34.679350 | software_tutorials_81 | chunk 2 | prompt_tokens=7154, candidates_tokens=202, total_tokens=7978
2025-11-21T19:47:56.010197 | software_tutorials_81 | chunk 3 | prompt_tokens=9676, candidates_tokens=258, total_tokens=10312
2025-11-21T19:48:20.277406 | software_tutorials_81 | chunk 4 | prompt_tokens=7183, candidates_tokens=217, total_tokens=7767
2025-11-21T19:48:35.295309 | software_tutorials_81 | chunk 5 | prompt_tokens=3167, candidates_tokens=365, total_tokens=4132
2025-11-21T19:49:01.096859 | software_tutorials_81 | chunk 6 | prompt_tokens=12581, candidates_tokens=425, total_tokens=13887
2025-11-21T19:49:19.105528 | software_tutorials_81 | chunk 7 | prompt_tokens=8494, candidates_tokens=258, total_tokens=9274
2025-11-21T19:49:39.279084 | software_tutorials_81 | chunk 8 | prompt_tokens=11332, candidates_tokens=224, total_tokens=12349
2025-11-21T19:49:56.913428 | software_tutorials_81 | chunk 9 | prompt_tokens=6308, candidates_tokens=246, total_tokens=7252
2025-11-21T19:50:12.332180 | software_tutorials_81 | chunk 10 | prompt_tokens=3991, candidates_tokens=373, total_tokens=5123
2025-11-21T19:50:44.017800 | software_tutorials_81 | chunk 11 | prompt_tokens=20996, candidates_tokens=161, total_tokens=21732
2025-11-21T19:51:07.725660 | software_tutorials_81 | chunk 12 | prompt_tokens=10858, candidates_tokens=322, total_tokens=11671
2025-11-21T19:51:21.813866 | software_tutorials_81 | chunk 13 | prompt_tokens=5664, candidates_tokens=260, total_tokens=6368
2025-11-21T19:51:54.747529 | software_tutorials_81 | chunk 14 | prompt_tokens=17625, candidates_tokens=323, total_tokens=18663
2025-11-21T19:52:18.799880 | software_tutorials_81 | chunk 15 | prompt_tokens=11374, candidates_tokens=216, total_tokens=12174
2025-11-21T19:52:42.028645 | software_tutorials_81 | chunk 16 | prompt_tokens=7104, candidates_tokens=251, total_tokens=8040
2025-11-21T19:53:02.372499 | software_tutorials_330 | chunk 0 | prompt_tokens=8067, candidates_tokens=70, total_tokens=8306
2025-11-21T19:53:20.970328 | software_tutorials_330 | chunk 1 | prompt_tokens=3962, candidates_tokens=183, total_tokens=4557
2025-11-21T19:53:38.790207 | software_tutorials_330 | chunk 2 | prompt_tokens=5418, candidates_tokens=203, total_tokens=5889
2025-11-21T19:54:11.962068 | software_tutorials_330 | chunk 3 | prompt_tokens=17883, candidates_tokens=235, total_tokens=19024
2025-11-21T19:54:34.781984 | software_tutorials_330 | chunk 4 | prompt_tokens=6896, candidates_tokens=338, total_tokens=8459
2025-11-21T19:54:48.589325 | software_tutorials_330 | chunk 5 | prompt_tokens=4582, candidates_tokens=293, total_tokens=5311
2025-11-21T19:55:04.574281 | software_tutorials_330 | chunk 6 | prompt_tokens=6072, candidates_tokens=317, total_tokens=6987
2025-11-21T19:55:30.136463 | software_tutorials_330 | chunk 7 | prompt_tokens=9468, candidates_tokens=413, total_tokens=10840
2025-11-21T19:55:54.224882 | software_tutorials_330 | chunk 8 | prompt_tokens=12173, candidates_tokens=386, total_tokens=13186
2025-11-21T19:56:16.384810 | software_tutorials_330 | chunk 9 | prompt_tokens=7620, candidates_tokens=452, total_tokens=9366
2025-11-21T19:56:47.878365 | software_tutorials_330 | chunk 10 | prompt_tokens=19223, candidates_tokens=219, total_tokens=19696
2025-11-21T19:57:34.287242 | software_tutorials_330 | chunk 11 | prompt_tokens=24675, candidates_tokens=559, total_tokens=25641
2025-11-21T19:57:52.097886 | software_tutorials_330 | chunk 12 | prompt_tokens=4249, candidates_tokens=318, total_tokens=5660
2025-11-21T19:58:23.404571 | software_tutorials_269 | chunk 0 | prompt_tokens=16235, candidates_tokens=308, total_tokens=17160
2025-11-21T19:58:52.599340 | software_tutorials_269 | chunk 1 | prompt_tokens=8676, candidates_tokens=235, total_tokens=9593
2025-11-21T19:59:27.168415 | software_tutorials_269 | chunk 2 | prompt_tokens=13100, candidates_tokens=293, total_tokens=13778
2025-11-21T19:59:46.090668 | software_tutorials_269 | chunk 3 | prompt_tokens=8065, candidates_tokens=215, total_tokens=8671
2025-11-21T20:00:04.496887 | software_tutorials_269 | chunk 4 | prompt_tokens=8186, candidates_tokens=287, total_tokens=8686
2025-11-21T20:00:25.958231 | software_tutorials_269 | chunk 5 | prompt_tokens=8286, candidates_tokens=313, total_tokens=9390
2025-11-21T20:00:40.800913 | software_tutorials_269 | chunk 6 | prompt_tokens=5456, candidates_tokens=214, total_tokens=6034
2025-11-21T20:01:02.857825 | software_tutorials_269 | chunk 7 | prompt_tokens=9860, candidates_tokens=152, total_tokens=10290
2025-11-21T20:01:18.590243 | software_tutorials_269 | chunk 8 | prompt_tokens=5689, candidates_tokens=159, total_tokens=6370
2025-11-21T20:01:36.899796 | software_tutorials_269 | chunk 9 | prompt_tokens=8336, candidates_tokens=231, total_tokens=9153
2025-11-21T20:01:56.350463 | software_tutorials_269 | chunk 10 | prompt_tokens=11990, candidates_tokens=170, total_tokens=12865
2025-11-21T20:02:22.894717 | software_tutorials_269 | chunk 11 | prompt_tokens=13355, candidates_tokens=180, total_tokens=14189
2025-11-21T20:02:42.193407 | software_tutorials_269 | chunk 12 | prompt_tokens=7670, candidates_tokens=215, total_tokens=8771
2025-11-21T20:03:06.729560 | software_tutorials_269 | chunk 13 | prompt_tokens=12198, candidates_tokens=297, total_tokens=13005
2025-11-21T20:03:40.488268 | software_tutorials_269 | chunk 14 | prompt_tokens=16915, candidates_tokens=241, total_tokens=17718
2025-11-21T20:04:02.695996 | software_tutorials_269 | chunk 15 | prompt_tokens=10155, candidates_tokens=238, total_tokens=10921
2025-11-21T20:04:27.048981 | software_tutorials_269 | chunk 16 | prompt_tokens=9393, candidates_tokens=238, total_tokens=9961
2025-11-21T20:04:51.209828 | software_tutorials_148 | chunk 0 | prompt_tokens=7187, candidates_tokens=244, total_tokens=7816
2025-11-21T20:05:17.625880 | software_tutorials_148 | chunk 1 | prompt_tokens=10131, candidates_tokens=148, total_tokens=10499
2025-11-21T20:05:43.527762 | software_tutorials_148 | chunk 2 | prompt_tokens=15078, candidates_tokens=380, total_tokens=16012
2025-11-21T20:06:08.179952 | software_tutorials_148 | chunk 3 | prompt_tokens=14229, candidates_tokens=376, total_tokens=15459
2025-11-21T20:06:42.026218 | software_tutorials_148 | chunk 4 | prompt_tokens=23235, candidates_tokens=253, total_tokens=23955
2025-11-21T20:07:10.305665 | software_tutorials_148 | chunk 5 | prompt_tokens=20430, candidates_tokens=213, total_tokens=21100
2025-11-21T20:07:40.021814 | software_tutorials_148 | chunk 7 | prompt_tokens=11682, candidates_tokens=379, total_tokens=13235
2025-11-21T20:08:05.166665 | software_tutorials_148 | chunk 8 | prompt_tokens=15361, candidates_tokens=335, total_tokens=16266
2025-11-21T20:08:33.372823 | software_tutorials_148 | chunk 9 | prompt_tokens=14881, candidates_tokens=181, total_tokens=15329
2025-11-21T20:08:55.123543 | software_tutorials_148 | chunk 10 | prompt_tokens=3656, candidates_tokens=294, total_tokens=4578
2025-11-21T20:09:26.179248 | software_tutorials_148 | chunk 11 | prompt_tokens=20971, candidates_tokens=165, total_tokens=21441
2025-11-21T20:09:40.867221 | software_tutorials_148 | chunk 12 | prompt_tokens=3400, candidates_tokens=268, total_tokens=4269
2025-11-21T20:10:31.076466 | software_tutorials_276 | chunk 0 | prompt_tokens=17525, candidates_tokens=228, total_tokens=18175
2025-11-21T20:10:45.093859 | software_tutorials_276 | chunk 1 | prompt_tokens=4016, candidates_tokens=207, total_tokens=4817
2025-11-21T20:11:04.463907 | software_tutorials_276 | chunk 2 | prompt_tokens=8003, candidates_tokens=332, total_tokens=8846
2025-11-21T20:11:36.142566 | software_tutorials_276 | chunk 3 | prompt_tokens=16726, candidates_tokens=256, total_tokens=17437
2025-11-21T20:12:06.766225 | software_tutorials_276 | chunk 4 | prompt_tokens=13588, candidates_tokens=348, total_tokens=14485
2025-11-21T20:12:21.192869 | software_tutorials_276 | chunk 5 | prompt_tokens=3117, candidates_tokens=174, total_tokens=3599
2025-11-21T20:12:50.658413 | software_tutorials_276 | chunk 6 | prompt_tokens=8211, candidates_tokens=367, total_tokens=9349
2025-11-21T20:13:08.469145 | software_tutorials_276 | chunk 7 | prompt_tokens=5689, candidates_tokens=237, total_tokens=6485
2025-11-21T20:13:27.499869 | software_tutorials_276 | chunk 8 | prompt_tokens=5419, candidates_tokens=186, total_tokens=5941
2025-11-21T20:13:47.603536 | software_tutorials_276 | chunk 9 | prompt_tokens=8594, candidates_tokens=168, total_tokens=9109
2025-11-21T20:13:59.464069 | software_tutorials_276 | chunk 10 | prompt_tokens=1777, candidates_tokens=233, total_tokens=2366
2025-11-21T20:14:31.195817 | software_tutorials_276 | chunk 11 | prompt_tokens=14285, candidates_tokens=364, total_tokens=15621
2025-11-21T20:15:02.543985 | software_tutorials_276 | chunk 12 | prompt_tokens=11607, candidates_tokens=288, total_tokens=12423
2025-11-21T20:15:35.833925 | software_tutorials_276 | chunk 13 | prompt_tokens=10267, candidates_tokens=355, total_tokens=11302
2025-11-21T20:16:02.152919 | software_tutorials_54 | chunk 0 | prompt_tokens=13107, candidates_tokens=363, total_tokens=13936
2025-11-21T20:16:33.561308 | software_tutorials_54 | chunk 1 | prompt_tokens=13405, candidates_tokens=334, total_tokens=15300
2025-11-21T20:16:47.604107 | software_tutorials_54 | chunk 2 | prompt_tokens=4274, candidates_tokens=254, total_tokens=5145
2025-11-21T20:17:14.320859 | software_tutorials_54 | chunk 3 | prompt_tokens=12864, candidates_tokens=309, total_tokens=13647
2025-11-21T20:17:49.361395 | software_tutorials_54 | chunk 4 | prompt_tokens=18697, candidates_tokens=377, total_tokens=19685
2025-11-21T20:18:14.076856 | software_tutorials_54 | chunk 5 | prompt_tokens=11091, candidates_tokens=188, total_tokens=11847
2025-11-21T20:19:52.015071 | software_tutorials_54 | chunk 6 | prompt_tokens=41680, candidates_tokens=533, total_tokens=43757
2025-11-21T20:20:12.097520 | software_tutorials_54 | chunk 7 | prompt_tokens=3708, candidates_tokens=310, total_tokens=4812
2025-11-21T20:20:50.488453 | software_tutorials_54 | chunk 8 | prompt_tokens=12223, candidates_tokens=471, total_tokens=14187
2025-11-21T20:21:24.991396 | software_tutorials_54 | chunk 9 | prompt_tokens=14229, candidates_tokens=325, total_tokens=15146
2025-11-21T20:21:54.568014 | software_tutorials_54 | chunk 10 | prompt_tokens=10192, candidates_tokens=456, total_tokens=11665
2025-11-21T20:22:14.658833 | software_tutorials_54 | chunk 11 | prompt_tokens=6230, candidates_tokens=436, total_tokens=8022
2025-11-21T20:23:08.891438 | software_tutorials_20 | chunk 0 | prompt_tokens=15446, candidates_tokens=199, total_tokens=16010
2025-11-21T20:23:47.974768 | software_tutorials_20 | chunk 1 | prompt_tokens=12493, candidates_tokens=229, total_tokens=13463
2025-11-21T20:24:22.228062 | software_tutorials_20 | chunk 2 | prompt_tokens=11324, candidates_tokens=168, total_tokens=12194
2025-11-21T20:25:20.558729 | software_tutorials_20 | chunk 3 | prompt_tokens=16468, candidates_tokens=174, total_tokens=16982
2025-11-21T20:25:45.259707 | software_tutorials_20 | chunk 4 | prompt_tokens=5123, candidates_tokens=151, total_tokens=5944
