2025-11-21T01:25:46.291398 | ai_concepts_291 | chunk 0 | prompt_tokens=1132, candidates_tokens=64, total_tokens=1196
2025-11-21T01:28:45.880478 | ai_concepts_132 | chunk 3 | prompt_tokens=1432, candidates_tokens=59, total_tokens=1491
2025-11-21T01:28:51.349748 | ai_concepts_132 | chunk 4 | prompt_tokens=807, candidates_tokens=95, total_tokens=902
2025-11-21T01:28:56.107093 | ai_concepts_132 | chunk 5 | prompt_tokens=532, candidates_tokens=47, total_tokens=579
2025-11-21T01:29:01.809277 | ai_concepts_132 | chunk 6 | prompt_tokens=1082, candidates_tokens=113, total_tokens=1195
2025-11-21T01:29:10.509685 | ai_concepts_132 | chunk 7 | prompt_tokens=1357, candidates_tokens=134, total_tokens=1491
2025-11-21T01:29:17.696854 | ai_concepts_132 | chunk 8 | prompt_tokens=1257, candidates_tokens=88, total_tokens=1345
2025-11-21T01:29:26.153725 | ai_concepts_132 | chunk 9 | prompt_tokens=2007, candidates_tokens=150, total_tokens=2157
2025-11-21T01:29:33.983853 | ai_concepts_132 | chunk 10 | prompt_tokens=1657, candidates_tokens=102, total_tokens=1759
2025-11-21T01:29:41.627785 | ai_concepts_132 | chunk 11 | prompt_tokens=1582, candidates_tokens=170, total_tokens=1752
2025-11-21T01:29:46.889644 | ai_concepts_132 | chunk 12 | prompt_tokens=557, candidates_tokens=46, total_tokens=603
2025-11-21T01:29:50.567243 | ai_concepts_132 | chunk 13 | prompt_tokens=257, candidates_tokens=56, total_tokens=313
2025-11-21T01:29:58.474584 | ai_concepts_176 | chunk 0 | prompt_tokens=1332, candidates_tokens=70, total_tokens=1402
2025-11-21T01:30:02.984850 | ai_concepts_176 | chunk 1 | prompt_tokens=1132, candidates_tokens=95, total_tokens=1227
2025-11-21T01:30:08.635579 | ai_concepts_176 | chunk 2 | prompt_tokens=807, candidates_tokens=90, total_tokens=897
2025-11-21T01:30:13.662717 | ai_concepts_176 | chunk 3 | prompt_tokens=857, candidates_tokens=59, total_tokens=916
2025-11-21T01:30:22.452147 | ai_concepts_176 | chunk 4 | prompt_tokens=2532, candidates_tokens=104, total_tokens=2636
2025-11-21T01:30:28.623794 | ai_concepts_176 | chunk 5 | prompt_tokens=757, candidates_tokens=61, total_tokens=818
2025-11-21T01:30:32.968087 | ai_concepts_176 | chunk 6 | prompt_tokens=507, candidates_tokens=54, total_tokens=561
2025-11-21T01:30:39.024767 | ai_concepts_176 | chunk 7 | prompt_tokens=882, candidates_tokens=73, total_tokens=955
2025-11-21T01:30:44.772542 | ai_concepts_176 | chunk 8 | prompt_tokens=1007, candidates_tokens=73, total_tokens=1080
2025-11-21T01:30:53.764760 | ai_concepts_176 | chunk 9 | prompt_tokens=1657, candidates_tokens=91, total_tokens=1748
2025-11-21T01:31:00.908633 | ai_concepts_176 | chunk 10 | prompt_tokens=1857, candidates_tokens=138, total_tokens=1995
2025-11-21T01:31:07.948117 | ai_concepts_176 | chunk 11 | prompt_tokens=1132, candidates_tokens=98, total_tokens=1230
2025-11-21T01:31:13.654238 | ai_concepts_176 | chunk 12 | prompt_tokens=882, candidates_tokens=86, total_tokens=968
2025-11-21T01:31:19.905843 | ai_concepts_176 | chunk 13 | prompt_tokens=1257, candidates_tokens=86, total_tokens=1343
2025-11-21T01:31:32.737706 | ai_concepts_176 | chunk 14 | prompt_tokens=1557, candidates_tokens=126, total_tokens=1683
2025-11-21T01:31:36.699705 | ai_concepts_198 | chunk 0 | prompt_tokens=1282, candidates_tokens=65, total_tokens=1347
2025-11-21T01:31:48.369504 | ai_concepts_198 | chunk 1 | prompt_tokens=2382, candidates_tokens=118, total_tokens=2500
2025-11-21T01:31:53.107644 | ai_concepts_198 | chunk 2 | prompt_tokens=1357, candidates_tokens=137, total_tokens=1494
2025-11-21T01:31:56.168545 | ai_concepts_198 | chunk 3 | prompt_tokens=507, candidates_tokens=62, total_tokens=569
2025-11-21T01:32:01.307800 | ai_concepts_198 | chunk 4 | prompt_tokens=1132, candidates_tokens=116, total_tokens=1248
2025-11-21T01:32:07.545455 | ai_concepts_198 | chunk 5 | prompt_tokens=1107, candidates_tokens=85, total_tokens=1192
2025-11-21T01:32:11.462251 | ai_concepts_198 | chunk 6 | prompt_tokens=1007, candidates_tokens=138, total_tokens=1145
2025-11-21T01:32:16.153651 | ai_concepts_198 | chunk 7 | prompt_tokens=707, candidates_tokens=76, total_tokens=783
2025-11-21T01:32:19.909517 | ai_concepts_198 | chunk 8 | prompt_tokens=682, candidates_tokens=86, total_tokens=768
2025-11-21T01:32:26.360771 | ai_concepts_198 | chunk 9 | prompt_tokens=1232, candidates_tokens=61, total_tokens=1293
2025-11-21T01:32:30.150442 | ai_concepts_198 | chunk 10 | prompt_tokens=732, candidates_tokens=43, total_tokens=775
2025-11-21T01:32:43.372024 | ai_concepts_198 | chunk 11 | prompt_tokens=2157, candidates_tokens=160, total_tokens=2317
2025-11-21T01:32:47.410445 | ai_concepts_257 | chunk 0 | prompt_tokens=382, candidates_tokens=36, total_tokens=418
2025-11-21T01:32:52.177032 | ai_concepts_257 | chunk 1 | prompt_tokens=1332, candidates_tokens=86, total_tokens=1418
2025-11-21T01:33:03.740980 | ai_concepts_257 | chunk 2 | prompt_tokens=2282, candidates_tokens=196, total_tokens=2478
2025-11-21T01:33:13.040403 | ai_concepts_257 | chunk 3 | prompt_tokens=1832, candidates_tokens=153, total_tokens=1985
2025-11-21T01:33:19.265215 | ai_concepts_257 | chunk 4 | prompt_tokens=1657, candidates_tokens=140, total_tokens=1797
2025-11-21T01:33:24.257825 | ai_concepts_257 | chunk 5 | prompt_tokens=1482, candidates_tokens=111, total_tokens=1593
2025-11-21T01:33:28.282659 | ai_concepts_257 | chunk 6 | prompt_tokens=382, candidates_tokens=76, total_tokens=458
2025-11-21T01:33:34.199282 | ai_concepts_257 | chunk 7 | prompt_tokens=832, candidates_tokens=62, total_tokens=894
2025-11-21T01:33:39.716306 | ai_concepts_257 | chunk 8 | prompt_tokens=1582, candidates_tokens=96, total_tokens=1678
2025-11-21T01:33:47.057597 | ai_concepts_257 | chunk 9 | prompt_tokens=807, candidates_tokens=135, total_tokens=942
2025-11-21T01:33:55.608064 | ai_concepts_257 | chunk 10 | prompt_tokens=1182, candidates_tokens=118, total_tokens=1300
2025-11-21T01:34:04.336380 | ai_concepts_257 | chunk 11 | prompt_tokens=1657, candidates_tokens=145, total_tokens=1802
2025-11-21T01:34:10.927050 | ai_concepts_257 | chunk 12 | prompt_tokens=1032, candidates_tokens=112, total_tokens=1144
2025-11-21T01:34:17.147660 | ai_concepts_257 | chunk 13 | prompt_tokens=1182, candidates_tokens=125, total_tokens=1307
2025-11-21T01:34:23.532334 | ai_concepts_257 | chunk 14 | prompt_tokens=857, candidates_tokens=86, total_tokens=943
2025-11-21T01:34:28.509174 | ai_concepts_57 | chunk 0 | prompt_tokens=832, candidates_tokens=99, total_tokens=931
2025-11-21T01:34:36.065036 | ai_concepts_57 | chunk 1 | prompt_tokens=1907, candidates_tokens=86, total_tokens=1993
2025-11-21T01:34:41.160879 | ai_concepts_57 | chunk 2 | prompt_tokens=1182, candidates_tokens=85, total_tokens=1267
2025-11-21T01:34:46.367259 | ai_concepts_57 | chunk 3 | prompt_tokens=832, candidates_tokens=70, total_tokens=902
2025-11-21T01:34:51.879118 | ai_concepts_57 | chunk 4 | prompt_tokens=932, candidates_tokens=60, total_tokens=992
2025-11-21T01:34:56.351764 | ai_concepts_57 | chunk 5 | prompt_tokens=757, candidates_tokens=70, total_tokens=827
2025-11-21T01:35:03.837816 | ai_concepts_57 | chunk 6 | prompt_tokens=1457, candidates_tokens=116, total_tokens=1573
2025-11-21T01:35:10.615589 | ai_concepts_57 | chunk 7 | prompt_tokens=1757, candidates_tokens=140, total_tokens=1897
2025-11-21T01:35:17.942689 | ai_concepts_57 | chunk 8 | prompt_tokens=2007, candidates_tokens=143, total_tokens=2150
2025-11-21T01:35:22.925391 | ai_concepts_57 | chunk 9 | prompt_tokens=607, candidates_tokens=54, total_tokens=661
2025-11-21T01:35:30.421820 | ai_concepts_57 | chunk 10 | prompt_tokens=2182, candidates_tokens=112, total_tokens=2294
2025-11-21T01:35:38.090282 | ai_concepts_419 | chunk 0 | prompt_tokens=1582, candidates_tokens=110, total_tokens=1692
2025-11-21T01:35:44.879007 | ai_concepts_419 | chunk 1 | prompt_tokens=1857, candidates_tokens=104, total_tokens=1961
2025-11-21T01:35:49.752879 | ai_concepts_419 | chunk 2 | prompt_tokens=932, candidates_tokens=108, total_tokens=1040
2025-11-21T01:35:56.115502 | ai_concepts_419 | chunk 3 | prompt_tokens=782, candidates_tokens=53, total_tokens=835
2025-11-21T01:36:00.875488 | ai_concepts_419 | chunk 4 | prompt_tokens=807, candidates_tokens=69, total_tokens=876
2025-11-21T01:36:06.483533 | ai_concepts_419 | chunk 5 | prompt_tokens=1082, candidates_tokens=74, total_tokens=1156
2025-11-21T01:36:12.930750 | ai_concepts_419 | chunk 6 | prompt_tokens=1132, candidates_tokens=91, total_tokens=1223
2025-11-21T01:36:18.979050 | ai_concepts_419 | chunk 7 | prompt_tokens=1232, candidates_tokens=89, total_tokens=1321
2025-11-21T01:36:25.689892 | ai_concepts_419 | chunk 8 | prompt_tokens=1857, candidates_tokens=94, total_tokens=1951
2025-11-21T01:36:32.368597 | ai_concepts_419 | chunk 9 | prompt_tokens=957, candidates_tokens=67, total_tokens=1024
2025-11-21T01:36:38.288150 | ai_concepts_70 | chunk 0 | prompt_tokens=1332, candidates_tokens=107, total_tokens=1439
2025-11-21T01:36:55.320415 | ai_concepts_70 | chunk 1 | prompt_tokens=982, candidates_tokens=90, total_tokens=1072
2025-11-21T01:37:02.859324 | ai_concepts_70 | chunk 2 | prompt_tokens=982, candidates_tokens=113, total_tokens=1095
2025-11-21T01:37:07.195164 | ai_concepts_70 | chunk 3 | prompt_tokens=907, candidates_tokens=111, total_tokens=1018
2025-11-21T01:37:11.701710 | ai_concepts_70 | chunk 4 | prompt_tokens=907, candidates_tokens=100, total_tokens=1007
2025-11-21T01:37:33.660683 | ai_concepts_70 | chunk 5 | prompt_tokens=882, candidates_tokens=108, total_tokens=990
2025-11-21T01:37:37.110025 | ai_concepts_70 | chunk 6 | prompt_tokens=1007, candidates_tokens=70, total_tokens=1077
2025-11-21T01:37:43.142847 | ai_concepts_70 | chunk 7 | prompt_tokens=882, candidates_tokens=99, total_tokens=981
2025-11-21T01:37:49.218137 | ai_concepts_70 | chunk 8 | prompt_tokens=1082, candidates_tokens=71, total_tokens=1153
2025-11-21T01:37:55.630963 | ai_concepts_70 | chunk 9 | prompt_tokens=982, candidates_tokens=93, total_tokens=1075
2025-11-21T01:37:59.112662 | ai_concepts_70 | chunk 10 | prompt_tokens=1082, candidates_tokens=36, total_tokens=1118
2025-11-21T01:38:05.294201 | ai_concepts_70 | chunk 11 | prompt_tokens=1032, candidates_tokens=84, total_tokens=1116
2025-11-21T01:38:09.895988 | ai_concepts_70 | chunk 12 | prompt_tokens=957, candidates_tokens=67, total_tokens=1024
2025-11-21T01:38:15.383162 | ai_concepts_70 | chunk 13 | prompt_tokens=1307, candidates_tokens=77, total_tokens=1384
2025-11-21T01:38:20.584997 | ai_concepts_70 | chunk 14 | prompt_tokens=632, candidates_tokens=78, total_tokens=710
2025-11-21T01:38:23.716977 | ai_concepts_70 | chunk 15 | prompt_tokens=632, candidates_tokens=82, total_tokens=714
2025-11-21T01:38:30.345762 | ai_concepts_70 | chunk 16 | prompt_tokens=1007, candidates_tokens=110, total_tokens=1117
2025-11-21T01:38:34.618942 | ai_concepts_70 | chunk 17 | prompt_tokens=857, candidates_tokens=57, total_tokens=914
2025-11-21T01:38:40.179535 | ai_concepts_258 | chunk 0 | prompt_tokens=1382, candidates_tokens=87, total_tokens=1469
2025-11-21T01:38:53.290169 | ai_concepts_258 | chunk 1 | prompt_tokens=1907, candidates_tokens=130, total_tokens=2037
2025-11-21T01:39:01.843242 | ai_concepts_258 | chunk 2 | prompt_tokens=1407, candidates_tokens=99, total_tokens=1506
2025-11-21T01:39:08.014251 | ai_concepts_258 | chunk 3 | prompt_tokens=982, candidates_tokens=67, total_tokens=1049
2025-11-21T01:39:13.474642 | ai_concepts_258 | chunk 4 | prompt_tokens=1332, candidates_tokens=79, total_tokens=1411
2025-11-21T01:39:18.535226 | ai_concepts_258 | chunk 5 | prompt_tokens=832, candidates_tokens=53, total_tokens=885
2025-11-21T01:39:22.901700 | ai_concepts_258 | chunk 6 | prompt_tokens=1332, candidates_tokens=50, total_tokens=1382
2025-11-21T01:39:27.580656 | ai_concepts_258 | chunk 7 | prompt_tokens=657, candidates_tokens=65, total_tokens=722
2025-11-21T01:39:33.716856 | ai_concepts_258 | chunk 8 | prompt_tokens=1007, candidates_tokens=93, total_tokens=1100
2025-11-21T01:39:39.272250 | ai_concepts_258 | chunk 9 | prompt_tokens=1607, candidates_tokens=87, total_tokens=1694
2025-11-21T01:39:43.447854 | ai_concepts_258 | chunk 10 | prompt_tokens=657, candidates_tokens=67, total_tokens=724
2025-11-21T01:39:47.136037 | ai_concepts_258 | chunk 11 | prompt_tokens=732, candidates_tokens=109, total_tokens=841
2025-11-21T01:39:50.160038 | ai_concepts_258 | chunk 12 | prompt_tokens=557, candidates_tokens=52, total_tokens=609
2025-11-21T01:39:56.507005 | ai_concepts_258 | chunk 13 | prompt_tokens=1407, candidates_tokens=142, total_tokens=1549
