2025-11-21T18:38:19.888675 | ai_concepts_58 | chunk 0 | prompt_tokens=10758, candidates_tokens=220, total_tokens=11604
2025-11-21T18:54:09.510704 | ai_concepts_70 | chunk 4 | prompt_tokens=9245, candidates_tokens=363, total_tokens=10319
2025-11-21T18:54:38.754302 | ai_concepts_70 | chunk 5 | prompt_tokens=8686, candidates_tokens=282, total_tokens=9983
2025-11-21T18:54:53.584450 | ai_concepts_70 | chunk 6 | prompt_tokens=8827, candidates_tokens=287, total_tokens=9668
2025-11-21T18:55:08.775931 | ai_concepts_70 | chunk 7 | prompt_tokens=7978, candidates_tokens=324, total_tokens=9065
2025-11-21T18:55:25.261529 | ai_concepts_70 | chunk 8 | prompt_tokens=9934, candidates_tokens=203, total_tokens=10568
2025-11-21T18:55:40.511861 | ai_concepts_70 | chunk 9 | prompt_tokens=8211, candidates_tokens=302, total_tokens=9268
2025-11-21T18:55:58.137163 | ai_concepts_70 | chunk 10 | prompt_tokens=9676, candidates_tokens=200, total_tokens=10472
2025-11-21T18:56:15.652381 | ai_concepts_70 | chunk 11 | prompt_tokens=9110, candidates_tokens=261, total_tokens=10360
2025-11-21T18:56:38.882140 | ai_concepts_70 | chunk 12 | prompt_tokens=9443, candidates_tokens=562, total_tokens=11667
2025-11-21T18:56:58.818413 | ai_concepts_70 | chunk 13 | prompt_tokens=12173, candidates_tokens=172, total_tokens=12704
2025-11-21T18:57:12.930083 | ai_concepts_70 | chunk 14 | prompt_tokens=5481, candidates_tokens=369, total_tokens=6525
2025-11-21T18:57:28.690451 | ai_concepts_70 | chunk 15 | prompt_tokens=5148, candidates_tokens=316, total_tokens=6620
2025-11-21T18:57:46.255332 | ai_concepts_70 | chunk 16 | prompt_tokens=8827, candidates_tokens=328, total_tokens=9914
2025-11-21T18:58:05.850117 | ai_concepts_70 | chunk 17 | prompt_tokens=7695, candidates_tokens=222, total_tokens=8232
2025-11-21T18:58:14.953047 | ai_concepts_257 | chunk 0 | prompt_tokens=1161, candidates_tokens=158, total_tokens=1616
2025-11-21T18:58:41.929887 | ai_concepts_257 | chunk 1 | prompt_tokens=14261, candidates_tokens=159, total_tokens=14722
2025-11-21T18:59:40.505560 | ai_concepts_257 | chunk 2 | prompt_tokens=23568, candidates_tokens=326, total_tokens=24970
2025-11-21T19:00:17.626801 | ai_concepts_257 | chunk 3 | prompt_tokens=18732, candidates_tokens=262, total_tokens=19840
2025-11-21T19:00:53.835721 | ai_concepts_257 | chunk 4 | prompt_tokens=15877, candidates_tokens=323, total_tokens=17504
2025-11-21T19:01:25.457229 | ai_concepts_257 | chunk 5 | prompt_tokens=14487, candidates_tokens=301, total_tokens=15752
2025-11-21T19:01:36.226006 | ai_concepts_257 | chunk 6 | prompt_tokens=2035, candidates_tokens=192, total_tokens=2588
2025-11-21T19:01:56.444194 | ai_concepts_257 | chunk 7 | prompt_tokens=7104, candidates_tokens=299, total_tokens=7806
2025-11-21T19:02:28.148061 | ai_concepts_257 | chunk 8 | prompt_tokens=15902, candidates_tokens=388, total_tokens=17545
2025-11-21T19:02:43.582545 | ai_concepts_257 | chunk 9 | prompt_tokens=6821, candidates_tokens=214, total_tokens=7736
2025-11-21T19:03:10.227111 | ai_concepts_257 | chunk 10 | prompt_tokens=11066, candidates_tokens=271, total_tokens=12351
2025-11-21T19:03:39.331872 | ai_concepts_257 | chunk 11 | prompt_tokens=15877, candidates_tokens=225, total_tokens=16522
2025-11-21T19:04:00.109489 | ai_concepts_257 | chunk 12 | prompt_tokens=10725, candidates_tokens=233, total_tokens=11735
2025-11-21T19:04:23.764200 | ai_concepts_257 | chunk 13 | prompt_tokens=10758, candidates_tokens=230, total_tokens=11288
2025-11-21T19:04:40.711025 | ai_concepts_257 | chunk 14 | prompt_tokens=6513, candidates_tokens=241, total_tokens=7146
2025-11-21T19:05:01.976408 | ai_concepts_57 | chunk 0 | prompt_tokens=6488, candidates_tokens=311, total_tokens=7746
2025-11-21T19:05:54.531984 | ai_concepts_57 | chunk 1 | prompt_tokens=20197, candidates_tokens=382, total_tokens=21931
2025-11-21T19:06:24.175859 | ai_concepts_57 | chunk 2 | prompt_tokens=11091, candidates_tokens=341, total_tokens=12338
2025-11-21T19:06:50.288471 | ai_concepts_57 | chunk 3 | prompt_tokens=7437, candidates_tokens=421, total_tokens=9305
2025-11-21T19:07:13.034612 | ai_concepts_57 | chunk 4 | prompt_tokens=7928, candidates_tokens=344, total_tokens=9121
2025-11-21T19:07:38.261963 | ai_concepts_57 | chunk 5 | prompt_tokens=6896, candidates_tokens=355, total_tokens=8153
2025-11-21T19:08:08.501418 | ai_concepts_57 | chunk 6 | prompt_tokens=14512, candidates_tokens=464, total_tokens=15773
2025-11-21T19:08:44.420215 | ai_concepts_57 | chunk 7 | prompt_tokens=19296, candidates_tokens=152, total_tokens=19672
2025-11-21T19:09:37.380528 | ai_concepts_57 | chunk 8 | prompt_tokens=20122, candidates_tokens=375, total_tokens=21647
2025-11-21T19:10:19.971185 | ai_concepts_57 | chunk 9 | prompt_tokens=5223, candidates_tokens=343, total_tokens=6515
2025-11-21T19:11:10.194715 | ai_concepts_57 | chunk 10 | prompt_tokens=22694, candidates_tokens=418, total_tokens=24133
2025-11-21T19:11:46.339387 | ai_concepts_291 | chunk 0 | prompt_tokens=9626, candidates_tokens=287, total_tokens=10738
2025-11-21T19:12:04.793580 | ai_concepts_291 | chunk 1 | prompt_tokens=5173, candidates_tokens=177, total_tokens=5749
2025-11-21T19:12:32.047719 | ai_concepts_291 | chunk 2 | prompt_tokens=15053, candidates_tokens=99, total_tokens=15321
2025-11-21T19:12:52.919702 | ai_concepts_291 | chunk 3 | prompt_tokens=8236, candidates_tokens=204, total_tokens=8778
2025-11-21T19:13:12.448607 | ai_concepts_291 | chunk 4 | prompt_tokens=11116, candidates_tokens=80, total_tokens=11370
2025-11-21T19:13:39.446337 | ai_concepts_291 | chunk 5 | prompt_tokens=14770, candidates_tokens=106, total_tokens=15245
2025-11-21T19:14:07.205653 | ai_concepts_291 | chunk 6 | prompt_tokens=20097, candidates_tokens=88, total_tokens=20352
2025-11-21T19:14:35.283736 | ai_concepts_291 | chunk 7 | prompt_tokens=16801, candidates_tokens=76, total_tokens=17052
2025-11-21T19:14:52.509725 | ai_concepts_291 | chunk 8 | prompt_tokens=8261, candidates_tokens=116, total_tokens=8612
2025-11-21T19:15:20.024764 | ai_concepts_291 | chunk 9 | prompt_tokens=11965, candidates_tokens=129, total_tokens=12359
2025-11-21T19:15:41.686190 | ai_concepts_291 | chunk 10 | prompt_tokens=11607, candidates_tokens=315, total_tokens=12450
2025-11-21T19:16:10.533290 | ai_concepts_132 | chunk 0 | prompt_tokens=7645, candidates_tokens=230, total_tokens=8375
2025-11-21T19:16:33.635129 | ai_concepts_132 | chunk 1 | prompt_tokens=7953, candidates_tokens=207, total_tokens=8496
2025-11-21T19:16:56.149318 | ai_concepts_132 | chunk 2 | prompt_tokens=7129, candidates_tokens=212, total_tokens=7872
2025-11-21T19:17:29.746547 | ai_concepts_132 | chunk 3 | prompt_tokens=14562, candidates_tokens=317, total_tokens=15751
2025-11-21T19:17:45.186492 | ai_concepts_132 | chunk 4 | prompt_tokens=6230, candidates_tokens=139, total_tokens=6636
2025-11-21T19:18:05.065758 | ai_concepts_132 | chunk 5 | prompt_tokens=4834, candidates_tokens=216, total_tokens=5403
2025-11-21T19:18:33.400382 | ai_concepts_132 | chunk 6 | prompt_tokens=9651, candidates_tokens=261, total_tokens=10398
2025-11-21T19:19:20.195320 | ai_concepts_132 | chunk 7 | prompt_tokens=13380, candidates_tokens=205, total_tokens=14157
2025-11-21T19:19:56.120537 | ai_concepts_132 | chunk 8 | prompt_tokens=11607, candidates_tokens=210, total_tokens=12368
2025-11-21T19:20:42.656954 | ai_concepts_132 | chunk 9 | prompt_tokens=19789, candidates_tokens=206, total_tokens=20482
2025-11-21T19:21:30.890178 | ai_concepts_132 | chunk 10 | prompt_tokens=16801, candidates_tokens=165, total_tokens=17630
2025-11-21T19:22:16.700847 | ai_concepts_132 | chunk 11 | prompt_tokens=15927, candidates_tokens=238, total_tokens=16641
2025-11-21T19:22:30.337146 | ai_concepts_132 | chunk 12 | prompt_tokens=3400, candidates_tokens=127, total_tokens=3934
2025-11-21T19:22:38.577632 | ai_concepts_132 | chunk 13 | prompt_tokens=645, candidates_tokens=143, total_tokens=1111
2025-11-21T19:23:02.502278 | ai_concepts_258 | chunk 0 | prompt_tokens=12714, candidates_tokens=355, total_tokens=13691
2025-11-21T19:23:25.113958 | ai_concepts_258 | chunk 1 | prompt_tokens=21054, candidates_tokens=397, total_tokens=22028
2025-11-21T19:23:51.278126 | ai_concepts_258 | chunk 2 | prompt_tokens=13946, candidates_tokens=418, total_tokens=14920
2025-11-21T19:24:10.373993 | ai_concepts_258 | chunk 3 | prompt_tokens=9135, candidates_tokens=414, total_tokens=10038
2025-11-21T19:24:35.539840 | ai_concepts_258 | chunk 4 | prompt_tokens=12198, candidates_tokens=413, total_tokens=13714
2025-11-21T19:24:54.105214 | ai_concepts_258 | chunk 5 | prompt_tokens=7129, candidates_tokens=344, total_tokens=8179
2025-11-21T19:25:20.368149 | ai_concepts_258 | chunk 6 | prompt_tokens=13405, candidates_tokens=422, total_tokens=14937
2025-11-21T19:25:32.715247 | ai_concepts_258 | chunk 7 | prompt_tokens=4815, candidates_tokens=258, total_tokens=5359
2025-11-21T19:25:53.763064 | ai_concepts_258 | chunk 8 | prompt_tokens=8777, candidates_tokens=247, total_tokens=10210
2025-11-21T19:26:21.507282 | ai_concepts_258 | chunk 9 | prompt_tokens=15003, candidates_tokens=237, total_tokens=15860
2025-11-21T19:26:35.862239 | ai_concepts_258 | chunk 10 | prompt_tokens=5148, candidates_tokens=236, total_tokens=5730
2025-11-21T19:26:53.146363 | ai_concepts_258 | chunk 11 | prompt_tokens=6280, candidates_tokens=282, total_tokens=7218
2025-11-21T19:27:08.773539 | ai_concepts_258 | chunk 12 | prompt_tokens=3708, candidates_tokens=457, total_tokens=4569
2025-11-21T19:27:37.676797 | ai_concepts_258 | chunk 13 | prompt_tokens=13638, candidates_tokens=503, total_tokens=15105
2025-11-21T19:28:10.080305 | ai_concepts_176 | chunk 0 | prompt_tokens=12148, candidates_tokens=551, total_tokens=14770
2025-11-21T19:28:26.029560 | ai_concepts_176 | chunk 1 | prompt_tokens=11424, candidates_tokens=210, total_tokens=12231
2025-11-21T19:28:43.745138 | ai_concepts_176 | chunk 2 | prompt_tokens=8081, candidates_tokens=355, total_tokens=9158
2025-11-21T19:29:24.475745 | ai_concepts_176 | chunk 4 | prompt_tokens=26706, candidates_tokens=424, total_tokens=28007
2025-11-21T19:29:44.126459 | ai_concepts_176 | chunk 5 | prompt_tokens=6588, candidates_tokens=543, total_tokens=8267
2025-11-21T19:29:54.426784 | ai_concepts_176 | chunk 6 | prompt_tokens=2859, candidates_tokens=393, total_tokens=3670
2025-11-21T19:30:10.723539 | ai_concepts_176 | chunk 7 | prompt_tokens=8311, candidates_tokens=282, total_tokens=8950
2025-11-21T19:30:26.372835 | ai_concepts_176 | chunk 8 | prompt_tokens=9085, candidates_tokens=338, total_tokens=9967
2025-11-21T19:30:49.746066 | ai_concepts_176 | chunk 9 | prompt_tokens=17342, candidates_tokens=406, total_tokens=18768
2025-11-21T19:31:11.563917 | ai_concepts_176 | chunk 10 | prompt_tokens=18141, candidates_tokens=494, total_tokens=19451
2025-11-21T19:31:28.537063 | ai_concepts_176 | chunk 11 | prompt_tokens=9884, candidates_tokens=446, total_tokens=11022
2025-11-21T19:31:41.713259 | ai_concepts_176 | chunk 12 | prompt_tokens=7412, candidates_tokens=303, total_tokens=8281
2025-11-21T19:32:02.434184 | ai_concepts_176 | chunk 13 | prompt_tokens=12556, candidates_tokens=359, total_tokens=13736
2025-11-21T19:32:31.114011 | ai_concepts_176 | chunk 14 | prompt_tokens=14437, candidates_tokens=229, total_tokens=15381
2025-11-21T19:33:22.213842 | ai_concepts_419 | chunk 0 | prompt_tokens=16518, candidates_tokens=277, total_tokens=17728
2025-11-21T19:34:03.258462 | ai_concepts_419 | chunk 1 | prompt_tokens=19323, candidates_tokens=362, total_tokens=20547
2025-11-21T19:34:31.463865 | ai_concepts_419 | chunk 2 | prompt_tokens=8569, candidates_tokens=434, total_tokens=10019
2025-11-21T19:34:55.048520 | ai_concepts_419 | chunk 3 | prompt_tokens=7179, candidates_tokens=235, total_tokens=8381
2025-11-21T19:35:15.164946 | ai_concepts_419 | chunk 4 | prompt_tokens=7462, candidates_tokens=235, total_tokens=8338
2025-11-21T19:35:40.030219 | ai_concepts_419 | chunk 5 | prompt_tokens=9959, candidates_tokens=348, total_tokens=10821
2025-11-21T19:36:03.085055 | ai_concepts_419 | chunk 6 | prompt_tokens=10833, candidates_tokens=344, total_tokens=11965
2025-11-21T19:36:31.960592 | ai_concepts_419 | chunk 7 | prompt_tokens=11016, candidates_tokens=283, total_tokens=12613
2025-11-21T19:37:11.439570 | ai_concepts_419 | chunk 8 | prompt_tokens=19040, candidates_tokens=149, total_tokens=19456
2025-11-21T19:37:38.268863 | ai_concepts_419 | chunk 9 | prompt_tokens=9160, candidates_tokens=197, total_tokens=10270
