2025-11-21T00:48:20.307646 | ted_talks_433 | chunk 0 | prompt_tokens=2107, candidates_tokens=147, total_tokens=2254
2025-11-21T00:58:15.149310 | ted_talks_10 | chunk 6 | prompt_tokens=1407, candidates_tokens=106, total_tokens=1513
2025-11-21T00:58:20.157544 | ted_talks_10 | chunk 7 | prompt_tokens=982, candidates_tokens=99, total_tokens=1081
2025-11-21T00:58:26.603380 | ted_talks_10 | chunk 8 | prompt_tokens=1507, candidates_tokens=97, total_tokens=1604
2025-11-21T00:58:32.812863 | ted_talks_10 | chunk 9 | prompt_tokens=782, candidates_tokens=77, total_tokens=859
2025-11-21T00:58:38.263805 | ted_talks_10 | chunk 10 | prompt_tokens=982, candidates_tokens=96, total_tokens=1078
2025-11-21T00:58:44.457983 | ted_talks_10 | chunk 11 | prompt_tokens=1382, candidates_tokens=55, total_tokens=1437
2025-11-21T00:58:49.542460 | ted_talks_10 | chunk 12 | prompt_tokens=857, candidates_tokens=119, total_tokens=976
2025-11-21T00:58:56.242270 | ted_talks_325 | chunk 0 | prompt_tokens=2007, candidates_tokens=123, total_tokens=2130
2025-11-21T00:59:03.148930 | ted_talks_325 | chunk 1 | prompt_tokens=1332, candidates_tokens=97, total_tokens=1429
2025-11-21T00:59:13.012084 | ted_talks_325 | chunk 2 | prompt_tokens=1157, candidates_tokens=112, total_tokens=1269
2025-11-21T00:59:18.666036 | ted_talks_325 | chunk 3 | prompt_tokens=582, candidates_tokens=67, total_tokens=649
2025-11-21T00:59:23.449861 | ted_talks_325 | chunk 4 | prompt_tokens=807, candidates_tokens=77, total_tokens=884
2025-11-21T00:59:32.204238 | ted_talks_325 | chunk 5 | prompt_tokens=1032, candidates_tokens=105, total_tokens=1137
2025-11-21T00:59:36.435789 | ted_talks_325 | chunk 6 | prompt_tokens=707, candidates_tokens=58, total_tokens=765
2025-11-21T00:59:43.443978 | ted_talks_325 | chunk 7 | prompt_tokens=832, candidates_tokens=58, total_tokens=890
2025-11-21T00:59:55.729610 | ted_talks_325 | chunk 8 | prompt_tokens=2357, candidates_tokens=108, total_tokens=2465
2025-11-21T01:00:03.951262 | ted_talks_325 | chunk 9 | prompt_tokens=482, candidates_tokens=46, total_tokens=528
2025-11-21T01:00:10.376558 | ted_talks_325 | chunk 10 | prompt_tokens=732, candidates_tokens=71, total_tokens=803
2025-11-21T01:00:18.640444 | ted_talks_325 | chunk 11 | prompt_tokens=1132, candidates_tokens=84, total_tokens=1216
2025-11-21T01:00:23.114452 | ted_talks_325 | chunk 12 | prompt_tokens=807, candidates_tokens=73, total_tokens=880
2025-11-21T01:00:26.215742 | ted_talks_325 | chunk 13 | prompt_tokens=357, candidates_tokens=70, total_tokens=427
2025-11-21T01:00:32.972558 | ted_talks_325 | chunk 14 | prompt_tokens=1082, candidates_tokens=83, total_tokens=1165
2025-11-21T01:00:39.503307 | ted_talks_325 | chunk 15 | prompt_tokens=857, candidates_tokens=88, total_tokens=945
2025-11-21T01:00:47.190380 | ted_talks_325 | chunk 16 | prompt_tokens=1132, candidates_tokens=84, total_tokens=1216
2025-11-21T01:00:52.494998 | ted_talks_56 | chunk 0 | prompt_tokens=457, candidates_tokens=80, total_tokens=537
2025-11-21T01:00:57.814628 | ted_talks_56 | chunk 1 | prompt_tokens=707, candidates_tokens=62, total_tokens=769
2025-11-21T01:01:02.263171 | ted_talks_56 | chunk 2 | prompt_tokens=482, candidates_tokens=61, total_tokens=543
2025-11-21T01:01:07.465292 | ted_talks_56 | chunk 3 | prompt_tokens=982, candidates_tokens=78, total_tokens=1060
2025-11-21T01:01:11.616127 | ted_talks_56 | chunk 4 | prompt_tokens=657, candidates_tokens=42, total_tokens=699
2025-11-21T01:01:17.267063 | ted_talks_56 | chunk 5 | prompt_tokens=907, candidates_tokens=68, total_tokens=975
2025-11-21T01:01:22.154068 | ted_talks_56 | chunk 6 | prompt_tokens=607, candidates_tokens=69, total_tokens=676
2025-11-21T01:01:28.483083 | ted_talks_56 | chunk 7 | prompt_tokens=1207, candidates_tokens=88, total_tokens=1295
2025-11-21T01:01:38.330678 | ted_talks_56 | chunk 8 | prompt_tokens=1032, candidates_tokens=55, total_tokens=1087
2025-11-21T01:01:46.904140 | ted_talks_56 | chunk 9 | prompt_tokens=1782, candidates_tokens=82, total_tokens=1864
2025-11-21T01:01:55.662015 | ted_talks_56 | chunk 10 | prompt_tokens=1382, candidates_tokens=118, total_tokens=1500
2025-11-21T01:02:00.174636 | ted_talks_56 | chunk 11 | prompt_tokens=1182, candidates_tokens=71, total_tokens=1253
2025-11-21T01:02:16.572184 | ted_talks_56 | chunk 12 | prompt_tokens=2207, candidates_tokens=81, total_tokens=2288
2025-11-21T01:02:29.731077 | ted_talks_56 | chunk 13 | prompt_tokens=1632, candidates_tokens=74, total_tokens=1706
2025-11-21T01:02:34.356378 | ted_talks_368 | chunk 0 | prompt_tokens=1132, candidates_tokens=90, total_tokens=1222
2025-11-21T01:02:42.338519 | ted_talks_368 | chunk 1 | prompt_tokens=1507, candidates_tokens=90, total_tokens=1597
2025-11-21T01:03:01.889109 | ted_talks_368 | chunk 2 | prompt_tokens=1907, candidates_tokens=84, total_tokens=1991
2025-11-21T01:03:09.439034 | ted_talks_368 | chunk 3 | prompt_tokens=2132, candidates_tokens=104, total_tokens=2236
2025-11-21T01:03:17.861302 | ted_talks_368 | chunk 4 | prompt_tokens=1932, candidates_tokens=117, total_tokens=2049
2025-11-21T01:03:23.021573 | ted_talks_368 | chunk 5 | prompt_tokens=807, candidates_tokens=73, total_tokens=880
2025-11-21T01:03:26.942198 | ted_talks_368 | chunk 6 | prompt_tokens=432, candidates_tokens=62, total_tokens=494
2025-11-21T01:03:32.752169 | ted_talks_368 | chunk 7 | prompt_tokens=1132, candidates_tokens=93, total_tokens=1225
2025-11-21T01:03:39.756463 | ted_talks_368 | chunk 8 | prompt_tokens=707, candidates_tokens=61, total_tokens=768
2025-11-21T01:03:45.900273 | ted_talks_368 | chunk 9 | prompt_tokens=707, candidates_tokens=83, total_tokens=790
2025-11-21T01:03:53.801092 | ted_talks_300 | chunk 0 | prompt_tokens=1757, candidates_tokens=134, total_tokens=1891
2025-11-21T01:04:00.749106 | ted_talks_300 | chunk 1 | prompt_tokens=1907, candidates_tokens=86, total_tokens=1993
2025-11-21T01:04:08.554472 | ted_talks_300 | chunk 2 | prompt_tokens=1882, candidates_tokens=62, total_tokens=1944
2025-11-21T01:04:16.692946 | ted_talks_300 | chunk 3 | prompt_tokens=1457, candidates_tokens=81, total_tokens=1538
2025-11-21T01:04:23.104046 | ted_talks_300 | chunk 4 | prompt_tokens=1082, candidates_tokens=96, total_tokens=1178
2025-11-21T01:04:28.653753 | ted_talks_300 | chunk 5 | prompt_tokens=907, candidates_tokens=75, total_tokens=982
2025-11-21T01:04:34.061462 | ted_talks_300 | chunk 6 | prompt_tokens=657, candidates_tokens=73, total_tokens=730
2025-11-21T01:04:39.520913 | ted_talks_300 | chunk 7 | prompt_tokens=707, candidates_tokens=73, total_tokens=780
2025-11-21T01:04:45.576706 | ted_talks_300 | chunk 8 | prompt_tokens=832, candidates_tokens=55, total_tokens=887
2025-11-21T01:04:52.774663 | ted_talks_300 | chunk 9 | prompt_tokens=632, candidates_tokens=104, total_tokens=736
2025-11-21T01:04:58.485858 | ted_talks_300 | chunk 10 | prompt_tokens=957, candidates_tokens=83, total_tokens=1040
2025-11-21T01:05:04.657672 | ted_talks_300 | chunk 11 | prompt_tokens=1007, candidates_tokens=65, total_tokens=1072
2025-11-21T01:05:13.079843 | ted_talks_285 | chunk 0 | prompt_tokens=1332, candidates_tokens=86, total_tokens=1418
2025-11-21T01:05:18.427032 | ted_talks_285 | chunk 1 | prompt_tokens=1107, candidates_tokens=65, total_tokens=1172
2025-11-21T01:05:24.535007 | ted_talks_285 | chunk 2 | prompt_tokens=682, candidates_tokens=56, total_tokens=738
2025-11-21T01:05:29.214308 | ted_talks_285 | chunk 3 | prompt_tokens=607, candidates_tokens=68, total_tokens=675
2025-11-21T01:05:32.976329 | ted_talks_285 | chunk 4 | prompt_tokens=432, candidates_tokens=54, total_tokens=486
2025-11-21T01:05:36.953434 | ted_talks_285 | chunk 5 | prompt_tokens=407, candidates_tokens=56, total_tokens=463
2025-11-21T01:05:51.042238 | ted_talks_285 | chunk 6 | prompt_tokens=1657, candidates_tokens=121, total_tokens=1778
2025-11-21T01:05:55.572362 | ted_talks_285 | chunk 7 | prompt_tokens=857, candidates_tokens=85, total_tokens=942
2025-11-21T01:06:01.719885 | ted_talks_285 | chunk 8 | prompt_tokens=1132, candidates_tokens=100, total_tokens=1232
2025-11-21T01:06:08.573755 | ted_talks_285 | chunk 9 | prompt_tokens=1057, candidates_tokens=79, total_tokens=1136
2025-11-21T01:06:14.878842 | ted_talks_285 | chunk 10 | prompt_tokens=1207, candidates_tokens=80, total_tokens=1287
2025-11-21T01:06:19.943297 | ted_talks_285 | chunk 11 | prompt_tokens=782, candidates_tokens=84, total_tokens=866
2025-11-21T01:06:23.649816 | ted_talks_285 | chunk 12 | prompt_tokens=357, candidates_tokens=65, total_tokens=422
2025-11-21T01:06:28.935779 | ted_talks_285 | chunk 13 | prompt_tokens=932, candidates_tokens=70, total_tokens=1002
2025-11-21T01:06:33.678212 | ted_talks_285 | chunk 14 | prompt_tokens=882, candidates_tokens=67, total_tokens=949
2025-11-21T01:06:39.562671 | ted_talks_285 | chunk 15 | prompt_tokens=1082, candidates_tokens=105, total_tokens=1187
2025-11-21T01:06:44.533390 | ted_talks_285 | chunk 16 | prompt_tokens=1432, candidates_tokens=96, total_tokens=1528
2025-11-21T01:06:48.371528 | ted_talks_412 | chunk 0 | prompt_tokens=857, candidates_tokens=72, total_tokens=929
2025-11-21T01:06:53.912059 | ted_talks_412 | chunk 1 | prompt_tokens=882, candidates_tokens=70, total_tokens=952
2025-11-21T01:07:01.189581 | ted_talks_412 | chunk 2 | prompt_tokens=757, candidates_tokens=79, total_tokens=836
2025-11-21T01:07:05.833508 | ted_talks_412 | chunk 3 | prompt_tokens=557, candidates_tokens=80, total_tokens=637
2025-11-21T01:08:57.125367 | ted_talks_412 | chunk 4 | prompt_tokens=957, candidates_tokens=77, total_tokens=1034
2025-11-21T01:09:02.714783 | ted_talks_412 | chunk 5 | prompt_tokens=1182, candidates_tokens=83, total_tokens=1265
2025-11-21T01:09:09.293152 | ted_talks_412 | chunk 6 | prompt_tokens=557, candidates_tokens=44, total_tokens=601
2025-11-21T01:09:19.344324 | ted_talks_412 | chunk 7 | prompt_tokens=2082, candidates_tokens=130, total_tokens=2212
2025-11-21T01:09:28.605586 | ted_talks_412 | chunk 8 | prompt_tokens=2332, candidates_tokens=75, total_tokens=2407
2025-11-21T01:09:35.703495 | ted_talks_412 | chunk 9 | prompt_tokens=1532, candidates_tokens=92, total_tokens=1624
2025-11-21T01:09:45.637632 | ted_talks_412 | chunk 10 | prompt_tokens=1207, candidates_tokens=119, total_tokens=1326
2025-11-21T01:09:54.492038 | ted_talks_412 | chunk 11 | prompt_tokens=1382, candidates_tokens=74, total_tokens=1456
2025-11-21T01:10:00.582697 | ted_talks_412 | chunk 12 | prompt_tokens=807, candidates_tokens=93, total_tokens=900
2025-11-21T01:10:09.209236 | ted_talks_412 | chunk 13 | prompt_tokens=1082, candidates_tokens=136, total_tokens=1218
2025-11-21T01:10:16.881914 | ted_talks_412 | chunk 14 | prompt_tokens=707, candidates_tokens=79, total_tokens=786
2025-11-21T01:10:24.650179 | ted_talks_412 | chunk 15 | prompt_tokens=1257, candidates_tokens=112, total_tokens=1369
2025-11-21T01:10:38.017495 | ted_talks_82 | chunk 0 | prompt_tokens=1557, candidates_tokens=189, total_tokens=1746
2025-11-21T01:10:46.318247 | ted_talks_82 | chunk 1 | prompt_tokens=1907, candidates_tokens=130, total_tokens=2037
2025-11-21T01:10:58.430105 | ted_talks_82 | chunk 2 | prompt_tokens=1682, candidates_tokens=169, total_tokens=1851
2025-11-21T01:11:04.866499 | ted_talks_82 | chunk 3 | prompt_tokens=1282, candidates_tokens=89, total_tokens=1371
2025-11-21T01:11:12.415676 | ted_talks_82 | chunk 4 | prompt_tokens=857, candidates_tokens=93, total_tokens=950
2025-11-21T01:11:21.131845 | ted_talks_82 | chunk 5 | prompt_tokens=957, candidates_tokens=87, total_tokens=1044
2025-11-21T01:11:25.780835 | ted_talks_82 | chunk 6 | prompt_tokens=807, candidates_tokens=55, total_tokens=862
2025-11-21T01:11:30.914123 | ted_talks_82 | chunk 7 | prompt_tokens=1582, candidates_tokens=146, total_tokens=1728
2025-11-21T01:11:41.199484 | ted_talks_82 | chunk 8 | prompt_tokens=907, candidates_tokens=100, total_tokens=1007
2025-11-21T01:11:47.377652 | ted_talks_82 | chunk 9 | prompt_tokens=932, candidates_tokens=80, total_tokens=1012
2025-11-21T01:11:53.438020 | ted_talks_82 | chunk 10 | prompt_tokens=1507, candidates_tokens=103, total_tokens=1610
2025-11-21T01:11:58.314025 | ted_talks_82 | chunk 11 | prompt_tokens=557, candidates_tokens=68, total_tokens=625
2025-11-21T01:12:04.820257 | ted_talks_82 | chunk 12 | prompt_tokens=707, candidates_tokens=81, total_tokens=788
2025-11-21T01:12:15.269555 | ted_talks_82 | chunk 13 | prompt_tokens=1482, candidates_tokens=96, total_tokens=1578
2025-11-21T01:12:24.341175 | ted_talks_332 | chunk 0 | prompt_tokens=907, candidates_tokens=75, total_tokens=982
2025-11-21T01:12:35.131939 | ted_talks_332 | chunk 1 | prompt_tokens=1757, candidates_tokens=127, total_tokens=1884
2025-11-21T01:12:46.760465 | ted_talks_332 | chunk 2 | prompt_tokens=2307, candidates_tokens=177, total_tokens=2484
2025-11-21T01:12:58.461495 | ted_talks_332 | chunk 3 | prompt_tokens=1282, candidates_tokens=98, total_tokens=1380
2025-11-21T01:13:05.208720 | ted_talks_332 | chunk 4 | prompt_tokens=982, candidates_tokens=86, total_tokens=1068
2025-11-21T01:13:10.942552 | ted_talks_332 | chunk 5 | prompt_tokens=1307, candidates_tokens=66, total_tokens=1373
2025-11-21T01:13:20.873582 | ted_talks_332 | chunk 6 | prompt_tokens=1257, candidates_tokens=75, total_tokens=1332
2025-11-21T01:13:30.820707 | ted_talks_332 | chunk 7 | prompt_tokens=1382, candidates_tokens=78, total_tokens=1460
2025-11-21T01:13:40.015053 | ted_talks_332 | chunk 8 | prompt_tokens=582, candidates_tokens=64, total_tokens=646
2025-11-21T01:13:44.311307 | ted_talks_332 | chunk 9 | prompt_tokens=757, candidates_tokens=61, total_tokens=818
2025-11-21T01:13:49.399921 | ted_talks_332 | chunk 10 | prompt_tokens=907, candidates_tokens=84, total_tokens=991
2025-11-21T01:13:54.097660 | ted_talks_332 | chunk 11 | prompt_tokens=832, candidates_tokens=51, total_tokens=883
2025-11-21T01:14:05.570193 | ted_talks_391 | chunk 0 | prompt_tokens=2207, candidates_tokens=139, total_tokens=2346
2025-11-21T01:14:09.808937 | ted_talks_391 | chunk 1 | prompt_tokens=632, candidates_tokens=81, total_tokens=713
2025-11-21T01:14:13.893829 | ted_talks_391 | chunk 2 | prompt_tokens=557, candidates_tokens=70, total_tokens=627
2025-11-21T01:14:19.723710 | ted_talks_391 | chunk 3 | prompt_tokens=882, candidates_tokens=117, total_tokens=999
2025-11-21T01:14:28.376833 | ted_talks_391 | chunk 4 | prompt_tokens=1307, candidates_tokens=133, total_tokens=1440
2025-11-21T01:14:32.531199 | ted_talks_391 | chunk 5 | prompt_tokens=457, candidates_tokens=71, total_tokens=528
2025-11-21T01:14:36.266473 | ted_talks_391 | chunk 6 | prompt_tokens=407, candidates_tokens=48, total_tokens=455
2025-11-21T01:14:44.961844 | ted_talks_391 | chunk 7 | prompt_tokens=1232, candidates_tokens=113, total_tokens=1345
2025-11-21T01:14:53.368895 | ted_talks_391 | chunk 8 | prompt_tokens=1832, candidates_tokens=127, total_tokens=1959
2025-11-21T01:15:06.349538 | ted_talks_391 | chunk 9 | prompt_tokens=1082, candidates_tokens=132, total_tokens=1214
2025-11-21T01:15:12.688191 | ted_talks_391 | chunk 10 | prompt_tokens=682, candidates_tokens=63, total_tokens=745
2025-11-21T01:15:18.818430 | ted_talks_391 | chunk 11 | prompt_tokens=707, candidates_tokens=79, total_tokens=786
2025-11-21T01:15:27.675712 | ted_talks_391 | chunk 12 | prompt_tokens=1982, candidates_tokens=149, total_tokens=2131
2025-11-21T01:15:32.607810 | ted_talks_391 | chunk 13 | prompt_tokens=882, candidates_tokens=72, total_tokens=954
2025-11-21T01:15:44.686774 | ted_talks_391 | chunk 14 | prompt_tokens=2057, candidates_tokens=56, total_tokens=2113
2025-11-21T01:15:58.455204 | ted_talks_5 | chunk 0 | prompt_tokens=1957, candidates_tokens=103, total_tokens=2060
2025-11-21T01:16:06.022879 | ted_talks_5 | chunk 1 | prompt_tokens=907, candidates_tokens=72, total_tokens=979
2025-11-21T01:16:10.785942 | ted_talks_5 | chunk 2 | prompt_tokens=932, candidates_tokens=117, total_tokens=1049
2025-11-21T01:16:17.408649 | ted_talks_5 | chunk 3 | prompt_tokens=632, candidates_tokens=75, total_tokens=707
2025-11-21T01:16:26.756945 | ted_talks_5 | chunk 4 | prompt_tokens=1157, candidates_tokens=70, total_tokens=1227
2025-11-21T01:16:35.250061 | ted_talks_5 | chunk 5 | prompt_tokens=1957, candidates_tokens=171, total_tokens=2128
2025-11-21T01:16:41.933753 | ted_talks_5 | chunk 6 | prompt_tokens=2082, candidates_tokens=125, total_tokens=2207
2025-11-21T01:16:45.315973 | ted_talks_5 | chunk 7 | prompt_tokens=432, candidates_tokens=46, total_tokens=478
2025-11-21T01:16:52.443044 | ted_talks_5 | chunk 8 | prompt_tokens=1132, candidates_tokens=74, total_tokens=1206
2025-11-21T01:17:03.328623 | ted_talks_5 | chunk 9 | prompt_tokens=1507, candidates_tokens=93, total_tokens=1600
2025-11-21T01:17:09.527469 | ted_talks_5 | chunk 10 | prompt_tokens=1457, candidates_tokens=84, total_tokens=1541
2025-11-21T01:17:17.304914 | ted_talks_5 | chunk 11 | prompt_tokens=1982, candidates_tokens=99, total_tokens=2081
2025-11-21T01:17:25.203152 | ted_talks_236 | chunk 0 | prompt_tokens=1382, candidates_tokens=98, total_tokens=1480
2025-11-21T01:17:30.019826 | ted_talks_236 | chunk 1 | prompt_tokens=1207, candidates_tokens=74, total_tokens=1281
2025-11-21T01:17:33.772535 | ted_talks_236 | chunk 2 | prompt_tokens=632, candidates_tokens=73, total_tokens=705
2025-11-21T01:17:38.290508 | ted_talks_236 | chunk 3 | prompt_tokens=1057, candidates_tokens=94, total_tokens=1151
2025-11-21T01:17:47.507662 | ted_talks_236 | chunk 4 | prompt_tokens=1232, candidates_tokens=86, total_tokens=1318
2025-11-21T01:17:54.053519 | ted_talks_236 | chunk 5 | prompt_tokens=657, candidates_tokens=71, total_tokens=728
2025-11-21T01:18:00.973572 | ted_talks_236 | chunk 6 | prompt_tokens=1657, candidates_tokens=63, total_tokens=1720
2025-11-21T01:18:08.268550 | ted_talks_236 | chunk 7 | prompt_tokens=1232, candidates_tokens=84, total_tokens=1316
2025-11-21T01:18:21.484322 | ted_talks_236 | chunk 8 | prompt_tokens=1932, candidates_tokens=60, total_tokens=1992
