2025-11-21T00:10:31.029709 | ai_concepts_257 | chunk 0 | prompt_tokens=1161, candidates_tokens=175, total_tokens=1336
2025-11-21T00:20:52.441841 | ai_concepts_258 | chunk 10 | prompt_tokens=5148, candidates_tokens=274, total_tokens=5422
2025-11-21T00:21:00.211057 | ai_concepts_258 | chunk 11 | prompt_tokens=6280, candidates_tokens=269, total_tokens=6549
2025-11-21T00:21:07.642292 | ai_concepts_258 | chunk 12 | prompt_tokens=3708, candidates_tokens=211, total_tokens=3919
2025-11-21T00:21:17.426529 | ai_concepts_258 | chunk 13 | prompt_tokens=13638, candidates_tokens=348, total_tokens=13986
2025-11-21T00:21:27.703988 | ai_concepts_70 | chunk 0 | prompt_tokens=11890, candidates_tokens=247, total_tokens=12137
2025-11-21T00:21:36.748272 | ai_concepts_70 | chunk 1 | prompt_tokens=9468, candidates_tokens=267, total_tokens=9735
2025-11-21T00:21:44.548676 | ai_concepts_70 | chunk 2 | prompt_tokens=8827, candidates_tokens=285, total_tokens=9112
2025-11-21T00:21:53.929720 | ai_concepts_70 | chunk 3 | prompt_tokens=7953, candidates_tokens=347, total_tokens=8300
2025-11-21T00:22:03.417983 | ai_concepts_70 | chunk 4 | prompt_tokens=7695, candidates_tokens=398, total_tokens=8093
2025-11-21T00:22:12.434181 | ai_concepts_70 | chunk 5 | prompt_tokens=8311, candidates_tokens=313, total_tokens=8624
2025-11-21T00:22:19.735694 | ai_concepts_70 | chunk 6 | prompt_tokens=8827, candidates_tokens=298, total_tokens=9125
2025-11-21T00:22:27.169411 | ai_concepts_70 | chunk 7 | prompt_tokens=7978, candidates_tokens=238, total_tokens=8216
2025-11-21T00:22:36.708204 | ai_concepts_70 | chunk 8 | prompt_tokens=9934, candidates_tokens=279, total_tokens=10213
2025-11-21T00:22:45.528180 | ai_concepts_70 | chunk 9 | prompt_tokens=8211, candidates_tokens=329, total_tokens=8540
2025-11-21T00:22:53.855993 | ai_concepts_70 | chunk 10 | prompt_tokens=9676, candidates_tokens=250, total_tokens=9926
2025-11-21T00:23:01.842501 | ai_concepts_70 | chunk 11 | prompt_tokens=9110, candidates_tokens=218, total_tokens=9328
2025-11-21T00:23:08.619795 | ai_concepts_70 | chunk 12 | prompt_tokens=9443, candidates_tokens=159, total_tokens=9602
2025-11-21T00:23:21.634748 | ai_concepts_70 | chunk 13 | prompt_tokens=12173, candidates_tokens=411, total_tokens=12584
2025-11-21T00:23:29.868703 | ai_concepts_70 | chunk 14 | prompt_tokens=5481, candidates_tokens=234, total_tokens=5715
2025-11-21T00:23:38.420957 | ai_concepts_70 | chunk 15 | prompt_tokens=5148, candidates_tokens=192, total_tokens=5340
2025-11-21T00:23:45.455608 | ai_concepts_70 | chunk 16 | prompt_tokens=8827, candidates_tokens=267, total_tokens=9094
2025-11-21T00:23:56.439442 | ai_concepts_70 | chunk 17 | prompt_tokens=7695, candidates_tokens=265, total_tokens=7960
2025-11-21T00:24:05.261992 | ai_concepts_291 | chunk 0 | prompt_tokens=9626, candidates_tokens=187, total_tokens=9813
2025-11-21T00:24:11.894488 | ai_concepts_291 | chunk 1 | prompt_tokens=5173, candidates_tokens=121, total_tokens=5294
2025-11-21T00:24:20.398906 | ai_concepts_291 | chunk 2 | prompt_tokens=15053, candidates_tokens=114, total_tokens=15167
2025-11-21T00:24:30.471203 | ai_concepts_291 | chunk 3 | prompt_tokens=8236, candidates_tokens=225, total_tokens=8461
2025-11-21T00:24:39.586782 | ai_concepts_291 | chunk 4 | prompt_tokens=11116, candidates_tokens=94, total_tokens=11210
2025-11-21T00:24:52.511206 | ai_concepts_291 | chunk 5 | prompt_tokens=14770, candidates_tokens=126, total_tokens=14896
2025-11-21T00:25:04.606622 | ai_concepts_291 | chunk 6 | prompt_tokens=20097, candidates_tokens=95, total_tokens=20192
2025-11-21T00:25:13.929841 | ai_concepts_291 | chunk 7 | prompt_tokens=16801, candidates_tokens=119, total_tokens=16920
2025-11-21T00:25:22.134146 | ai_concepts_291 | chunk 8 | prompt_tokens=8261, candidates_tokens=178, total_tokens=8439
2025-11-21T00:25:30.886864 | ai_concepts_291 | chunk 9 | prompt_tokens=11965, candidates_tokens=212, total_tokens=12177
2025-11-21T00:25:42.135844 | ai_concepts_291 | chunk 10 | prompt_tokens=11607, candidates_tokens=248, total_tokens=11855
2025-11-21T00:25:54.930921 | ai_concepts_176 | chunk 0 | prompt_tokens=12148, candidates_tokens=175, total_tokens=12323
2025-11-21T00:26:04.912801 | ai_concepts_176 | chunk 1 | prompt_tokens=11424, candidates_tokens=226, total_tokens=11650
2025-11-21T00:26:13.948421 | ai_concepts_176 | chunk 2 | prompt_tokens=6821, candidates_tokens=253, total_tokens=7074
2025-11-21T00:26:21.232204 | ai_concepts_176 | chunk 3 | prompt_tokens=7387, candidates_tokens=260, total_tokens=7647
2025-11-21T00:26:36.271212 | ai_concepts_176 | chunk 4 | prompt_tokens=26706, candidates_tokens=263, total_tokens=26969
2025-11-21T00:26:44.114304 | ai_concepts_176 | chunk 5 | prompt_tokens=6588, candidates_tokens=235, total_tokens=6823
2025-11-21T00:26:51.412802 | ai_concepts_176 | chunk 6 | prompt_tokens=2859, candidates_tokens=195, total_tokens=3054
2025-11-21T00:27:00.719149 | ai_concepts_176 | chunk 7 | prompt_tokens=8311, candidates_tokens=262, total_tokens=8573
2025-11-21T00:27:08.284518 | ai_concepts_176 | chunk 8 | prompt_tokens=9085, candidates_tokens=252, total_tokens=9337
2025-11-21T00:27:17.911241 | ai_concepts_176 | chunk 9 | prompt_tokens=17342, candidates_tokens=231, total_tokens=17573
2025-11-21T00:27:29.202620 | ai_concepts_176 | chunk 10 | prompt_tokens=18141, candidates_tokens=240, total_tokens=18381
2025-11-21T00:27:36.551812 | ai_concepts_176 | chunk 11 | prompt_tokens=9884, candidates_tokens=262, total_tokens=10146
2025-11-21T00:27:43.751744 | ai_concepts_176 | chunk 12 | prompt_tokens=7412, candidates_tokens=231, total_tokens=7643
2025-11-21T00:27:53.648201 | ai_concepts_176 | chunk 13 | prompt_tokens=12556, candidates_tokens=263, total_tokens=12819
2025-11-21T00:28:03.190604 | ai_concepts_176 | chunk 14 | prompt_tokens=14437, candidates_tokens=237, total_tokens=14674
2025-11-21T00:28:27.555551 | ai_concepts_58 | chunk 0 | prompt_tokens=10758, candidates_tokens=178, total_tokens=10936
2025-11-21T00:28:39.656293 | ai_concepts_58 | chunk 1 | prompt_tokens=7079, candidates_tokens=277, total_tokens=7356
2025-11-21T00:28:47.659307 | ai_concepts_58 | chunk 2 | prompt_tokens=6563, candidates_tokens=207, total_tokens=6770
2025-11-21T00:28:55.836751 | ai_concepts_58 | chunk 3 | prompt_tokens=7953, candidates_tokens=179, total_tokens=8132
2025-11-21T00:29:16.447038 | ai_concepts_58 | chunk 4 | prompt_tokens=11632, candidates_tokens=265, total_tokens=11897
2025-11-21T00:29:33.211382 | ai_concepts_58 | chunk 5 | prompt_tokens=13663, candidates_tokens=239, total_tokens=13902
2025-11-21T00:29:44.244245 | ai_concepts_58 | chunk 6 | prompt_tokens=12015, candidates_tokens=210, total_tokens=12225
2025-11-21T00:30:06.090224 | ai_concepts_58 | chunk 7 | prompt_tokens=13688, candidates_tokens=221, total_tokens=13909
2025-11-21T00:30:20.706919 | ai_concepts_58 | chunk 8 | prompt_tokens=21329, candidates_tokens=304, total_tokens=21633
2025-11-21T00:30:33.212919 | ai_concepts_58 | chunk 9 | prompt_tokens=6771, candidates_tokens=237, total_tokens=7008
2025-11-21T00:30:44.296676 | ai_concepts_58 | chunk 10 | prompt_tokens=5689, candidates_tokens=200, total_tokens=5889
2025-11-21T00:31:04.835806 | ai_concepts_58 | chunk 11 | prompt_tokens=20738, candidates_tokens=305, total_tokens=21043
2025-11-21T00:31:17.568473 | ai_concepts_58 | chunk 12 | prompt_tokens=11682, candidates_tokens=280, total_tokens=11962
2025-11-21T00:31:34.324872 | ai_concepts_58 | chunk 13 | prompt_tokens=12531, candidates_tokens=300, total_tokens=12831
2025-11-21T00:31:53.168863 | ai_concepts_58 | chunk 14 | prompt_tokens=14154, candidates_tokens=241, total_tokens=14395
2025-11-21T00:32:09.494599 | ai_concepts_419 | chunk 0 | prompt_tokens=16518, candidates_tokens=213, total_tokens=16731
2025-11-21T00:32:27.438289 | ai_concepts_419 | chunk 1 | prompt_tokens=19323, candidates_tokens=318, total_tokens=19641
2025-11-21T00:32:35.399670 | ai_concepts_419 | chunk 2 | prompt_tokens=8569, candidates_tokens=185, total_tokens=8754
2025-11-21T00:32:45.256190 | ai_concepts_419 | chunk 3 | prompt_tokens=7179, candidates_tokens=273, total_tokens=7452
2025-11-21T00:32:54.740513 | ai_concepts_419 | chunk 4 | prompt_tokens=7462, candidates_tokens=236, total_tokens=7698
2025-11-21T00:33:02.505065 | ai_concepts_419 | chunk 5 | prompt_tokens=9959, candidates_tokens=221, total_tokens=10180
2025-11-21T00:33:10.628662 | ai_concepts_419 | chunk 6 | prompt_tokens=10833, candidates_tokens=190, total_tokens=11023
2025-11-21T00:33:22.198543 | ai_concepts_419 | chunk 7 | prompt_tokens=11016, candidates_tokens=215, total_tokens=11231
2025-11-21T00:33:35.017162 | ai_concepts_419 | chunk 8 | prompt_tokens=19040, candidates_tokens=253, total_tokens=19293
2025-11-21T00:33:44.265839 | ai_concepts_419 | chunk 9 | prompt_tokens=9160, candidates_tokens=201, total_tokens=9361
2025-11-21T00:33:51.594088 | ai_concepts_57 | chunk 0 | prompt_tokens=6488, candidates_tokens=188, total_tokens=6676
2025-11-21T00:34:08.658582 | ai_concepts_57 | chunk 1 | prompt_tokens=20197, candidates_tokens=281, total_tokens=20478
2025-11-21T00:34:24.763980 | ai_concepts_57 | chunk 2 | prompt_tokens=11091, candidates_tokens=399, total_tokens=11490
2025-11-21T00:34:31.664723 | ai_concepts_57 | chunk 3 | prompt_tokens=7437, candidates_tokens=190, total_tokens=7627
2025-11-21T00:34:40.185912 | ai_concepts_57 | chunk 4 | prompt_tokens=7928, candidates_tokens=320, total_tokens=8248
2025-11-21T00:34:48.765957 | ai_concepts_57 | chunk 5 | prompt_tokens=6896, candidates_tokens=176, total_tokens=7072
2025-11-21T00:35:01.135384 | ai_concepts_57 | chunk 6 | prompt_tokens=14512, candidates_tokens=254, total_tokens=14766
2025-11-21T00:35:15.387806 | ai_concepts_57 | chunk 7 | prompt_tokens=17625, candidates_tokens=433, total_tokens=18058
2025-11-21T00:35:32.075882 | ai_concepts_57 | chunk 8 | prompt_tokens=20122, candidates_tokens=360, total_tokens=20482
2025-11-21T00:35:42.682562 | ai_concepts_57 | chunk 9 | prompt_tokens=5223, candidates_tokens=255, total_tokens=5478
2025-11-21T00:35:59.700876 | ai_concepts_57 | chunk 10 | prompt_tokens=22694, candidates_tokens=290, total_tokens=22984
