2025-11-20T18:05:57.699338 | expert_interviews_9 | chunk 0 | prompt_tokens=1107, candidates_tokens=97, total_tokens=1204
2025-11-20T18:12:00.041111 | expert_interviews_509 | chunk 10 | prompt_tokens=707, candidates_tokens=66, total_tokens=773
2025-11-20T18:12:09.003915 | expert_interviews_509 | chunk 11 | prompt_tokens=1282, candidates_tokens=121, total_tokens=1403
2025-11-20T18:12:12.769017 | expert_interviews_509 | chunk 12 | prompt_tokens=432, candidates_tokens=48, total_tokens=480
2025-11-20T18:12:17.335340 | expert_interviews_509 | chunk 13 | prompt_tokens=1157, candidates_tokens=106, total_tokens=1263
2025-11-20T18:12:27.328026 | expert_interviews_509 | chunk 14 | prompt_tokens=1382, candidates_tokens=62, total_tokens=1444
2025-11-20T18:12:34.241593 | expert_interviews_509 | chunk 15 | prompt_tokens=1357, candidates_tokens=61, total_tokens=1418
2025-11-20T18:12:39.731944 | expert_interviews_498 | chunk 0 | prompt_tokens=632, candidates_tokens=74, total_tokens=706
2025-11-20T18:12:45.170566 | expert_interviews_498 | chunk 1 | prompt_tokens=782, candidates_tokens=82, total_tokens=864
2025-11-20T18:12:48.042687 | expert_interviews_498 | chunk 2 | prompt_tokens=682, candidates_tokens=63, total_tokens=745
2025-11-20T18:12:57.609784 | expert_interviews_498 | chunk 3 | prompt_tokens=2182, candidates_tokens=210, total_tokens=2392
2025-11-20T18:13:00.846869 | expert_interviews_498 | chunk 4 | prompt_tokens=482, candidates_tokens=63, total_tokens=545
2025-11-20T18:13:03.907759 | expert_interviews_498 | chunk 5 | prompt_tokens=532, candidates_tokens=67, total_tokens=599
2025-11-20T18:13:07.356680 | expert_interviews_498 | chunk 6 | prompt_tokens=657, candidates_tokens=74, total_tokens=731
2025-11-20T18:13:15.254428 | expert_interviews_498 | chunk 7 | prompt_tokens=1532, candidates_tokens=157, total_tokens=1689
2025-11-20T18:13:19.479236 | expert_interviews_498 | chunk 8 | prompt_tokens=1157, candidates_tokens=61, total_tokens=1218
2025-11-20T18:13:27.276574 | expert_interviews_498 | chunk 9 | prompt_tokens=1682, candidates_tokens=115, total_tokens=1797
2025-11-20T18:13:31.588722 | expert_interviews_498 | chunk 10 | prompt_tokens=1157, candidates_tokens=130, total_tokens=1287
2025-11-20T18:13:36.695198 | expert_interviews_498 | chunk 11 | prompt_tokens=657, candidates_tokens=60, total_tokens=717
2025-11-20T18:13:40.943126 | expert_interviews_498 | chunk 12 | prompt_tokens=957, candidates_tokens=123, total_tokens=1080
2025-11-20T18:13:45.628231 | expert_interviews_498 | chunk 13 | prompt_tokens=482, candidates_tokens=38, total_tokens=520
2025-11-20T18:13:52.215040 | expert_interviews_498 | chunk 14 | prompt_tokens=1382, candidates_tokens=92, total_tokens=1474
2025-11-20T18:13:58.638118 | expert_interviews_498 | chunk 15 | prompt_tokens=907, candidates_tokens=88, total_tokens=995
2025-11-20T18:14:06.254773 | expert_interviews_498 | chunk 16 | prompt_tokens=1957, candidates_tokens=136, total_tokens=2093
2025-11-20T18:14:09.676304 | expert_interviews_482 | chunk 0 | prompt_tokens=582, candidates_tokens=87, total_tokens=669
2025-11-20T18:14:18.038641 | expert_interviews_449 | chunk 0 | prompt_tokens=1632, candidates_tokens=128, total_tokens=1760
2025-11-20T18:14:22.560989 | expert_interviews_449 | chunk 1 | prompt_tokens=1257, candidates_tokens=84, total_tokens=1341
2025-11-20T18:14:28.185203 | expert_interviews_449 | chunk 2 | prompt_tokens=782, candidates_tokens=80, total_tokens=862
2025-11-20T18:14:31.565978 | expert_interviews_449 | chunk 3 | prompt_tokens=732, candidates_tokens=72, total_tokens=804
2025-11-20T18:14:36.139067 | expert_interviews_449 | chunk 4 | prompt_tokens=407, candidates_tokens=62, total_tokens=469
2025-11-20T18:14:41.318379 | expert_interviews_449 | chunk 5 | prompt_tokens=607, candidates_tokens=102, total_tokens=709
2025-11-20T18:14:45.947874 | expert_interviews_449 | chunk 6 | prompt_tokens=1232, candidates_tokens=119, total_tokens=1351
2025-11-20T18:14:49.762549 | expert_interviews_449 | chunk 7 | prompt_tokens=782, candidates_tokens=91, total_tokens=873
2025-11-20T18:14:53.143333 | expert_interviews_449 | chunk 8 | prompt_tokens=607, candidates_tokens=73, total_tokens=680
2025-11-20T18:14:59.935526 | expert_interviews_449 | chunk 9 | prompt_tokens=1157, candidates_tokens=92, total_tokens=1249
2025-11-20T18:15:05.672618 | expert_interviews_449 | chunk 10 | prompt_tokens=1157, candidates_tokens=99, total_tokens=1256
2025-11-20T18:15:11.707827 | expert_interviews_449 | chunk 11 | prompt_tokens=907, candidates_tokens=81, total_tokens=988
2025-11-20T18:15:16.307231 | expert_interviews_449 | chunk 12 | prompt_tokens=1207, candidates_tokens=124, total_tokens=1331
2025-11-20T18:15:22.768005 | expert_interviews_449 | chunk 13 | prompt_tokens=882, candidates_tokens=74, total_tokens=956
2025-11-20T18:15:29.115309 | expert_interviews_288 | chunk 0 | prompt_tokens=907, candidates_tokens=84, total_tokens=991
2025-11-20T18:15:33.620180 | expert_interviews_288 | chunk 1 | prompt_tokens=1457, candidates_tokens=133, total_tokens=1590
2025-11-20T18:15:37.246953 | expert_interviews_288 | chunk 2 | prompt_tokens=732, candidates_tokens=90, total_tokens=822
2025-11-20T18:15:45.132368 | expert_interviews_288 | chunk 3 | prompt_tokens=1732, candidates_tokens=100, total_tokens=1832
2025-11-20T18:15:53.967444 | expert_interviews_288 | chunk 4 | prompt_tokens=1707, candidates_tokens=122, total_tokens=1829
2025-11-20T18:16:00.893993 | expert_interviews_288 | chunk 5 | prompt_tokens=1407, candidates_tokens=66, total_tokens=1473
2025-11-20T18:16:03.517201 | expert_interviews_288 | chunk 6 | prompt_tokens=357, candidates_tokens=37, total_tokens=394
2025-11-20T18:16:09.655685 | expert_interviews_288 | chunk 7 | prompt_tokens=1207, candidates_tokens=64, total_tokens=1271
2025-11-20T18:16:14.242171 | expert_interviews_288 | chunk 8 | prompt_tokens=1332, candidates_tokens=78, total_tokens=1410
2025-11-20T18:16:20.677086 | expert_interviews_288 | chunk 9 | prompt_tokens=1607, candidates_tokens=95, total_tokens=1702
2025-11-20T18:16:29.012055 | expert_interviews_288 | chunk 10 | prompt_tokens=1657, candidates_tokens=117, total_tokens=1774
2025-11-20T18:16:35.135503 | expert_interviews_288 | chunk 11 | prompt_tokens=932, candidates_tokens=53, total_tokens=985
2025-11-20T18:16:40.812450 | expert_interviews_288 | chunk 12 | prompt_tokens=1457, candidates_tokens=95, total_tokens=1552
2025-11-20T18:16:47.662012 | expert_interviews_288 | chunk 13 | prompt_tokens=1007, candidates_tokens=104, total_tokens=1111
2025-11-20T18:16:52.219348 | expert_interviews_288 | chunk 14 | prompt_tokens=832, candidates_tokens=60, total_tokens=892
2025-11-20T18:16:56.735499 | expert_interviews_259 | chunk 0 | prompt_tokens=1457, candidates_tokens=87, total_tokens=1544
2025-11-20T18:17:02.388860 | expert_interviews_259 | chunk 1 | prompt_tokens=1757, candidates_tokens=125, total_tokens=1882
2025-11-20T18:17:09.399745 | expert_interviews_259 | chunk 2 | prompt_tokens=1432, candidates_tokens=71, total_tokens=1503
2025-11-20T18:17:15.788327 | expert_interviews_259 | chunk 3 | prompt_tokens=932, candidates_tokens=60, total_tokens=992
2025-11-20T18:17:21.644895 | expert_interviews_259 | chunk 4 | prompt_tokens=1082, candidates_tokens=62, total_tokens=1144
2025-11-20T18:18:03.642842 | expert_interviews_259 | chunk 5 | prompt_tokens=757, candidates_tokens=80, total_tokens=837
2025-11-20T18:18:09.154103 | expert_interviews_259 | chunk 6 | prompt_tokens=807, candidates_tokens=66, total_tokens=873
2025-11-20T18:18:14.826321 | expert_interviews_259 | chunk 7 | prompt_tokens=1607, candidates_tokens=152, total_tokens=1759
2025-11-20T18:18:21.421154 | expert_interviews_259 | chunk 8 | prompt_tokens=1182, candidates_tokens=85, total_tokens=1267
2025-11-20T18:18:26.023268 | expert_interviews_259 | chunk 9 | prompt_tokens=432, candidates_tokens=49, total_tokens=481
2025-11-20T18:18:30.455821 | expert_interviews_259 | chunk 10 | prompt_tokens=982, candidates_tokens=63, total_tokens=1045
2025-11-20T18:18:35.948257 | expert_interviews_259 | chunk 11 | prompt_tokens=1982, candidates_tokens=136, total_tokens=2118
2025-11-20T18:18:43.052603 | expert_interviews_259 | chunk 12 | prompt_tokens=1257, candidates_tokens=59, total_tokens=1316
2025-11-20T18:18:52.754202 | expert_interviews_259 | chunk 13 | prompt_tokens=2257, candidates_tokens=167, total_tokens=2424
2025-11-20T18:18:58.236942 | expert_interviews_259 | chunk 14 | prompt_tokens=582, candidates_tokens=85, total_tokens=667
2025-11-20T18:19:03.073307 | expert_interviews_126 | chunk 0 | prompt_tokens=432, candidates_tokens=94, total_tokens=526
2025-11-20T18:19:08.707366 | expert_interviews_126 | chunk 1 | prompt_tokens=957, candidates_tokens=71, total_tokens=1028
2025-11-20T18:19:18.373240 | expert_interviews_126 | chunk 2 | prompt_tokens=2207, candidates_tokens=122, total_tokens=2329
2025-11-20T18:19:22.875400 | expert_interviews_126 | chunk 3 | prompt_tokens=957, candidates_tokens=129, total_tokens=1086
2025-11-20T18:19:30.316322 | expert_interviews_126 | chunk 4 | prompt_tokens=1582, candidates_tokens=101, total_tokens=1683
2025-11-20T18:19:38.231645 | expert_interviews_126 | chunk 5 | prompt_tokens=1232, candidates_tokens=157, total_tokens=1389
2025-11-20T18:19:46.693852 | expert_interviews_126 | chunk 6 | prompt_tokens=1882, candidates_tokens=112, total_tokens=1994
2025-11-20T18:19:53.198933 | expert_interviews_126 | chunk 7 | prompt_tokens=857, candidates_tokens=108, total_tokens=965
2025-11-20T18:20:01.478068 | expert_interviews_126 | chunk 8 | prompt_tokens=1357, candidates_tokens=185, total_tokens=1542
2025-11-20T18:20:08.371741 | expert_interviews_126 | chunk 9 | prompt_tokens=732, candidates_tokens=109, total_tokens=841
2025-11-20T18:20:15.203306 | expert_interviews_126 | chunk 10 | prompt_tokens=807, candidates_tokens=92, total_tokens=899
2025-11-20T18:20:22.269468 | expert_interviews_126 | chunk 11 | prompt_tokens=1232, candidates_tokens=75, total_tokens=1307
2025-11-20T18:20:27.343955 | expert_interviews_126 | chunk 12 | prompt_tokens=457, candidates_tokens=58, total_tokens=515
2025-11-20T18:20:30.564458 | expert_interviews_126 | chunk 13 | prompt_tokens=282, candidates_tokens=67, total_tokens=349
2025-11-20T18:20:34.028365 | expert_interviews_126 | chunk 14 | prompt_tokens=207, candidates_tokens=52, total_tokens=259
2025-11-20T18:20:37.440193 | expert_interviews_126 | chunk 15 | prompt_tokens=182, candidates_tokens=37, total_tokens=219
2025-11-20T18:20:45.002044 | expert_interviews_126 | chunk 16 | prompt_tokens=1607, candidates_tokens=42, total_tokens=1649
2025-11-20T18:20:51.227045 | expert_interviews_126 | chunk 17 | prompt_tokens=1682, candidates_tokens=55, total_tokens=1737
2025-11-20T18:20:56.131815 | expert_interviews_396 | chunk 0 | prompt_tokens=507, candidates_tokens=44, total_tokens=551
2025-11-20T18:21:03.144132 | expert_interviews_396 | chunk 1 | prompt_tokens=1357, candidates_tokens=91, total_tokens=1448
2025-11-20T18:21:06.470169 | expert_interviews_396 | chunk 2 | prompt_tokens=532, candidates_tokens=76, total_tokens=608
2025-11-20T18:21:11.654562 | expert_interviews_396 | chunk 3 | prompt_tokens=557, candidates_tokens=59, total_tokens=616
2025-11-20T18:21:17.007147 | expert_interviews_396 | chunk 4 | prompt_tokens=1957, candidates_tokens=112, total_tokens=2069
2025-11-20T18:21:22.024316 | expert_interviews_396 | chunk 5 | prompt_tokens=1957, candidates_tokens=73, total_tokens=2030
2025-11-20T18:21:28.865160 | expert_interviews_396 | chunk 6 | prompt_tokens=1757, candidates_tokens=94, total_tokens=1851
2025-11-20T18:21:37.589829 | expert_interviews_396 | chunk 7 | prompt_tokens=1782, candidates_tokens=133, total_tokens=1915
2025-11-20T18:21:41.589941 | expert_interviews_396 | chunk 8 | prompt_tokens=732, candidates_tokens=85, total_tokens=817
2025-11-20T18:21:48.524316 | expert_interviews_396 | chunk 9 | prompt_tokens=2207, candidates_tokens=107, total_tokens=2314
2025-11-20T18:21:58.160400 | expert_interviews_396 | chunk 10 | prompt_tokens=1882, candidates_tokens=117, total_tokens=1999
2025-11-20T18:22:04.499862 | expert_interviews_396 | chunk 11 | prompt_tokens=882, candidates_tokens=87, total_tokens=969
2025-11-20T18:22:13.086682 | expert_interviews_348 | chunk 0 | prompt_tokens=1857, candidates_tokens=124, total_tokens=1981
2025-11-20T18:22:18.294399 | expert_interviews_348 | chunk 1 | prompt_tokens=557, candidates_tokens=68, total_tokens=625
2025-11-20T18:22:24.870816 | expert_interviews_348 | chunk 2 | prompt_tokens=1082, candidates_tokens=68, total_tokens=1150
2025-11-20T18:22:28.118464 | expert_interviews_348 | chunk 3 | prompt_tokens=807, candidates_tokens=54, total_tokens=861
2025-11-20T18:22:33.451782 | expert_interviews_348 | chunk 4 | prompt_tokens=707, candidates_tokens=70, total_tokens=777
2025-11-20T18:22:40.024184 | expert_interviews_348 | chunk 5 | prompt_tokens=957, candidates_tokens=93, total_tokens=1050
2025-11-20T18:22:45.260360 | expert_interviews_348 | chunk 6 | prompt_tokens=657, candidates_tokens=46, total_tokens=703
2025-11-20T18:22:51.477049 | expert_interviews_348 | chunk 7 | prompt_tokens=957, candidates_tokens=79, total_tokens=1036
2025-11-20T18:22:57.017261 | expert_interviews_348 | chunk 8 | prompt_tokens=807, candidates_tokens=74, total_tokens=881
2025-11-20T18:23:01.768000 | expert_interviews_348 | chunk 9 | prompt_tokens=457, candidates_tokens=73, total_tokens=530
2025-11-20T18:23:06.711486 | expert_interviews_348 | chunk 10 | prompt_tokens=857, candidates_tokens=87, total_tokens=944
2025-11-20T18:23:12.935754 | expert_interviews_348 | chunk 11 | prompt_tokens=957, candidates_tokens=83, total_tokens=1040
2025-11-20T18:23:20.769964 | expert_interviews_348 | chunk 12 | prompt_tokens=1632, candidates_tokens=103, total_tokens=1735
2025-11-20T18:23:27.032595 | expert_interviews_348 | chunk 13 | prompt_tokens=1907, candidates_tokens=174, total_tokens=2081
2025-11-20T18:23:31.750838 | expert_interviews_379 | chunk 0 | prompt_tokens=1332, candidates_tokens=144, total_tokens=1476
2025-11-20T18:23:43.414434 | expert_interviews_379 | chunk 1 | prompt_tokens=2332, candidates_tokens=136, total_tokens=2468
2025-11-20T18:23:52.596997 | expert_interviews_379 | chunk 2 | prompt_tokens=1857, candidates_tokens=104, total_tokens=1961
2025-11-20T18:23:58.038061 | expert_interviews_379 | chunk 3 | prompt_tokens=1807, candidates_tokens=127, total_tokens=1934
2025-11-20T18:24:09.169351 | expert_interviews_379 | chunk 4 | prompt_tokens=2257, candidates_tokens=185, total_tokens=2442
2025-11-20T18:24:16.852727 | expert_interviews_379 | chunk 5 | prompt_tokens=1157, candidates_tokens=132, total_tokens=1289
2025-11-20T18:24:23.331615 | expert_interviews_379 | chunk 6 | prompt_tokens=682, candidates_tokens=95, total_tokens=777
2025-11-20T18:24:29.616298 | expert_interviews_379 | chunk 7 | prompt_tokens=1307, candidates_tokens=149, total_tokens=1456
2025-11-20T18:24:34.527328 | expert_interviews_379 | chunk 8 | prompt_tokens=807, candidates_tokens=84, total_tokens=891
2025-11-20T18:24:44.923699 | expert_interviews_379 | chunk 9 | prompt_tokens=2282, candidates_tokens=104, total_tokens=2386
2025-11-20T18:24:55.161620 | expert_interviews_379 | chunk 10 | prompt_tokens=1807, candidates_tokens=263, total_tokens=2070
2025-11-20T18:25:01.302814 | expert_interviews_466 | chunk 0 | prompt_tokens=1032, candidates_tokens=101, total_tokens=1133
2025-11-20T18:25:07.943783 | expert_interviews_466 | chunk 1 | prompt_tokens=907, candidates_tokens=86, total_tokens=993
2025-11-20T18:25:12.987152 | expert_interviews_466 | chunk 2 | prompt_tokens=682, candidates_tokens=85, total_tokens=767
2025-11-20T18:25:17.111609 | expert_interviews_466 | chunk 3 | prompt_tokens=1157, candidates_tokens=85, total_tokens=1242
2025-11-20T18:25:19.910710 | expert_interviews_466 | chunk 4 | prompt_tokens=332, candidates_tokens=65, total_tokens=397
2025-11-20T18:25:28.718191 | expert_interviews_466 | chunk 5 | prompt_tokens=2082, candidates_tokens=83, total_tokens=2165
2025-11-20T18:25:32.753415 | expert_interviews_466 | chunk 6 | prompt_tokens=1032, candidates_tokens=82, total_tokens=1114
2025-11-20T18:25:37.313126 | expert_interviews_466 | chunk 7 | prompt_tokens=1507, candidates_tokens=113, total_tokens=1620
2025-11-20T18:25:43.110493 | expert_interviews_466 | chunk 8 | prompt_tokens=1732, candidates_tokens=143, total_tokens=1875
2025-11-20T18:25:46.994709 | expert_interviews_466 | chunk 9 | prompt_tokens=532, candidates_tokens=71, total_tokens=603
2025-11-20T18:25:52.561927 | expert_interviews_466 | chunk 10 | prompt_tokens=707, candidates_tokens=86, total_tokens=793
2025-11-20T18:25:58.213175 | expert_interviews_466 | chunk 11 | prompt_tokens=682, candidates_tokens=85, total_tokens=767
2025-11-20T18:26:02.344848 | expert_interviews_466 | chunk 12 | prompt_tokens=1007, candidates_tokens=68, total_tokens=1075
2025-11-20T18:26:09.303171 | expert_interviews_466 | chunk 13 | prompt_tokens=1982, candidates_tokens=101, total_tokens=2083
2025-11-20T18:26:14.867932 | expert_interviews_149 | chunk 0 | prompt_tokens=582, candidates_tokens=80, total_tokens=662
2025-11-20T18:26:21.003471 | expert_interviews_149 | chunk 1 | prompt_tokens=1357, candidates_tokens=147, total_tokens=1504
2025-11-20T18:26:29.546373 | expert_interviews_149 | chunk 2 | prompt_tokens=1957, candidates_tokens=118, total_tokens=2075
2025-11-20T18:26:35.689131 | expert_interviews_149 | chunk 3 | prompt_tokens=1632, candidates_tokens=214, total_tokens=1846
2025-11-20T18:26:45.437748 | expert_interviews_149 | chunk 4 | prompt_tokens=2032, candidates_tokens=182, total_tokens=2214
2025-11-20T18:26:50.757013 | expert_interviews_149 | chunk 5 | prompt_tokens=1332, candidates_tokens=165, total_tokens=1497
2025-11-20T18:26:57.289887 | expert_interviews_149 | chunk 6 | prompt_tokens=1007, candidates_tokens=91, total_tokens=1098
2025-11-20T18:27:02.565201 | expert_interviews_149 | chunk 7 | prompt_tokens=632, candidates_tokens=99, total_tokens=731
2025-11-20T18:27:10.229283 | expert_interviews_149 | chunk 8 | prompt_tokens=1482, candidates_tokens=88, total_tokens=1570
2025-11-20T18:27:13.563962 | expert_interviews_149 | chunk 9 | prompt_tokens=532, candidates_tokens=90, total_tokens=622
2025-11-20T18:27:20.734210 | expert_interviews_149 | chunk 10 | prompt_tokens=1307, candidates_tokens=83, total_tokens=1390
2025-11-20T18:27:24.191855 | expert_interviews_149 | chunk 11 | prompt_tokens=532, candidates_tokens=49, total_tokens=581
2025-11-20T18:27:30.926349 | expert_interviews_149 | chunk 12 | prompt_tokens=2332, candidates_tokens=147, total_tokens=2479
2025-11-20T18:27:34.536719 | expert_interviews_179 | chunk 0 | prompt_tokens=757, candidates_tokens=84, total_tokens=841
2025-11-20T18:27:39.819994 | expert_interviews_179 | chunk 1 | prompt_tokens=832, candidates_tokens=80, total_tokens=912
2025-11-20T18:27:43.481414 | expert_interviews_179 | chunk 2 | prompt_tokens=532, candidates_tokens=80, total_tokens=612
2025-11-20T18:27:49.505163 | expert_interviews_179 | chunk 3 | prompt_tokens=832, candidates_tokens=59, total_tokens=891
2025-11-20T18:27:54.307136 | expert_interviews_179 | chunk 4 | prompt_tokens=1132, candidates_tokens=50, total_tokens=1182
2025-11-20T18:27:59.809797 | expert_interviews_179 | chunk 5 | prompt_tokens=707, candidates_tokens=79, total_tokens=786
2025-11-20T18:28:07.066292 | expert_interviews_179 | chunk 6 | prompt_tokens=1007, candidates_tokens=70, total_tokens=1077
2025-11-20T18:28:13.700773 | expert_interviews_179 | chunk 7 | prompt_tokens=882, candidates_tokens=68, total_tokens=950
2025-11-20T18:28:20.757741 | expert_interviews_179 | chunk 8 | prompt_tokens=1057, candidates_tokens=91, total_tokens=1148
2025-11-20T18:28:30.363920 | expert_interviews_179 | chunk 9 | prompt_tokens=1957, candidates_tokens=106, total_tokens=2063
2025-11-20T18:28:35.971971 | expert_interviews_179 | chunk 10 | prompt_tokens=532, candidates_tokens=62, total_tokens=594
2025-11-20T18:28:42.209460 | expert_interviews_179 | chunk 11 | prompt_tokens=1707, candidates_tokens=70, total_tokens=1777
2025-11-20T18:28:49.860061 | expert_interviews_179 | chunk 12 | prompt_tokens=1257, candidates_tokens=123, total_tokens=1380
2025-11-20T18:28:54.266595 | expert_interviews_179 | chunk 13 | prompt_tokens=857, candidates_tokens=69, total_tokens=926
