2025-11-21T19:43:23.755969 | film_trailers_327 | chunk 0 | prompt_tokens=7054, candidates_tokens=270, total_tokens=7920
2025-11-21T20:04:13.158102 | film_trailers_689 | chunk 12 | prompt_tokens=8211, candidates_tokens=976, total_tokens=10656
2025-11-21T20:04:38.635079 | film_trailers_328 | chunk 0 | prompt_tokens=6513, candidates_tokens=181, total_tokens=7227
2025-11-21T20:04:50.920712 | film_trailers_328 | chunk 1 | prompt_tokens=2343, candidates_tokens=129, total_tokens=2782
2025-11-21T20:05:35.162932 | film_trailers_328 | chunk 2 | prompt_tokens=15644, candidates_tokens=395, total_tokens=17476
2025-11-21T20:06:19.385498 | film_trailers_328 | chunk 3 | prompt_tokens=14720, candidates_tokens=363, total_tokens=16241
2025-11-21T20:07:16.545043 | film_trailers_328 | chunk 4 | prompt_tokens=13921, candidates_tokens=294, total_tokens=15560
2025-11-21T20:08:03.496449 | film_trailers_328 | chunk 5 | prompt_tokens=18216, candidates_tokens=830, total_tokens=21013
2025-11-21T20:09:04.634020 | film_trailers_328 | chunk 6 | prompt_tokens=21845, candidates_tokens=354, total_tokens=23309
2025-11-21T20:09:25.870029 | film_trailers_328 | chunk 7 | prompt_tokens=4840, candidates_tokens=127, total_tokens=5208
2025-11-21T20:09:52.846049 | film_trailers_328 | chunk 8 | prompt_tokens=4299, candidates_tokens=517, total_tokens=6862
2025-11-21T20:10:37.184883 | film_trailers_328 | chunk 9 | prompt_tokens=13122, candidates_tokens=449, total_tokens=15132
2025-11-21T20:11:00.896590 | film_trailers_328 | chunk 10 | prompt_tokens=7179, candidates_tokens=240, total_tokens=8240
2025-11-21T20:11:29.434442 | film_trailers_328 | chunk 11 | prompt_tokens=9263, candidates_tokens=454, total_tokens=10618
2025-11-21T20:11:56.872481 | film_trailers_328 | chunk 12 | prompt_tokens=7462, candidates_tokens=213, total_tokens=8359
2025-11-21T20:12:19.051794 | film_trailers_328 | chunk 13 | prompt_tokens=6796, candidates_tokens=324, total_tokens=8192
2025-11-21T20:12:41.623056 | film_trailers_328 | chunk 14 | prompt_tokens=5481, candidates_tokens=138, total_tokens=6245
2025-11-21T20:13:14.024518 | film_trailers_328 | chunk 15 | prompt_tokens=11614, candidates_tokens=280, total_tokens=12490
2025-11-21T20:14:04.988577 | film_trailers_73 | chunk 0 | prompt_tokens=11582, candidates_tokens=372, total_tokens=13014
2025-11-21T20:14:37.619350 | film_trailers_73 | chunk 1 | prompt_tokens=8827, candidates_tokens=185, total_tokens=9511
2025-11-21T20:15:26.696472 | film_trailers_73 | chunk 2 | prompt_tokens=13969, candidates_tokens=266, total_tokens=15150
2025-11-21T20:16:00.504111 | film_trailers_73 | chunk 3 | prompt_tokens=9160, candidates_tokens=219, total_tokens=9842
2025-11-21T20:16:30.781182 | film_trailers_73 | chunk 4 | prompt_tokens=7129, candidates_tokens=169, total_tokens=7779
2025-11-21T20:17:28.934021 | film_trailers_73 | chunk 5 | prompt_tokens=17059, candidates_tokens=257, total_tokens=17425
2025-11-21T20:18:10.334909 | film_trailers_73 | chunk 6 | prompt_tokens=13980, candidates_tokens=221, total_tokens=14590
2025-11-21T20:19:38.423724 | film_trailers_73 | chunk 7 | prompt_tokens=30668, candidates_tokens=184, total_tokens=31192
2025-11-21T20:20:52.647075 | film_trailers_73 | chunk 8 | prompt_tokens=19839, candidates_tokens=341, total_tokens=21201
2025-11-21T20:21:09.263948 | film_trailers_73 | chunk 9 | prompt_tokens=4066, candidates_tokens=179, total_tokens=4489
2025-11-21T20:21:24.265505 | film_trailers_73 | chunk 10 | prompt_tokens=2884, candidates_tokens=132, total_tokens=3426
2025-11-21T20:21:37.488273 | film_trailers_20 | chunk 0 | prompt_tokens=3646, candidates_tokens=208, total_tokens=4445
2025-11-21T20:22:53.072006 | film_trailers_20 | chunk 1 | prompt_tokens=25191, candidates_tokens=364, total_tokens=26288
2025-11-21T20:24:03.719745 | film_trailers_20 | chunk 2 | prompt_tokens=17367, candidates_tokens=402, total_tokens=19348
2025-11-21T20:24:26.604345 | film_trailers_20 | chunk 3 | prompt_tokens=3683, candidates_tokens=252, total_tokens=4417
2025-11-21T20:24:56.255291 | film_trailers_20 | chunk 4 | prompt_tokens=9545, candidates_tokens=237, total_tokens=10679
2025-11-21T20:25:18.949506 | film_trailers_20 | chunk 5 | prompt_tokens=3708, candidates_tokens=198, total_tokens=4786
2025-11-21T20:25:40.237104 | film_trailers_20 | chunk 6 | prompt_tokens=6612, candidates_tokens=210, total_tokens=7569
2025-11-21T20:26:14.594775 | film_trailers_20 | chunk 7 | prompt_tokens=7695, candidates_tokens=280, total_tokens=9464
2025-11-21T20:26:43.401229 | film_trailers_20 | chunk 8 | prompt_tokens=6871, candidates_tokens=336, total_tokens=8009
2025-11-21T20:26:55.737144 | film_trailers_20 | chunk 9 | prompt_tokens=1777, candidates_tokens=184, total_tokens=2359
2025-11-21T20:27:23.835662 | film_trailers_20 | chunk 10 | prompt_tokens=5456, candidates_tokens=366, total_tokens=7076
2025-11-21T20:28:05.370437 | film_trailers_20 | chunk 11 | prompt_tokens=11990, candidates_tokens=271, total_tokens=13585
2025-11-21T20:28:58.515245 | film_trailers_20 | chunk 12 | prompt_tokens=21870, candidates_tokens=484, total_tokens=23369
2025-11-21T20:29:22.141886 | film_trailers_7 | chunk 0 | prompt_tokens=6488, candidates_tokens=255, total_tokens=7546
2025-11-21T20:29:57.228345 | film_trailers_7 | chunk 1 | prompt_tokens=12481, candidates_tokens=330, total_tokens=13564
2025-11-21T20:30:17.610258 | film_trailers_7 | chunk 2 | prompt_tokens=6280, candidates_tokens=94, total_tokens=6683
2025-11-21T20:30:38.378996 | film_trailers_7 | chunk 3 | prompt_tokens=8075, candidates_tokens=240, total_tokens=9454
2025-11-21T20:31:05.228103 | film_trailers_7 | chunk 4 | prompt_tokens=9060, candidates_tokens=180, total_tokens=9926
2025-11-21T20:31:35.665332 | film_trailers_7 | chunk 5 | prompt_tokens=13110, candidates_tokens=207, total_tokens=14272
2025-11-21T20:32:13.289060 | film_trailers_7 | chunk 6 | prompt_tokens=20469, candidates_tokens=266, total_tokens=21435
2025-11-21T20:32:46.172543 | film_trailers_7 | chunk 7 | prompt_tokens=13330, candidates_tokens=337, total_tokens=14653
2025-11-21T20:33:14.635090 | film_trailers_7 | chunk 8 | prompt_tokens=14291, candidates_tokens=167, total_tokens=14853
2025-11-21T20:34:01.948009 | film_trailers_7 | chunk 9 | prompt_tokens=22644, candidates_tokens=169, total_tokens=23114
2025-11-21T20:34:23.626735 | film_trailers_7 | chunk 10 | prompt_tokens=8311, candidates_tokens=205, total_tokens=8931
2025-11-21T20:34:49.776501 | film_trailers_7 | chunk 11 | prompt_tokens=12514, candidates_tokens=211, total_tokens=13437
2025-11-21T20:35:03.280125 | film_trailers_7 | chunk 12 | prompt_tokens=1777, candidates_tokens=189, total_tokens=2320
2025-11-21T20:35:24.992967 | film_trailers_7 | chunk 13 | prompt_tokens=6593, candidates_tokens=91, total_tokens=7009
2025-11-21T20:35:44.452547 | film_trailers_7 | chunk 14 | prompt_tokens=3080, candidates_tokens=170, total_tokens=3553
2025-11-21T20:36:49.461659 | film_trailers_479 | chunk 0 | prompt_tokens=14254, candidates_tokens=404, total_tokens=15522
2025-11-21T20:38:08.925709 | film_trailers_479 | chunk 1 | prompt_tokens=28427, candidates_tokens=128, total_tokens=28796
2025-11-21T20:38:32.400882 | film_trailers_479 | chunk 2 | prompt_tokens=4532, candidates_tokens=306, total_tokens=5480
2025-11-21T20:39:37.931098 | film_trailers_479 | chunk 3 | prompt_tokens=15386, candidates_tokens=242, total_tokens=16347
2025-11-21T20:39:56.552389 | film_trailers_479 | chunk 4 | prompt_tokens=5117, candidates_tokens=233, total_tokens=5915
2025-11-21T20:40:26.027328 | film_trailers_479 | chunk 5 | prompt_tokens=4815, candidates_tokens=248, total_tokens=5666
2025-11-21T20:41:06.766644 | film_trailers_479 | chunk 6 | prompt_tokens=10192, candidates_tokens=235, total_tokens=10930
2025-11-21T20:41:37.323681 | film_trailers_479 | chunk 7 | prompt_tokens=5729, candidates_tokens=172, total_tokens=6642
2025-11-21T20:42:03.373186 | film_trailers_479 | chunk 8 | prompt_tokens=4815, candidates_tokens=181, total_tokens=5502
2025-11-21T20:42:28.804521 | film_trailers_479 | chunk 9 | prompt_tokens=4249, candidates_tokens=303, total_tokens=5400
2025-11-21T20:43:12.801282 | film_trailers_479 | chunk 10 | prompt_tokens=13376, candidates_tokens=363, total_tokens=14981
2025-11-21T20:43:52.707964 | film_trailers_479 | chunk 11 | prompt_tokens=8752, candidates_tokens=249, total_tokens=9815
2025-11-21T20:45:27.359803 | film_trailers_479 | chunk 0 | prompt_tokens=14254, candidates_tokens=431, total_tokens=15925
2025-11-21T20:47:00.229083 | film_trailers_479 | chunk 1 | prompt_tokens=26040, candidates_tokens=355, total_tokens=27166
2025-11-21T20:47:24.848972 | film_trailers_479 | chunk 2 | prompt_tokens=4532, candidates_tokens=209, total_tokens=5380
2025-11-21T20:48:32.852116 | film_trailers_479 | chunk 3 | prompt_tokens=15386, candidates_tokens=348, total_tokens=17205
2025-11-21T20:48:51.820415 | film_trailers_479 | chunk 4 | prompt_tokens=3117, candidates_tokens=200, total_tokens=3668
2025-11-21T20:49:20.423302 | film_trailers_479 | chunk 5 | prompt_tokens=4815, candidates_tokens=274, total_tokens=5568
2025-11-21T20:50:07.512402 | film_trailers_479 | chunk 6 | prompt_tokens=10192, candidates_tokens=275, total_tokens=11236
2025-11-21T20:50:36.117025 | film_trailers_479 | chunk 7 | prompt_tokens=4890, candidates_tokens=176, total_tokens=5590
2025-11-21T20:51:06.416763 | film_trailers_479 | chunk 8 | prompt_tokens=4815, candidates_tokens=241, total_tokens=5553
2025-11-21T20:51:37.238872 | film_trailers_479 | chunk 9 | prompt_tokens=4249, candidates_tokens=260, total_tokens=5631
2025-11-21T20:52:26.576241 | film_trailers_479 | chunk 10 | prompt_tokens=13376, candidates_tokens=377, total_tokens=14861
2025-11-21T20:53:10.617165 | film_trailers_479 | chunk 11 | prompt_tokens=8752, candidates_tokens=283, total_tokens=9588
2025-11-21T20:54:32.383268 | film_trailers_479 | chunk 12 | prompt_tokens=17342, candidates_tokens=431, total_tokens=18427
2025-11-21T20:55:13.072386 | film_trailers_479 | chunk 13 | prompt_tokens=5689, candidates_tokens=274, total_tokens=6704
