2025-11-21T00:47:40.095697 | political_interviews_314 | chunk 0 | prompt_tokens=1507, candidates_tokens=112, total_tokens=1619
2025-11-21T00:50:48.885922 | political_interviews_60 | chunk 1 | prompt_tokens=307, candidates_tokens=55, total_tokens=362
2025-11-21T00:50:58.640666 | political_interviews_60 | chunk 2 | prompt_tokens=1207, candidates_tokens=73, total_tokens=1280
2025-11-21T00:51:15.663618 | political_interviews_60 | chunk 3 | prompt_tokens=1782, candidates_tokens=157, total_tokens=1939
2025-11-21T00:51:18.753383 | political_interviews_60 | chunk 4 | prompt_tokens=232, candidates_tokens=53, total_tokens=285
2025-11-21T00:51:25.438564 | political_interviews_60 | chunk 5 | prompt_tokens=1307, candidates_tokens=91, total_tokens=1398
2025-11-21T00:51:32.081819 | political_interviews_60 | chunk 6 | prompt_tokens=1682, candidates_tokens=138, total_tokens=1820
2025-11-21T00:51:57.188277 | political_interviews_60 | chunk 7 | prompt_tokens=1832, candidates_tokens=89, total_tokens=1921
2025-11-21T00:52:08.799565 | political_interviews_60 | chunk 8 | prompt_tokens=1957, candidates_tokens=97, total_tokens=2054
2025-11-21T00:52:16.729140 | political_interviews_60 | chunk 9 | prompt_tokens=857, candidates_tokens=104, total_tokens=961
2025-11-21T00:52:24.952523 | political_interviews_60 | chunk 10 | prompt_tokens=1307, candidates_tokens=88, total_tokens=1395
2025-11-21T00:52:28.554058 | political_interviews_60 | chunk 11 | prompt_tokens=607, candidates_tokens=67, total_tokens=674
2025-11-21T00:52:37.310999 | political_interviews_60 | chunk 12 | prompt_tokens=1257, candidates_tokens=109, total_tokens=1366
2025-11-21T00:52:49.173282 | political_interviews_60 | chunk 13 | prompt_tokens=1482, candidates_tokens=150, total_tokens=1632
2025-11-21T00:53:01.064939 | political_interviews_83 | chunk 0 | prompt_tokens=1307, candidates_tokens=112, total_tokens=1419
2025-11-21T00:53:03.216738 | political_interviews_83 | chunk 1 | prompt_tokens=157, candidates_tokens=25, total_tokens=182
2025-11-21T00:53:11.486425 | political_interviews_83 | chunk 2 | prompt_tokens=1357, candidates_tokens=145, total_tokens=1502
2025-11-21T00:53:20.133960 | political_interviews_83 | chunk 3 | prompt_tokens=757, candidates_tokens=89, total_tokens=846
2025-11-21T00:53:27.291316 | political_interviews_83 | chunk 4 | prompt_tokens=957, candidates_tokens=124, total_tokens=1081
2025-11-21T00:53:36.954033 | political_interviews_83 | chunk 5 | prompt_tokens=1332, candidates_tokens=112, total_tokens=1444
2025-11-21T00:53:46.221072 | political_interviews_83 | chunk 6 | prompt_tokens=757, candidates_tokens=113, total_tokens=870
2025-11-21T00:53:51.810045 | political_interviews_83 | chunk 7 | prompt_tokens=732, candidates_tokens=85, total_tokens=817
2025-11-21T00:54:05.369609 | political_interviews_83 | chunk 8 | prompt_tokens=782, candidates_tokens=95, total_tokens=877
2025-11-21T00:54:17.561106 | political_interviews_83 | chunk 9 | prompt_tokens=1907, candidates_tokens=228, total_tokens=2135
2025-11-21T00:54:26.662180 | political_interviews_83 | chunk 10 | prompt_tokens=982, candidates_tokens=116, total_tokens=1098
2025-11-21T00:54:43.224314 | political_interviews_83 | chunk 11 | prompt_tokens=1482, candidates_tokens=106, total_tokens=1588
2025-11-21T00:54:50.359472 | political_interviews_83 | chunk 12 | prompt_tokens=1357, candidates_tokens=78, total_tokens=1435
2025-11-21T00:54:58.837305 | political_interviews_244 | chunk 0 | prompt_tokens=1082, candidates_tokens=109, total_tokens=1191
2025-11-21T00:55:21.338116 | political_interviews_244 | chunk 1 | prompt_tokens=1932, candidates_tokens=151, total_tokens=2083
2025-11-21T00:55:30.915732 | political_interviews_244 | chunk 2 | prompt_tokens=932, candidates_tokens=59, total_tokens=991
2025-11-21T00:55:42.939212 | political_interviews_244 | chunk 3 | prompt_tokens=607, candidates_tokens=56, total_tokens=663
2025-11-21T00:55:54.437789 | political_interviews_244 | chunk 4 | prompt_tokens=1207, candidates_tokens=101, total_tokens=1308
2025-11-21T00:56:04.050603 | political_interviews_244 | chunk 5 | prompt_tokens=682, candidates_tokens=37, total_tokens=719
2025-11-21T00:56:42.153228 | political_interviews_244 | chunk 6 | prompt_tokens=1307, candidates_tokens=58, total_tokens=1365
2025-11-21T00:56:47.013102 | political_interviews_244 | chunk 7 | prompt_tokens=857, candidates_tokens=117, total_tokens=974
2025-11-21T00:56:56.854793 | political_interviews_244 | chunk 8 | prompt_tokens=957, candidates_tokens=81, total_tokens=1038
2025-11-21T00:57:04.285833 | political_interviews_244 | chunk 9 | prompt_tokens=1057, candidates_tokens=83, total_tokens=1140
2025-11-21T00:57:15.136947 | political_interviews_244 | chunk 10 | prompt_tokens=2007, candidates_tokens=199, total_tokens=2206
2025-11-21T00:57:19.209179 | political_interviews_515 | chunk 0 | prompt_tokens=657, candidates_tokens=73, total_tokens=730
2025-11-21T00:57:25.310628 | political_interviews_515 | chunk 1 | prompt_tokens=932, candidates_tokens=76, total_tokens=1008
2025-11-21T00:57:31.201543 | political_interviews_515 | chunk 2 | prompt_tokens=1257, candidates_tokens=118, total_tokens=1375
2025-11-21T00:57:35.404829 | political_interviews_515 | chunk 3 | prompt_tokens=757, candidates_tokens=61, total_tokens=818
2025-11-21T00:57:39.721795 | political_interviews_515 | chunk 4 | prompt_tokens=707, candidates_tokens=66, total_tokens=773
2025-11-21T00:57:42.544673 | political_interviews_515 | chunk 5 | prompt_tokens=257, candidates_tokens=39, total_tokens=296
2025-11-21T00:57:47.918455 | political_interviews_515 | chunk 6 | prompt_tokens=1607, candidates_tokens=82, total_tokens=1689
2025-11-21T00:57:50.743883 | political_interviews_515 | chunk 7 | prompt_tokens=357, candidates_tokens=44, total_tokens=401
2025-11-21T00:58:00.236219 | political_interviews_515 | chunk 8 | prompt_tokens=1257, candidates_tokens=110, total_tokens=1367
2025-11-21T00:58:07.031217 | political_interviews_515 | chunk 9 | prompt_tokens=1082, candidates_tokens=74, total_tokens=1156
2025-11-21T00:58:13.195528 | political_interviews_515 | chunk 10 | prompt_tokens=957, candidates_tokens=95, total_tokens=1052
2025-11-21T00:58:18.799888 | political_interviews_515 | chunk 11 | prompt_tokens=1307, candidates_tokens=97, total_tokens=1404
2025-11-21T00:58:24.661978 | political_interviews_515 | chunk 12 | prompt_tokens=1257, candidates_tokens=96, total_tokens=1353
2025-11-21T00:58:27.608846 | political_interviews_515 | chunk 13 | prompt_tokens=282, candidates_tokens=49, total_tokens=331
2025-11-21T00:58:33.335549 | political_interviews_522 | chunk 0 | prompt_tokens=557, candidates_tokens=103, total_tokens=660
2025-11-21T00:58:40.395893 | political_interviews_522 | chunk 1 | prompt_tokens=1232, candidates_tokens=110, total_tokens=1342
2025-11-21T00:58:47.084614 | political_interviews_522 | chunk 2 | prompt_tokens=1432, candidates_tokens=102, total_tokens=1534
2025-11-21T00:58:53.731438 | political_interviews_522 | chunk 3 | prompt_tokens=1957, candidates_tokens=85, total_tokens=2042
2025-11-21T00:58:59.174494 | political_interviews_522 | chunk 4 | prompt_tokens=1157, candidates_tokens=110, total_tokens=1267
2025-11-21T00:59:03.040834 | political_interviews_522 | chunk 5 | prompt_tokens=482, candidates_tokens=64, total_tokens=546
2025-11-21T00:59:08.628548 | political_interviews_522 | chunk 6 | prompt_tokens=1007, candidates_tokens=81, total_tokens=1088
2025-11-21T00:59:14.216195 | political_interviews_522 | chunk 7 | prompt_tokens=632, candidates_tokens=72, total_tokens=704
2025-11-21T00:59:19.571813 | political_interviews_522 | chunk 8 | prompt_tokens=707, candidates_tokens=115, total_tokens=822
2025-11-21T00:59:25.315486 | political_interviews_522 | chunk 9 | prompt_tokens=957, candidates_tokens=156, total_tokens=1113
2025-11-21T00:59:33.772127 | political_interviews_522 | chunk 10 | prompt_tokens=1507, candidates_tokens=100, total_tokens=1607
2025-11-21T00:59:46.588955 | political_interviews_522 | chunk 11 | prompt_tokens=1957, candidates_tokens=158, total_tokens=2115
2025-11-21T00:59:55.690234 | political_interviews_522 | chunk 12 | prompt_tokens=1182, candidates_tokens=136, total_tokens=1318
2025-11-21T01:00:01.559862 | political_interviews_522 | chunk 13 | prompt_tokens=482, candidates_tokens=47, total_tokens=529
2025-11-21T01:00:07.107222 | political_interviews_158 | chunk 0 | prompt_tokens=1282, candidates_tokens=61, total_tokens=1343
2025-11-21T01:00:11.775579 | political_interviews_158 | chunk 1 | prompt_tokens=682, candidates_tokens=58, total_tokens=740
2025-11-21T01:00:18.986105 | political_interviews_158 | chunk 2 | prompt_tokens=407, candidates_tokens=112, total_tokens=519
2025-11-21T01:00:22.758358 | political_interviews_158 | chunk 3 | prompt_tokens=457, candidates_tokens=91, total_tokens=548
2025-11-21T01:00:28.234988 | political_interviews_158 | chunk 4 | prompt_tokens=1007, candidates_tokens=156, total_tokens=1163
2025-11-21T01:00:34.257295 | political_interviews_158 | chunk 5 | prompt_tokens=1432, candidates_tokens=94, total_tokens=1526
2025-11-21T01:00:41.318492 | political_interviews_158 | chunk 6 | prompt_tokens=1357, candidates_tokens=132, total_tokens=1489
2025-11-21T01:00:51.540724 | political_interviews_158 | chunk 7 | prompt_tokens=1107, candidates_tokens=99, total_tokens=1206
2025-11-21T01:00:57.236036 | political_interviews_158 | chunk 8 | prompt_tokens=1032, candidates_tokens=76, total_tokens=1108
2025-11-21T01:01:01.791120 | political_interviews_158 | chunk 9 | prompt_tokens=782, candidates_tokens=73, total_tokens=855
2025-11-21T01:01:07.180739 | political_interviews_158 | chunk 10 | prompt_tokens=1082, candidates_tokens=90, total_tokens=1172
2025-11-21T01:01:15.033675 | political_interviews_158 | chunk 11 | prompt_tokens=1432, candidates_tokens=125, total_tokens=1557
2025-11-21T01:01:22.448225 | political_interviews_158 | chunk 12 | prompt_tokens=882, candidates_tokens=63, total_tokens=945
2025-11-21T01:01:29.700020 | political_interviews_158 | chunk 13 | prompt_tokens=1257, candidates_tokens=103, total_tokens=1360
2025-11-21T01:01:38.815851 | political_interviews_158 | chunk 14 | prompt_tokens=1957, candidates_tokens=122, total_tokens=2079
2025-11-21T01:01:45.930330 | political_interviews_437 | chunk 0 | prompt_tokens=1182, candidates_tokens=77, total_tokens=1259
2025-11-21T01:01:48.990511 | political_interviews_437 | chunk 1 | prompt_tokens=457, candidates_tokens=71, total_tokens=528
2025-11-21T01:01:52.346962 | political_interviews_437 | chunk 2 | prompt_tokens=757, candidates_tokens=74, total_tokens=831
2025-11-21T01:01:57.594244 | political_interviews_437 | chunk 3 | prompt_tokens=832, candidates_tokens=83, total_tokens=915
2025-11-21T01:02:00.610727 | political_interviews_437 | chunk 4 | prompt_tokens=857, candidates_tokens=90, total_tokens=947
2025-11-21T01:02:07.332363 | political_interviews_437 | chunk 5 | prompt_tokens=1707, candidates_tokens=73, total_tokens=1780
2025-11-21T01:02:11.922064 | political_interviews_437 | chunk 6 | prompt_tokens=957, candidates_tokens=82, total_tokens=1039
2025-11-21T01:02:19.487279 | political_interviews_437 | chunk 7 | prompt_tokens=907, candidates_tokens=76, total_tokens=983
2025-11-21T01:02:55.685124 | political_interviews_437 | chunk 8 | prompt_tokens=832, candidates_tokens=84, total_tokens=916
2025-11-21T01:03:01.266513 | political_interviews_437 | chunk 9 | prompt_tokens=782, candidates_tokens=49, total_tokens=831
2025-11-21T01:03:04.690795 | political_interviews_437 | chunk 10 | prompt_tokens=532, candidates_tokens=76, total_tokens=608
2025-11-21T01:03:09.633406 | political_interviews_437 | chunk 11 | prompt_tokens=1032, candidates_tokens=64, total_tokens=1096
2025-11-21T01:03:16.465731 | political_interviews_437 | chunk 12 | prompt_tokens=1257, candidates_tokens=57, total_tokens=1314
2025-11-21T01:03:21.797666 | political_interviews_437 | chunk 13 | prompt_tokens=1032, candidates_tokens=92, total_tokens=1124
2025-11-21T01:03:26.306003 | political_interviews_413 | chunk 0 | prompt_tokens=1007, candidates_tokens=64, total_tokens=1071
2025-11-21T01:03:36.560833 | political_interviews_413 | chunk 1 | prompt_tokens=2307, candidates_tokens=179, total_tokens=2486
2025-11-21T01:03:45.553154 | political_interviews_413 | chunk 2 | prompt_tokens=1457, candidates_tokens=114, total_tokens=1571
2025-11-21T01:03:52.041911 | political_interviews_413 | chunk 3 | prompt_tokens=982, candidates_tokens=73, total_tokens=1055
2025-11-21T01:03:59.630051 | political_interviews_413 | chunk 4 | prompt_tokens=2232, candidates_tokens=132, total_tokens=2364
2025-11-21T01:04:08.917520 | political_interviews_413 | chunk 5 | prompt_tokens=2382, candidates_tokens=137, total_tokens=2519
2025-11-21T01:04:15.747928 | political_interviews_413 | chunk 6 | prompt_tokens=1257, candidates_tokens=97, total_tokens=1354
2025-11-21T01:04:20.280686 | political_interviews_413 | chunk 7 | prompt_tokens=607, candidates_tokens=63, total_tokens=670
2025-11-21T01:04:25.532713 | political_interviews_413 | chunk 8 | prompt_tokens=1032, candidates_tokens=76, total_tokens=1108
2025-11-21T01:04:34.407092 | political_interviews_413 | chunk 9 | prompt_tokens=1657, candidates_tokens=112, total_tokens=1769
2025-11-21T01:04:44.133639 | political_interviews_413 | chunk 10 | prompt_tokens=1582, candidates_tokens=99, total_tokens=1681
2025-11-21T01:04:56.667237 | political_interviews_413 | chunk 11 | prompt_tokens=1482, candidates_tokens=129, total_tokens=1611
2025-11-21T01:05:07.936346 | political_interviews_271 | chunk 0 | prompt_tokens=1857, candidates_tokens=99, total_tokens=1956
2025-11-21T01:05:12.089761 | political_interviews_271 | chunk 1 | prompt_tokens=457, candidates_tokens=51, total_tokens=508
2025-11-21T01:05:21.459373 | political_interviews_271 | chunk 2 | prompt_tokens=1607, candidates_tokens=125, total_tokens=1732
2025-11-21T01:05:28.279314 | political_interviews_271 | chunk 3 | prompt_tokens=1032, candidates_tokens=81, total_tokens=1113
2025-11-21T01:05:35.751928 | political_interviews_271 | chunk 4 | prompt_tokens=982, candidates_tokens=52, total_tokens=1034
2025-11-21T01:05:46.389959 | political_interviews_271 | chunk 5 | prompt_tokens=1257, candidates_tokens=61, total_tokens=1318
2025-11-21T01:05:54.105047 | political_interviews_271 | chunk 6 | prompt_tokens=1707, candidates_tokens=70, total_tokens=1777
2025-11-21T01:06:54.132098 | political_interviews_271 | chunk 7 | prompt_tokens=782, candidates_tokens=73, total_tokens=855
2025-11-21T01:07:04.639069 | political_interviews_271 | chunk 8 | prompt_tokens=2107, candidates_tokens=135, total_tokens=2242
2025-11-21T01:07:12.116460 | political_interviews_271 | chunk 9 | prompt_tokens=1432, candidates_tokens=167, total_tokens=1599
2025-11-21T01:07:18.680054 | political_interviews_271 | chunk 10 | prompt_tokens=1207, candidates_tokens=91, total_tokens=1298
2025-11-21T01:07:24.555371 | political_interviews_271 | chunk 11 | prompt_tokens=957, candidates_tokens=57, total_tokens=1014
2025-11-21T01:07:30.496210 | political_interviews_271 | chunk 12 | prompt_tokens=1407, candidates_tokens=74, total_tokens=1481
2025-11-21T01:07:39.456806 | political_interviews_479 | chunk 0 | prompt_tokens=2357, candidates_tokens=118, total_tokens=2475
2025-11-21T01:07:44.028093 | political_interviews_479 | chunk 1 | prompt_tokens=1107, candidates_tokens=78, total_tokens=1185
2025-11-21T01:07:53.073335 | political_interviews_479 | chunk 2 | prompt_tokens=1757, candidates_tokens=91, total_tokens=1848
2025-11-21T01:07:59.638635 | political_interviews_479 | chunk 3 | prompt_tokens=1857, candidates_tokens=80, total_tokens=1937
2025-11-21T01:08:07.687392 | political_interviews_479 | chunk 4 | prompt_tokens=1957, candidates_tokens=101, total_tokens=2058
2025-11-21T01:08:11.945928 | political_interviews_479 | chunk 5 | prompt_tokens=1032, candidates_tokens=66, total_tokens=1098
2025-11-21T01:08:16.889290 | political_interviews_479 | chunk 6 | prompt_tokens=1132, candidates_tokens=92, total_tokens=1224
2025-11-21T01:08:21.085290 | political_interviews_479 | chunk 7 | prompt_tokens=982, candidates_tokens=98, total_tokens=1080
2025-11-21T01:08:24.150422 | political_interviews_261 | chunk 0 | prompt_tokens=407, candidates_tokens=87, total_tokens=494
2025-11-21T01:08:29.601284 | political_interviews_261 | chunk 1 | prompt_tokens=1007, candidates_tokens=75, total_tokens=1082
2025-11-21T01:08:39.502544 | political_interviews_261 | chunk 2 | prompt_tokens=2282, candidates_tokens=174, total_tokens=2456
2025-11-21T01:08:45.966819 | political_interviews_261 | chunk 3 | prompt_tokens=1032, candidates_tokens=75, total_tokens=1107
2025-11-21T01:08:53.627523 | political_interviews_261 | chunk 4 | prompt_tokens=1557, candidates_tokens=82, total_tokens=1639
2025-11-21T01:08:59.095273 | political_interviews_261 | chunk 5 | prompt_tokens=1057, candidates_tokens=97, total_tokens=1154
2025-11-21T01:09:02.669055 | political_interviews_261 | chunk 6 | prompt_tokens=682, candidates_tokens=65, total_tokens=747
2025-11-21T01:09:09.722878 | political_interviews_261 | chunk 7 | prompt_tokens=1082, candidates_tokens=91, total_tokens=1173
2025-11-21T01:09:15.778187 | political_interviews_261 | chunk 8 | prompt_tokens=1032, candidates_tokens=61, total_tokens=1093
2025-11-21T01:09:20.835266 | political_interviews_261 | chunk 9 | prompt_tokens=807, candidates_tokens=70, total_tokens=877
2025-11-21T01:09:27.082064 | political_interviews_261 | chunk 10 | prompt_tokens=1357, candidates_tokens=89, total_tokens=1446
2025-11-21T01:09:32.731684 | political_interviews_246 | chunk 0 | prompt_tokens=1057, candidates_tokens=64, total_tokens=1121
2025-11-21T01:09:40.101471 | political_interviews_246 | chunk 1 | prompt_tokens=1407, candidates_tokens=98, total_tokens=1505
2025-11-21T01:09:49.393795 | political_interviews_246 | chunk 2 | prompt_tokens=1207, candidates_tokens=107, total_tokens=1314
2025-11-21T01:09:54.475754 | political_interviews_246 | chunk 3 | prompt_tokens=832, candidates_tokens=69, total_tokens=901
2025-11-21T01:10:02.086074 | political_interviews_246 | chunk 4 | prompt_tokens=2132, candidates_tokens=95, total_tokens=2227
2025-11-21T01:10:08.794718 | political_interviews_246 | chunk 5 | prompt_tokens=957, candidates_tokens=79, total_tokens=1036
2025-11-21T01:10:19.702298 | political_interviews_246 | chunk 6 | prompt_tokens=1332, candidates_tokens=137, total_tokens=1469
2025-11-21T01:10:25.753922 | political_interviews_246 | chunk 7 | prompt_tokens=982, candidates_tokens=91, total_tokens=1073
2025-11-21T01:10:35.870770 | political_interviews_246 | chunk 8 | prompt_tokens=1257, candidates_tokens=159, total_tokens=1416
2025-11-21T01:10:44.831781 | political_interviews_246 | chunk 9 | prompt_tokens=1357, candidates_tokens=85, total_tokens=1442
2025-11-21T01:10:51.779954 | political_interviews_246 | chunk 10 | prompt_tokens=682, candidates_tokens=73, total_tokens=755
2025-11-21T01:11:02.528014 | political_interviews_246 | chunk 11 | prompt_tokens=1282, candidates_tokens=86, total_tokens=1368
2025-11-21T01:11:07.202142 | political_interviews_246 | chunk 12 | prompt_tokens=707, candidates_tokens=83, total_tokens=790
2025-11-21T01:11:13.670602 | political_interviews_460 | chunk 0 | prompt_tokens=732, candidates_tokens=90, total_tokens=822
2025-11-21T01:11:21.594384 | political_interviews_460 | chunk 1 | prompt_tokens=707, candidates_tokens=49, total_tokens=756
2025-11-21T01:11:25.887212 | political_interviews_460 | chunk 2 | prompt_tokens=682, candidates_tokens=88, total_tokens=770
2025-11-21T01:11:30.899637 | political_interviews_460 | chunk 3 | prompt_tokens=1482, candidates_tokens=71, total_tokens=1553
2025-11-21T01:11:35.018693 | political_interviews_460 | chunk 4 | prompt_tokens=932, candidates_tokens=112, total_tokens=1044
2025-11-21T01:11:38.640385 | political_interviews_460 | chunk 5 | prompt_tokens=582, candidates_tokens=60, total_tokens=642
2025-11-21T01:11:43.271912 | political_interviews_460 | chunk 6 | prompt_tokens=757, candidates_tokens=63, total_tokens=820
2025-11-21T01:11:50.518462 | political_interviews_460 | chunk 7 | prompt_tokens=982, candidates_tokens=76, total_tokens=1058
2025-11-21T01:11:57.347009 | political_interviews_460 | chunk 8 | prompt_tokens=2382, candidates_tokens=172, total_tokens=2554
2025-11-21T01:12:01.917111 | political_interviews_460 | chunk 9 | prompt_tokens=1382, candidates_tokens=105, total_tokens=1487
2025-11-21T01:12:15.475691 | political_interviews_460 | chunk 10 | prompt_tokens=1657, candidates_tokens=106, total_tokens=1763
2025-11-21T01:12:25.442100 | political_interviews_460 | chunk 11 | prompt_tokens=1257, candidates_tokens=57, total_tokens=1314
2025-11-21T01:12:36.991907 | political_interviews_282 | chunk 0 | prompt_tokens=1232, candidates_tokens=88, total_tokens=1320
2025-11-21T01:12:42.509111 | political_interviews_282 | chunk 1 | prompt_tokens=707, candidates_tokens=67, total_tokens=774
2025-11-21T01:12:49.952990 | political_interviews_282 | chunk 2 | prompt_tokens=1382, candidates_tokens=134, total_tokens=1516
2025-11-21T01:13:00.531839 | political_interviews_282 | chunk 3 | prompt_tokens=1107, candidates_tokens=82, total_tokens=1189
2025-11-21T01:13:05.422261 | political_interviews_282 | chunk 4 | prompt_tokens=657, candidates_tokens=58, total_tokens=715
2025-11-21T01:13:11.332711 | political_interviews_282 | chunk 5 | prompt_tokens=1082, candidates_tokens=71, total_tokens=1153
2025-11-21T01:13:18.500762 | political_interviews_282 | chunk 6 | prompt_tokens=1082, candidates_tokens=85, total_tokens=1167
2025-11-21T01:13:30.861008 | political_interviews_282 | chunk 7 | prompt_tokens=1657, candidates_tokens=126, total_tokens=1783
2025-11-21T01:13:39.709004 | political_interviews_282 | chunk 8 | prompt_tokens=1207, candidates_tokens=95, total_tokens=1302
2025-11-21T01:13:47.924418 | political_interviews_282 | chunk 9 | prompt_tokens=1832, candidates_tokens=49, total_tokens=1881
2025-11-21T01:13:52.613845 | political_interviews_282 | chunk 10 | prompt_tokens=857, candidates_tokens=45, total_tokens=902
2025-11-21T01:13:57.891788 | political_interviews_282 | chunk 11 | prompt_tokens=882, candidates_tokens=78, total_tokens=960
2025-11-21T01:14:05.830891 | political_interviews_282 | chunk 12 | prompt_tokens=1132, candidates_tokens=65, total_tokens=1197
2025-11-21T01:14:12.159170 | political_interviews_282 | chunk 13 | prompt_tokens=1232, candidates_tokens=78, total_tokens=1310
2025-11-21T01:14:17.973815 | political_interviews_26 | chunk 0 | prompt_tokens=682, candidates_tokens=142, total_tokens=824
2025-11-21T01:14:23.817026 | political_interviews_26 | chunk 1 | prompt_tokens=657, candidates_tokens=77, total_tokens=734
2025-11-21T01:14:31.017726 | political_interviews_26 | chunk 2 | prompt_tokens=957, candidates_tokens=108, total_tokens=1065
2025-11-21T01:14:37.433312 | political_interviews_26 | chunk 3 | prompt_tokens=882, candidates_tokens=136, total_tokens=1018
2025-11-21T01:14:42.032226 | political_interviews_26 | chunk 4 | prompt_tokens=607, candidates_tokens=112, total_tokens=719
2025-11-21T01:14:48.590724 | political_interviews_26 | chunk 5 | prompt_tokens=1282, candidates_tokens=93, total_tokens=1375
2025-11-21T01:14:55.474283 | political_interviews_26 | chunk 6 | prompt_tokens=1182, candidates_tokens=106, total_tokens=1288
2025-11-21T01:14:59.680858 | political_interviews_26 | chunk 7 | prompt_tokens=482, candidates_tokens=82, total_tokens=564
2025-11-21T01:15:03.430215 | political_interviews_26 | chunk 8 | prompt_tokens=432, candidates_tokens=71, total_tokens=503
2025-11-21T01:15:15.105796 | political_interviews_26 | chunk 9 | prompt_tokens=2032, candidates_tokens=105, total_tokens=2137
2025-11-21T01:15:23.572163 | political_interviews_26 | chunk 10 | prompt_tokens=1382, candidates_tokens=107, total_tokens=1489
2025-11-21T01:15:28.804100 | political_interviews_26 | chunk 11 | prompt_tokens=882, candidates_tokens=87, total_tokens=969
2025-11-21T01:15:33.951830 | political_interviews_26 | chunk 12 | prompt_tokens=907, candidates_tokens=71, total_tokens=978
2025-11-21T01:15:37.904166 | political_interviews_26 | chunk 13 | prompt_tokens=407, candidates_tokens=74, total_tokens=481
2025-11-21T01:15:44.732948 | political_interviews_26 | chunk 14 | prompt_tokens=757, candidates_tokens=92, total_tokens=849
2025-11-21T01:15:55.038616 | political_interviews_26 | chunk 15 | prompt_tokens=1757, candidates_tokens=89, total_tokens=1846
2025-11-21T01:16:05.314477 | political_interviews_49 | chunk 0 | prompt_tokens=2132, candidates_tokens=152, total_tokens=2284
2025-11-21T01:16:11.745608 | political_interviews_49 | chunk 1 | prompt_tokens=1182, candidates_tokens=104, total_tokens=1286
2025-11-21T01:16:26.726171 | political_interviews_49 | chunk 2 | prompt_tokens=1107, candidates_tokens=54, total_tokens=1161
2025-11-21T01:16:32.497242 | political_interviews_49 | chunk 3 | prompt_tokens=857, candidates_tokens=62, total_tokens=919
2025-11-21T01:16:39.750047 | political_interviews_49 | chunk 4 | prompt_tokens=807, candidates_tokens=51, total_tokens=858
2025-11-21T01:16:46.278629 | political_interviews_49 | chunk 5 | prompt_tokens=832, candidates_tokens=68, total_tokens=900
2025-11-21T01:16:51.403734 | political_interviews_49 | chunk 6 | prompt_tokens=732, candidates_tokens=95, total_tokens=827
2025-11-21T01:16:57.550240 | political_interviews_49 | chunk 7 | prompt_tokens=882, candidates_tokens=58, total_tokens=940
2025-11-21T01:17:02.620866 | political_interviews_49 | chunk 8 | prompt_tokens=582, candidates_tokens=63, total_tokens=645
2025-11-21T01:17:08.540572 | political_interviews_49 | chunk 9 | prompt_tokens=932, candidates_tokens=102, total_tokens=1034
