2025-11-21T19:51:12.859982 | chemistry_219 | chunk 0 | prompt_tokens=11424, candidates_tokens=289, total_tokens=12645
2025-11-21T20:12:21.546158 | chemistry_250 | chunk 9 | prompt_tokens=4790, candidates_tokens=248, total_tokens=5570
2025-11-21T20:12:37.549322 | chemistry_250 | chunk 10 | prompt_tokens=5714, candidates_tokens=219, total_tokens=6302
2025-11-21T20:13:01.813616 | chemistry_250 | chunk 11 | prompt_tokens=9060, candidates_tokens=344, total_tokens=10049
2025-11-21T20:13:34.439446 | chemistry_250 | chunk 12 | prompt_tokens=16085, candidates_tokens=272, total_tokens=17121
2025-11-21T20:13:48.563960 | chemistry_250 | chunk 13 | prompt_tokens=3758, candidates_tokens=210, total_tokens=4520
2025-11-21T20:14:22.941506 | chemistry_443 | chunk 0 | prompt_tokens=9843, candidates_tokens=203, total_tokens=11216
2025-11-21T20:14:54.780587 | chemistry_443 | chunk 1 | prompt_tokens=10475, candidates_tokens=238, total_tokens=11414
2025-11-21T20:15:24.354985 | chemistry_443 | chunk 2 | prompt_tokens=9368, candidates_tokens=176, total_tokens=9891
2025-11-21T20:15:53.011845 | chemistry_443 | chunk 3 | prompt_tokens=8519, candidates_tokens=219, total_tokens=8984
2025-11-21T20:16:12.053471 | chemistry_443 | chunk 4 | prompt_tokens=8075, candidates_tokens=132, total_tokens=8394
2025-11-21T20:16:41.056958 | chemistry_443 | chunk 5 | prompt_tokens=11619, candidates_tokens=226, total_tokens=12369
2025-11-21T20:17:21.388518 | chemistry_443 | chunk 6 | prompt_tokens=10833, candidates_tokens=330, total_tokens=12077
2025-11-21T20:17:37.273082 | chemistry_443 | chunk 7 | prompt_tokens=3192, candidates_tokens=185, total_tokens=3559
2025-11-21T20:17:58.627983 | chemistry_443 | chunk 8 | prompt_tokens=4632, candidates_tokens=191, total_tokens=5114
2025-11-21T20:18:17.916947 | chemistry_443 | chunk 9 | prompt_tokens=5148, candidates_tokens=143, total_tokens=5808
2025-11-21T20:18:49.259437 | chemistry_443 | chunk 10 | prompt_tokens=15450, candidates_tokens=196, total_tokens=16207
2025-11-21T20:19:06.673679 | chemistry_443 | chunk 11 | prompt_tokens=4632, candidates_tokens=154, total_tokens=5096
2025-11-21T20:19:34.093666 | chemistry_443 | chunk 12 | prompt_tokens=10723, candidates_tokens=248, total_tokens=11654
2025-11-21T20:20:42.965652 | chemistry_443 | chunk 13 | prompt_tokens=33215, candidates_tokens=302, total_tokens=34226
2025-11-21T20:22:00.837676 | chemistry_443 | chunk 14 | prompt_tokens=39359, candidates_tokens=445, total_tokens=41340
2025-11-21T20:22:23.889881 | chemistry_388 | chunk 0 | prompt_tokens=11299, candidates_tokens=209, total_tokens=11982
2025-11-21T20:22:47.475836 | chemistry_388 | chunk 1 | prompt_tokens=7978, candidates_tokens=255, total_tokens=8976
2025-11-21T20:23:14.775504 | chemistry_388 | chunk 2 | prompt_tokens=7079, candidates_tokens=177, total_tokens=7790
2025-11-21T20:24:12.600357 | chemistry_388 | chunk 3 | prompt_tokens=13688, candidates_tokens=274, total_tokens=14295
2025-11-21T20:24:56.524721 | chemistry_388 | chunk 4 | prompt_tokens=21346, candidates_tokens=350, total_tokens=22494
2025-11-21T20:25:10.615763 | chemistry_388 | chunk 5 | prompt_tokens=3217, candidates_tokens=242, total_tokens=3761
2025-11-21T20:25:22.997959 | chemistry_388 | chunk 6 | prompt_tokens=6599, candidates_tokens=147, total_tokens=6908
2025-11-21T20:25:44.195855 | chemistry_388 | chunk 7 | prompt_tokens=8053, candidates_tokens=212, total_tokens=8652
2025-11-21T20:26:05.485567 | chemistry_388 | chunk 8 | prompt_tokens=12797, candidates_tokens=130, total_tokens=13206
2025-11-21T20:27:02.429382 | chemistry_388 | chunk 9 | prompt_tokens=22461, candidates_tokens=516, total_tokens=24060
2025-11-21T20:27:21.508087 | chemistry_388 | chunk 10 | prompt_tokens=9318, candidates_tokens=239, total_tokens=9738
2025-11-21T20:27:42.938695 | chemistry_388 | chunk 11 | prompt_tokens=9060, candidates_tokens=123, total_tokens=9428
2025-11-21T20:27:58.565720 | chemistry_388 | chunk 12 | prompt_tokens=4249, candidates_tokens=196, total_tokens=5223
2025-11-21T20:28:17.258015 | chemistry_388 | chunk 13 | prompt_tokens=8594, candidates_tokens=280, total_tokens=9168
2025-11-21T20:28:59.438339 | chemistry_306 | chunk 0 | prompt_tokens=21229, candidates_tokens=188, total_tokens=21816
2025-11-21T20:29:34.695724 | chemistry_306 | chunk 1 | prompt_tokens=13896, candidates_tokens=290, total_tokens=15160
2025-11-21T20:29:59.898411 | chemistry_306 | chunk 2 | prompt_tokens=9468, candidates_tokens=301, total_tokens=10683
2025-11-21T20:30:15.734619 | chemistry_306 | chunk 3 | prompt_tokens=8369, candidates_tokens=320, total_tokens=9100
2025-11-21T20:30:40.475250 | chemistry_306 | chunk 4 | prompt_tokens=14437, candidates_tokens=276, total_tokens=15121
2025-11-21T20:30:54.113397 | chemistry_306 | chunk 5 | prompt_tokens=6908, candidates_tokens=106, total_tokens=7224
2025-11-21T20:31:16.452682 | chemistry_306 | chunk 6 | prompt_tokens=13994, candidates_tokens=209, total_tokens=14680
2025-11-21T20:31:51.075878 | chemistry_306 | chunk 7 | prompt_tokens=15669, candidates_tokens=420, total_tokens=17124
2025-11-21T20:32:16.708011 | chemistry_306 | chunk 8 | prompt_tokens=12481, candidates_tokens=282, total_tokens=13244
2025-11-21T20:32:34.916926 | chemistry_306 | chunk 9 | prompt_tokens=10009, candidates_tokens=192, total_tokens=10456
2025-11-21T20:32:52.116171 | chemistry_306 | chunk 10 | prompt_tokens=4815, candidates_tokens=350, total_tokens=5690
2025-11-21T20:33:19.779259 | chemistry_455 | chunk 0 | prompt_tokens=7487, candidates_tokens=246, total_tokens=8275
2025-11-21T20:34:00.770178 | chemistry_455 | chunk 1 | prompt_tokens=11990, candidates_tokens=272, total_tokens=12766
2025-11-21T20:34:35.088891 | chemistry_455 | chunk 2 | prompt_tokens=15755, candidates_tokens=249, total_tokens=16520
2025-11-21T20:35:12.027239 | chemistry_455 | chunk 3 | prompt_tokens=19606, candidates_tokens=247, total_tokens=20105
2025-11-21T20:35:48.325142 | chemistry_455 | chunk 4 | prompt_tokens=16644, candidates_tokens=261, total_tokens=17392
2025-11-21T20:36:40.826233 | chemistry_455 | chunk 5 | prompt_tokens=24933, candidates_tokens=90, total_tokens=25164
2025-11-21T20:37:09.859277 | chemistry_455 | chunk 6 | prompt_tokens=12506, candidates_tokens=262, total_tokens=13678
2025-11-21T20:38:31.815200 | chemistry_455 | chunk 7 | prompt_tokens=37951, candidates_tokens=311, total_tokens=39018
2025-11-21T20:38:57.928577 | chemistry_313 | chunk 0 | prompt_tokens=10721, candidates_tokens=294, total_tokens=11642
2025-11-21T20:39:31.017509 | chemistry_313 | chunk 1 | prompt_tokens=12519, candidates_tokens=194, total_tokens=13060
2025-11-21T20:39:57.802552 | chemistry_313 | chunk 2 | prompt_tokens=12804, candidates_tokens=303, total_tokens=13884
2025-11-21T20:40:15.955487 | chemistry_313 | chunk 3 | prompt_tokens=8236, candidates_tokens=213, total_tokens=8589
2025-11-21T20:40:27.326308 | chemistry_313 | chunk 4 | prompt_tokens=4324, candidates_tokens=186, total_tokens=4766
2025-11-21T20:40:57.997638 | chemistry_313 | chunk 5 | prompt_tokens=11022, candidates_tokens=289, total_tokens=11997
2025-11-21T20:41:19.486381 | chemistry_313 | chunk 6 | prompt_tokens=11299, candidates_tokens=277, total_tokens=12018
2025-11-21T20:42:02.987603 | chemistry_313 | chunk 7 | prompt_tokens=23851, candidates_tokens=440, total_tokens=25387
2025-11-21T20:43:08.052011 | chemistry_313 | chunk 8 | prompt_tokens=37410, candidates_tokens=135, total_tokens=37779
2025-11-21T20:43:47.072136 | chemistry_313 | chunk 9 | prompt_tokens=23568, candidates_tokens=118, total_tokens=23866
2025-11-21T20:44:10.992207 | chemistry_313 | chunk 10 | prompt_tokens=8677, candidates_tokens=306, total_tokens=9503
2025-11-21T20:44:42.328932 | chemistry_371 | chunk 0 | prompt_tokens=13405, candidates_tokens=332, total_tokens=14635
2025-11-21T20:44:55.178246 | chemistry_371 | chunk 1 | prompt_tokens=3192, candidates_tokens=214, total_tokens=3833
2025-11-21T20:45:16.524788 | chemistry_371 | chunk 2 | prompt_tokens=11990, candidates_tokens=304, total_tokens=12724
2025-11-21T20:45:33.599111 | chemistry_371 | chunk 3 | prompt_tokens=8028, candidates_tokens=272, total_tokens=8508
2025-11-21T20:46:13.797960 | chemistry_371 | chunk 4 | prompt_tokens=5972, candidates_tokens=247, total_tokens=6939
2025-11-21T20:46:27.823662 | chemistry_371 | chunk 5 | prompt_tokens=5456, candidates_tokens=293, total_tokens=6145
2025-11-21T20:46:38.485206 | chemistry_371 | chunk 6 | prompt_tokens=4016, candidates_tokens=233, total_tokens=4639
2025-11-21T20:46:55.711618 | chemistry_371 | chunk 7 | prompt_tokens=5456, candidates_tokens=264, total_tokens=6376
2025-11-21T20:47:16.644500 | chemistry_371 | chunk 8 | prompt_tokens=19879, candidates_tokens=129, total_tokens=20219
2025-11-21T20:47:33.640625 | chemistry_371 | chunk 9 | prompt_tokens=12496, candidates_tokens=396, total_tokens=13707
2025-11-21T20:47:55.574486 | chemistry_371 | chunk 10 | prompt_tokens=15361, candidates_tokens=282, total_tokens=16030
2025-11-21T20:48:04.818045 | chemistry_371 | chunk 11 | prompt_tokens=5136, candidates_tokens=247, total_tokens=5559
2025-11-21T20:48:17.185350 | chemistry_371 | chunk 12 | prompt_tokens=5126, candidates_tokens=273, total_tokens=5807
2025-11-21T20:48:31.137872 | chemistry_371 | chunk 13 | prompt_tokens=7362, candidates_tokens=285, total_tokens=8133
2025-11-21T20:48:47.695416 | chemistry_371 | chunk 14 | prompt_tokens=7437, candidates_tokens=249, total_tokens=8107
2025-11-21T20:49:06.287920 | chemistry_371 | chunk 15 | prompt_tokens=7179, candidates_tokens=212, total_tokens=7982
2025-11-21T20:49:35.038155 | chemistry_453 | chunk 0 | prompt_tokens=4790, candidates_tokens=254, total_tokens=5691
2025-11-21T20:50:14.072216 | chemistry_453 | chunk 1 | prompt_tokens=9393, candidates_tokens=394, total_tokens=10463
2025-11-21T20:50:59.153033 | chemistry_453 | chunk 2 | prompt_tokens=17550, candidates_tokens=166, total_tokens=17984
2025-11-21T20:54:06.290078 | chemistry_453 | chunk 3 | prompt_tokens=58585, candidates_tokens=261, total_tokens=59973
2025-11-21T20:54:43.867752 | chemistry_453 | chunk 4 | prompt_tokens=6871, candidates_tokens=162, total_tokens=7564
2025-11-21T20:55:33.186943 | chemistry_453 | chunk 5 | prompt_tokens=10833, candidates_tokens=168, total_tokens=11497
2025-11-21T20:56:49.527705 | chemistry_453 | chunk 6 | prompt_tokens=28434, candidates_tokens=131, total_tokens=29078
2025-11-21T20:57:19.275853 | chemistry_453 | chunk 7 | prompt_tokens=4840, candidates_tokens=127, total_tokens=5377
2025-11-21T20:58:09.164960 | chemistry_453 | chunk 8 | prompt_tokens=12204, candidates_tokens=228, total_tokens=12945
2025-11-21T20:58:42.034175 | chemistry_453 | chunk 9 | prompt_tokens=5714, candidates_tokens=288, total_tokens=6831
2025-11-21T20:59:27.112944 | chemistry_55 | chunk 0 | prompt_tokens=20072, candidates_tokens=418, total_tokens=20920
2025-11-21T20:59:53.489925 | chemistry_55 | chunk 1 | prompt_tokens=10192, candidates_tokens=368, total_tokens=11169
2025-11-21T21:00:23.803223 | chemistry_55 | chunk 2 | prompt_tokens=12789, candidates_tokens=302, total_tokens=13390
2025-11-21T21:01:01.817051 | chemistry_55 | chunk 3 | prompt_tokens=6538, candidates_tokens=449, total_tokens=7521
2025-11-21T21:01:32.165147 | chemistry_55 | chunk 4 | prompt_tokens=8494, candidates_tokens=336, total_tokens=9982
2025-11-21T21:01:59.731467 | chemistry_55 | chunk 5 | prompt_tokens=13105, candidates_tokens=286, total_tokens=13820
2025-11-21T21:02:30.662283 | chemistry_55 | chunk 6 | prompt_tokens=12248, candidates_tokens=452, total_tokens=13444
2025-11-21T21:03:16.716498 | chemistry_55 | chunk 7 | prompt_tokens=23468, candidates_tokens=386, total_tokens=24719
2025-11-21T21:03:28.892102 | chemistry_55 | chunk 8 | prompt_tokens=6304, candidates_tokens=295, total_tokens=6799
2025-11-21T21:03:47.351472 | chemistry_55 | chunk 9 | prompt_tokens=7786, candidates_tokens=454, total_tokens=8885
2025-11-21T21:04:25.120298 | chemistry_55 | chunk 10 | prompt_tokens=14412, candidates_tokens=357, total_tokens=15664
2025-11-21T21:04:43.857886 | chemistry_55 | chunk 11 | prompt_tokens=11024, candidates_tokens=250, total_tokens=11765
2025-11-21T21:05:12.106166 | chemistry_55 | chunk 12 | prompt_tokens=7645, candidates_tokens=422, total_tokens=8546
2025-11-21T21:05:45.776419 | chemistry_452 | chunk 0 | prompt_tokens=22249, candidates_tokens=180, total_tokens=22735
2025-11-21T21:06:21.020585 | chemistry_452 | chunk 1 | prompt_tokens=12714, candidates_tokens=462, total_tokens=13580
2025-11-21T21:06:35.065784 | chemistry_452 | chunk 2 | prompt_tokens=6326, candidates_tokens=413, total_tokens=7240
2025-11-21T21:07:08.499634 | chemistry_452 | chunk 3 | prompt_tokens=11915, candidates_tokens=509, total_tokens=13116
2025-11-21T21:07:46.048629 | chemistry_452 | chunk 4 | prompt_tokens=17822, candidates_tokens=263, total_tokens=18884
2025-11-21T21:09:23.091372 | chemistry_452 | chunk 5 | prompt_tokens=24317, candidates_tokens=557, total_tokens=26635
2025-11-21T21:10:08.544613 | chemistry_452 | chunk 6 | prompt_tokens=13280, candidates_tokens=428, total_tokens=14873
2025-11-21T21:10:43.108844 | chemistry_452 | chunk 7 | prompt_tokens=11116, candidates_tokens=258, total_tokens=12738
2025-11-21T21:11:12.195725 | chemistry_452 | chunk 8 | prompt_tokens=9368, candidates_tokens=282, total_tokens=10577
2025-11-21T21:11:25.420355 | chemistry_452 | chunk 9 | prompt_tokens=1727, candidates_tokens=247, total_tokens=2312
2025-11-21T21:11:44.470855 | chemistry_452 | chunk 10 | prompt_tokens=5664, candidates_tokens=251, total_tokens=6333
2025-11-21T21:12:33.347200 | chemistry_452 | chunk 11 | prompt_tokens=20761, candidates_tokens=627, total_tokens=22987
2025-11-21T21:12:50.529807 | chemistry_452 | chunk 12 | prompt_tokens=8981, candidates_tokens=221, total_tokens=9558
2025-11-21T21:13:06.497358 | chemistry_372 | chunk 0 | prompt_tokens=8383, candidates_tokens=172, total_tokens=8854
2025-11-21T21:13:34.882756 | chemistry_372 | chunk 1 | prompt_tokens=8802, candidates_tokens=191, total_tokens=9205
2025-11-21T21:14:20.360310 | chemistry_372 | chunk 2 | prompt_tokens=20197, candidates_tokens=255, total_tokens=22161
2025-11-21T21:14:57.278467 | chemistry_372 | chunk 3 | prompt_tokens=20147, candidates_tokens=332, total_tokens=21034
2025-11-21T21:15:39.306877 | chemistry_372 | chunk 4 | prompt_tokens=17858, candidates_tokens=172, total_tokens=18288
2025-11-21T21:16:15.994055 | chemistry_372 | chunk 5 | prompt_tokens=21935, candidates_tokens=219, total_tokens=22491
2025-11-21T21:16:29.760892 | chemistry_372 | chunk 6 | prompt_tokens=4607, candidates_tokens=93, total_tokens=4959
2025-11-21T21:16:58.953794 | chemistry_372 | chunk 7 | prompt_tokens=17513, candidates_tokens=280, total_tokens=18315
2025-11-21T21:17:23.208390 | chemistry_372 | chunk 8 | prompt_tokens=14561, candidates_tokens=329, total_tokens=15683
2025-11-21T21:17:55.498797 | chemistry_372 | chunk 9 | prompt_tokens=16059, candidates_tokens=332, total_tokens=17415
2025-11-21T21:18:52.142513 | chemistry_372 | chunk 10 | prompt_tokens=22644, candidates_tokens=327, total_tokens=24010
2025-11-21T21:19:25.136769 | chemistry_360 | chunk 0 | prompt_tokens=5356, candidates_tokens=278, total_tokens=6312
2025-11-21T21:20:39.505397 | chemistry_360 | chunk 1 | prompt_tokens=31393, candidates_tokens=320, total_tokens=32468
2025-11-21T21:22:26.586285 | chemistry_360 | chunk 2 | prompt_tokens=33706, candidates_tokens=248, total_tokens=34285
2025-11-21T21:23:32.896006 | chemistry_360 | chunk 3 | prompt_tokens=17267, candidates_tokens=325, total_tokens=18531
2025-11-21T21:24:23.418474 | chemistry_360 | chunk 4 | prompt_tokens=22225, candidates_tokens=320, total_tokens=23058
2025-11-21T21:25:03.950896 | chemistry_360 | chunk 5 | prompt_tokens=10858, candidates_tokens=250, total_tokens=11549
2025-11-21T21:25:53.986860 | chemistry_360 | chunk 6 | prompt_tokens=14487, candidates_tokens=446, total_tokens=15740
2025-11-21T21:26:24.505595 | chemistry_360 | chunk 7 | prompt_tokens=5126, candidates_tokens=571, total_tokens=8840
2025-11-21T21:27:05.368261 | chemistry_360 | chunk 8 | prompt_tokens=13072, candidates_tokens=571, total_tokens=14907
2025-11-21T21:27:19.773988 | chemistry_360 | chunk 9 | prompt_tokens=1211, candidates_tokens=336, total_tokens=1998
2025-11-21T21:27:50.908356 | chemistry_213 | chunk 0 | prompt_tokens=10758, candidates_tokens=279, total_tokens=11708
2025-11-21T21:28:42.465528 | chemistry_213 | chunk 1 | prompt_tokens=23110, candidates_tokens=264, total_tokens=23781
2025-11-21T21:29:11.526997 | chemistry_213 | chunk 2 | prompt_tokens=5739, candidates_tokens=144, total_tokens=6441
2025-11-21T21:29:56.761032 | chemistry_213 | chunk 3 | prompt_tokens=11141, candidates_tokens=257, total_tokens=12059
2025-11-21T21:30:18.688579 | chemistry_213 | chunk 4 | prompt_tokens=7181, candidates_tokens=215, total_tokens=8084
2025-11-21T21:30:32.920131 | chemistry_213 | chunk 5 | prompt_tokens=6002, candidates_tokens=131, total_tokens=6469
2025-11-21T21:31:09.835409 | chemistry_213 | chunk 6 | prompt_tokens=11449, candidates_tokens=177, total_tokens=12003
2025-11-21T21:32:17.893577 | chemistry_213 | chunk 7 | prompt_tokens=15952, candidates_tokens=265, total_tokens=16850
2025-11-21T21:32:34.938911 | chemistry_213 | chunk 8 | prompt_tokens=8069, candidates_tokens=202, total_tokens=9011
2025-11-21T21:33:08.388889 | chemistry_213 | chunk 9 | prompt_tokens=5664, candidates_tokens=222, total_tokens=6697
2025-11-21T21:33:22.451151 | chemistry_213 | chunk 10 | prompt_tokens=3783, candidates_tokens=188, total_tokens=4555
2025-11-21T21:33:44.168883 | chemistry_213 | chunk 11 | prompt_tokens=9562, candidates_tokens=142, total_tokens=10294
2025-11-21T21:34:18.175769 | chemistry_213 | chunk 12 | prompt_tokens=4607, candidates_tokens=178, total_tokens=5100
2025-11-21T21:34:52.688582 | chemistry_213 | chunk 13 | prompt_tokens=7928, candidates_tokens=299, total_tokens=8617
2025-11-21T21:35:43.646375 | chemistry_214 | chunk 0 | prompt_tokens=17933, candidates_tokens=274, total_tokens=18728
2025-11-21T21:36:27.161668 | chemistry_214 | chunk 1 | prompt_tokens=15361, candidates_tokens=244, total_tokens=16601
2025-11-21T21:37:15.734262 | chemistry_214 | chunk 2 | prompt_tokens=24308, candidates_tokens=445, total_tokens=25980
2025-11-21T21:38:17.595736 | chemistry_214 | chunk 3 | prompt_tokens=22952, candidates_tokens=246, total_tokens=23858
2025-11-21T21:38:31.634505 | chemistry_214 | chunk 4 | prompt_tokens=3117, candidates_tokens=135, total_tokens=3549
2025-11-21T21:38:52.022114 | chemistry_214 | chunk 5 | prompt_tokens=9541, candidates_tokens=265, total_tokens=10784
2025-11-21T21:39:16.492397 | chemistry_214 | chunk 6 | prompt_tokens=15442, candidates_tokens=287, total_tokens=16214
2025-11-21T21:39:48.055516 | chemistry_214 | chunk 7 | prompt_tokens=5198, candidates_tokens=177, total_tokens=6063
2025-11-21T21:40:25.810085 | chemistry_214 | chunk 8 | prompt_tokens=24594, candidates_tokens=381, total_tokens=25687
