2025-11-20T23:41:19.999162 | academic_lectures_306 | chunk 0 | prompt_tokens=1282, candidates_tokens=104, total_tokens=1386
2025-11-20T23:46:40.772329 | academic_lectures_307 | chunk 7 | prompt_tokens=582, candidates_tokens=52, total_tokens=634
2025-11-20T23:46:46.888844 | academic_lectures_307 | chunk 8 | prompt_tokens=657, candidates_tokens=45, total_tokens=702
2025-11-20T23:46:54.102886 | academic_lectures_307 | chunk 9 | prompt_tokens=1082, candidates_tokens=62, total_tokens=1144
2025-11-20T23:46:59.212850 | academic_lectures_307 | chunk 10 | prompt_tokens=707, candidates_tokens=54, total_tokens=761
2025-11-20T23:47:05.666204 | academic_lectures_307 | chunk 11 | prompt_tokens=532, candidates_tokens=44, total_tokens=576
2025-11-20T23:47:11.306930 | academic_lectures_307 | chunk 12 | prompt_tokens=907, candidates_tokens=61, total_tokens=968
2025-11-20T23:47:21.354301 | academic_lectures_307 | chunk 13 | prompt_tokens=1082, candidates_tokens=67, total_tokens=1149
2025-11-20T23:47:29.532793 | academic_lectures_307 | chunk 14 | prompt_tokens=1057, candidates_tokens=68, total_tokens=1125
2025-11-20T23:47:35.114223 | academic_lectures_307 | chunk 15 | prompt_tokens=432, candidates_tokens=27, total_tokens=459
2025-11-20T23:47:46.640876 | academic_lectures_307 | chunk 16 | prompt_tokens=932, candidates_tokens=69, total_tokens=1001
2025-11-20T23:47:59.756269 | academic_lectures_307 | chunk 17 | prompt_tokens=1357, candidates_tokens=67, total_tokens=1424
2025-11-20T23:48:10.915448 | academic_lectures_307 | chunk 18 | prompt_tokens=1732, candidates_tokens=56, total_tokens=1788
2025-11-20T23:48:14.697121 | academic_lectures_307 | chunk 19 | prompt_tokens=607, candidates_tokens=53, total_tokens=660
2025-11-20T23:48:21.483874 | academic_lectures_122 | chunk 0 | prompt_tokens=1757, candidates_tokens=174, total_tokens=1931
2025-11-20T23:48:32.588275 | academic_lectures_122 | chunk 1 | prompt_tokens=807, candidates_tokens=78, total_tokens=885
2025-11-20T23:48:41.011983 | academic_lectures_122 | chunk 2 | prompt_tokens=1182, candidates_tokens=103, total_tokens=1285
2025-11-20T23:49:05.142862 | academic_lectures_122 | chunk 3 | prompt_tokens=1532, candidates_tokens=199, total_tokens=1731
2025-11-20T23:49:12.397353 | academic_lectures_122 | chunk 4 | prompt_tokens=1532, candidates_tokens=178, total_tokens=1710
2025-11-20T23:49:22.044317 | academic_lectures_122 | chunk 5 | prompt_tokens=1532, candidates_tokens=192, total_tokens=1724
2025-11-20T23:49:26.433006 | academic_lectures_122 | chunk 6 | prompt_tokens=707, candidates_tokens=71, total_tokens=778
2025-11-20T23:49:33.330477 | academic_lectures_122 | chunk 7 | prompt_tokens=1307, candidates_tokens=180, total_tokens=1487
2025-11-20T23:49:39.563402 | academic_lectures_122 | chunk 8 | prompt_tokens=732, candidates_tokens=58, total_tokens=790
2025-11-20T23:49:45.409259 | academic_lectures_122 | chunk 9 | prompt_tokens=1507, candidates_tokens=97, total_tokens=1604
2025-11-20T23:49:53.151202 | academic_lectures_109 | chunk 0 | prompt_tokens=1807, candidates_tokens=177, total_tokens=1984
2025-11-20T23:50:02.191246 | academic_lectures_109 | chunk 1 | prompt_tokens=1757, candidates_tokens=140, total_tokens=1897
2025-11-20T23:50:10.193814 | academic_lectures_109 | chunk 2 | prompt_tokens=957, candidates_tokens=107, total_tokens=1064
2025-11-20T23:50:20.899930 | academic_lectures_109 | chunk 3 | prompt_tokens=1732, candidates_tokens=151, total_tokens=1883
2025-11-20T23:50:33.921165 | academic_lectures_109 | chunk 4 | prompt_tokens=2532, candidates_tokens=210, total_tokens=2742
2025-11-20T23:50:47.136817 | academic_lectures_109 | chunk 5 | prompt_tokens=2657, candidates_tokens=221, total_tokens=2878
2025-11-20T23:50:50.628905 | academic_lectures_109 | chunk 6 | prompt_tokens=482, candidates_tokens=57, total_tokens=539
2025-11-20T23:50:56.182950 | academic_lectures_214 | chunk 0 | prompt_tokens=607, candidates_tokens=63, total_tokens=670
2025-11-20T23:51:00.741985 | academic_lectures_214 | chunk 1 | prompt_tokens=657, candidates_tokens=58, total_tokens=715
2025-11-20T23:51:09.310263 | academic_lectures_214 | chunk 2 | prompt_tokens=1557, candidates_tokens=119, total_tokens=1676
2025-11-20T23:51:15.227410 | academic_lectures_214 | chunk 3 | prompt_tokens=1157, candidates_tokens=95, total_tokens=1252
2025-11-20T23:51:29.677383 | academic_lectures_214 | chunk 4 | prompt_tokens=1532, candidates_tokens=133, total_tokens=1665
2025-11-20T23:51:39.369781 | academic_lectures_214 | chunk 5 | prompt_tokens=1432, candidates_tokens=133, total_tokens=1565
2025-11-20T23:51:47.742487 | academic_lectures_214 | chunk 6 | prompt_tokens=882, candidates_tokens=57, total_tokens=939
2025-11-20T23:51:55.085348 | academic_lectures_214 | chunk 7 | prompt_tokens=757, candidates_tokens=74, total_tokens=831
2025-11-20T23:52:04.687513 | academic_lectures_214 | chunk 8 | prompt_tokens=1007, candidates_tokens=106, total_tokens=1113
2025-11-20T23:52:12.904300 | academic_lectures_214 | chunk 9 | prompt_tokens=1057, candidates_tokens=87, total_tokens=1144
2025-11-20T23:52:19.859999 | academic_lectures_214 | chunk 10 | prompt_tokens=1157, candidates_tokens=95, total_tokens=1252
2025-11-20T23:52:29.406967 | academic_lectures_214 | chunk 11 | prompt_tokens=1232, candidates_tokens=69, total_tokens=1301
2025-11-20T23:52:36.065214 | academic_lectures_214 | chunk 12 | prompt_tokens=1032, candidates_tokens=71, total_tokens=1103
2025-11-20T23:52:39.709744 | academic_lectures_214 | chunk 13 | prompt_tokens=507, candidates_tokens=46, total_tokens=553
2025-11-20T23:52:46.884657 | academic_lectures_214 | chunk 14 | prompt_tokens=857, candidates_tokens=108, total_tokens=965
2025-11-20T23:52:53.245646 | academic_lectures_214 | chunk 15 | prompt_tokens=582, candidates_tokens=79, total_tokens=661
2025-11-20T23:52:59.693584 | academic_lectures_214 | chunk 16 | prompt_tokens=707, candidates_tokens=65, total_tokens=772
2025-11-20T23:53:04.704075 | academic_lectures_214 | chunk 17 | prompt_tokens=357, candidates_tokens=51, total_tokens=408
2025-11-20T23:53:13.421367 | academic_lectures_214 | chunk 18 | prompt_tokens=1357, candidates_tokens=195, total_tokens=1552
2025-11-20T23:53:24.568341 | academic_lectures_214 | chunk 19 | prompt_tokens=782, candidates_tokens=81, total_tokens=863
2025-11-20T23:53:41.324626 | academic_lectures_302 | chunk 0 | prompt_tokens=1807, candidates_tokens=139, total_tokens=1946
2025-11-20T23:53:47.050699 | academic_lectures_302 | chunk 1 | prompt_tokens=757, candidates_tokens=59, total_tokens=816
2025-11-20T23:53:55.083550 | academic_lectures_302 | chunk 2 | prompt_tokens=1332, candidates_tokens=93, total_tokens=1425
2025-11-20T23:53:59.882006 | academic_lectures_302 | chunk 3 | prompt_tokens=707, candidates_tokens=55, total_tokens=762
2025-11-20T23:54:08.078500 | academic_lectures_302 | chunk 4 | prompt_tokens=1207, candidates_tokens=67, total_tokens=1274
2025-11-20T23:54:14.903082 | academic_lectures_302 | chunk 5 | prompt_tokens=682, candidates_tokens=72, total_tokens=754
2025-11-20T23:54:36.896861 | academic_lectures_302 | chunk 6 | prompt_tokens=4307, candidates_tokens=156, total_tokens=4463
2025-11-20T23:54:42.183517 | academic_lectures_302 | chunk 7 | prompt_tokens=457, candidates_tokens=62, total_tokens=519
2025-11-20T23:54:51.048585 | academic_lectures_302 | chunk 8 | prompt_tokens=1057, candidates_tokens=121, total_tokens=1178
2025-11-20T23:55:03.360463 | academic_lectures_53 | chunk 0 | prompt_tokens=1732, candidates_tokens=158, total_tokens=1890
2025-11-20T23:55:16.801896 | academic_lectures_53 | chunk 1 | prompt_tokens=907, candidates_tokens=53, total_tokens=960
2025-11-20T23:55:21.792888 | academic_lectures_53 | chunk 2 | prompt_tokens=932, candidates_tokens=68, total_tokens=1000
2025-11-20T23:55:28.207506 | academic_lectures_53 | chunk 3 | prompt_tokens=832, candidates_tokens=66, total_tokens=898
2025-11-20T23:55:33.877211 | academic_lectures_53 | chunk 4 | prompt_tokens=707, candidates_tokens=68, total_tokens=775
2025-11-20T23:55:38.872862 | academic_lectures_53 | chunk 5 | prompt_tokens=907, candidates_tokens=86, total_tokens=993
2025-11-20T23:55:48.481860 | academic_lectures_53 | chunk 6 | prompt_tokens=1307, candidates_tokens=61, total_tokens=1368
2025-11-20T23:55:56.530653 | academic_lectures_53 | chunk 7 | prompt_tokens=2032, candidates_tokens=165, total_tokens=2197
2025-11-20T23:56:07.065428 | academic_lectures_53 | chunk 8 | prompt_tokens=1457, candidates_tokens=121, total_tokens=1578
2025-11-20T23:56:24.869270 | academic_lectures_53 | chunk 9 | prompt_tokens=2732, candidates_tokens=105, total_tokens=2837
2025-11-20T23:56:32.906490 | academic_lectures_53 | chunk 10 | prompt_tokens=682, candidates_tokens=45, total_tokens=727
2025-11-20T23:56:40.208659 | academic_lectures_53 | chunk 11 | prompt_tokens=1257, candidates_tokens=104, total_tokens=1361
2025-11-20T23:56:51.276390 | academic_lectures_53 | chunk 12 | prompt_tokens=1757, candidates_tokens=74, total_tokens=1831
2025-11-20T23:56:57.488988 | academic_lectures_128 | chunk 0 | prompt_tokens=1307, candidates_tokens=82, total_tokens=1389
2025-11-20T23:57:07.082555 | academic_lectures_128 | chunk 1 | prompt_tokens=657, candidates_tokens=41, total_tokens=698
2025-11-20T23:57:13.254383 | academic_lectures_128 | chunk 2 | prompt_tokens=1082, candidates_tokens=86, total_tokens=1168
2025-11-20T23:57:19.639480 | academic_lectures_128 | chunk 3 | prompt_tokens=782, candidates_tokens=63, total_tokens=845
2025-11-20T23:57:27.949481 | academic_lectures_128 | chunk 4 | prompt_tokens=1332, candidates_tokens=101, total_tokens=1433
2025-11-20T23:57:35.123896 | academic_lectures_128 | chunk 5 | prompt_tokens=807, candidates_tokens=74, total_tokens=881
2025-11-20T23:57:40.776319 | academic_lectures_128 | chunk 6 | prompt_tokens=632, candidates_tokens=67, total_tokens=699
2025-11-20T23:57:48.271921 | academic_lectures_128 | chunk 7 | prompt_tokens=857, candidates_tokens=54, total_tokens=911
2025-11-20T23:57:56.478207 | academic_lectures_128 | chunk 8 | prompt_tokens=1107, candidates_tokens=80, total_tokens=1187
2025-11-20T23:58:06.290524 | academic_lectures_128 | chunk 9 | prompt_tokens=1482, candidates_tokens=68, total_tokens=1550
2025-11-20T23:58:11.001103 | academic_lectures_128 | chunk 10 | prompt_tokens=882, candidates_tokens=58, total_tokens=940
2025-11-20T23:58:18.837302 | academic_lectures_128 | chunk 11 | prompt_tokens=1032, candidates_tokens=95, total_tokens=1127
2025-11-20T23:58:25.383362 | academic_lectures_128 | chunk 12 | prompt_tokens=1082, candidates_tokens=105, total_tokens=1187
2025-11-20T23:58:30.500625 | academic_lectures_128 | chunk 13 | prompt_tokens=782, candidates_tokens=84, total_tokens=866
2025-11-20T23:58:40.346849 | academic_lectures_128 | chunk 14 | prompt_tokens=1532, candidates_tokens=106, total_tokens=1638
2025-11-20T23:58:46.930347 | academic_lectures_128 | chunk 15 | prompt_tokens=657, candidates_tokens=87, total_tokens=744
2025-11-20T23:58:53.694388 | academic_lectures_128 | chunk 16 | prompt_tokens=1307, candidates_tokens=68, total_tokens=1375
2025-11-20T23:59:00.479096 | academic_lectures_101 | chunk 0 | prompt_tokens=1182, candidates_tokens=38, total_tokens=1220
2025-11-20T23:59:04.000766 | academic_lectures_101 | chunk 1 | prompt_tokens=632, candidates_tokens=61, total_tokens=693
2025-11-20T23:59:08.940075 | academic_lectures_101 | chunk 2 | prompt_tokens=1182, candidates_tokens=45, total_tokens=1227
2025-11-20T23:59:13.075198 | academic_lectures_101 | chunk 3 | prompt_tokens=832, candidates_tokens=69, total_tokens=901
2025-11-20T23:59:22.680098 | academic_lectures_101 | chunk 4 | prompt_tokens=2657, candidates_tokens=66, total_tokens=2723
2025-11-20T23:59:27.118144 | academic_lectures_101 | chunk 5 | prompt_tokens=707, candidates_tokens=88, total_tokens=795
2025-11-20T23:59:33.762151 | academic_lectures_101 | chunk 6 | prompt_tokens=807, candidates_tokens=55, total_tokens=862
2025-11-20T23:59:47.214773 | academic_lectures_101 | chunk 7 | prompt_tokens=3182, candidates_tokens=69, total_tokens=3251
2025-11-20T23:59:51.550573 | academic_lectures_101 | chunk 8 | prompt_tokens=882, candidates_tokens=73, total_tokens=955
2025-11-20T23:59:56.835517 | academic_lectures_101 | chunk 9 | prompt_tokens=507, candidates_tokens=36, total_tokens=543
2025-11-21T00:00:03.277302 | academic_lectures_101 | chunk 10 | prompt_tokens=932, candidates_tokens=66, total_tokens=998
2025-11-21T00:00:13.530732 | academic_lectures_101 | chunk 11 | prompt_tokens=1707, candidates_tokens=103, total_tokens=1810
2025-11-21T00:00:18.871560 | academic_lectures_101 | chunk 12 | prompt_tokens=757, candidates_tokens=63, total_tokens=820
2025-11-21T00:00:22.649891 | academic_lectures_101 | chunk 13 | prompt_tokens=432, candidates_tokens=30, total_tokens=462
2025-11-21T00:00:30.344988 | academic_lectures_3 | chunk 0 | prompt_tokens=1382, candidates_tokens=97, total_tokens=1479
2025-11-21T00:01:14.112235 | academic_lectures_3 | chunk 1 | prompt_tokens=2232, candidates_tokens=111, total_tokens=2343
2025-11-21T00:01:24.042755 | academic_lectures_3 | chunk 2 | prompt_tokens=2557, candidates_tokens=163, total_tokens=2720
2025-11-21T00:01:34.864502 | academic_lectures_3 | chunk 3 | prompt_tokens=1957, candidates_tokens=111, total_tokens=2068
2025-11-21T00:01:45.749791 | academic_lectures_3 | chunk 4 | prompt_tokens=2007, candidates_tokens=121, total_tokens=2128
2025-11-21T00:01:56.504633 | academic_lectures_3 | chunk 5 | prompt_tokens=1582, candidates_tokens=83, total_tokens=1665
2025-11-21T00:02:13.116710 | academic_lectures_3 | chunk 6 | prompt_tokens=1207, candidates_tokens=105, total_tokens=1312
2025-11-21T00:02:22.726721 | academic_lectures_3 | chunk 7 | prompt_tokens=432, candidates_tokens=46, total_tokens=478
2025-11-21T00:02:29.655283 | academic_lectures_3 | chunk 8 | prompt_tokens=1332, candidates_tokens=57, total_tokens=1389
2025-11-21T00:02:33.185603 | academic_lectures_3 | chunk 9 | prompt_tokens=432, candidates_tokens=37, total_tokens=469
2025-11-21T00:02:40.481165 | academic_lectures_3 | chunk 10 | prompt_tokens=1532, candidates_tokens=88, total_tokens=1620
2025-11-21T00:02:46.873059 | academic_lectures_27 | chunk 0 | prompt_tokens=857, candidates_tokens=38, total_tokens=895
2025-11-21T00:02:53.130070 | academic_lectures_27 | chunk 1 | prompt_tokens=707, candidates_tokens=67, total_tokens=774
2025-11-21T00:03:04.472193 | academic_lectures_27 | chunk 2 | prompt_tokens=1632, candidates_tokens=99, total_tokens=1731
2025-11-21T00:03:12.172325 | academic_lectures_27 | chunk 3 | prompt_tokens=607, candidates_tokens=52, total_tokens=659
2025-11-21T00:03:19.327420 | academic_lectures_27 | chunk 4 | prompt_tokens=1457, candidates_tokens=82, total_tokens=1539
2025-11-21T00:03:24.415127 | academic_lectures_27 | chunk 5 | prompt_tokens=857, candidates_tokens=67, total_tokens=924
2025-11-21T00:03:31.686739 | academic_lectures_27 | chunk 6 | prompt_tokens=882, candidates_tokens=52, total_tokens=934
2025-11-21T00:03:48.740087 | academic_lectures_27 | chunk 7 | prompt_tokens=1832, candidates_tokens=90, total_tokens=1922
2025-11-21T00:03:59.097539 | academic_lectures_27 | chunk 8 | prompt_tokens=1682, candidates_tokens=110, total_tokens=1792
2025-11-21T00:04:05.912408 | academic_lectures_27 | chunk 9 | prompt_tokens=1357, candidates_tokens=81, total_tokens=1438
2025-11-21T00:04:12.144397 | academic_lectures_27 | chunk 10 | prompt_tokens=1057, candidates_tokens=76, total_tokens=1133
2025-11-21T00:04:22.946967 | academic_lectures_27 | chunk 11 | prompt_tokens=2107, candidates_tokens=135, total_tokens=2242
2025-11-21T00:04:27.328058 | academic_lectures_174 | chunk 0 | prompt_tokens=807, candidates_tokens=110, total_tokens=917
2025-11-21T00:04:34.601706 | academic_lectures_174 | chunk 1 | prompt_tokens=1107, candidates_tokens=69, total_tokens=1176
2025-11-21T00:04:41.051150 | academic_lectures_174 | chunk 2 | prompt_tokens=707, candidates_tokens=88, total_tokens=795
2025-11-21T00:04:49.615199 | academic_lectures_174 | chunk 3 | prompt_tokens=1157, candidates_tokens=70, total_tokens=1227
2025-11-21T00:04:57.486862 | academic_lectures_174 | chunk 4 | prompt_tokens=1082, candidates_tokens=90, total_tokens=1172
2025-11-21T00:05:03.510115 | academic_lectures_174 | chunk 5 | prompt_tokens=1032, candidates_tokens=67, total_tokens=1099
2025-11-21T00:05:09.038536 | academic_lectures_174 | chunk 6 | prompt_tokens=1032, candidates_tokens=65, total_tokens=1097
2025-11-21T00:05:15.602909 | academic_lectures_174 | chunk 7 | prompt_tokens=932, candidates_tokens=71, total_tokens=1003
2025-11-21T00:05:25.696515 | academic_lectures_174 | chunk 8 | prompt_tokens=2007, candidates_tokens=68, total_tokens=2075
2025-11-21T00:05:36.529015 | academic_lectures_174 | chunk 9 | prompt_tokens=3882, candidates_tokens=173, total_tokens=4055
2025-11-21T00:05:47.284239 | academic_lectures_236 | chunk 0 | prompt_tokens=1982, candidates_tokens=124, total_tokens=2106
2025-11-21T00:05:53.356627 | academic_lectures_236 | chunk 1 | prompt_tokens=532, candidates_tokens=62, total_tokens=594
2025-11-21T00:06:01.767651 | academic_lectures_236 | chunk 2 | prompt_tokens=1157, candidates_tokens=76, total_tokens=1233
2025-11-21T00:06:07.291814 | academic_lectures_236 | chunk 3 | prompt_tokens=1282, candidates_tokens=99, total_tokens=1381
2025-11-21T00:06:13.838351 | academic_lectures_236 | chunk 4 | prompt_tokens=857, candidates_tokens=61, total_tokens=918
2025-11-21T00:06:22.490607 | academic_lectures_236 | chunk 5 | prompt_tokens=1457, candidates_tokens=118, total_tokens=1575
2025-11-21T00:06:30.828766 | academic_lectures_236 | chunk 6 | prompt_tokens=1407, candidates_tokens=87, total_tokens=1494
2025-11-21T00:06:40.782348 | academic_lectures_236 | chunk 7 | prompt_tokens=1532, candidates_tokens=105, total_tokens=1637
2025-11-21T00:06:49.561299 | academic_lectures_236 | chunk 8 | prompt_tokens=1282, candidates_tokens=116, total_tokens=1398
2025-11-21T00:06:58.861570 | academic_lectures_236 | chunk 9 | prompt_tokens=1332, candidates_tokens=68, total_tokens=1400
2025-11-21T00:07:08.161046 | academic_lectures_236 | chunk 10 | prompt_tokens=1307, candidates_tokens=107, total_tokens=1414
2025-11-21T00:07:15.843691 | academic_lectures_236 | chunk 11 | prompt_tokens=1207, candidates_tokens=76, total_tokens=1283
2025-11-21T00:07:22.196785 | academic_lectures_236 | chunk 12 | prompt_tokens=757, candidates_tokens=89, total_tokens=846
2025-11-21T00:07:29.433500 | academic_lectures_261 | chunk 0 | prompt_tokens=1057, candidates_tokens=84, total_tokens=1141
2025-11-21T00:07:34.426491 | academic_lectures_261 | chunk 1 | prompt_tokens=407, candidates_tokens=65, total_tokens=472
2025-11-21T00:07:39.981712 | academic_lectures_261 | chunk 2 | prompt_tokens=507, candidates_tokens=66, total_tokens=573
2025-11-21T00:07:48.320863 | academic_lectures_261 | chunk 3 | prompt_tokens=1457, candidates_tokens=121, total_tokens=1578
2025-11-21T00:07:54.674376 | academic_lectures_261 | chunk 4 | prompt_tokens=707, candidates_tokens=97, total_tokens=804
2025-11-21T00:08:06.165965 | academic_lectures_261 | chunk 5 | prompt_tokens=2332, candidates_tokens=198, total_tokens=2530
2025-11-21T00:08:13.461732 | academic_lectures_261 | chunk 6 | prompt_tokens=2107, candidates_tokens=96, total_tokens=2203
2025-11-21T00:08:19.086962 | academic_lectures_261 | chunk 7 | prompt_tokens=1007, candidates_tokens=120, total_tokens=1127
2025-11-21T00:08:27.965457 | academic_lectures_261 | chunk 8 | prompt_tokens=1457, candidates_tokens=144, total_tokens=1601
2025-11-21T00:08:34.694588 | academic_lectures_261 | chunk 9 | prompt_tokens=1307, candidates_tokens=89, total_tokens=1396
2025-11-21T00:08:42.477931 | academic_lectures_261 | chunk 10 | prompt_tokens=1157, candidates_tokens=122, total_tokens=1279
2025-11-21T00:09:02.205677 | academic_lectures_261 | chunk 11 | prompt_tokens=1582, candidates_tokens=58, total_tokens=1640
2025-11-21T00:09:10.435467 | academic_lectures_130 | chunk 0 | prompt_tokens=682, candidates_tokens=72, total_tokens=754
2025-11-21T00:09:17.764779 | academic_lectures_130 | chunk 1 | prompt_tokens=1207, candidates_tokens=67, total_tokens=1274
2025-11-21T00:09:25.901854 | academic_lectures_130 | chunk 2 | prompt_tokens=932, candidates_tokens=67, total_tokens=999
2025-11-21T00:09:43.565294 | academic_lectures_130 | chunk 3 | prompt_tokens=1532, candidates_tokens=105, total_tokens=1637
2025-11-21T00:09:51.071531 | academic_lectures_130 | chunk 4 | prompt_tokens=1657, candidates_tokens=122, total_tokens=1779
2025-11-21T00:09:57.514942 | academic_lectures_130 | chunk 5 | prompt_tokens=2007, candidates_tokens=127, total_tokens=2134
2025-11-21T00:10:03.057833 | academic_lectures_130 | chunk 6 | prompt_tokens=582, candidates_tokens=91, total_tokens=673
2025-11-21T00:10:09.234516 | academic_lectures_130 | chunk 7 | prompt_tokens=682, candidates_tokens=63, total_tokens=745
2025-11-21T00:10:16.173820 | academic_lectures_130 | chunk 8 | prompt_tokens=1357, candidates_tokens=139, total_tokens=1496
2025-11-21T00:10:21.129515 | academic_lectures_130 | chunk 9 | prompt_tokens=357, candidates_tokens=61, total_tokens=418
2025-11-21T00:10:33.035899 | academic_lectures_130 | chunk 10 | prompt_tokens=2307, candidates_tokens=217, total_tokens=2524
2025-11-21T00:10:40.330799 | academic_lectures_130 | chunk 11 | prompt_tokens=1032, candidates_tokens=134, total_tokens=1166
2025-11-21T00:10:45.796327 | academic_lectures_327 | chunk 0 | prompt_tokens=907, candidates_tokens=57, total_tokens=964
2025-11-21T00:10:56.176400 | academic_lectures_327 | chunk 1 | prompt_tokens=1432, candidates_tokens=100, total_tokens=1532
2025-11-21T00:11:02.494413 | academic_lectures_327 | chunk 2 | prompt_tokens=1082, candidates_tokens=57, total_tokens=1139
2025-11-21T00:11:23.944518 | academic_lectures_327 | chunk 3 | prompt_tokens=4182, candidates_tokens=122, total_tokens=4304
