2025-11-20T20:27:01.478487 | celebrity_interviews_16 | chunk 0 | prompt_tokens=857, candidates_tokens=99, total_tokens=956
2025-11-20T20:39:21.667219 | celebrity_interviews_201 | chunk 8 | prompt_tokens=932, candidates_tokens=106, total_tokens=1038
2025-11-20T20:39:33.427981 | celebrity_interviews_201 | chunk 9 | prompt_tokens=1207, candidates_tokens=105, total_tokens=1312
2025-11-20T20:39:56.760428 | celebrity_interviews_201 | chunk 10 | prompt_tokens=1982, candidates_tokens=181, total_tokens=2163
2025-11-20T20:40:11.505787 | celebrity_interviews_438 | chunk 0 | prompt_tokens=1182, candidates_tokens=103, total_tokens=1285
2025-11-20T20:40:22.432341 | celebrity_interviews_438 | chunk 1 | prompt_tokens=957, candidates_tokens=78, total_tokens=1035
2025-11-20T20:40:33.550380 | celebrity_interviews_438 | chunk 2 | prompt_tokens=857, candidates_tokens=106, total_tokens=963
2025-11-20T20:40:43.858871 | celebrity_interviews_438 | chunk 3 | prompt_tokens=1032, candidates_tokens=156, total_tokens=1188
2025-11-20T20:41:04.274342 | celebrity_interviews_438 | chunk 4 | prompt_tokens=1832, candidates_tokens=169, total_tokens=2001
2025-11-20T20:41:19.252523 | celebrity_interviews_438 | chunk 5 | prompt_tokens=1132, candidates_tokens=219, total_tokens=1351
2025-11-20T20:41:39.483474 | celebrity_interviews_438 | chunk 6 | prompt_tokens=1707, candidates_tokens=77, total_tokens=1784
2025-11-20T20:41:51.575749 | celebrity_interviews_438 | chunk 7 | prompt_tokens=1082, candidates_tokens=120, total_tokens=1202
2025-11-20T20:41:57.785249 | celebrity_interviews_438 | chunk 8 | prompt_tokens=407, candidates_tokens=85, total_tokens=492
2025-11-20T20:42:14.300609 | celebrity_interviews_438 | chunk 9 | prompt_tokens=1432, candidates_tokens=136, total_tokens=1568
2025-11-20T20:42:33.480676 | celebrity_interviews_438 | chunk 10 | prompt_tokens=1607, candidates_tokens=85, total_tokens=1692
2025-11-20T20:42:52.013400 | celebrity_interviews_438 | chunk 11 | prompt_tokens=1832, candidates_tokens=155, total_tokens=1987
2025-11-20T20:42:56.627447 | celebrity_interviews_438 | chunk 12 | prompt_tokens=432, candidates_tokens=70, total_tokens=502
2025-11-20T20:43:03.515179 | celebrity_interviews_438 | chunk 13 | prompt_tokens=407, candidates_tokens=61, total_tokens=468
2025-11-20T20:43:17.643990 | celebrity_interviews_438 | chunk 14 | prompt_tokens=1032, candidates_tokens=142, total_tokens=1174
2025-11-20T20:43:31.638047 | celebrity_interviews_438 | chunk 15 | prompt_tokens=1032, candidates_tokens=134, total_tokens=1166
2025-11-20T20:43:46.700435 | celebrity_interviews_438 | chunk 16 | prompt_tokens=882, candidates_tokens=97, total_tokens=979
2025-11-20T20:43:55.886765 | celebrity_interviews_154 | chunk 0 | prompt_tokens=832, candidates_tokens=79, total_tokens=911
2025-11-20T20:44:08.195928 | celebrity_interviews_154 | chunk 1 | prompt_tokens=957, candidates_tokens=104, total_tokens=1061
2025-11-20T20:44:19.384850 | celebrity_interviews_154 | chunk 2 | prompt_tokens=1407, candidates_tokens=141, total_tokens=1548
2025-11-20T20:44:23.749248 | celebrity_interviews_154 | chunk 3 | prompt_tokens=382, candidates_tokens=64, total_tokens=446
2025-11-20T20:44:43.027147 | celebrity_interviews_154 | chunk 4 | prompt_tokens=1682, candidates_tokens=101, total_tokens=1783
2025-11-20T20:45:19.201300 | celebrity_interviews_154 | chunk 5 | prompt_tokens=2232, candidates_tokens=164, total_tokens=2396
2025-11-20T20:45:28.355940 | celebrity_interviews_154 | chunk 6 | prompt_tokens=557, candidates_tokens=123, total_tokens=680
2025-11-20T20:45:41.603676 | celebrity_interviews_154 | chunk 7 | prompt_tokens=1382, candidates_tokens=100, total_tokens=1482
2025-11-20T20:45:57.260910 | celebrity_interviews_154 | chunk 8 | prompt_tokens=1357, candidates_tokens=134, total_tokens=1491
2025-11-20T20:46:06.390592 | celebrity_interviews_154 | chunk 9 | prompt_tokens=782, candidates_tokens=69, total_tokens=851
2025-11-20T20:46:14.948000 | celebrity_interviews_154 | chunk 10 | prompt_tokens=682, candidates_tokens=53, total_tokens=735
2025-11-20T20:46:32.810395 | celebrity_interviews_154 | chunk 11 | prompt_tokens=1657, candidates_tokens=93, total_tokens=1750
2025-11-20T20:46:42.788454 | celebrity_interviews_154 | chunk 12 | prompt_tokens=857, candidates_tokens=100, total_tokens=957
2025-11-20T20:46:56.236502 | celebrity_interviews_154 | chunk 13 | prompt_tokens=1407, candidates_tokens=81, total_tokens=1488
2025-11-20T20:47:19.468066 | celebrity_interviews_154 | chunk 14 | prompt_tokens=2282, candidates_tokens=162, total_tokens=2444
2025-11-20T20:47:37.139575 | celebrity_interviews_52 | chunk 0 | prompt_tokens=1507, candidates_tokens=95, total_tokens=1602
2025-11-20T20:48:02.294196 | celebrity_interviews_52 | chunk 1 | prompt_tokens=1957, candidates_tokens=123, total_tokens=2080
2025-11-20T20:48:14.798361 | celebrity_interviews_52 | chunk 2 | prompt_tokens=1107, candidates_tokens=77, total_tokens=1184
2025-11-20T20:48:35.255535 | celebrity_interviews_52 | chunk 3 | prompt_tokens=1757, candidates_tokens=83, total_tokens=1840
2025-11-20T20:48:48.513468 | celebrity_interviews_52 | chunk 4 | prompt_tokens=1307, candidates_tokens=107, total_tokens=1414
2025-11-20T20:49:02.054311 | celebrity_interviews_52 | chunk 5 | prompt_tokens=1082, candidates_tokens=116, total_tokens=1198
2025-11-20T20:49:18.017577 | celebrity_interviews_52 | chunk 6 | prompt_tokens=1082, candidates_tokens=80, total_tokens=1162
2025-11-20T20:49:41.585275 | celebrity_interviews_52 | chunk 7 | prompt_tokens=2157, candidates_tokens=120, total_tokens=2277
2025-11-20T20:50:03.270829 | celebrity_interviews_52 | chunk 8 | prompt_tokens=1932, candidates_tokens=164, total_tokens=2096
2025-11-20T20:50:11.128128 | celebrity_interviews_52 | chunk 9 | prompt_tokens=457, candidates_tokens=59, total_tokens=516
2025-11-20T20:50:22.302704 | celebrity_interviews_52 | chunk 10 | prompt_tokens=857, candidates_tokens=83, total_tokens=940
2025-11-20T20:50:31.064406 | celebrity_interviews_52 | chunk 11 | prompt_tokens=707, candidates_tokens=53, total_tokens=760
2025-11-20T20:50:54.054796 | celebrity_interviews_52 | chunk 12 | prompt_tokens=1732, candidates_tokens=107, total_tokens=1839
2025-11-20T20:51:00.206689 | celebrity_interviews_305 | chunk 0 | prompt_tokens=457, candidates_tokens=66, total_tokens=523
2025-11-20T20:51:08.071458 | celebrity_interviews_305 | chunk 1 | prompt_tokens=657, candidates_tokens=53, total_tokens=710
2025-11-20T20:51:22.422038 | celebrity_interviews_305 | chunk 2 | prompt_tokens=807, candidates_tokens=73, total_tokens=880
2025-11-20T20:51:42.758747 | celebrity_interviews_305 | chunk 3 | prompt_tokens=1482, candidates_tokens=122, total_tokens=1604
2025-11-20T20:51:55.035410 | celebrity_interviews_305 | chunk 4 | prompt_tokens=857, candidates_tokens=79, total_tokens=936
2025-11-20T20:52:08.310309 | celebrity_interviews_305 | chunk 5 | prompt_tokens=1282, candidates_tokens=102, total_tokens=1384
2025-11-20T20:52:24.857625 | celebrity_interviews_305 | chunk 6 | prompt_tokens=1482, candidates_tokens=112, total_tokens=1594
2025-11-20T20:52:30.365954 | celebrity_interviews_305 | chunk 7 | prompt_tokens=407, candidates_tokens=44, total_tokens=451
2025-11-20T20:52:49.567295 | celebrity_interviews_305 | chunk 8 | prompt_tokens=1732, candidates_tokens=136, total_tokens=1868
2025-11-20T20:53:03.830420 | celebrity_interviews_305 | chunk 9 | prompt_tokens=1107, candidates_tokens=111, total_tokens=1218
2025-11-20T20:53:30.757320 | celebrity_interviews_305 | chunk 10 | prompt_tokens=2157, candidates_tokens=164, total_tokens=2321
2025-11-20T20:53:40.519529 | celebrity_interviews_305 | chunk 11 | prompt_tokens=857, candidates_tokens=67, total_tokens=924
2025-11-20T20:53:52.203359 | celebrity_interviews_305 | chunk 12 | prompt_tokens=807, candidates_tokens=65, total_tokens=872
2025-11-20T20:54:19.533678 | celebrity_interviews_237 | chunk 0 | prompt_tokens=2157, candidates_tokens=156, total_tokens=2313
2025-11-20T20:54:35.803926 | celebrity_interviews_237 | chunk 1 | prompt_tokens=1507, candidates_tokens=212, total_tokens=1719
2025-11-20T20:54:40.316130 | celebrity_interviews_237 | chunk 2 | prompt_tokens=332, candidates_tokens=52, total_tokens=384
2025-11-20T20:54:56.692741 | celebrity_interviews_237 | chunk 3 | prompt_tokens=1082, candidates_tokens=110, total_tokens=1192
2025-11-20T20:55:14.441699 | celebrity_interviews_237 | chunk 4 | prompt_tokens=1507, candidates_tokens=121, total_tokens=1628
2025-11-20T20:55:24.296175 | celebrity_interviews_237 | chunk 5 | prompt_tokens=682, candidates_tokens=86, total_tokens=768
2025-11-20T20:55:36.106831 | celebrity_interviews_237 | chunk 6 | prompt_tokens=1032, candidates_tokens=111, total_tokens=1143
2025-11-20T20:55:49.578956 | celebrity_interviews_237 | chunk 7 | prompt_tokens=857, candidates_tokens=120, total_tokens=977
2025-11-20T20:56:01.182435 | celebrity_interviews_237 | chunk 8 | prompt_tokens=832, candidates_tokens=73, total_tokens=905
2025-11-20T20:56:11.912174 | celebrity_interviews_237 | chunk 9 | prompt_tokens=732, candidates_tokens=80, total_tokens=812
2025-11-20T20:56:21.634047 | celebrity_interviews_237 | chunk 10 | prompt_tokens=682, candidates_tokens=106, total_tokens=788
2025-11-20T20:56:39.700031 | celebrity_interviews_237 | chunk 11 | prompt_tokens=1382, candidates_tokens=159, total_tokens=1541
2025-11-20T20:56:49.814908 | celebrity_interviews_237 | chunk 12 | prompt_tokens=882, candidates_tokens=134, total_tokens=1016
2025-11-20T20:56:59.369607 | celebrity_interviews_237 | chunk 13 | prompt_tokens=732, candidates_tokens=101, total_tokens=833
2025-11-20T20:57:03.516161 | celebrity_interviews_237 | chunk 14 | prompt_tokens=257, candidates_tokens=44, total_tokens=301
2025-11-20T20:57:16.724316 | celebrity_interviews_309 | chunk 0 | prompt_tokens=1282, candidates_tokens=68, total_tokens=1350
2025-11-20T20:57:30.136857 | celebrity_interviews_309 | chunk 1 | prompt_tokens=1107, candidates_tokens=84, total_tokens=1191
2025-11-20T20:57:39.702685 | celebrity_interviews_309 | chunk 2 | prompt_tokens=907, candidates_tokens=74, total_tokens=981
2025-11-20T20:57:49.333374 | celebrity_interviews_309 | chunk 3 | prompt_tokens=732, candidates_tokens=80, total_tokens=812
2025-11-20T20:58:01.199958 | celebrity_interviews_309 | chunk 4 | prompt_tokens=1107, candidates_tokens=83, total_tokens=1190
2025-11-20T20:58:08.299618 | celebrity_interviews_309 | chunk 5 | prompt_tokens=657, candidates_tokens=84, total_tokens=741
2025-11-20T20:58:18.741757 | celebrity_interviews_309 | chunk 6 | prompt_tokens=807, candidates_tokens=43, total_tokens=850
2025-11-20T20:58:32.003593 | celebrity_interviews_309 | chunk 7 | prompt_tokens=1432, candidates_tokens=115, total_tokens=1547
2025-11-20T20:58:38.461349 | celebrity_interviews_309 | chunk 8 | prompt_tokens=532, candidates_tokens=66, total_tokens=598
2025-11-20T20:58:53.054132 | celebrity_interviews_309 | chunk 9 | prompt_tokens=1232, candidates_tokens=70, total_tokens=1302
2025-11-20T20:59:04.384812 | celebrity_interviews_309 | chunk 10 | prompt_tokens=982, candidates_tokens=66, total_tokens=1048
2025-11-20T20:59:19.907823 | celebrity_interviews_309 | chunk 11 | prompt_tokens=1657, candidates_tokens=150, total_tokens=1807
2025-11-20T20:59:37.699389 | celebrity_interviews_309 | chunk 12 | prompt_tokens=1607, candidates_tokens=120, total_tokens=1727
2025-11-20T20:59:48.997766 | celebrity_interviews_309 | chunk 13 | prompt_tokens=1157, candidates_tokens=77, total_tokens=1234
2025-11-20T21:00:05.468123 | celebrity_interviews_309 | chunk 14 | prompt_tokens=1282, candidates_tokens=94, total_tokens=1376
2025-11-20T21:00:15.771602 | celebrity_interviews_309 | chunk 15 | prompt_tokens=707, candidates_tokens=106, total_tokens=813
2025-11-20T21:00:23.335705 | celebrity_interviews_309 | chunk 16 | prompt_tokens=507, candidates_tokens=72, total_tokens=579
2025-11-20T21:00:31.651540 | celebrity_interviews_309 | chunk 17 | prompt_tokens=482, candidates_tokens=81, total_tokens=563
2025-11-20T21:00:42.728823 | celebrity_interviews_78 | chunk 0 | prompt_tokens=1107, candidates_tokens=130, total_tokens=1237
2025-11-20T21:00:47.445735 | celebrity_interviews_78 | chunk 1 | prompt_tokens=457, candidates_tokens=116, total_tokens=573
2025-11-20T21:01:00.579512 | celebrity_interviews_78 | chunk 2 | prompt_tokens=1182, candidates_tokens=168, total_tokens=1350
2025-11-20T21:01:19.036614 | celebrity_interviews_78 | chunk 3 | prompt_tokens=1457, candidates_tokens=140, total_tokens=1597
2025-11-20T21:01:36.588616 | celebrity_interviews_78 | chunk 4 | prompt_tokens=1382, candidates_tokens=126, total_tokens=1508
2025-11-20T21:01:42.558951 | celebrity_interviews_78 | chunk 5 | prompt_tokens=382, candidates_tokens=114, total_tokens=496
2025-11-20T21:01:51.241450 | celebrity_interviews_78 | chunk 6 | prompt_tokens=707, candidates_tokens=71, total_tokens=778
2025-11-20T21:01:58.991874 | celebrity_interviews_78 | chunk 7 | prompt_tokens=757, candidates_tokens=101, total_tokens=858
2025-11-20T21:02:12.061440 | celebrity_interviews_78 | chunk 8 | prompt_tokens=1107, candidates_tokens=135, total_tokens=1242
2025-11-20T21:02:38.544797 | celebrity_interviews_78 | chunk 9 | prompt_tokens=2157, candidates_tokens=253, total_tokens=2410
2025-11-20T21:03:06.083958 | celebrity_interviews_78 | chunk 10 | prompt_tokens=2382, candidates_tokens=161, total_tokens=2543
2025-11-20T21:03:19.859660 | celebrity_interviews_5 | chunk 0 | prompt_tokens=1107, candidates_tokens=115, total_tokens=1222
2025-11-20T21:03:29.309208 | celebrity_interviews_5 | chunk 1 | prompt_tokens=732, candidates_tokens=101, total_tokens=833
2025-11-20T21:03:37.966364 | celebrity_interviews_5 | chunk 2 | prompt_tokens=782, candidates_tokens=91, total_tokens=873
2025-11-20T21:03:49.222530 | celebrity_interviews_5 | chunk 3 | prompt_tokens=1007, candidates_tokens=90, total_tokens=1097
2025-11-20T21:04:00.906518 | celebrity_interviews_5 | chunk 4 | prompt_tokens=907, candidates_tokens=94, total_tokens=1001
2025-11-20T21:04:21.686019 | celebrity_interviews_5 | chunk 5 | prompt_tokens=1657, candidates_tokens=177, total_tokens=1834
2025-11-20T21:04:27.157175 | celebrity_interviews_5 | chunk 6 | prompt_tokens=582, candidates_tokens=98, total_tokens=680
2025-11-20T21:04:37.143320 | celebrity_interviews_5 | chunk 7 | prompt_tokens=832, candidates_tokens=45, total_tokens=877
2025-11-20T21:04:48.179802 | celebrity_interviews_5 | chunk 8 | prompt_tokens=957, candidates_tokens=94, total_tokens=1051
2025-11-20T21:04:56.324153 | celebrity_interviews_5 | chunk 9 | prompt_tokens=532, candidates_tokens=97, total_tokens=629
2025-11-20T21:05:08.188789 | celebrity_interviews_5 | chunk 10 | prompt_tokens=532, candidates_tokens=87, total_tokens=619
2025-11-20T21:05:22.672326 | celebrity_interviews_5 | chunk 11 | prompt_tokens=757, candidates_tokens=88, total_tokens=845
2025-11-20T21:05:36.836484 | celebrity_interviews_5 | chunk 12 | prompt_tokens=1357, candidates_tokens=121, total_tokens=1478
2025-11-20T21:05:51.190136 | celebrity_interviews_5 | chunk 13 | prompt_tokens=1282, candidates_tokens=113, total_tokens=1395
2025-11-20T21:06:13.147861 | celebrity_interviews_8 | chunk 0 | prompt_tokens=1957, candidates_tokens=158, total_tokens=2115
2025-11-20T21:06:28.976221 | celebrity_interviews_8 | chunk 1 | prompt_tokens=1532, candidates_tokens=155, total_tokens=1687
2025-11-20T21:06:43.534648 | celebrity_interviews_8 | chunk 2 | prompt_tokens=1607, candidates_tokens=136, total_tokens=1743
2025-11-20T21:07:06.669291 | celebrity_interviews_8 | chunk 3 | prompt_tokens=1382, candidates_tokens=98, total_tokens=1480
2025-11-20T21:07:37.531524 | celebrity_interviews_8 | chunk 4 | prompt_tokens=1832, candidates_tokens=151, total_tokens=1983
2025-11-20T21:07:56.101634 | celebrity_interviews_8 | chunk 5 | prompt_tokens=1332, candidates_tokens=162, total_tokens=1494
2025-11-20T21:08:05.838267 | celebrity_interviews_8 | chunk 6 | prompt_tokens=907, candidates_tokens=95, total_tokens=1002
2025-11-20T21:08:20.219901 | celebrity_interviews_8 | chunk 7 | prompt_tokens=1082, candidates_tokens=141, total_tokens=1223
2025-11-20T21:08:24.189161 | celebrity_interviews_8 | chunk 8 | prompt_tokens=257, candidates_tokens=40, total_tokens=297
2025-11-20T21:08:44.211484 | celebrity_interviews_8 | chunk 9 | prompt_tokens=1032, candidates_tokens=119, total_tokens=1151
2025-11-20T21:08:54.143516 | celebrity_interviews_283 | chunk 0 | prompt_tokens=857, candidates_tokens=88, total_tokens=945
2025-11-20T21:09:08.459753 | celebrity_interviews_283 | chunk 1 | prompt_tokens=1132, candidates_tokens=146, total_tokens=1278
2025-11-20T21:09:17.594383 | celebrity_interviews_283 | chunk 2 | prompt_tokens=782, candidates_tokens=61, total_tokens=843
2025-11-20T21:09:45.914378 | celebrity_interviews_283 | chunk 3 | prompt_tokens=1332, candidates_tokens=139, total_tokens=1471
2025-11-20T21:09:59.977300 | celebrity_interviews_283 | chunk 4 | prompt_tokens=1257, candidates_tokens=87, total_tokens=1344
2025-11-20T21:10:14.478347 | celebrity_interviews_283 | chunk 5 | prompt_tokens=807, candidates_tokens=111, total_tokens=918
2025-11-20T21:10:29.225747 | celebrity_interviews_283 | chunk 6 | prompt_tokens=1082, candidates_tokens=91, total_tokens=1173
2025-11-20T21:10:50.149889 | celebrity_interviews_283 | chunk 7 | prompt_tokens=1557, candidates_tokens=130, total_tokens=1687
2025-11-20T21:11:03.128469 | celebrity_interviews_283 | chunk 8 | prompt_tokens=882, candidates_tokens=123, total_tokens=1005
2025-11-20T21:11:10.630735 | celebrity_interviews_283 | chunk 9 | prompt_tokens=532, candidates_tokens=89, total_tokens=621
2025-11-20T21:11:36.187353 | celebrity_interviews_283 | chunk 10 | prompt_tokens=2207, candidates_tokens=104, total_tokens=2311
2025-11-20T21:11:51.624514 | celebrity_interviews_283 | chunk 11 | prompt_tokens=1507, candidates_tokens=92, total_tokens=1599
2025-11-20T21:12:05.675457 | celebrity_interviews_283 | chunk 12 | prompt_tokens=582, candidates_tokens=67, total_tokens=649
2025-11-20T21:12:14.681102 | celebrity_interviews_283 | chunk 13 | prompt_tokens=732, candidates_tokens=47, total_tokens=779
2025-11-20T21:12:26.192774 | celebrity_interviews_283 | chunk 14 | prompt_tokens=1007, candidates_tokens=76, total_tokens=1083
2025-11-20T21:12:37.479237 | celebrity_interviews_283 | chunk 15 | prompt_tokens=732, candidates_tokens=104, total_tokens=836
2025-11-20T21:12:52.758320 | celebrity_interviews_283 | chunk 16 | prompt_tokens=1157, candidates_tokens=123, total_tokens=1280
2025-11-20T21:13:15.538705 | celebrity_interviews_185 | chunk 0 | prompt_tokens=1757, candidates_tokens=179, total_tokens=1936
2025-11-20T21:13:22.216375 | celebrity_interviews_185 | chunk 1 | prompt_tokens=507, candidates_tokens=70, total_tokens=577
2025-11-20T21:13:29.501697 | celebrity_interviews_185 | chunk 2 | prompt_tokens=532, candidates_tokens=64, total_tokens=596
2025-11-20T21:13:44.902876 | celebrity_interviews_185 | chunk 3 | prompt_tokens=1357, candidates_tokens=164, total_tokens=1521
2025-11-20T21:14:00.533871 | celebrity_interviews_185 | chunk 4 | prompt_tokens=1332, candidates_tokens=184, total_tokens=1516
2025-11-20T21:14:10.417392 | celebrity_interviews_185 | chunk 5 | prompt_tokens=882, candidates_tokens=76, total_tokens=958
2025-11-20T21:14:24.264049 | celebrity_interviews_185 | chunk 6 | prompt_tokens=1482, candidates_tokens=137, total_tokens=1619
2025-11-20T21:14:40.874176 | celebrity_interviews_185 | chunk 7 | prompt_tokens=1857, candidates_tokens=154, total_tokens=2011
2025-11-20T21:14:54.939282 | celebrity_interviews_185 | chunk 8 | prompt_tokens=1382, candidates_tokens=134, total_tokens=1516
2025-11-20T21:15:04.285745 | celebrity_interviews_185 | chunk 9 | prompt_tokens=782, candidates_tokens=98, total_tokens=880
2025-11-20T21:15:23.345405 | celebrity_interviews_185 | chunk 10 | prompt_tokens=1932, candidates_tokens=173, total_tokens=2105
2025-11-20T21:15:34.917449 | celebrity_interviews_185 | chunk 11 | prompt_tokens=882, candidates_tokens=116, total_tokens=998
