2025-11-21T00:42:35.485436 | travel_vlogs_213 | chunk 0 | prompt_tokens=5223, candidates_tokens=216, total_tokens=5439
2025-11-21T01:04:33.798113 | travel_vlogs_82 | chunk 9 | prompt_tokens=15569, candidates_tokens=233, total_tokens=15802
2025-11-21T01:05:07.130906 | travel_vlogs_82 | chunk 10 | prompt_tokens=20480, candidates_tokens=194, total_tokens=20674
2025-11-21T01:05:18.730443 | travel_vlogs_82 | chunk 11 | prompt_tokens=5739, candidates_tokens=236, total_tokens=5975
2025-11-21T01:05:24.747570 | travel_vlogs_82 | chunk 12 | prompt_tokens=4632, candidates_tokens=192, total_tokens=4824
2025-11-21T01:05:32.797834 | travel_vlogs_82 | chunk 13 | prompt_tokens=1419, candidates_tokens=138, total_tokens=1557
2025-11-21T01:05:58.053450 | travel_vlogs_82 | chunk 14 | prompt_tokens=20480, candidates_tokens=279, total_tokens=20759
2025-11-21T01:06:04.735977 | travel_vlogs_132 | chunk 0 | prompt_tokens=5947, candidates_tokens=162, total_tokens=6109
2025-11-21T01:06:14.153217 | travel_vlogs_132 | chunk 1 | prompt_tokens=8311, candidates_tokens=182, total_tokens=8493
2025-11-21T01:06:23.821115 | travel_vlogs_132 | chunk 2 | prompt_tokens=18241, candidates_tokens=201, total_tokens=18442
2025-11-21T01:06:32.344923 | travel_vlogs_132 | chunk 3 | prompt_tokens=5997, candidates_tokens=166, total_tokens=6163
2025-11-21T01:06:44.742690 | travel_vlogs_132 | chunk 4 | prompt_tokens=12739, candidates_tokens=208, total_tokens=12947
2025-11-21T01:06:53.246280 | travel_vlogs_132 | chunk 5 | prompt_tokens=6330, candidates_tokens=200, total_tokens=6530
2025-11-21T01:07:06.263638 | travel_vlogs_132 | chunk 6 | prompt_tokens=10550, candidates_tokens=182, total_tokens=10732
2025-11-21T01:07:12.216713 | travel_vlogs_132 | chunk 7 | prompt_tokens=4582, candidates_tokens=125, total_tokens=4707
2025-11-21T01:07:17.709774 | travel_vlogs_132 | chunk 8 | prompt_tokens=4815, candidates_tokens=121, total_tokens=4936
2025-11-21T01:07:27.206089 | travel_vlogs_132 | chunk 9 | prompt_tokens=7670, candidates_tokens=173, total_tokens=7843
2025-11-21T01:07:35.110819 | travel_vlogs_132 | chunk 10 | prompt_tokens=6846, candidates_tokens=184, total_tokens=7030
2025-11-21T01:07:46.552305 | travel_vlogs_132 | chunk 11 | prompt_tokens=13405, candidates_tokens=204, total_tokens=13609
2025-11-21T01:07:54.957792 | travel_vlogs_132 | chunk 12 | prompt_tokens=4299, candidates_tokens=136, total_tokens=4435
2025-11-21T01:08:22.645098 | travel_vlogs_132 | chunk 13 | prompt_tokens=10009, candidates_tokens=157, total_tokens=10166
2025-11-21T01:08:33.152137 | travel_vlogs_132 | chunk 14 | prompt_tokens=17933, candidates_tokens=255, total_tokens=18188
2025-11-21T01:08:44.751885 | travel_vlogs_132 | chunk 15 | prompt_tokens=23826, candidates_tokens=193, total_tokens=24019
2025-11-21T01:08:51.130025 | travel_vlogs_164 | chunk 0 | prompt_tokens=6488, candidates_tokens=139, total_tokens=6627
2025-11-21T01:09:00.720394 | travel_vlogs_164 | chunk 1 | prompt_tokens=4840, candidates_tokens=139, total_tokens=4979
2025-11-21T01:09:05.844731 | travel_vlogs_164 | chunk 2 | prompt_tokens=903, candidates_tokens=112, total_tokens=1015
2025-11-21T01:09:13.239268 | travel_vlogs_164 | chunk 3 | prompt_tokens=4299, candidates_tokens=189, total_tokens=4488
2025-11-21T01:09:33.577254 | travel_vlogs_164 | chunk 4 | prompt_tokens=13946, candidates_tokens=269, total_tokens=14215
2025-11-21T01:09:59.821562 | travel_vlogs_164 | chunk 5 | prompt_tokens=19323, candidates_tokens=197, total_tokens=19520
2025-11-21T01:10:07.814310 | travel_vlogs_164 | chunk 6 | prompt_tokens=3758, candidates_tokens=166, total_tokens=3924
2025-11-21T01:10:28.318679 | travel_vlogs_164 | chunk 7 | prompt_tokens=14537, candidates_tokens=271, total_tokens=14808
2025-11-21T01:10:35.441849 | travel_vlogs_164 | chunk 8 | prompt_tokens=1777, candidates_tokens=145, total_tokens=1922
2025-11-21T01:10:43.072497 | travel_vlogs_164 | chunk 9 | prompt_tokens=3708, candidates_tokens=145, total_tokens=3853
2025-11-21T01:11:05.983394 | travel_vlogs_164 | chunk 10 | prompt_tokens=11399, candidates_tokens=214, total_tokens=11613
2025-11-21T01:11:27.269621 | travel_vlogs_164 | chunk 11 | prompt_tokens=12556, candidates_tokens=241, total_tokens=12797
2025-11-21T01:11:48.164667 | travel_vlogs_164 | chunk 12 | prompt_tokens=13072, candidates_tokens=182, total_tokens=13254
2025-11-21T01:12:04.100405 | travel_vlogs_164 | chunk 13 | prompt_tokens=6538, candidates_tokens=139, total_tokens=6677
2025-11-21T01:12:10.959656 | travel_vlogs_164 | chunk 14 | prompt_tokens=1161, candidates_tokens=110, total_tokens=1271
2025-11-21T01:12:46.771783 | travel_vlogs_164 | chunk 15 | prompt_tokens=19606, candidates_tokens=239, total_tokens=19845
2025-11-21T01:13:12.836023 | travel_vlogs_164 | chunk 16 | prompt_tokens=14820, candidates_tokens=210, total_tokens=15030
2025-11-21T01:13:24.223653 | travel_vlogs_164 | chunk 17 | prompt_tokens=17342, candidates_tokens=239, total_tokens=17581
2025-11-21T01:13:56.871779 | travel_vlogs_125 | chunk 0 | prompt_tokens=10500, candidates_tokens=211, total_tokens=10711
2025-11-21T01:14:10.056779 | travel_vlogs_125 | chunk 1 | prompt_tokens=18166, candidates_tokens=151, total_tokens=18317
2025-11-21T01:14:20.108427 | travel_vlogs_125 | chunk 2 | prompt_tokens=3758, candidates_tokens=150, total_tokens=3908
2025-11-21T01:14:28.461806 | travel_vlogs_125 | chunk 3 | prompt_tokens=3450, candidates_tokens=186, total_tokens=3636
2025-11-21T01:14:40.128537 | travel_vlogs_125 | chunk 4 | prompt_tokens=14179, candidates_tokens=251, total_tokens=14430
2025-11-21T01:15:03.076409 | travel_vlogs_125 | chunk 5 | prompt_tokens=17059, candidates_tokens=155, total_tokens=17214
2025-11-21T01:15:29.042431 | travel_vlogs_125 | chunk 6 | prompt_tokens=19864, candidates_tokens=232, total_tokens=20096
2025-11-21T01:15:52.399965 | travel_vlogs_125 | chunk 7 | prompt_tokens=26065, candidates_tokens=148, total_tokens=26213
2025-11-21T01:16:06.966555 | travel_vlogs_125 | chunk 8 | prompt_tokens=14770, candidates_tokens=174, total_tokens=14944
2025-11-21T01:16:43.751765 | travel_vlogs_125 | chunk 9 | prompt_tokens=36586, candidates_tokens=268, total_tokens=36854
2025-11-21T01:16:54.300768 | travel_vlogs_73 | chunk 0 | prompt_tokens=6821, candidates_tokens=310, total_tokens=7131
2025-11-21T01:16:59.883703 | travel_vlogs_73 | chunk 1 | prompt_tokens=1161, candidates_tokens=130, total_tokens=1291
2025-11-21T01:17:07.932984 | travel_vlogs_73 | chunk 2 | prompt_tokens=4532, candidates_tokens=212, total_tokens=4744
2025-11-21T01:17:20.215680 | travel_vlogs_73 | chunk 3 | prompt_tokens=11682, candidates_tokens=177, total_tokens=11859
2025-11-21T01:17:27.626126 | travel_vlogs_73 | chunk 4 | prompt_tokens=6330, candidates_tokens=137, total_tokens=6467
2025-11-21T01:17:36.254357 | travel_vlogs_73 | chunk 5 | prompt_tokens=5406, candidates_tokens=199, total_tokens=5605
2025-11-21T01:17:51.508039 | travel_vlogs_73 | chunk 6 | prompt_tokens=13971, candidates_tokens=210, total_tokens=14181
2025-11-21T01:18:02.180170 | travel_vlogs_73 | chunk 7 | prompt_tokens=7770, candidates_tokens=227, total_tokens=7997
2025-11-21T01:18:18.249851 | travel_vlogs_73 | chunk 8 | prompt_tokens=22952, candidates_tokens=288, total_tokens=23240
2025-11-21T01:18:26.556784 | travel_vlogs_73 | chunk 9 | prompt_tokens=2368, candidates_tokens=211, total_tokens=2579
2025-11-21T01:18:38.073657 | travel_vlogs_73 | chunk 10 | prompt_tokens=5739, candidates_tokens=211, total_tokens=5950
2025-11-21T01:18:57.739809 | travel_vlogs_73 | chunk 11 | prompt_tokens=18499, candidates_tokens=323, total_tokens=18822
2025-11-21T01:19:08.187269 | travel_vlogs_73 | chunk 12 | prompt_tokens=7179, candidates_tokens=191, total_tokens=7370
2025-11-21T01:19:25.542288 | travel_vlogs_73 | chunk 13 | prompt_tokens=9909, candidates_tokens=168, total_tokens=10077
2025-11-21T01:19:40.910248 | travel_vlogs_73 | chunk 14 | prompt_tokens=15827, candidates_tokens=266, total_tokens=16093
2025-11-21T01:19:56.291681 | travel_vlogs_73 | chunk 15 | prompt_tokens=5173, candidates_tokens=216, total_tokens=5389
2025-11-21T01:20:11.180385 | travel_vlogs_73 | chunk 16 | prompt_tokens=16751, candidates_tokens=205, total_tokens=16956
2025-11-21T01:20:18.858599 | travel_vlogs_229 | chunk 0 | prompt_tokens=11582, candidates_tokens=235, total_tokens=11817
2025-11-21T01:20:24.488504 | travel_vlogs_229 | chunk 1 | prompt_tokens=3475, candidates_tokens=133, total_tokens=3608
2025-11-21T01:20:30.002100 | travel_vlogs_229 | chunk 2 | prompt_tokens=8028, candidates_tokens=202, total_tokens=8230
2025-11-21T01:20:36.537131 | travel_vlogs_229 | chunk 3 | prompt_tokens=4865, candidates_tokens=167, total_tokens=5032
2025-11-21T01:20:48.151493 | travel_vlogs_229 | chunk 4 | prompt_tokens=12814, candidates_tokens=218, total_tokens=13032
2025-11-21T01:20:58.322846 | travel_vlogs_229 | chunk 5 | prompt_tokens=8802, candidates_tokens=215, total_tokens=9017
2025-11-21T01:21:09.070776 | travel_vlogs_229 | chunk 6 | prompt_tokens=10758, candidates_tokens=241, total_tokens=10999
2025-11-21T01:21:29.190107 | travel_vlogs_229 | chunk 7 | prompt_tokens=22436, candidates_tokens=270, total_tokens=22706
2025-11-21T01:21:49.417421 | travel_vlogs_229 | chunk 8 | prompt_tokens=15594, candidates_tokens=279, total_tokens=15873
2025-11-21T01:22:00.785038 | travel_vlogs_229 | chunk 9 | prompt_tokens=12506, candidates_tokens=203, total_tokens=12709
2025-11-21T01:22:13.248317 | travel_vlogs_229 | chunk 10 | prompt_tokens=17059, candidates_tokens=280, total_tokens=17339
2025-11-21T01:22:22.310552 | travel_vlogs_229 | chunk 11 | prompt_tokens=9443, candidates_tokens=166, total_tokens=9609
2025-11-21T01:22:44.652662 | travel_vlogs_229 | chunk 12 | prompt_tokens=15644, candidates_tokens=296, total_tokens=15940
2025-11-21T01:22:55.565634 | travel_vlogs_229 | chunk 13 | prompt_tokens=9726, candidates_tokens=312, total_tokens=10038
2025-11-21T01:23:09.534908 | travel_vlogs_229 | chunk 14 | prompt_tokens=3758, candidates_tokens=230, total_tokens=3988
2025-11-21T01:23:21.703249 | travel_vlogs_53 | chunk 0 | prompt_tokens=5073, candidates_tokens=225, total_tokens=5298
2025-11-21T01:23:49.613997 | travel_vlogs_53 | chunk 1 | prompt_tokens=17267, candidates_tokens=232, total_tokens=17499
2025-11-21T01:23:57.907912 | travel_vlogs_53 | chunk 2 | prompt_tokens=10575, candidates_tokens=226, total_tokens=10801
2025-11-21T01:24:05.215157 | travel_vlogs_53 | chunk 3 | prompt_tokens=5947, candidates_tokens=207, total_tokens=6154
2025-11-21T01:24:26.489588 | travel_vlogs_53 | chunk 4 | prompt_tokens=9984, candidates_tokens=219, total_tokens=10203
2025-11-21T01:24:33.944790 | travel_vlogs_53 | chunk 5 | prompt_tokens=4632, candidates_tokens=193, total_tokens=4825
2025-11-21T01:24:47.114668 | travel_vlogs_53 | chunk 6 | prompt_tokens=7437, candidates_tokens=299, total_tokens=7736
2025-11-21T01:25:00.169591 | travel_vlogs_53 | chunk 7 | prompt_tokens=6047, candidates_tokens=312, total_tokens=6359
2025-11-21T01:25:13.757637 | travel_vlogs_53 | chunk 8 | prompt_tokens=9418, candidates_tokens=251, total_tokens=9669
2025-11-21T01:25:30.762902 | travel_vlogs_53 | chunk 9 | prompt_tokens=19298, candidates_tokens=185, total_tokens=19483
2025-11-21T01:25:44.681998 | travel_vlogs_53 | chunk 10 | prompt_tokens=13713, candidates_tokens=269, total_tokens=13982
2025-11-21T01:25:51.720842 | travel_vlogs_53 | chunk 11 | prompt_tokens=3991, candidates_tokens=250, total_tokens=4241
2025-11-21T01:25:58.898713 | travel_vlogs_53 | chunk 12 | prompt_tokens=2884, candidates_tokens=159, total_tokens=3043
2025-11-21T01:26:13.446530 | travel_vlogs_53 | chunk 13 | prompt_tokens=13122, candidates_tokens=197, total_tokens=13319
2025-11-21T01:26:23.266895 | travel_vlogs_145 | chunk 0 | prompt_tokens=3375, candidates_tokens=119, total_tokens=3494
2025-11-21T01:26:54.417776 | travel_vlogs_145 | chunk 1 | prompt_tokens=24367, candidates_tokens=125, total_tokens=24492
2025-11-21T01:27:12.431136 | travel_vlogs_145 | chunk 2 | prompt_tokens=20996, candidates_tokens=216, total_tokens=21212
2025-11-21T01:27:33.608783 | travel_vlogs_145 | chunk 3 | prompt_tokens=22078, candidates_tokens=180, total_tokens=22258
2025-11-21T01:28:03.918470 | travel_vlogs_145 | chunk 4 | prompt_tokens=22436, candidates_tokens=262, total_tokens=22698
2025-11-21T01:28:10.955394 | travel_vlogs_145 | chunk 5 | prompt_tokens=3400, candidates_tokens=142, total_tokens=3542
2025-11-21T01:28:27.866750 | travel_vlogs_145 | chunk 6 | prompt_tokens=15852, candidates_tokens=159, total_tokens=16011
2025-11-21T01:28:39.753714 | travel_vlogs_145 | chunk 7 | prompt_tokens=5997, candidates_tokens=161, total_tokens=6158
2025-11-21T01:28:54.387915 | travel_vlogs_145 | chunk 8 | prompt_tokens=24159, candidates_tokens=144, total_tokens=24303
2025-11-21T01:29:04.682255 | travel_vlogs_145 | chunk 9 | prompt_tokens=18374, candidates_tokens=229, total_tokens=18603
2025-11-21T01:29:15.678882 | travel_vlogs_234 | chunk 0 | prompt_tokens=5481, candidates_tokens=298, total_tokens=5779
2025-11-21T01:29:39.602357 | travel_vlogs_234 | chunk 1 | prompt_tokens=23185, candidates_tokens=312, total_tokens=23497
2025-11-21T01:30:01.145520 | travel_vlogs_234 | chunk 2 | prompt_tokens=8286, candidates_tokens=261, total_tokens=8547
2025-11-21T01:30:15.921565 | travel_vlogs_234 | chunk 3 | prompt_tokens=7412, candidates_tokens=307, total_tokens=7719
2025-11-21T01:30:32.826900 | travel_vlogs_234 | chunk 4 | prompt_tokens=18141, candidates_tokens=326, total_tokens=18467
2025-11-21T01:30:47.405666 | travel_vlogs_234 | chunk 5 | prompt_tokens=12123, candidates_tokens=460, total_tokens=12583
2025-11-21T01:30:55.216891 | travel_vlogs_234 | chunk 6 | prompt_tokens=4016, candidates_tokens=226, total_tokens=4242
2025-11-21T01:31:05.543285 | travel_vlogs_234 | chunk 7 | prompt_tokens=6896, candidates_tokens=366, total_tokens=7262
2025-11-21T01:31:14.328822 | travel_vlogs_234 | chunk 8 | prompt_tokens=9368, candidates_tokens=323, total_tokens=9691
2025-11-21T01:31:21.899152 | travel_vlogs_234 | chunk 9 | prompt_tokens=4482, candidates_tokens=261, total_tokens=4743
2025-11-21T01:31:38.640311 | travel_vlogs_234 | chunk 10 | prompt_tokens=9676, candidates_tokens=211, total_tokens=9887
2025-11-21T01:31:50.619296 | travel_vlogs_234 | chunk 11 | prompt_tokens=7104, candidates_tokens=277, total_tokens=7381
2025-11-21T01:32:05.245821 | travel_vlogs_234 | chunk 12 | prompt_tokens=13946, candidates_tokens=401, total_tokens=14347
2025-11-21T01:32:17.527927 | travel_vlogs_234 | chunk 13 | prompt_tokens=9576, candidates_tokens=290, total_tokens=9866
2025-11-21T01:32:27.520956 | travel_vlogs_234 | chunk 14 | prompt_tokens=7620, candidates_tokens=362, total_tokens=7982
2025-11-21T01:32:34.383789 | travel_vlogs_234 | chunk 15 | prompt_tokens=903, candidates_tokens=257, total_tokens=1160
2025-11-21T01:32:47.172166 | travel_vlogs_234 | chunk 16 | prompt_tokens=5947, candidates_tokens=349, total_tokens=6296
2025-11-21T01:32:56.729105 | travel_vlogs_234 | chunk 17 | prompt_tokens=5922, candidates_tokens=190, total_tokens=6112
2025-11-21T01:33:11.061919 | travel_vlogs_151 | chunk 0 | prompt_tokens=9085, candidates_tokens=156, total_tokens=9241
2025-11-21T01:33:24.269319 | travel_vlogs_151 | chunk 1 | prompt_tokens=8727, candidates_tokens=195, total_tokens=8922
2025-11-21T01:33:37.310631 | travel_vlogs_151 | chunk 2 | prompt_tokens=9909, candidates_tokens=208, total_tokens=10117
2025-11-21T01:33:56.152765 | travel_vlogs_151 | chunk 3 | prompt_tokens=18707, candidates_tokens=180, total_tokens=18887
2025-11-21T01:34:07.558159 | travel_vlogs_151 | chunk 4 | prompt_tokens=9934, candidates_tokens=243, total_tokens=10177
2025-11-21T01:34:19.844305 | travel_vlogs_151 | chunk 5 | prompt_tokens=7104, candidates_tokens=136, total_tokens=7240
2025-11-21T01:34:28.742489 | travel_vlogs_151 | chunk 6 | prompt_tokens=9343, candidates_tokens=157, total_tokens=9500
2025-11-21T01:34:38.659617 | travel_vlogs_151 | chunk 7 | prompt_tokens=11607, candidates_tokens=162, total_tokens=11769
2025-11-21T01:34:49.293925 | travel_vlogs_151 | chunk 8 | prompt_tokens=12481, candidates_tokens=195, total_tokens=12676
2025-11-21T01:35:01.500780 | travel_vlogs_151 | chunk 9 | prompt_tokens=17550, candidates_tokens=249, total_tokens=17799
2025-11-21T01:35:13.275937 | travel_vlogs_151 | chunk 10 | prompt_tokens=24417, candidates_tokens=261, total_tokens=24678
2025-11-21T01:35:20.816918 | travel_vlogs_151 | chunk 11 | prompt_tokens=6047, candidates_tokens=178, total_tokens=6225
2025-11-21T01:35:32.137081 | travel_vlogs_157 | chunk 0 | prompt_tokens=13097, candidates_tokens=232, total_tokens=13329
2025-11-21T01:35:42.212151 | travel_vlogs_157 | chunk 1 | prompt_tokens=17650, candidates_tokens=264, total_tokens=17914
2025-11-21T01:35:49.937845 | travel_vlogs_157 | chunk 2 | prompt_tokens=4324, candidates_tokens=172, total_tokens=4496
