2025-11-21T17:49:59.571560 | travel_vlogs_130 | chunk 0 | prompt_tokens=19065, candidates_tokens=144, total_tokens=19563
2025-11-21T18:04:50.185673 | travel_vlogs_125 | chunk 2 | prompt_tokens=3758, candidates_tokens=297, total_tokens=5079
2025-11-21T18:05:22.626341 | travel_vlogs_125 | chunk 3 | prompt_tokens=4526, candidates_tokens=236, total_tokens=5089
2025-11-21T18:05:40.764077 | travel_vlogs_125 | chunk 4 | prompt_tokens=14179, candidates_tokens=211, total_tokens=14882
2025-11-21T18:06:20.088529 | travel_vlogs_125 | chunk 5 | prompt_tokens=18399, candidates_tokens=225, total_tokens=19222
2025-11-21T18:06:45.007476 | travel_vlogs_125 | chunk 6 | prompt_tokens=19864, candidates_tokens=246, total_tokens=21579
2025-11-21T18:07:11.093961 | travel_vlogs_125 | chunk 7 | prompt_tokens=26065, candidates_tokens=188, total_tokens=26869
2025-11-21T18:07:26.751894 | travel_vlogs_125 | chunk 8 | prompt_tokens=14770, candidates_tokens=159, total_tokens=15354
2025-11-21T18:07:55.553418 | travel_vlogs_125 | chunk 9 | prompt_tokens=36586, candidates_tokens=393, total_tokens=37893
2025-11-21T18:08:30.529893 | travel_vlogs_50 | chunk 0 | prompt_tokens=21063, candidates_tokens=406, total_tokens=22515
2025-11-21T18:09:06.056431 | travel_vlogs_50 | chunk 1 | prompt_tokens=16352, candidates_tokens=242, total_tokens=17373
2025-11-21T18:09:15.188274 | travel_vlogs_50 | chunk 2 | prompt_tokens=3758, candidates_tokens=210, total_tokens=4340
2025-11-21T18:09:22.926197 | travel_vlogs_50 | chunk 3 | prompt_tokens=3758, candidates_tokens=208, total_tokens=4313
2025-11-21T18:09:36.351901 | travel_vlogs_50 | chunk 4 | prompt_tokens=4557, candidates_tokens=286, total_tokens=5733
2025-11-21T18:10:12.144146 | travel_vlogs_50 | chunk 5 | prompt_tokens=13405, candidates_tokens=198, total_tokens=14287
2025-11-21T18:10:22.452068 | travel_vlogs_50 | chunk 6 | prompt_tokens=3708, candidates_tokens=190, total_tokens=4401
2025-11-21T18:10:58.807794 | travel_vlogs_50 | chunk 7 | prompt_tokens=12221, candidates_tokens=205, total_tokens=13027
2025-11-21T18:11:09.143668 | travel_vlogs_50 | chunk 8 | prompt_tokens=6613, candidates_tokens=249, total_tokens=7237
2025-11-21T18:11:19.870846 | travel_vlogs_50 | chunk 9 | prompt_tokens=4890, candidates_tokens=197, total_tokens=5564
2025-11-21T18:11:45.985410 | travel_vlogs_50 | chunk 10 | prompt_tokens=14462, candidates_tokens=445, total_tokens=16634
2025-11-21T18:12:07.697349 | travel_vlogs_50 | chunk 11 | prompt_tokens=24417, candidates_tokens=527, total_tokens=26358
2025-11-21T18:12:19.166219 | travel_vlogs_155 | chunk 0 | prompt_tokens=4066, candidates_tokens=146, total_tokens=4753
2025-11-21T18:12:26.546304 | travel_vlogs_155 | chunk 1 | prompt_tokens=1211, candidates_tokens=103, total_tokens=1755
2025-11-21T18:12:37.898552 | travel_vlogs_155 | chunk 2 | prompt_tokens=3783, candidates_tokens=274, total_tokens=4548
2025-11-21T18:12:49.042137 | travel_vlogs_155 | chunk 3 | prompt_tokens=3450, candidates_tokens=189, total_tokens=4274
2025-11-21T18:13:08.313442 | travel_vlogs_155 | chunk 4 | prompt_tokens=19323, candidates_tokens=332, total_tokens=20466
2025-11-21T18:13:21.270163 | travel_vlogs_155 | chunk 5 | prompt_tokens=10858, candidates_tokens=244, total_tokens=11847
2025-11-21T18:13:35.970023 | travel_vlogs_155 | chunk 6 | prompt_tokens=9368, candidates_tokens=203, total_tokens=10130
2025-11-21T18:13:58.361253 | travel_vlogs_155 | chunk 7 | prompt_tokens=10475, candidates_tokens=283, total_tokens=11686
2025-11-21T18:14:27.280591 | travel_vlogs_155 | chunk 8 | prompt_tokens=17084, candidates_tokens=252, total_tokens=18470
2025-11-21T18:14:52.884651 | travel_vlogs_155 | chunk 9 | prompt_tokens=15852, candidates_tokens=309, total_tokens=17083
2025-11-21T18:15:11.295490 | travel_vlogs_155 | chunk 10 | prompt_tokens=15311, candidates_tokens=101, total_tokens=15630
2025-11-21T18:15:29.113213 | travel_vlogs_155 | chunk 11 | prompt_tokens=10758, candidates_tokens=283, total_tokens=11572
2025-11-21T18:15:40.732172 | travel_vlogs_155 | chunk 12 | prompt_tokens=3683, candidates_tokens=132, total_tokens=4246
2025-11-21T18:15:52.358610 | travel_vlogs_155 | chunk 13 | prompt_tokens=4299, candidates_tokens=148, total_tokens=4941
2025-11-21T18:16:09.086371 | travel_vlogs_37 | chunk 0 | prompt_tokens=11582, candidates_tokens=189, total_tokens=12169
2025-11-21T18:16:28.160246 | travel_vlogs_37 | chunk 1 | prompt_tokens=11732, candidates_tokens=226, total_tokens=12773
2025-11-21T18:16:46.019948 | travel_vlogs_37 | chunk 2 | prompt_tokens=8211, candidates_tokens=159, total_tokens=8744
2025-11-21T18:17:20.144800 | travel_vlogs_37 | chunk 3 | prompt_tokens=4237, candidates_tokens=121, total_tokens=4918
2025-11-21T18:17:40.909678 | travel_vlogs_37 | chunk 4 | prompt_tokens=11915, candidates_tokens=159, total_tokens=12373
2025-11-21T18:18:22.385225 | travel_vlogs_37 | chunk 5 | prompt_tokens=11018, candidates_tokens=208, total_tokens=11951
2025-11-21T18:19:12.024059 | travel_vlogs_37 | chunk 6 | prompt_tokens=22235, candidates_tokens=235, total_tokens=23298
2025-11-21T18:20:00.414507 | travel_vlogs_37 | chunk 7 | prompt_tokens=23122, candidates_tokens=187, total_tokens=24100
2025-11-21T18:20:14.777011 | travel_vlogs_37 | chunk 8 | prompt_tokens=11915, candidates_tokens=131, total_tokens=12302
2025-11-21T18:20:32.119948 | travel_vlogs_37 | chunk 9 | prompt_tokens=6255, candidates_tokens=228, total_tokens=6938
2025-11-21T18:20:48.298821 | travel_vlogs_37 | chunk 10 | prompt_tokens=5689, candidates_tokens=247, total_tokens=6219
2025-11-21T18:21:29.507520 | travel_vlogs_37 | chunk 11 | prompt_tokens=18396, candidates_tokens=206, total_tokens=18935
2025-11-21T18:22:16.424479 | travel_vlogs_82 | chunk 0 | prompt_tokens=19575, candidates_tokens=462, total_tokens=21969
2025-11-21T18:22:35.010247 | travel_vlogs_82 | chunk 1 | prompt_tokens=5972, candidates_tokens=204, total_tokens=6880
2025-11-21T18:22:50.694529 | travel_vlogs_82 | chunk 2 | prompt_tokens=6305, candidates_tokens=311, total_tokens=7005
2025-11-21T18:23:20.682710 | travel_vlogs_82 | chunk 3 | prompt_tokens=13663, candidates_tokens=436, total_tokens=15540
2025-11-21T18:23:44.878892 | travel_vlogs_82 | chunk 4 | prompt_tokens=2909, candidates_tokens=339, total_tokens=4330
2025-11-21T18:24:04.423364 | travel_vlogs_82 | chunk 5 | prompt_tokens=6280, candidates_tokens=265, total_tokens=7372
2025-11-21T18:24:23.644606 | travel_vlogs_82 | chunk 6 | prompt_tokens=10500, candidates_tokens=208, total_tokens=11309
2025-11-21T18:25:00.639058 | travel_vlogs_82 | chunk 7 | prompt_tokens=8370, candidates_tokens=222, total_tokens=9245
2025-11-21T18:25:33.956523 | travel_vlogs_82 | chunk 8 | prompt_tokens=9259, candidates_tokens=204, total_tokens=10276
2025-11-21T18:25:59.759731 | travel_vlogs_82 | chunk 9 | prompt_tokens=15569, candidates_tokens=234, total_tokens=16978
2025-11-21T18:26:40.100294 | travel_vlogs_82 | chunk 10 | prompt_tokens=20480, candidates_tokens=273, total_tokens=22699
2025-11-21T18:26:55.298255 | travel_vlogs_82 | chunk 11 | prompt_tokens=5739, candidates_tokens=184, total_tokens=6629
2025-11-21T18:27:06.362446 | travel_vlogs_82 | chunk 12 | prompt_tokens=4632, candidates_tokens=128, total_tokens=5242
2025-11-21T18:27:14.178506 | travel_vlogs_82 | chunk 13 | prompt_tokens=1419, candidates_tokens=139, total_tokens=1948
2025-11-21T18:27:45.865362 | travel_vlogs_82 | chunk 14 | prompt_tokens=20480, candidates_tokens=380, total_tokens=22262
2025-11-21T18:28:19.756438 | travel_vlogs_35 | chunk 0 | prompt_tokens=17367, candidates_tokens=321, total_tokens=18604
2025-11-21T18:28:39.194109 | travel_vlogs_35 | chunk 1 | prompt_tokens=10267, candidates_tokens=218, total_tokens=10842
2025-11-21T18:29:20.185883 | travel_vlogs_35 | chunk 2 | prompt_tokens=17222, candidates_tokens=228, total_tokens=17948
2025-11-21T18:30:24.380143 | travel_vlogs_35 | chunk 3 | prompt_tokens=45925, candidates_tokens=368, total_tokens=48091
2025-11-21T18:30:54.519081 | travel_vlogs_35 | chunk 4 | prompt_tokens=14437, candidates_tokens=239, total_tokens=15611
2025-11-21T18:31:16.328555 | travel_vlogs_35 | chunk 5 | prompt_tokens=6488, candidates_tokens=133, total_tokens=7126
2025-11-21T18:31:49.558780 | travel_vlogs_35 | chunk 6 | prompt_tokens=11915, candidates_tokens=300, total_tokens=13386
2025-11-21T18:32:19.600141 | travel_vlogs_35 | chunk 7 | prompt_tokens=11324, candidates_tokens=306, total_tokens=12299
2025-11-21T18:32:36.811684 | travel_vlogs_35 | chunk 8 | prompt_tokens=8469, candidates_tokens=186, total_tokens=9033
2025-11-21T18:33:30.717890 | travel_vlogs_35 | chunk 9 | prompt_tokens=24442, candidates_tokens=78, total_tokens=24949
2025-11-21T18:33:46.807339 | travel_vlogs_35 | chunk 10 | prompt_tokens=7412, candidates_tokens=234, total_tokens=8453
2025-11-21T18:34:25.640043 | travel_vlogs_142 | chunk 0 | prompt_tokens=11903, candidates_tokens=297, total_tokens=13360
2025-11-21T18:34:59.180972 | travel_vlogs_142 | chunk 1 | prompt_tokens=15877, candidates_tokens=529, total_tokens=17236
2025-11-21T18:35:27.866158 | travel_vlogs_142 | chunk 2 | prompt_tokens=14154, candidates_tokens=258, total_tokens=15191
2025-11-21T18:35:45.665046 | travel_vlogs_142 | chunk 3 | prompt_tokens=6588, candidates_tokens=273, total_tokens=7364
2025-11-21T18:36:04.473033 | travel_vlogs_142 | chunk 4 | prompt_tokens=7695, candidates_tokens=380, total_tokens=8674
2025-11-21T18:36:30.333915 | travel_vlogs_142 | chunk 5 | prompt_tokens=10858, candidates_tokens=414, total_tokens=12270
2025-11-21T18:36:59.573708 | travel_vlogs_142 | chunk 6 | prompt_tokens=12839, candidates_tokens=244, total_tokens=13427
2025-11-21T18:38:15.519156 | travel_vlogs_142 | chunk 7 | prompt_tokens=40806, candidates_tokens=445, total_tokens=41866
2025-11-21T18:39:36.899907 | travel_vlogs_142 | chunk 8 | prompt_tokens=38001, candidates_tokens=315, total_tokens=39663
2025-11-21T18:39:54.282007 | travel_vlogs_142 | chunk 9 | prompt_tokens=7337, candidates_tokens=270, total_tokens=8337
2025-11-21T18:40:03.358811 | travel_vlogs_107 | chunk 0 | prompt_tokens=3117, candidates_tokens=208, total_tokens=3744
2025-11-21T18:40:32.940168 | travel_vlogs_107 | chunk 1 | prompt_tokens=19531, candidates_tokens=299, total_tokens=20938
2025-11-21T18:40:55.310251 | travel_vlogs_107 | chunk 2 | prompt_tokens=7784, candidates_tokens=264, total_tokens=8590
2025-11-21T18:41:12.432753 | travel_vlogs_107 | chunk 3 | prompt_tokens=7412, candidates_tokens=289, total_tokens=8261
2025-11-21T18:41:23.483021 | travel_vlogs_107 | chunk 4 | prompt_tokens=2859, candidates_tokens=167, total_tokens=3404
2025-11-21T18:41:40.303042 | travel_vlogs_107 | chunk 5 | prompt_tokens=13330, candidates_tokens=155, total_tokens=13745
2025-11-21T18:42:20.801978 | travel_vlogs_107 | chunk 6 | prompt_tokens=14229, candidates_tokens=326, total_tokens=15487
2025-11-21T18:43:05.656668 | travel_vlogs_107 | chunk 7 | prompt_tokens=19889, candidates_tokens=346, total_tokens=21024
2025-11-21T18:43:25.433301 | travel_vlogs_107 | chunk 8 | prompt_tokens=10500, candidates_tokens=303, total_tokens=11408
2025-11-21T18:43:52.563705 | travel_vlogs_107 | chunk 9 | prompt_tokens=8666, candidates_tokens=264, total_tokens=9484
2025-11-21T18:44:23.855318 | travel_vlogs_107 | chunk 10 | prompt_tokens=20763, candidates_tokens=316, total_tokens=21921
2025-11-21T18:44:49.722471 | travel_vlogs_107 | chunk 11 | prompt_tokens=12223, candidates_tokens=205, total_tokens=12822
2025-11-21T18:45:06.873605 | travel_vlogs_107 | chunk 12 | prompt_tokens=5119, candidates_tokens=158, total_tokens=5807
2025-11-21T18:45:21.545083 | travel_vlogs_107 | chunk 13 | prompt_tokens=3708, candidates_tokens=227, total_tokens=4439
2025-11-21T18:46:25.242206 | travel_vlogs_120 | chunk 0 | prompt_tokens=12298, candidates_tokens=219, total_tokens=12703
2025-11-21T18:47:16.279347 | travel_vlogs_120 | chunk 1 | prompt_tokens=19348, candidates_tokens=261, total_tokens=20571
2025-11-21T18:47:54.251101 | travel_vlogs_120 | chunk 2 | prompt_tokens=14770, candidates_tokens=324, total_tokens=15960
2025-11-21T18:48:22.292870 | travel_vlogs_120 | chunk 3 | prompt_tokens=8286, candidates_tokens=220, total_tokens=9359
2025-11-21T18:48:48.284018 | travel_vlogs_120 | chunk 4 | prompt_tokens=8962, candidates_tokens=155, total_tokens=9641
2025-11-21T18:49:59.378171 | travel_vlogs_120 | chunk 5 | prompt_tokens=31492, candidates_tokens=36, total_tokens=31653
2025-11-21T18:50:24.680860 | travel_vlogs_120 | chunk 6 | prompt_tokens=8727, candidates_tokens=274, total_tokens=9435
2025-11-21T18:50:56.673849 | travel_vlogs_120 | chunk 7 | prompt_tokens=10400, candidates_tokens=237, total_tokens=11451
2025-11-21T18:51:17.699294 | travel_vlogs_120 | chunk 8 | prompt_tokens=5972, candidates_tokens=164, total_tokens=6857
2025-11-21T18:52:23.145898 | travel_vlogs_27 | chunk 0 | prompt_tokens=24184, candidates_tokens=237, total_tokens=25269
2025-11-21T18:53:16.633239 | travel_vlogs_27 | chunk 1 | prompt_tokens=20184, candidates_tokens=366, total_tokens=21501
2025-11-21T18:53:41.524788 | travel_vlogs_27 | chunk 2 | prompt_tokens=3949, candidates_tokens=186, total_tokens=4708
2025-11-21T18:54:32.968536 | travel_vlogs_27 | chunk 3 | prompt_tokens=17575, candidates_tokens=382, total_tokens=19281
2025-11-21T18:54:57.608335 | travel_vlogs_27 | chunk 4 | prompt_tokens=6846, candidates_tokens=192, total_tokens=7558
2025-11-21T18:56:05.012017 | travel_vlogs_27 | chunk 5 | prompt_tokens=23851, candidates_tokens=215, total_tokens=25382
2025-11-21T18:56:45.129031 | travel_vlogs_27 | chunk 6 | prompt_tokens=12506, candidates_tokens=183, total_tokens=13575
2025-11-21T18:57:20.992157 | travel_vlogs_27 | chunk 7 | prompt_tokens=8852, candidates_tokens=317, total_tokens=10172
2025-11-21T18:57:43.266043 | travel_vlogs_27 | chunk 8 | prompt_tokens=5406, candidates_tokens=130, total_tokens=6010
2025-11-21T18:58:31.905660 | travel_vlogs_27 | chunk 9 | prompt_tokens=13921, candidates_tokens=219, total_tokens=15048
2025-11-21T18:58:46.345126 | travel_vlogs_27 | chunk 10 | prompt_tokens=3708, candidates_tokens=110, total_tokens=4244
2025-11-21T18:59:04.348959 | travel_vlogs_75 | chunk 0 | prompt_tokens=3941, candidates_tokens=172, total_tokens=4400
2025-11-21T18:59:28.221679 | travel_vlogs_75 | chunk 1 | prompt_tokens=10833, candidates_tokens=169, total_tokens=11483
2025-11-21T18:59:43.633618 | travel_vlogs_75 | chunk 2 | prompt_tokens=5727, candidates_tokens=160, total_tokens=6351
2025-11-21T19:00:03.247698 | travel_vlogs_75 | chunk 3 | prompt_tokens=8003, candidates_tokens=170, total_tokens=8513
2025-11-21T19:00:24.722376 | travel_vlogs_75 | chunk 4 | prompt_tokens=7362, candidates_tokens=181, total_tokens=8295
2025-11-21T19:00:40.665881 | travel_vlogs_75 | chunk 5 | prompt_tokens=5456, candidates_tokens=197, total_tokens=6247
2025-11-21T19:00:59.832490 | travel_vlogs_75 | chunk 6 | prompt_tokens=7695, candidates_tokens=179, total_tokens=8177
2025-11-21T19:01:24.277307 | travel_vlogs_75 | chunk 7 | prompt_tokens=10733, candidates_tokens=135, total_tokens=11283
2025-11-21T19:02:07.540551 | travel_vlogs_75 | chunk 8 | prompt_tokens=19248, candidates_tokens=178, total_tokens=19666
2025-11-21T19:02:40.997358 | travel_vlogs_75 | chunk 9 | prompt_tokens=18216, candidates_tokens=126, total_tokens=18607
2025-11-21T19:03:11.600254 | travel_vlogs_75 | chunk 10 | prompt_tokens=24885, candidates_tokens=164, total_tokens=25423
2025-11-21T19:03:35.342404 | travel_vlogs_53 | chunk 0 | prompt_tokens=6886, candidates_tokens=259, total_tokens=7555
2025-11-21T19:04:24.548361 | travel_vlogs_53 | chunk 1 | prompt_tokens=19575, candidates_tokens=346, total_tokens=20712
2025-11-21T19:04:55.969864 | travel_vlogs_53 | chunk 2 | prompt_tokens=10575, candidates_tokens=345, total_tokens=11858
2025-11-21T19:05:16.369381 | travel_vlogs_53 | chunk 3 | prompt_tokens=5947, candidates_tokens=179, total_tokens=6727
2025-11-21T19:05:46.492196 | travel_vlogs_53 | chunk 4 | prompt_tokens=9984, candidates_tokens=253, total_tokens=11133
2025-11-21T19:06:03.472033 | travel_vlogs_53 | chunk 5 | prompt_tokens=4632, candidates_tokens=196, total_tokens=5393
2025-11-21T19:06:31.711044 | travel_vlogs_53 | chunk 6 | prompt_tokens=7437, candidates_tokens=254, total_tokens=8658
2025-11-21T19:06:58.482634 | travel_vlogs_53 | chunk 7 | prompt_tokens=6047, candidates_tokens=296, total_tokens=7237
2025-11-21T19:07:31.928335 | travel_vlogs_53 | chunk 8 | prompt_tokens=9418, candidates_tokens=295, total_tokens=10393
2025-11-21T19:08:28.005264 | travel_vlogs_53 | chunk 9 | prompt_tokens=21063, candidates_tokens=172, total_tokens=21627
2025-11-21T19:09:15.050497 | travel_vlogs_53 | chunk 10 | prompt_tokens=13713, candidates_tokens=203, total_tokens=14428
2025-11-21T19:09:39.218730 | travel_vlogs_53 | chunk 11 | prompt_tokens=5413, candidates_tokens=203, total_tokens=6302
2025-11-21T19:09:54.960500 | travel_vlogs_53 | chunk 12 | prompt_tokens=2884, candidates_tokens=143, total_tokens=3415
2025-11-21T19:10:28.080296 | travel_vlogs_53 | chunk 13 | prompt_tokens=13122, candidates_tokens=229, total_tokens=13971
2025-11-21T19:11:09.930014 | travel_vlogs_157 | chunk 0 | prompt_tokens=13097, candidates_tokens=299, total_tokens=14588
2025-11-21T19:11:54.996552 | travel_vlogs_157 | chunk 1 | prompt_tokens=17650, candidates_tokens=291, total_tokens=19057
2025-11-21T19:12:19.676830 | travel_vlogs_157 | chunk 2 | prompt_tokens=4324, candidates_tokens=208, total_tokens=5314
2025-11-21T19:14:11.129610 | travel_vlogs_157 | chunk 3 | prompt_tokens=45384, candidates_tokens=310, total_tokens=46868
2025-11-21T19:14:34.254633 | travel_vlogs_157 | chunk 4 | prompt_tokens=7770, candidates_tokens=170, total_tokens=8405
2025-11-21T19:14:53.817388 | travel_vlogs_157 | chunk 5 | prompt_tokens=3956, candidates_tokens=140, total_tokens=4402
2025-11-21T19:15:17.254297 | travel_vlogs_157 | chunk 6 | prompt_tokens=10525, candidates_tokens=126, total_tokens=11029
2025-11-21T19:15:57.907897 | travel_vlogs_157 | chunk 7 | prompt_tokens=13122, candidates_tokens=386, total_tokens=14342
2025-11-21T19:17:24.580861 | travel_vlogs_157 | chunk 8 | prompt_tokens=28662, candidates_tokens=407, total_tokens=30603
2025-11-21T19:17:47.775663 | travel_vlogs_157 | chunk 9 | prompt_tokens=4349, candidates_tokens=217, total_tokens=5081
2025-11-21T19:18:26.489048 | travel_vlogs_157 | chunk 10 | prompt_tokens=8084, candidates_tokens=281, total_tokens=9463
2025-11-21T19:19:13.198699 | travel_vlogs_157 | chunk 11 | prompt_tokens=14512, candidates_tokens=301, total_tokens=15903
2025-11-21T19:19:36.182422 | travel_vlogs_145 | chunk 0 | prompt_tokens=3375, candidates_tokens=151, total_tokens=3828
2025-11-21T19:20:52.889848 | travel_vlogs_145 | chunk 1 | prompt_tokens=24367, candidates_tokens=165, total_tokens=25245
2025-11-21T19:21:51.505787 | travel_vlogs_145 | chunk 2 | prompt_tokens=20996, candidates_tokens=200, total_tokens=21782
2025-11-21T19:23:04.770155 | travel_vlogs_145 | chunk 3 | prompt_tokens=22078, candidates_tokens=248, total_tokens=22907
2025-11-21T19:24:02.511714 | travel_vlogs_145 | chunk 4 | prompt_tokens=23726, candidates_tokens=162, total_tokens=24418
2025-11-21T19:24:22.295542 | travel_vlogs_145 | chunk 5 | prompt_tokens=4848, candidates_tokens=115, total_tokens=5390
2025-11-21T19:25:15.148844 | travel_vlogs_145 | chunk 6 | prompt_tokens=15852, candidates_tokens=194, total_tokens=16769
2025-11-21T19:25:38.701834 | travel_vlogs_145 | chunk 7 | prompt_tokens=5997, candidates_tokens=167, total_tokens=6723
2025-11-21T19:26:59.010582 | travel_vlogs_145 | chunk 8 | prompt_tokens=24159, candidates_tokens=290, total_tokens=25404
2025-11-21T19:27:51.640975 | travel_vlogs_145 | chunk 9 | prompt_tokens=18374, candidates_tokens=298, total_tokens=19300
2025-11-21T19:28:43.500762 | travel_vlogs_201 | chunk 0 | prompt_tokens=14412, candidates_tokens=224, total_tokens=14841
2025-11-21T19:29:02.210955 | travel_vlogs_201 | chunk 1 | prompt_tokens=3450, candidates_tokens=153, total_tokens=3992
2025-11-21T19:29:28.863483 | travel_vlogs_201 | chunk 2 | prompt_tokens=6601, candidates_tokens=195, total_tokens=7183
2025-11-21T19:29:45.877298 | travel_vlogs_201 | chunk 3 | prompt_tokens=3708, candidates_tokens=157, total_tokens=4564
2025-11-21T19:30:26.121928 | travel_vlogs_201 | chunk 4 | prompt_tokens=11374, candidates_tokens=222, total_tokens=11908
2025-11-21T19:30:41.612816 | travel_vlogs_201 | chunk 5 | prompt_tokens=2035, candidates_tokens=197, total_tokens=2831
2025-11-21T19:31:24.507388 | travel_vlogs_201 | chunk 6 | prompt_tokens=12198, candidates_tokens=231, total_tokens=13025
