2025-11-21T18:40:13.225677 | astronomy_429 | chunk 0 | prompt_tokens=10167, candidates_tokens=544, total_tokens=11903
2025-11-21T18:53:13.199236 | astronomy_193 | chunk 2 | prompt_tokens=9851, candidates_tokens=252, total_tokens=10553
2025-11-21T18:53:32.910023 | astronomy_193 | chunk 3 | prompt_tokens=16210, candidates_tokens=261, total_tokens=16962
2025-11-21T18:53:50.910806 | astronomy_193 | chunk 4 | prompt_tokens=11965, candidates_tokens=212, total_tokens=12608
2025-11-21T18:54:13.501692 | astronomy_193 | chunk 5 | prompt_tokens=11965, candidates_tokens=416, total_tokens=13534
2025-11-21T18:54:50.567005 | astronomy_193 | chunk 6 | prompt_tokens=11913, candidates_tokens=400, total_tokens=13376
2025-11-21T18:55:10.258994 | astronomy_193 | chunk 7 | prompt_tokens=1702, candidates_tokens=254, total_tokens=2581
2025-11-21T18:55:30.805577 | astronomy_193 | chunk 8 | prompt_tokens=7079, candidates_tokens=319, total_tokens=7751
2025-11-21T18:55:49.760345 | astronomy_193 | chunk 9 | prompt_tokens=6022, candidates_tokens=127, total_tokens=6375
2025-11-21T18:56:11.443994 | astronomy_193 | chunk 10 | prompt_tokens=5922, candidates_tokens=242, total_tokens=6654
2025-11-21T18:56:29.906523 | astronomy_193 | chunk 11 | prompt_tokens=7462, candidates_tokens=286, total_tokens=8479
2025-11-21T18:56:52.625071 | astronomy_193 | chunk 12 | prompt_tokens=10550, candidates_tokens=150, total_tokens=10964
2025-11-21T18:57:09.107312 | astronomy_193 | chunk 13 | prompt_tokens=15103, candidates_tokens=177, total_tokens=15656
2025-11-21T18:57:27.791119 | astronomy_193 | chunk 14 | prompt_tokens=15103, candidates_tokens=216, total_tokens=15697
2025-11-21T18:57:42.006958 | astronomy_193 | chunk 15 | prompt_tokens=6072, candidates_tokens=260, total_tokens=6743
2025-11-21T18:58:22.878502 | astronomy_376 | chunk 0 | prompt_tokens=14820, candidates_tokens=414, total_tokens=16615
2025-11-21T18:59:00.965947 | astronomy_376 | chunk 1 | prompt_tokens=17512, candidates_tokens=389, total_tokens=18990
2025-11-21T18:59:16.781021 | astronomy_376 | chunk 2 | prompt_tokens=8068, candidates_tokens=244, total_tokens=8936
2025-11-21T18:59:33.598528 | astronomy_376 | chunk 3 | prompt_tokens=5739, candidates_tokens=259, total_tokens=6625
2025-11-21T18:59:57.634751 | astronomy_376 | chunk 4 | prompt_tokens=12809, candidates_tokens=176, total_tokens=13356
2025-11-21T19:00:18.641187 | astronomy_376 | chunk 5 | prompt_tokens=4840, candidates_tokens=261, total_tokens=6528
2025-11-21T19:00:55.455017 | astronomy_376 | chunk 6 | prompt_tokens=14695, candidates_tokens=301, total_tokens=15664
2025-11-21T19:01:28.838620 | astronomy_376 | chunk 7 | prompt_tokens=4740, candidates_tokens=246, total_tokens=5410
2025-11-21T19:01:54.872068 | astronomy_376 | chunk 8 | prompt_tokens=10009, candidates_tokens=436, total_tokens=11289
2025-11-21T19:02:25.681233 | astronomy_376 | chunk 9 | prompt_tokens=10758, candidates_tokens=355, total_tokens=12006
2025-11-21T19:02:55.672703 | astronomy_376 | chunk 10 | prompt_tokens=18405, candidates_tokens=311, total_tokens=19363
2025-11-21T19:03:32.695102 | astronomy_376 | chunk 11 | prompt_tokens=16493, candidates_tokens=440, total_tokens=18197
2025-11-21T19:04:10.891824 | astronomy_76 | chunk 0 | prompt_tokens=15544, candidates_tokens=197, total_tokens=16344
2025-11-21T19:04:45.691496 | astronomy_76 | chunk 1 | prompt_tokens=18499, candidates_tokens=344, total_tokens=19567
2025-11-21T19:05:06.396630 | astronomy_76 | chunk 2 | prompt_tokens=9651, candidates_tokens=283, total_tokens=10269
2025-11-21T19:05:37.253836 | astronomy_76 | chunk 3 | prompt_tokens=12764, candidates_tokens=245, total_tokens=13623
2025-11-21T19:06:05.662695 | astronomy_76 | chunk 5 | prompt_tokens=2859, candidates_tokens=139, total_tokens=3239
2025-11-21T19:06:28.286550 | astronomy_76 | chunk 6 | prompt_tokens=9751, candidates_tokens=195, total_tokens=10238
2025-11-21T19:07:02.930602 | astronomy_76 | chunk 7 | prompt_tokens=16468, candidates_tokens=399, total_tokens=17522
2025-11-21T19:07:35.010001 | astronomy_76 | chunk 8 | prompt_tokens=15103, candidates_tokens=234, total_tokens=15663
2025-11-21T19:08:02.209930 | astronomy_76 | chunk 9 | prompt_tokens=8311, candidates_tokens=190, total_tokens=9117
2025-11-21T19:08:32.311435 | astronomy_76 | chunk 10 | prompt_tokens=11632, candidates_tokens=408, total_tokens=12877
2025-11-21T19:09:14.444887 | astronomy_379 | chunk 0 | prompt_tokens=19248, candidates_tokens=124, total_tokens=19592
2025-11-21T19:09:41.788386 | astronomy_379 | chunk 1 | prompt_tokens=9559, candidates_tokens=246, total_tokens=10464
2025-11-21T19:10:41.471513 | astronomy_379 | chunk 2 | prompt_tokens=14770, candidates_tokens=264, total_tokens=16139
2025-11-21T19:11:24.392360 | astronomy_379 | chunk 3 | prompt_tokens=13871, candidates_tokens=290, total_tokens=15006
2025-11-21T19:11:56.711160 | astronomy_379 | chunk 4 | prompt_tokens=10808, candidates_tokens=324, total_tokens=11506
2025-11-21T19:12:32.524755 | astronomy_379 | chunk 5 | prompt_tokens=14770, candidates_tokens=177, total_tokens=15414
2025-11-21T19:12:58.129168 | astronomy_379 | chunk 6 | prompt_tokens=7645, candidates_tokens=179, total_tokens=8351
2025-11-21T19:13:19.319625 | astronomy_379 | chunk 7 | prompt_tokens=3966, candidates_tokens=329, total_tokens=5599
2025-11-21T19:13:47.951086 | astronomy_379 | chunk 8 | prompt_tokens=7437, candidates_tokens=276, total_tokens=8767
2025-11-21T19:14:10.592820 | astronomy_379 | chunk 9 | prompt_tokens=8469, candidates_tokens=243, total_tokens=9320
2025-11-21T19:14:23.456449 | astronomy_379 | chunk 10 | prompt_tokens=2909, candidates_tokens=162, total_tokens=3537
2025-11-21T19:14:58.229375 | astronomy_379 | chunk 11 | prompt_tokens=14274, candidates_tokens=259, total_tokens=15096
2025-11-21T19:15:27.805355 | astronomy_379 | chunk 12 | prompt_tokens=13896, candidates_tokens=322, total_tokens=14858
2025-11-21T19:15:44.741616 | astronomy_231 | chunk 0 | prompt_tokens=5947, candidates_tokens=289, total_tokens=6803
2025-11-21T19:16:09.478652 | astronomy_231 | chunk 1 | prompt_tokens=7645, candidates_tokens=343, total_tokens=8801
2025-11-21T19:16:32.233884 | astronomy_231 | chunk 2 | prompt_tokens=4840, candidates_tokens=333, total_tokens=6365
2025-11-21T19:16:45.252880 | astronomy_231 | chunk 3 | prompt_tokens=2859, candidates_tokens=176, total_tokens=3392
2025-11-21T19:17:00.428440 | astronomy_231 | chunk 4 | prompt_tokens=11424, candidates_tokens=259, total_tokens=11886
2025-11-21T19:17:25.075279 | astronomy_231 | chunk 5 | prompt_tokens=16801, candidates_tokens=196, total_tokens=17511
2025-11-21T19:17:48.431371 | astronomy_231 | chunk 6 | prompt_tokens=8827, candidates_tokens=262, total_tokens=10386
2025-11-21T19:18:30.475275 | astronomy_231 | chunk 7 | prompt_tokens=22744, candidates_tokens=297, total_tokens=24355
2025-11-21T19:19:01.444533 | astronomy_231 | chunk 8 | prompt_tokens=14512, candidates_tokens=365, total_tokens=16111
2025-11-21T19:19:39.101531 | astronomy_231 | chunk 9 | prompt_tokens=18399, candidates_tokens=415, total_tokens=19738
2025-11-21T19:19:56.057044 | astronomy_231 | chunk 10 | prompt_tokens=5739, candidates_tokens=410, total_tokens=6760
2025-11-21T19:20:39.878110 | astronomy_263 | chunk 0 | prompt_tokens=14978, candidates_tokens=399, total_tokens=16323
2025-11-21T19:21:09.078039 | astronomy_263 | chunk 1 | prompt_tokens=5198, candidates_tokens=202, total_tokens=6181
2025-11-21T19:21:36.268755 | astronomy_263 | chunk 2 | prompt_tokens=9934, candidates_tokens=170, total_tokens=10937
2025-11-21T19:21:49.956021 | astronomy_263 | chunk 3 | prompt_tokens=1752, candidates_tokens=134, total_tokens=2182
2025-11-21T19:22:15.014073 | astronomy_263 | chunk 4 | prompt_tokens=4532, candidates_tokens=197, total_tokens=5596
2025-11-21T19:22:30.574467 | astronomy_263 | chunk 5 | prompt_tokens=1960, candidates_tokens=190, total_tokens=2757
2025-11-21T19:23:06.696503 | astronomy_263 | chunk 6 | prompt_tokens=7670, candidates_tokens=225, total_tokens=8676
2025-11-21T19:24:06.396384 | astronomy_263 | chunk 7 | prompt_tokens=21795, candidates_tokens=433, total_tokens=23968
2025-11-21T19:24:42.390715 | astronomy_263 | chunk 8 | prompt_tokens=14576, candidates_tokens=351, total_tokens=15481
2025-11-21T19:25:23.830637 | astronomy_263 | chunk 9 | prompt_tokens=13638, candidates_tokens=326, total_tokens=14943
2025-11-21T19:26:23.255408 | astronomy_263 | chunk 10 | prompt_tokens=26323, candidates_tokens=227, total_tokens=26912
2025-11-21T19:26:45.073613 | astronomy_263 | chunk 11 | prompt_tokens=6255, candidates_tokens=228, total_tokens=6909
2025-11-21T19:26:58.002975 | astronomy_263 | chunk 12 | prompt_tokens=1677, candidates_tokens=158, total_tokens=2277
2025-11-21T19:27:19.979409 | astronomy_543 | chunk 0 | prompt_tokens=9884, candidates_tokens=253, total_tokens=11003
2025-11-21T19:27:37.823144 | astronomy_543 | chunk 1 | prompt_tokens=2909, candidates_tokens=473, total_tokens=4309
2025-11-21T19:28:00.034579 | astronomy_543 | chunk 2 | prompt_tokens=12556, candidates_tokens=341, total_tokens=13643
2025-11-21T19:28:24.900782 | astronomy_543 | chunk 3 | prompt_tokens=10475, candidates_tokens=277, total_tokens=11187
2025-11-21T19:29:05.335761 | astronomy_543 | chunk 4 | prompt_tokens=16676, candidates_tokens=320, total_tokens=17471
2025-11-21T19:29:35.367616 | astronomy_543 | chunk 5 | prompt_tokens=18940, candidates_tokens=250, total_tokens=19730
2025-11-21T19:30:04.105077 | astronomy_543 | chunk 6 | prompt_tokens=19298, candidates_tokens=261, total_tokens=19923
2025-11-21T19:30:19.949551 | astronomy_543 | chunk 7 | prompt_tokens=7720, candidates_tokens=222, total_tokens=8421
2025-11-21T19:30:39.788342 | astronomy_543 | chunk 8 | prompt_tokens=12148, candidates_tokens=317, total_tokens=12946
2025-11-21T19:31:04.507678 | astronomy_543 | chunk 9 | prompt_tokens=18657, candidates_tokens=233, total_tokens=19236
2025-11-21T19:31:33.485814 | astronomy_543 | chunk 10 | prompt_tokens=24084, candidates_tokens=238, total_tokens=24582
2025-11-21T19:31:56.580490 | astronomy_543 | chunk 11 | prompt_tokens=19914, candidates_tokens=213, total_tokens=20461
2025-11-21T19:32:21.110936 | astronomy_524 | chunk 0 | prompt_tokens=7337, candidates_tokens=230, total_tokens=8286
2025-11-21T19:32:50.759254 | astronomy_524 | chunk 1 | prompt_tokens=18216, candidates_tokens=120, total_tokens=18537
2025-11-21T19:33:23.945786 | astronomy_524 | chunk 2 | prompt_tokens=8752, candidates_tokens=331, total_tokens=9696
2025-11-21T19:33:47.995159 | astronomy_524 | chunk 3 | prompt_tokens=5456, candidates_tokens=317, total_tokens=6668
2025-11-21T19:34:10.219372 | astronomy_524 | chunk 4 | prompt_tokens=9676, candidates_tokens=229, total_tokens=10199
2025-11-21T19:34:55.377929 | astronomy_524 | chunk 5 | prompt_tokens=17528, candidates_tokens=182, total_tokens=18221
2025-11-21T19:35:23.913924 | astronomy_524 | chunk 6 | prompt_tokens=10783, candidates_tokens=262, total_tokens=11870
2025-11-21T19:35:48.892258 | astronomy_524 | chunk 7 | prompt_tokens=9060, candidates_tokens=152, total_tokens=9407
2025-11-21T19:36:26.486869 | astronomy_524 | chunk 8 | prompt_tokens=9601, candidates_tokens=257, total_tokens=10346
2025-11-21T19:37:12.244619 | astronomy_524 | chunk 9 | prompt_tokens=16443, candidates_tokens=166, total_tokens=16978
2025-11-21T19:37:31.179919 | astronomy_524 | chunk 10 | prompt_tokens=3500, candidates_tokens=174, total_tokens=4204
2025-11-21T19:37:55.354942 | astronomy_524 | chunk 11 | prompt_tokens=6538, candidates_tokens=195, total_tokens=6988
2025-11-21T19:38:29.250473 | astronomy_524 | chunk 12 | prompt_tokens=8665, candidates_tokens=288, total_tokens=9735
2025-11-21T19:38:54.412038 | astronomy_524 | chunk 13 | prompt_tokens=9959, candidates_tokens=261, total_tokens=10708
2025-11-21T19:39:19.726301 | astronomy_524 | chunk 14 | prompt_tokens=8802, candidates_tokens=202, total_tokens=9295
2025-11-21T19:39:37.334556 | astronomy_524 | chunk 15 | prompt_tokens=5456, candidates_tokens=270, total_tokens=6026
2025-11-21T19:39:57.969855 | astronomy_524 | chunk 16 | prompt_tokens=5426, candidates_tokens=316, total_tokens=6462
2025-11-21T19:40:31.080755 | astronomy_524 | chunk 17 | prompt_tokens=7745, candidates_tokens=269, total_tokens=8541
2025-11-21T19:41:14.292245 | astronomy_569 | chunk 0 | prompt_tokens=12173, candidates_tokens=156, total_tokens=13062
2025-11-21T19:41:44.786202 | astronomy_569 | chunk 1 | prompt_tokens=9110, candidates_tokens=241, total_tokens=9874
2025-11-21T19:42:32.812456 | astronomy_569 | chunk 2 | prompt_tokens=12764, candidates_tokens=224, total_tokens=13875
2025-11-21T19:43:13.259883 | astronomy_569 | chunk 3 | prompt_tokens=14512, candidates_tokens=150, total_tokens=14787
2025-11-21T19:43:57.129918 | astronomy_569 | chunk 4 | prompt_tokens=15386, candidates_tokens=189, total_tokens=16018
2025-11-21T19:44:23.272026 | astronomy_569 | chunk 5 | prompt_tokens=7412, candidates_tokens=189, total_tokens=8254
2025-11-21T19:44:46.863885 | astronomy_569 | chunk 6 | prompt_tokens=5434, candidates_tokens=265, total_tokens=6440
2025-11-21T19:45:20.013918 | astronomy_569 | chunk 7 | prompt_tokens=9676, candidates_tokens=178, total_tokens=10308
2025-11-21T19:46:28.608933 | astronomy_569 | chunk 8 | prompt_tokens=19040, candidates_tokens=301, total_tokens=20184
2025-11-21T19:47:02.575462 | astronomy_569 | chunk 9 | prompt_tokens=9726, candidates_tokens=217, total_tokens=10476
2025-11-21T19:47:30.219697 | astronomy_569 | chunk 10 | prompt_tokens=5173, candidates_tokens=245, total_tokens=6000
2025-11-21T19:47:55.928664 | astronomy_569 | chunk 11 | prompt_tokens=7695, candidates_tokens=135, total_tokens=8305
2025-11-21T19:48:41.772288 | astronomy_569 | chunk 12 | prompt_tokens=7953, candidates_tokens=157, total_tokens=8185
2025-11-21T19:49:11.938173 | astronomy_569 | chunk 13 | prompt_tokens=10858, candidates_tokens=204, total_tokens=11556
2025-11-21T19:49:38.358403 | astronomy_569 | chunk 14 | prompt_tokens=10139, candidates_tokens=153, total_tokens=10620
2025-11-21T19:50:02.608863 | astronomy_569 | chunk 15 | prompt_tokens=7506, candidates_tokens=207, total_tokens=8126
2025-11-21T19:50:27.615976 | astronomy_569 | chunk 16 | prompt_tokens=6029, candidates_tokens=257, total_tokens=6952
2025-11-21T19:50:44.287486 | astronomy_346 | chunk 0 | prompt_tokens=4790, candidates_tokens=310, total_tokens=5819
2025-11-21T19:51:07.975299 | astronomy_346 | chunk 1 | prompt_tokens=11890, candidates_tokens=229, total_tokens=12973
2025-11-21T19:51:26.206592 | astronomy_346 | chunk 2 | prompt_tokens=9443, candidates_tokens=276, total_tokens=10217
2025-11-21T19:51:50.302841 | astronomy_346 | chunk 3 | prompt_tokens=13588, candidates_tokens=222, total_tokens=14742
2025-11-21T19:52:23.451091 | astronomy_346 | chunk 4 | prompt_tokens=18807, candidates_tokens=532, total_tokens=20494
2025-11-21T19:52:58.499976 | astronomy_346 | chunk 5 | prompt_tokens=18123, candidates_tokens=245, total_tokens=18971
2025-11-21T19:54:08.580497 | astronomy_346 | chunk 6 | prompt_tokens=30385, candidates_tokens=361, total_tokens=32084
2025-11-21T19:54:29.402851 | astronomy_346 | chunk 7 | prompt_tokens=10733, candidates_tokens=188, total_tokens=11233
2025-11-21T19:55:05.782548 | astronomy_346 | chunk 8 | prompt_tokens=26581, candidates_tokens=219, total_tokens=27071
2025-11-21T19:55:23.982187 | astronomy_346 | chunk 9 | prompt_tokens=7129, candidates_tokens=137, total_tokens=7525
2025-11-21T19:55:35.985633 | astronomy_224 | chunk 0 | prompt_tokens=1985, candidates_tokens=166, total_tokens=2498
2025-11-21T19:55:52.949281 | astronomy_224 | chunk 1 | prompt_tokens=6255, candidates_tokens=156, total_tokens=6742
2025-11-21T19:56:57.250561 | astronomy_224 | chunk 2 | prompt_tokens=23210, candidates_tokens=128, total_tokens=23616
2025-11-21T19:57:34.777192 | astronomy_224 | chunk 3 | prompt_tokens=10475, candidates_tokens=431, total_tokens=12108
2025-11-21T19:58:07.080103 | astronomy_224 | chunk 4 | prompt_tokens=5716, candidates_tokens=147, total_tokens=6269
2025-11-21T19:59:00.045993 | astronomy_224 | chunk 5 | prompt_tokens=13981, candidates_tokens=229, total_tokens=14827
2025-11-21T19:59:32.838227 | astronomy_224 | chunk 6 | prompt_tokens=10833, candidates_tokens=220, total_tokens=11572
2025-11-21T19:59:49.326071 | astronomy_224 | chunk 7 | prompt_tokens=3450, candidates_tokens=172, total_tokens=4106
2025-11-21T20:00:08.655270 | astronomy_224 | chunk 8 | prompt_tokens=7129, candidates_tokens=243, total_tokens=7744
2025-11-21T20:00:45.169740 | astronomy_224 | chunk 9 | prompt_tokens=12248, candidates_tokens=254, total_tokens=13531
2025-11-21T20:01:20.732833 | astronomy_224 | chunk 10 | prompt_tokens=11915, candidates_tokens=215, total_tokens=12621
2025-11-21T20:02:07.638368 | astronomy_224 | chunk 11 | prompt_tokens=28612, candidates_tokens=413, total_tokens=29862
2025-11-21T20:03:04.448514 | astronomy_8 | chunk 0 | prompt_tokens=17317, candidates_tokens=162, total_tokens=18238
2025-11-21T20:03:28.092346 | astronomy_8 | chunk 1 | prompt_tokens=7978, candidates_tokens=299, total_tokens=8927
2025-11-21T20:04:32.326670 | astronomy_8 | chunk 2 | prompt_tokens=13380, candidates_tokens=316, total_tokens=14649
2025-11-21T20:05:08.180911 | astronomy_8 | chunk 3 | prompt_tokens=6871, candidates_tokens=303, total_tokens=8026
2025-11-21T20:06:00.917313 | astronomy_8 | chunk 4 | prompt_tokens=17059, candidates_tokens=182, total_tokens=17584
2025-11-21T20:06:32.729325 | astronomy_8 | chunk 5 | prompt_tokens=7978, candidates_tokens=307, total_tokens=9187
2025-11-21T20:07:00.278311 | astronomy_8 | chunk 6 | prompt_tokens=7387, candidates_tokens=232, total_tokens=8146
2025-11-21T20:07:42.321108 | astronomy_8 | chunk 7 | prompt_tokens=15594, candidates_tokens=453, total_tokens=17381
2025-11-21T20:08:09.303552 | astronomy_8 | chunk 8 | prompt_tokens=5972, candidates_tokens=268, total_tokens=6847
2025-11-21T20:09:06.361104 | astronomy_8 | chunk 9 | prompt_tokens=16160, candidates_tokens=234, total_tokens=16727
2025-11-21T20:10:04.610508 | astronomy_8 | chunk 10 | prompt_tokens=22669, candidates_tokens=192, total_tokens=23108
2025-11-21T20:11:10.569461 | astronomy_8 | chunk 11 | prompt_tokens=22436, candidates_tokens=818, total_tokens=24145
2025-11-21T20:11:51.718684 | astronomy_408 | chunk 0 | prompt_tokens=20762, candidates_tokens=150, total_tokens=21504
2025-11-21T20:12:32.787467 | astronomy_408 | chunk 1 | prompt_tokens=14129, candidates_tokens=98, total_tokens=14532
2025-11-21T20:13:07.834541 | astronomy_408 | chunk 2 | prompt_tokens=10500, candidates_tokens=184, total_tokens=11025
2025-11-21T20:14:07.528869 | astronomy_408 | chunk 3 | prompt_tokens=21933, candidates_tokens=213, total_tokens=22772
2025-11-21T20:15:07.354975 | astronomy_408 | chunk 4 | prompt_tokens=17034, candidates_tokens=149, total_tokens=17562
2025-11-21T20:15:42.067658 | astronomy_408 | chunk 5 | prompt_tokens=14129, candidates_tokens=164, total_tokens=14690
2025-11-21T20:16:13.993004 | astronomy_408 | chunk 6 | prompt_tokens=11632, candidates_tokens=124, total_tokens=12039
2025-11-21T20:16:55.250303 | astronomy_408 | chunk 7 | prompt_tokens=16330, candidates_tokens=162, total_tokens=16720
2025-11-21T20:17:34.859350 | astronomy_408 | chunk 8 | prompt_tokens=15164, candidates_tokens=173, total_tokens=15833
2025-11-21T20:18:05.758315 | astronomy_408 | chunk 9 | prompt_tokens=10783, candidates_tokens=201, total_tokens=11365
2025-11-21T20:18:48.455912 | astronomy_58 | chunk 0 | prompt_tokens=12516, candidates_tokens=426, total_tokens=14180
2025-11-21T20:19:19.889550 | astronomy_58 | chunk 1 | prompt_tokens=6255, candidates_tokens=372, total_tokens=7611
2025-11-21T20:20:04.006082 | astronomy_58 | chunk 2 | prompt_tokens=6821, candidates_tokens=437, total_tokens=8274
2025-11-21T20:20:29.247627 | astronomy_58 | chunk 3 | prompt_tokens=5456, candidates_tokens=229, total_tokens=6137
2025-11-21T20:20:52.642977 | astronomy_58 | chunk 4 | prompt_tokens=4632, candidates_tokens=150, total_tokens=5225
2025-11-21T20:22:10.027103 | astronomy_58 | chunk 5 | prompt_tokens=31371, candidates_tokens=150, total_tokens=31702
2025-11-21T20:22:24.670243 | astronomy_58 | chunk 6 | prompt_tokens=3945, candidates_tokens=164, total_tokens=4911
2025-11-21T20:22:53.593468 | astronomy_58 | chunk 7 | prompt_tokens=9135, candidates_tokens=294, total_tokens=9861
2025-11-21T20:23:47.376507 | astronomy_58 | chunk 8 | prompt_tokens=8469, candidates_tokens=307, total_tokens=10050
2025-11-21T20:24:29.158056 | astronomy_58 | chunk 9 | prompt_tokens=5997, candidates_tokens=218, total_tokens=6633
2025-11-21T20:24:51.573066 | astronomy_58 | chunk 10 | prompt_tokens=1419, candidates_tokens=174, total_tokens=2100
2025-11-21T20:25:23.552950 | astronomy_58 | chunk 11 | prompt_tokens=11316, candidates_tokens=223, total_tokens=12057
2025-11-21T20:25:58.757068 | astronomy_58 | chunk 12 | prompt_tokens=8377, candidates_tokens=239, total_tokens=9300
2025-11-21T20:26:24.889603 | astronomy_58 | chunk 13 | prompt_tokens=6613, candidates_tokens=311, total_tokens=8248
2025-11-21T20:27:32.234636 | astronomy_58 | chunk 14 | prompt_tokens=21279, candidates_tokens=346, total_tokens=22456
2025-11-21T20:28:35.998725 | astronomy_58 | chunk 15 | prompt_tokens=23876, candidates_tokens=652, total_tokens=26252
2025-11-21T20:29:42.835980 | astronomy_96 | chunk 0 | prompt_tokens=18915, candidates_tokens=144, total_tokens=19222
2025-11-21T20:30:03.496353 | astronomy_96 | chunk 1 | prompt_tokens=5721, candidates_tokens=145, total_tokens=6308
